condition;mu;density;converged;run_time;rxn1;rxn2;Ribosome
1;3.4805975143163734;1.0;True;0.30206799507141113;1.0;0.8521437767952657;0.5919407662229268
2;3.473801608503347;1.0;True;0.3051431179046631;1.0;0.8534789739363926;0.5941492334262595
3;3.463703518916612;1.0;True;0.30944371223449707;1.0;0.8554070788332991;0.5973699731907303
4;3.4487642913471817;1.0;True;0.30194687843322754;1.0;0.8581444133605093;0.6020079662698774
5;3.4267999080048424;1.0;True;0.3040339946746826;1.0;0.8619407984685841;0.6085714368727855
6;3.394784092094507;1.0;True;0.30425500869750977;1.0;0.8670448294091859;0.6176457455443755
7;3.348658467809222;1.0;True;0.2955770492553711;1.0;0.8736415495751957;0.6298220728107471
8;3.283216879154457;1.0;True;0.29404711723327637;1.0;0.8817731871667365;0.6455749386261361
9;3.1921755316501104;1.0;True;0.28301501274108887;1.0;0.891277098891645;0.6651109963304022
10;3.0685880873266695;1.0;True;0.28565096855163574;1.0;0.9017821332273593;0.6882408872542285
11;2.905792861757646;1.0;True;0.2783772945404053;1.0;0.9127791940199872;0.7143358634399732
12;2.699030781061229;1.0;True;0.2676429748535156;1.0;0.9237352845529152;0.7424019424530174
13;2.447642794936869;1.0;True;0.2703731060028076;1.0;0.9341968597627204;0.7712524197350291
14;2.1572655896688775;1.0;True;0.27464890480041504;1.0;0.9438455686260013;0.7997155012361288
15;1.8408668515289266;1.0;True;0.22826814651489258;1.0;0.9525041041225093;0.8268059150333783
16;1.517387117205434;1.0;True;0.22817611694335938;1.0;0.9601114194935703;0.8518184895578537
17;1.2077780836673973;1.0;True;0.22676992416381836;1.0;0.9666879168871753;0.874341796163641
18;0.9299497047585756;1.0;True;0.2239990234375;1.0;0.9723035671708893;0.8942176084590796
19;0.6950337152454819;1.0;True;0.2019188404083252;1.0;0.9770536671947481;0.9114766871557343
20;0.5064549729136889;1.0;True;0.19844818115234375;1.0;0.981042457216477;0.9262737140154819
21;0.36148029250026525;1.0;True;0.20351099967956543;1.0;0.9843730423958086;0.9388332027756702
22;0.25381985288818676;1.0;True;0.20742321014404297;1.0;0.9871417169366978;0.9494096242460405
23;0.17599048843355466;1.0;True;0.21457576751708984;1.0;0.9894352235653872;0.9582608287911892
24;0.12086397888055485;1.0;True;0.21521997451782227;1.0;0.9913298271094506;0.9656319277082985
25;0.08241030293819972;1.0;True;0.21668362617492676;1.0;0.9928914258883412;0.9717465765622102
