;tC;tP;tN;tAce;Resp;Ferm;Nucprod;Aaprod;Replication;Transcription;tRNAcharging;Ribosome
x_C;1;0;0;0;0;0;0;0;0;0;0;0
x_P;0;1;0;0;0;0;0;0;0;0;0;0
x_N;0;0;1;0;0;0;0;0;0;0;0;0
x_Ace;0;0;0;0;0;0;0;0;0;0;0;0
C;0;0;0;0;10;8;5;4;0;0;0;0
P;0;0;0;0;5;3;2;3;0;0;0;0
N;0;0;0;0;5;3;1;2;0;0;0;0
Ace;0;0;0;1;0;0;0;0;0;0;0;0
ADP;0;0;0;0;5;5;0;0;0;0;0;0
ATP;0;0;0;0;0;0;1;2;0;0;4;5
AA;0;0;0;0;0;0;0;0;0;0;10;0
Nuc;0;0;0;0;0;0;0;0;5;3;0;0
DNA;0;0;0;0;0;0;0;0;0;0;0;0
tRNA;0;0;0;0;0;0;0;0;0;0;5;0
TC;0;0;0;0;0;0;0;0;0;0;0;8
Protein;0;0;0;0;0;0;0;0;0;0;0;0
