;tC;tP;tN;tAce;Resp;Ferm;Nucprod;Aaprod;Replication;Transcription;tRNAcharging;Ribosome
x_C;-1;0;0;0;0;0;0;0;0;0;0;0
x_P;0;-1;0;0;0;0;0;0;0;0;0;0
x_N;0;0;-1;0;0;0;0;0;0;0;0;0
x_Ace;0;0;0;1;0;0;0;0;0;0;0;0
C;1;0;0;0;-0.3;-0.4;-0.5;-0.5;0;0;0;0
P;0;1;0;0;-0.1;-0.1;-0.2;-0.2;0;0;0;0
N;0;0;1;0;-0.1;-0.1;-0.2;-0.2;0;0;0;0
Ace;0;0;0;-1;0;0.2;0;0;0;0;0;0
ADP;0;0;0;0;-0.5;-0.4;0.1;0.1;0;0;0.1;0.1
ATP;0;0;0;0;1;0.8;-0.1;-0.1;0;0;-0.1;-0.1
AA;0;0;0;0;0;0;0;0.9;0;0;-0.2;0
Nuc;0;0;0;0;0;0;0.9;0;-1;-1;0;0
DNA;0;0;0;0;0;0;0;0;1;0;0;0
tRNA;0;0;0;0;0;0;0;0;0;1;-0.7;0.1
TC;0;0;0;0;0;0;0;0;0;0;0.9;-0.9
Protein;0;0;0;0;0;0;0;0;0;0;0;0.8
