condition;mu;density;Carbon_met;PSII;PSI;Cyt6bf;ATPase;Rubisco;TCA;AA_s;Ribosome;converged;run_time
1;0.10002003073389631;1.0;0.20025453358713502;1.1634674816768098;0.5545442438976502;0.45819900152964893;0.7035279112458765;0.5319238270908979;0.4123689528066841;0.30624070259571406;0.4443704429634756;True;9.143365859985352
2;0.10060854109506061;1.0;0.20027594144587602;1.1632253110493933;0.5548860919800342;0.45849137456094025;0.7035314188389923;0.5320017515892069;0.4124411745641806;0.3062832372056937;0.446424824622593;True;1.7767970561981201
3;0.1011348597416343;1.0;0.20029222051815287;1.1630335019729254;0.5551575265224589;0.458726465724476;0.7035470271300213;0.5320773532960718;0.4125143536245814;0.3063499423151209;0.4484847687855212;True;1.8560781478881836
4;0.1015976254765531;1.0;0.20030140185527678;1.1628508229827468;0.5554223636706033;0.45895714371692925;0.7035697929091956;0.5321450494905406;0.41258353042154333;0.30643768966186147;0.45054588598241774;True;1.6722872257232666
5;0.10199559044737753;1.0;0.20030322337377587;1.1626734911048637;0.5556865399689287;0.4591883346478833;0.7035993135149293;0.5322042599216269;0.4126482139895838;0.30654654198593934;0.4526086993816564;True;1.747899055480957
6;0.1023276278931265;1.0;0.2002976105851223;1.1625016437677222;0.5559499237632943;0.45941993682985943;0.7036356557253681;0.5322549445675073;0.41270839782022;0.3066768827738615;0.45467423576356275;True;1.8057856559753418
7;0.1025927379097834;1.0;0.20028448275290184;1.1623353121950193;0.5562125489545694;0.459651984181769;0.7036788680261712;0.5322970374962467;0.4127640496003023;0.3068290689962725;0.4567434947208017;True;1.754058837890625
8;0.10279005293605595;1.0;0.2002637709248617;1.1621747137340723;0.5564741584740297;0.4598842680079217;0.7037290150687707;0.5323304974437039;0.4128151581019016;0.3070034547768047;0.458817482254023;True;1.7685389518737793
9;0.10291884297632098;1.0;0.20023539309550614;1.1620198292409836;0.5567348630430184;0.46011688257346567;0.7037861267277273;0.5323552358773124;0.4128616663460882;0.3072003526774054;0.46089715223760347;True;1.8937249183654785
10;0.10297852050604045;1.0;0.20019926961196366;1.1618706718959968;0.5569947225440411;0.4603498782729396;0.7038502299702334;0.5323711604092725;0.4129035114460077;0.30742005528258415;0.46298343753359905;True;1.6757848262786865
11;0.10296864502084156;1.0;0.20015533234998745;1.1617274104529673;0.5572535519705615;0.46058310081837384;0.7039213630255242;0.5323781998255931;0.4129406482246492;0.3076628443730226;0.46507726201402966;True;1.6949067115783691
12;0.10288892718186186;1.0;0.2001035092723369;1.1615901255156154;0.5575113024542402;0.4608165067838536;0.7039995460444866;0.5323762593307667;0.41297300711138174;0.307928967753941;0.4671795054616819;True;1.7036550045013428
13;0.1027392325026881;1.0;0.20004372691732802;1.1614588535768697;0.5577679927173672;0.46105010677135155;0.7040847860952866;0.5323652269267378;0.41300049973098185;0.3082186413897054;0.46929100573268817;True;1.664590835571289
14;0.10251958452864562;1.0;0.19997592073776993;1.1613337182503976;0.5580235018866337;0.4612837937458999;0.7041770922517198;0.5323450016248785;0.4130230456542265;0.3085320594382267;0.4714125718037821;True;1.7178947925567627
15;0.10223016745890545;1.0;0.19990002914150984;1.1612148373352134;0.5582777148556701;0.4615174634019718;0.7042764642988804;0.5323154757603641;0.4130405555378257;0.30886938448571305;0.4735449684276122;True;1.7105798721313477
16;0.10187132815928637;1.0;0.19981598417809054;1.161102218445388;0.5585306881538274;0.4617511515228436;0.7043828804967588;0.5322765084394215;0.41305290510666426;0.30923073676245555;0.47568890021914406;True;1.6875278949737549
17;0.10144357751517327;1.0;0.19972373444929636;1.1609960107839266;0.5587822493748138;0.4619847021758394;0.7044963264077309;0.5322279884381581;0.4130599958912967;0.30961621527852756;0.4778450393231617;True;1.5993726253509521
18;0.10094759108242446;1.0;0.19962322639475477;1.1608962882085847;0.559032341292368;0.4622180527308385;0.7046167696560194;0.5321697815174647;0.4130617040343736;0.3100258772264071;0.48001399594998234;True;1.6140637397766113
19;0.10038420899000168;1.0;0.19951440675123;1.1608030845097195;0.5592809664841908;0.46245118799663076;0.7047441640382748;0.5321017368506717;0.41305788603667654;0.3104597400507683;0.48219632044516697;True;1.6248130798339844
20;0.09975443505754943;1.0;0.19939724313576906;1.1607165627475189;0.5595279127429524;0.4626839128271525;0.7048784681763509;0.5320237426477807;0.4130484336026511;0.3109177956089891;0.48439251962995516;True;1.598611831665039
21;0.09905943509845914;1.0;0.19927168747311125;1.1606367030188929;0.5597732579985496;0.46291627032093835;0.7050196108917256;0.5319356258823903;0.41303317415942287;0.31139998153193726;0.48660302005128026;True;1.613962173461914
22;0.09830053437924903;1.0;0.19913770929496533;1.1605635779438355;0.5600169237892817;0.46314817206004905;0.7051675216909736;0.5318372427443537;0.4130119601920653;0.31190620520407797;0.48882819659655075;True;1.6306819915771484
23;0.09747921422185986;1.0;0.19899529522884596;1.1604973122357938;0.5602587364174636;0.46337944883911286;0.7053221257010868;0.5317284763087953;0.4129846674020078;0.312436339544576;0.4910683646880599;True;1.5885207653045654
24;0.0965971077395011;1.0;0.1988444195336106;1.160437896321972;0.5604987359834315;0.46361010661454694;0.7054833244172535;0.5316091571440871;0.41295111452867833;0.31299020641360825;0.4933237619104447;True;1.616236925125122
25;0.09565599470526345;1.0;0.1986850796853315;1.1603854029776233;0.5607368158482338;0.46384002806680197;0.7056510182761749;0.5314791587583525;0.4129111592944005;0.313567595503848;0.49559456675703584;True;1.5900380611419678
26;0.09465779556684861;1.0;0.19851726981151369;1.1603398370094011;0.5609729746743847;0.46406918135248965;0.7058250917341647;0.5313383265433703;0.4128646262771423;0.3141682514540323;0.49788088566925803;True;1.597912073135376
27;0.09360456462651488;1.0;0.19834099328933846;1.1603012065921396;0.5612071968224521;0.46429752118261036;0.7060054208035025;0.5311865116138481;0.4128113408936091;0.31479188043753076;0.5001827590437603;True;1.6260309219360352
28;0.09249848241834874;1.0;0.19815629114904337;1.1602696080176702;0.5614392968244513;0.4645248602830601;0.7061918796455439;0.5310236453708422;0.41275120622571126;0.3154381569970214;0.5025001615411875;True;1.5882580280303955
29;0.09134184732548933;1.0;0.19796316843354228;1.1602449668266532;0.5616693813264777;0.46475125171675274;0.7063843196393287;0.5308495461658834;0.41268400390641186;0.31610670448296907;0.5048329956471407;True;1.6151931285858154
30;0.09013706648648588;1.0;0.197761686297232;1.1602273407033779;0.5618973026477012;0.46497653694326835;0.7065825937260791;0.530664161381587;0.4126096434676484;0.31679711917117037;0.5071810975475282;True;1.6476447582244873
31;0.08888664605516862;1.0;0.19755186971416205;1.1602166547432435;0.5621231481709726;0.46520075071711536;0.7067865380754392;0.5304673266493191;0.41252791317428306;0.3175089522654417;0.5095442406657422;True;1.650522232055664
32;0.08759318088108348;1.0;0.19733379476223806;1.1602129210967937;0.5623468235925714;0.46542377662603057;0.7069959862824646;0.5302589938693654;0.41243871641097235;0.31824172597246486;0.5119221292765221;True;1.6710848808288574
33;0.08625934369067033;1.0;0.19710755405967534;1.1602161316009494;0.5625682485389004;0.4656455090427533;0.7072107617130243;0.5300391412410606;0.41234197875480316;0.3189949266897355;0.514314399304402;True;1.60782790184021
34;0.08488787385297812;1.0;0.19687319289159622;1.1602261803653044;0.562787536560447;0.465866001845619;0.7074306792277563;0.5298076097826903;0.41223747649354303;0.31976800535954475;0.51672064282583;True;1.632972002029419
35;0.08348156581937806;1.0;0.1966308252875515;1.1602430396011307;0.5630046153107523;0.4660851548645643;0.7076555483425192;0.5295644035506275;0.41212515061136995;0.32056038562193256;0.5191403767887266;True;1.605989694595337
36;0.08204325733361575;1.0;0.19638055333429272;1.1602666385140712;0.5632194888946004;0.4663029306977396;0.7078851721380046;0.5293094824254556;0.41200489007079255;0.32137146133676897;0.5215730691189786;True;1.6431281566619873
37;0.08057581750790122;1.0;0.19612251707828654;1.1602969144551094;0.5634321112390496;0.46651925038325454;0.7081193456184062;0.5290428910244722;0.4118766672695185;0.3222005982562847;0.5240181217128133;True;1.7098450660705566
38;0.07908213486470875;1.0;0.19585683540256638;1.16033376814056;0.5636425123865936;0.46673409765358;0.7083578610718584;0.5287646085498083;0.4117403800551533;0.32304713841986726;0.5264749000938548;True;1.7110140323638916
39;0.07756510544180548;1.0;0.195583640179543;1.1603770984550137;0.5638507121379365;0.46694744783260794;0.7086005071231916;0.5284746374470338;0.4115959449748522;0.32391040219006345;0.5289427230936716;True;1.7399251461029053
40;0.07602762105761397;1.0;0.1953030918029916;1.1604268032066316;0.564056703387061;0.46715925430608884;0.7088470665074681;0.5281730437906714;0.4114433402313477;0.3247896882960434;0.5314208563292604;True;1.8189020156860352
41;0.07447255783053318;1.0;0.1950153466323709;1.1604827665686617;0.5642605035146366;0.46736949094552477;0.7090973209518717;0.5278598756026759;0.4112825195883433;0.32568427909549;0.5339085331262353;True;1.7197000980377197
42;0.0729027650405306;1.0;0.19472063967224063;1.1605448684002693;0.5644620577273552;0.46757807287581393;0.7093510374775926;0.5275353732367717;0.4111136354662316;0.32659343153520354;0.5364049067443948;True;1.712054967880249
