;Carbon_T;PSII;PSI;Cyt6bf;ATPsyn;C_fix;Met;Ribosome
x_C;0.00315;0.0;0.0;0.0;0.0;0.0;0.0;0.0
x_PSU;0.0;440.0;440.0;0.0;0.0;0.0;0.0;0.0
CO2;0.0;0.0;0.0;0.0;0.0;11.91;0.0;0.0
H+;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
PC;0.0;0.0;0.0;1.4175;0.0;0.0;0.0;0.0
PC-;0.0;0.0;1.617;0.0;0.0;0.0;0.0;0.0
PQ;0.0;1.258656;0.0;0.0;0.0;0.0;0.0;0.0
PQH2;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
ATP;0.0003;0.0;0.0;0.0;0.0;0.64;0.64;1.0
NADPH;0.0;0.0;0.0;0.0;0.0;0.65;0.65;0.0
C3;0.0;0.0;0.0;0.0;0.0;0.0;11.91;0.0
A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.3
Protein;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
