;Carbon_T;PSII;PSI;Cyt6bf;ATPsyn;C_fix;Met;Ribosome
x_C;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
x_PSU;0.0;0.0;0.0;0.0;0.0;0.0;0.0;85.0
CO2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
H+;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PC-;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PQ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PQH2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ATP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
NADPH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Protein;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
