;tC;tP;tN;tAce;Res;Fer;NTS;AAS;DNAp;tRNAp;mRNAp;rRNAp;tRNAc;Ribosome
x_C;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
x_P;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
x_N;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
x_Ace;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C;1.0;0.0;0.0;0.0;-0.3;-0.4;-0.5;-0.5;0.0;0.0;0.0;0.0;0.0;0.0
P;0.0;1.0;0.0;0.0;-0.1;-0.1;-0.2;-0.2;0.0;0.0;0.0;0.0;0.0;0.0
N;0.0;0.0;1.0;0.0;-0.1;-0.1;-0.2;-0.2;0.0;0.0;0.0;0.0;0.0;0.0
Ace;0.0;0.0;0.0;-1.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ADP;0.0;0.0;0.0;0.0;-0.5;-0.4;0.1;0.1;0.0;0.0;0.0;0.0;0.1;0.1
ATP;0.0;0.0;0.0;0.0;1.0;0.8;-0.1;-0.1;0.0;0.0;0.0;0.0;-0.1;-0.1
A;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.0;0.0;0.0;0.0;-0.2;0.0
NT;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.0;-1.0;-1.0;-1.0;-1.0;0.0;0.0
DNA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
tRNA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-0.7;0.1
mRNA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
rRNA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
TC;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;-0.9
Protein;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8
