condition;mu;density;rxn1;Ribosome;converged;run_time
1;2.683105890451421;1.0;1.0;0.812691003536475;True;0.19127893447875977
2;2.678685062804651;1.0;1.0;0.8130665800075141;True;0.12710285186767578
3;2.6720848549170153;1.0;1.0;0.8136254039148637;True;0.12651801109313965
4;2.6622536618443586;1.0;1.0;0.8144536215206445;True;0.12371611595153809
5;2.6476600510916923;1.0;1.0;0.8156739980623385;True;0.12937092781066895
6;2.626106625693696;1.0;1.0;0.8174569722460194;True;0.1263420581817627
7;2.5945099622481473;1.0;1.0;0.8200302767710257;True;0.12536025047302246
8;2.5486869011829674;1.0;1.0;0.8236805182168383;True;0.12489509582519531
9;2.483247930104809;1.0;1.0;0.8287362594078669;True;0.12419795989990234
10;2.391790810579159;1.0;1.0;0.8355195083608618;True;0.12470507621765137
11;2.267679211049833;1.0;1.0;0.844259333161856;True;0.12245798110961914
12;2.105672958027322;1.0;1.0;0.8549841783631226;True;0.1226351261138916
13;1.9043638500977207;1.0;1.0;0.8674409190852194;True;0.1223599910736084
14;1.6686663702096687;1.0;1.0;0.8810984388329012;True;0.12224793434143066
15;1.410861024149229;1.0;1.0;0.8952542468064272;True;0.12278604507446289
16;1.1487903299507327;1.0;1.0;0.9091963588117297;True;0.12259507179260254
17;0.901361923156085;1.0;1.0;0.9223424317465247;True;0.12336587905883789
18;0.683517880102972;1.0;1.0;0.9343073903718047;True;0.1256418228149414
19;0.5032570126104721;1.0;1.0;0.94490125765553;True;0.1612539291381836
20;0.3616680693781994;1.0;1.0;0.9540871625319899;True;0.12271618843078613
21;0.2550026598538917;1.0;1.0;0.9619293317423234;True;0.12320399284362793
22;0.1771959275049864;1.0;1.0;0.9685481314402309;True;0.12394905090332031
23;0.12179748826017886;1.0;1.0;0.9740877561174096;True;0.12745285034179688
24;0.08305073217495011;1.0;1.0;0.9786957695269815;True;0.1290140151977539
25;0.05629964147429726;1.0;1.0;0.9825115877071371;True;0.13306808471679688
