condition;mu;density;rxn1;rxn2;rxn3;rxn4;Ribosome;converged;run_time
1;1.709939586767117;1.0;0.5753866575463694;0.4246133424536306;0.0;0.6114437134883046;0.6209697109902285;True;1.1038131713867188
2;1.7090662214832102;1.0;0.5753374936909229;0.4246625063090771;0.0;0.6115138330008945;0.6211208457495154;True;0.9760730266571045
3;1.7077583811747465;1.0;0.5752641024219753;0.4247358975780246;0.0;0.6116185230572933;0.6213467697010846;True;0.9917910099029541
4;1.705801566045423;1.0;0.5751547702754283;0.4248452297245717;0.0;0.6117743729545283;0.6216837974242752;True;0.9702439308166504
5;1.7028773974984486;1.0;0.5749924427377635;0.42500755726223655;0.0;0.6120055179057832;0.6221852075729875;True;0.9662868976593018
6;1.6985157743834314;1.0;0.5747526273865184;0.4252473726134816;0.0;0.6123464585636981;0.6229282153040938;True;0.9662179946899414
7;1.6920279577201824;1.0;0.5744009362078145;0.4255990637921855;0.0;0.6128454027202326;0.624022943401704;True;1.013934850692749
8;1.6824165158933873;1.0;0.573890529909356;0.4261094700906441;0.0;0.6135669813045789;0.6256221774748965;True;1.0048530101776123
9;1.6682616100558465;1.0;0.5731609264719899;0.42683907352801015;0.0;0.6145936456870589;0.6279309448052023;True;0.986828088760376
10;1.6475929726470604;1.0;0.5721396247934691;0.4278603752065308;0.0;0.6160211983671383;0.6312091511428712;True;1.0060598850250244
11;1.6177779252999478;1.0;0.5707500614057069;0.42924993859429306;0.0;0.6179459764132449;0.6357612771681919;True;1.0721070766448975
12;1.575492017307994;1.0;0.568928134679795;0.4310718653202051;0.0;0.6204404070546103;0.6419030531652302;True;1.1077678203582764
13;1.5168868189573803;1.0;0.5666466965690986;0.4333533034309014;0.0;0.6235214683978046;0.6499017549558077;True;1.0976688861846924
14;1.4381045111708912;1.0;0.5639407546987567;0.43605924530124324;0.0;0.6271266437409261;0.6598999235245583;True;1.178595781326294
15;1.336252418550553;1.0;0.5609206341099853;0.4390793658900148;0.0;0.6311169723451613;0.671848549150183;True;1.3837218284606934
16;1.2107626092870847;1.0;0.5577625076427437;0.44223749235725635;0.0;0.63531438173305;0.6854805034177018;True;1.2999629974365234
17;1.074332276274098;1.0;0.49248360457876617;0.5075163954212338;0.6204068392866031;0.0;0.6775005579995457;True;6.411094903945923
18;0.9240679912045461;1.0;0.48840461399088675;0.5115953860091133;0.6262186075217737;0.0;0.6941674410659965;True;3.3613717555999756
19;0.7680152695899464;1.0;0.484803253019674;0.515196746980326;0.6317879537015542;0.0;0.7109664429077358;True;2.893976926803589
20;0.6164902943508656;1.0;0.48179617722227264;0.5182038227777274;0.6370627231224452;0.0;0.7273680588025573;True;2.3149502277374268
21;0.4786768616926212;1.0;0.47942325622136583;0.5205767437786342;0.642029819807162;0.0;0.7429581957741407;True;2.3521740436553955
22;0.36066462822830764;1.0;0.47766784085038516;0.5223321591496148;0.6466981810416963;0.0;0.7574638981542361;True;2.75447678565979
23;0.26480451017718915;1.0;0.47646123902959703;0.523538760970403;0.6510625359931285;0.0;0.7707163875195352;True;3.145326852798462
24;0.19030738991246263;1.0;0.47567879805284585;0.5243212019471541;0.6550662639890668;0.0;0.7825867253459003;True;2.70137095451355
25;0.13444461655753723;1.0;0.4752693940147251;0.5247306059852749;0.6587616069102398;0.0;0.7931507662067331;True;3.6951489448547363
