condition;mu;density;run_time;converged;model;solver
1;2.68311;1;0.000569;1;A;gbacpp
2;2.67869;1;0.000527;1;A;gbacpp
3;2.67208;1;0.000565;1;A;gbacpp
4;2.66225;1;0.000558;1;A;gbacpp
5;2.64766;1;0.00057;1;A;gbacpp
6;2.62611;1;0.00056;1;A;gbacpp
7;2.59451;1;0.000577;1;A;gbacpp
8;2.54869;1;0.000582;1;A;gbacpp
9;2.48325;1;0.000592;1;A;gbacpp
10;2.39179;1;0.000619;1;A;gbacpp
11;2.26768;1;0.000597;1;A;gbacpp
12;2.10567;1;0.000593;1;A;gbacpp
13;1.90436;1;0.000591;1;A;gbacpp
14;1.66867;1;6e-04;1;A;gbacpp
15;1.41086;1;6e-04;1;A;gbacpp
16;1.14879;1;0.000598;1;A;gbacpp
17;0.901362;1;0.000599;1;A;gbacpp
18;0.683518;1;0.000599;1;A;gbacpp
19;0.503257;1;0.000601;1;A;gbacpp
20;0.361668;1;0.000635;1;A;gbacpp
21;0.255003;1;0.000625;1;A;gbacpp
22;0.177196;1;0.000619;1;A;gbacpp
23;0.121797;1;0.000632;1;A;gbacpp
24;0.0830507;1;0.000648;1;A;gbacpp
25;0.0562996;1;0.000668;1;A;gbacpp
1;3.4806;1;0.00336;1;B;gbacpp
2;3.4738;1;0.003368;1;B;gbacpp
3;3.4637;1;0.003279;1;B;gbacpp
4;3.44876;1;0.003241;1;B;gbacpp
5;3.4268;1;0.003525;1;B;gbacpp
6;3.39478;1;0.003208;1;B;gbacpp
7;3.34866;1;0.003045;1;B;gbacpp
8;3.28322;1;0.003073;1;B;gbacpp
9;3.19218;1;0.003098;1;B;gbacpp
10;3.06859;1;0.002708;1;B;gbacpp
11;2.90579;1;0.00253;1;B;gbacpp
12;2.69903;1;0.002456;1;B;gbacpp
13;2.44764;1;0.002246;1;B;gbacpp
14;2.15727;1;0.002115;1;B;gbacpp
15;1.84087;1;0.001213;1;B;gbacpp
16;1.51739;1;0.001191;1;B;gbacpp
17;1.20778;1;0.001181;1;B;gbacpp
18;0.92995;1;0.001162;1;B;gbacpp
19;0.695034;1;0.000947;1;B;gbacpp
20;0.506455;1;0.000969;1;B;gbacpp
21;0.36148;1;0.001044;1;B;gbacpp
22;0.25382;1;0.001021;1;B;gbacpp
23;0.17599;1;0.001172;1;B;gbacpp
24;0.120864;1;0.001161;1;B;gbacpp
25;0.0824103;1;0.001178;1;B;gbacpp
1;2.18911;1;0.01825;1;C;gbacpp
2;2.16911;1;0.018451;1;C;gbacpp
3;2.13993;1;0.017598;1;C;gbacpp
4;2.09788;1;0.015319;1;C;gbacpp
5;2.03834;1;0.015224;1;C;gbacpp
6;1.95606;1;0.015045;1;C;gbacpp
7;1.84597;1;0.011727;1;C;gbacpp
8;1.70466;1;0.012087;1;C;gbacpp
9;1.53235;1;0.011717;1;C;gbacpp
10;1.33452;1;0.011631;1;C;gbacpp
11;1.12216;1;0.011764;1;C;gbacpp
12;0.909836;1;0.00886;1;C;gbacpp
13;0.711979;1;0.009046;1;C;gbacpp
14;0.539367;1;0.00625;1;C;gbacpp
15;0.397297;1;0.010318;1;C;gbacpp
16;0.285948;1;0.007323;1;C;gbacpp
17;0.202051;1;0.004785;1;C;gbacpp
18;0.140748;1;0.008461;1;C;gbacpp
19;0.0969899;1;0.003349;1;C;gbacpp
20;0.0662953;1;0.00369;1;C;gbacpp
21;0.0450409;1;0.004248;1;C;gbacpp
22;0.0304629;1;0.004251;1;C;gbacpp
23;0.020534;1;0.001492;1;C;gbacpp
24;0.0138063;1;0.001605;1;C;gbacpp
25;0.00926509;1;0.001688;1;C;gbacpp
1;2.25531;1;0.05187;1;D;gbacpp
2;2.25448;1;0.052818;1;D;gbacpp
3;2.25323;1;0.052191;1;D;gbacpp
4;2.25136;1;0.050073;1;D;gbacpp
5;2.24856;1;0.049628;1;D;gbacpp
6;2.24439;1;0.050696;1;D;gbacpp
7;2.23817;1;0.04596;1;D;gbacpp
8;2.22893;1;0.045847;1;D;gbacpp
9;2.21527;1;0.04982;1;D;gbacpp
10;2.19522;1;0.049422;1;D;gbacpp
11;2.16605;1;0.050748;1;D;gbacpp
12;2.12421;1;0.050542;1;D;gbacpp
13;2.06529;1;0.052185;1;D;gbacpp
14;1.98435;1;0.054358;1;D;gbacpp
15;1.87663;1;0.062006;1;D;gbacpp
16;1.73948;1;0.045359;1;D;gbacpp
17;1.58389;1;0.044526;1;D;gbacpp
18;1.40247;1;0.045073;1;D;gbacpp
19;1.20314;1;0.04251;1;D;gbacpp
20;0.997695;1;0.04319;1;D;gbacpp
21;0.799403;1;0.043757;1;D;gbacpp
22;0.619854;1;0.044396;1;D;gbacpp
23;0.466581;1;0.045674;1;D;gbacpp
24;0.342339;1;0.04677;1;D;gbacpp
25;0.224315;1;0.00183;1;D;gbacpp
1;0.854057;1;0.227836;1;EC12b;gbacpp
2;0.85308;1;0.28642;1;EC12b;gbacpp
3;0.851912;1;0.229686;1;EC12b;gbacpp
4;0.850516;1;0.281295;1;EC12b;gbacpp
5;0.848848;1;0.280471;1;EC12b;gbacpp
6;0.846859;1;0.221359;1;EC12b;gbacpp
7;0.844488;1;0.221255;1;EC12b;gbacpp
8;0.841666;1;0.227717;1;EC12b;gbacpp
9;0.838312;1;0.234787;1;EC12b;gbacpp
10;0.834333;1;0.290492;1;EC12b;gbacpp
11;0.829623;1;0.296482;1;EC12b;gbacpp
12;0.824062;1;0.250986;1;EC12b;gbacpp
13;0.817514;1;0.241234;1;EC12b;gbacpp
14;0.809833;1;0.254454;1;EC12b;gbacpp
15;0.800855;1;0.314571;1;EC12b;gbacpp
16;0.790411;1;0.310509;1;EC12b;gbacpp
17;0.778324;1;0.240195;1;EC12b;gbacpp
18;0.764418;1;0.248498;1;EC12b;gbacpp
19;0.748525;1;0.250231;1;EC12b;gbacpp
20;0.730496;1;0.255098;1;EC12b;gbacpp
21;0.710211;1;0.272267;1;EC12b;gbacpp
22;0.687596;1;0.324448;1;EC12b;gbacpp
23;0.662629;1;0.404421;1;EC12b;gbacpp
24;0.635359;1;0.659624;1;EC12b;gbacpp
25;0.60603;1;0.317926;1;EC12b;gbacpp
26;0.577071;1;0.318679;1;EC12b;gbacpp
27;0.546295;1;0.213626;1;EC12b;gbacpp
28;0.513989;1;0.202188;1;EC12b;gbacpp
29;0.4805;1;0.256492;1;EC12b;gbacpp
30;0.446232;1;0.197894;1;EC12b;gbacpp
1;0.0931932;1;20.41;1;newextended16;gbacpp
2;0.0942047;1;20.55;1;newextended16;gbacpp
3;0.0951726;1;21.06;1;newextended16;gbacpp
4;0.0960948;1;21.02;1;newextended16;gbacpp
5;0.0969691;1;22.12;1;newextended16;gbacpp
6;0.0977934;1;21.53;1;newextended16;gbacpp
7;0.0985657;1;22.1;1;newextended16;gbacpp
8;0.0992842;1;21.97;1;newextended16;gbacpp
9;0.0999469;1;22.78;1;newextended16;gbacpp
10;0.100552;1;22.59;1;newextended16;gbacpp
11;0.101098;1;23.39;1;newextended16;gbacpp
12;0.101584;1;23.18;1;newextended16;gbacpp
13;0.102008;1;23.34;1;newextended16;gbacpp
14;0.102368;1;23.85;1;newextended16;gbacpp
15;0.102665;1;24;1;newextended16;gbacpp
16;0.102896;1;26.94;1;newextended16;gbacpp
17;0.103061;1;24.77;1;newextended16;gbacpp
18;0.10316;1;25.32;1;newextended16;gbacpp
19;0.103192;1;25.68;1;newextended16;gbacpp
20;0.103156;1;26.27;1;newextended16;gbacpp
21;0.103053;1;26.29;1;newextended16;gbacpp
22;0.102882;1;27.6;1;newextended16;gbacpp
23;0.102645;1;27.92;1;newextended16;gbacpp
24;0.10234;1;28.28;1;newextended16;gbacpp
25;0.10197;1;28.89;1;newextended16;gbacpp
26;0.101534;1;29.19;1;newextended16;gbacpp
27;0.101033;1;29.55;1;newextended16;gbacpp
28;0.100469;1;30.11;1;newextended16;gbacpp
29;0.099843;1;30.69;1;newextended16;gbacpp
30;0.099156;1;30.99;1;newextended16;gbacpp
31;0.0984099;1;31.67;1;newextended16;gbacpp
32;0.0976062;1;35.5;1;newextended16;gbacpp
33;0.0967467;1;33.53;1;newextended16;gbacpp
34;0.0958334;1;34.22;1;newextended16;gbacpp
35;0.0948683;1;35.81;1;newextended16;gbacpp
36;0.0938536;1;35.32;1;newextended16;gbacpp
37;0.0927916;1;36.14;1;newextended16;gbacpp
38;0.0916846;1;37.01;1;newextended16;gbacpp
39;0.0905349;1;37.64;1;newextended16;gbacpp
40;0.0893451;1;37.42;1;newextended16;gbacpp
41;0.0881176;1;37.61;1;newextended16;gbacpp
42;0.0868551;1;38.17;1;newextended16;gbacpp
43;0.0855601;1;38.96;1;newextended16;gbacpp
44;0.0842353;1;40.3;1;newextended16;gbacpp
45;0.0828833;1;41.66;1;newextended16;gbacpp
46;0.0815066;1;41.84;1;newextended16;gbacpp
47;0.0801078;1;42.64;1;newextended16;gbacpp
48;0.0786896;1;44.64;1;newextended16;gbacpp
49;0.0772545;1;45.6;1;newextended16;gbacpp
50;0.075805;1;46.67;1;newextended16;gbacpp
51;0.0743435;1;47.8;1;newextended16;gbacpp
52;0.0728724;1;48.68;1;newextended16;gbacpp
