Locus;Reaction;EssTn5;EssFBA
0381*;AHCi;NE;NE
0163;ALATRS;E;E
0535;ARGTRS;E;E
0076;ASNTRS;E;E
0287;ASPTRS;E;E
0837;CYSTRS;E;E
0687;GLNTRAT;E;E
0688;GLNTRAT;E;E
0689;GLNTRAT;E;E
0126;GLUTRS_Gln;E;E
0405;GLYTRS;E;E
0288;HISTRS;E;E
0519;ILETRS;E;E
0634;LEUTRS;E;E
0064;LYSTRS;E;E
0432*;MAT;E;NE
0012;METTRS;E;E
0528;PHETRS;E;E
0529;PHETRS;E;E
0282;PROTRS;E;E
0133;Peptidase 1;NE;NE
0305;Peptidase 2;QE;NE
0444;Peptidase 3;QE;NE
0479;Peptidase 4;QE;NE
0061;SERTRS;E;E
0222;THRTRS;E;E
0308;TRPTRS;E;E
0613;TYRTRS;E;E
0260;VALTRS;E;E
0230;ACKr;E;NE
0493;AGDC;QE;NE
0495;AMANK;NE;NE
0494;AMANPEr;NE;NE
0732;DRPA;NE;NE
0213;ENO;E;E
0131;FBA;E;E
0726;G6PDA;NE;NE
0607;GAPD;E;E
0451;GAPDP;E;NE
0475;LDH_L;E;NE
0435;MAN6PI;NE;NE
0227;PDH_E2/_acald;NE;NE
0228;PDH_E3;NE;NE
0220;PFK;E;E
0445;PGI;E;E
0606;PGK;E;E
0729;PGM;E;E
0831;PRPPS;E;E
0229;PTAr;E;NE
0221;PYK;E;E
0262;RPE;QE;E
0800;RPI;QE;E
0316;TKT;QE;E
0727;TPI;E;E
0823;5FTHFPGS;QE;E
0390;FMETTRS;QE;E
0291;FMNAT;E;E
0443;FTHFCL;E;E
0799;GHMT;QE;E
0684;MTHFC;QE;E
0259;NADK;E;E
0378;NADS;E;E
0614;NCTPPRT;E;E
0380;NNATr;E;E
0621;ACP;E;E
0419;ACPPAT;E;E
0513;ACPS;E;E
0512;AGPAT;E;E
0117;APG3PAT;E;E
0139;BPNT;QE;E
0147;CLPNS;E;E
0697;DAGGALT;QE;NE
0114;DAGPST/DAGGALT;E;E
0304;DASYN;E;E
0420;FAKr;E;E
0616;FAKr;E;E
0617;FAKr;QE;E
0115;GALU;E;E
0218;GLYK;E;E
0733;PGMT/PPM;E;E
0214;PGPP;QE;E
0875;PGSA;E;E
0113;PSSYN;E;E
0813;UDPG4E;E;E
0814;UDPGALM;E;E
0394;Lon;QE;E
0650;Met peptidase;E;E
0798;UPPRT;E;E
0330;dAdn kinase 1;NE;NE
0382;dAdn kinase 2;NE;NE
0822;5FTHFabc;QE;E
0876;AA permease 1;NE;NE
0878;AA permease 2;QE;NE
0789;ATPase;E†;E
0790;ATPase;E;E
0791;ATPase;E;E
0792;ATPase;E;E
0793;ATPase;E;E
0794;ATPase;E;E
0795;ATPase;E;E
0796;ATPase;E;E
0879;CA2abc;E;E
0836;COAabc;E;E
0642;EcfA;E;E
0643;EcfA;E;E
0641;EcfT;E;E
0233;GLCpts;E;E
0234;GLCpts;E;E
0694;GLCpts;E;E
0779;GLCpts;E;E
0886;GltP;QE;NE
0685;Kt6;E;E
0686;Kt6;E;E
0401;LIPTA;NE;NE
0787;MG2abc;E;E
0314;NACabc;E;E
0165;Opp;QE;NE
0166;Opp;QE;NE
0167;Opp;QE;NE
0168;Opp;QE;NE
0169;Opp;QE;NE
0345;P5Pabc;E;E
0425;PIabc;E;E
0426;PIabc;E;E
0427;PIabc;E;E
0877;RIBFLVabc;E;E
0008;RNS;E;E
0009;RNS;E;E
0010;RNS;E;E
0011;RNS;E;E
0195;SPRMabc;QE;E
0196;SPRMabc;QE;E
0197;SPRMabc;QE;E
0706;THMPPabc;QE;E
0707;THMPPabc;QE;E
0708;THMPPabc;QE;E
0651;(D)ADK;E;E
0413;ADPT;E;E
0129;CTPS;E;E
0347;CYTK;QE;E
0515;DCMPDA;QE;NE
0447;DUTPDP;E;E
0203;GK;E;E
0216;GUAPRT;QE;E
0747;PNP;QE;NE
0344;PPA;E;E
0771;RNDR;QE;E
0772;RNDR;E;E
0773;RNDR;QE;E
0140;TMDK1/DURIK1;E;E
0045;TMPK;E;E
0065;TRDR;E;E
0819;TRDR;E;E
0537;UMPK;E;E
0201;Pept. deformylase;E;E
