p_id;copy_per_cell
protein_0001;147.8093574
protein_0002;213.0958008
protein_0003;65.3179291
protein_0004;40.41604054
protein_0005;72.17121881
protein_0006;243.6391826
protein_0007;298.2986156
protein_0008;4.80071602
protein_0009;175.3491799
protein_0010;145.137619
protein_0011;80.8452633
protein_0012;247.6515816
protein_0025;208.7019915
protein_0026;106.8555596
protein_0029;281.4484874
protein_0030;376.6668084
protein_0033;60.52875438
protein_0034;8.800114681
protein_0039;147.7850447
protein_0040;39.20953498
protein_0042;120.5500575
protein_0043;22.13349119
protein_0044;31.89870139
protein_0045;92.22688139
protein_0046;33.4985372
protein_0047;113.2804652
protein_0054;156.667207
protein_0060;9.75642721
protein_0061;245.8314311
protein_0063;70.68491408
protein_0064;213.5249701
protein_0065;425.9407773
protein_0066;370.8174431
protein_0076;735.9725645
protein_0079;37.6187926
protein_0080;25.920313
protein_0081;151.6812332
protein_0082;190.2587308
protein_0095;573.1865185
protein_0097;70.57477881
protein_0105;6.88273197
protein_0106;14.65691686
protein_0107;17.67854055
protein_0108;68.85891189
protein_0109;22.29091103
protein_0113;79.49178479
protein_0114;43.28320918
protein_0115;335.9627801
protein_0116;62.0292707
protein_0117;1.227286377
protein_0126;137.6191822
protein_0127;51.57300279
protein_0128;21.5582603
protein_0129;306.1231988
protein_0131;227.1558935
protein_0132;92.93070574
protein_0133;87.67612026
protein_0137;44.47586099
protein_0138;108.333131
protein_0139;186.9045951
protein_0140;202.0724203
protein_0141;329.8342541
protein_0142;17.13028801
protein_0143;39.53863375
protein_0144;55.12499606
protein_0145;164.5115062
protein_0146;28.41080907
protein_0147;15.15257345
protein_0148;121.7504082
protein_0149;498.0548558
protein_0150;672.444429
protein_0151;541.8981829
protein_0163;430.6295633
protein_0164;9.192787415
protein_0165;59.15033926
protein_0166;64.17060662
protein_0167;241.6293606
protein_0168;240.5767996
protein_0169;314.0769185
protein_0195;182.445787
protein_0196;19.1064958
protein_0197;207.5824786
protein_0198;324.5984423
protein_0200;154.287084
protein_0201;156.126941
protein_0202;124.5662383
protein_0203;185.5344697
protein_0213;998.1102717
protein_0215;48.81095079
protein_0216;438.7276707
protein_0218;396.0868028
protein_0220;458.4523059
protein_0221;550.7175959
protein_0222;302.5806218
protein_0227;182.0138853
protein_0228;182.2074216
protein_0229;300.5014554
protein_0233;353.3086428
protein_0234;313.8664444
protein_0238;171.9243054
protein_0239;54.83826442
protein_0240;95.66121113
protein_0247;63.16252108
protein_0248;13.7224248
protein_0249;52.92303735
protein_0250;262.4270469
protein_0253;395.8666112
protein_0254;58.05928043
