Reaction Name;Subsystem;Parameter Type;Related Species;Value;Units;;;
ALATRS_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
ALATRS_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
ALATRS_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
ALATRS;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
ARGTRS_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
ARGTRS_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
ARGTRS_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
ARGTRS;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
ASNTRS_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
ASNTRS_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
ASNTRS_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
ASNTRS;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
ASPTRS_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
ASPTRS_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
ASPTRS_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
ASPTRS;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
CYSTRS_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
CYSTRS_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
CYSTRS_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
CYSTRS;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
GLNTRAT_ENZ;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
GLNTRAT_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
GLNTRAT_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
GLNTRAT;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
GLNTRAT2_ENZ;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
GLNTRAT2_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
GLNTRAT2_AA;Amino Acid;Catalytic Rate Constant;;0,001;1/(molecules*s);;;
GLNTRAT2;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
GLUTRS_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
GLUTRS_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
GLUTRS_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
GLUTRS;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
GLUTRS_Gln_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
GLUTRS_Gln;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
GLYTRS_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
GLYTRS_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
GLYTRS_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
GLYTRS;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
HISTRS_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
HISTRS_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
HISTRS_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
HISTRS;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
ILETRS_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
ILETRS_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
ILETRS_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
ILETRS;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
LEUTRS_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
LEUTRS_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
LEUTRS_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
LEUTRS;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
LYSTRS_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
LYSTRS_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
LYSTRS_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
LYSTRS;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
METTRS_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
METTRS_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
METTRS_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
METTRS;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
PHETRS_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
PHETRS_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
PHETRS_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
PHETRS;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
PROTRS_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
PROTRS_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
PROTRS_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
PROTRS;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
SERTRS_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
SERTRS_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
SERTRS_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
SERTRS;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
THRTRS_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
THRTRS_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
THRTRS_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
THRTRS;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
TRPTRS_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
TRPTRS_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
TRPTRS_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
TRPTRS;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
TYRTRS_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
TYRTRS_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
TYRTRS_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
TYRTRS;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
VALTRS_atp;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
VALTRS_AA;Amino Acid;Catalytic Rate Constant;;0,01;1/(molecules*s);;;
VALTRS_tRNA;Amino Acid;Catalytic Rate Constant;;0,1;1/(molecules*s);;;
VALTRS;Amino Acid;Catalytic Rate Constant;;30;1/s;;;
