Reaction Name;Subsystem;Parameter Type;Related Species;Value;Units
NCTPPRT;Cofactor metabolism;Eff Enzyme Count;;165;#
NCTPPRT;Cofactor metabolism;Substrate Catalytic Rate Constant;;0.0433;1/s
NCTPPRT;Cofactor metabolism;Product Catalytic Rate Constant;;0;1/s
NCTPPRT;Cofactor metabolism;Michaelis Menten Constant;M_nac_c;0.00806;mM
NCTPPRT;Cofactor metabolism;Michaelis Menten Constant;M_prpp_c;0.0038;mM
NCTPPRT;Cofactor metabolism;Michaelis Menten Constant;M_nicrnt_c;0.0346;mM
NCTPPRT;Cofactor metabolism;Michaelis Menten Constant;M_ppi_c;0.18;mM
NNATr;Cofactor metabolism;Eff Enzyme Count;;65;#
NNATr;Cofactor metabolism;Substrate Catalytic Rate Constant;;3.6682;1/s
NNATr;Cofactor metabolism;Product Catalytic Rate Constant;;0.0022;1/s
NNATr;Cofactor metabolism;Michaelis Menten Constant;M_atp_c;0.1837;mM
NNATr;Cofactor metabolism;Michaelis Menten Constant;M_nicrnt_c;0.0554;mM
NNATr;Cofactor metabolism;Michaelis Menten Constant;M_dnad_c;0.1804;mM
NNATr;Cofactor metabolism;Michaelis Menten Constant;M_ppi_c;1.0287;mM
NADS;Cofactor metabolism;Eff Enzyme Count;;251;#
NADS;Cofactor metabolism;Substrate Catalytic Rate Constant;;0.0454;1/s
NADS;Cofactor metabolism;Product Catalytic Rate Constant;;0.0104;1/s
NADS;Cofactor metabolism;Michaelis Menten Constant;M_atp_c;0.0278;mM
NADS;Cofactor metabolism;Michaelis Menten Constant;M_dnad_c;0.0465;mM
NADS;Cofactor metabolism;Michaelis Menten Constant;M_nh3_c;0.0871;mM
NADS;Cofactor metabolism;Michaelis Menten Constant;M_amp_c;0.2152;mM
NADS;Cofactor metabolism;Michaelis Menten Constant;M_nad_c;0.2152;mM
NADS;Cofactor metabolism;Michaelis Menten Constant;M_ppi_c;0.2152;mM
NADK;Cofactor metabolism;Eff Enzyme Count;;10;#
NADK;Cofactor metabolism;Substrate Catalytic Rate Constant;;1.36;1/s
NADK;Cofactor metabolism;Product Catalytic Rate Constant;;104.4259;1/s
NADK;Cofactor metabolism;Michaelis Menten Constant;M_atp_c;0.4312;mM
NADK;Cofactor metabolism;Michaelis Menten Constant;M_nad_c;2;mM
NADK;Cofactor metabolism;Michaelis Menten Constant;M_adp_c;4.5824;mM
NADK;Cofactor metabolism;Michaelis Menten Constant;M_nadp_c;0.18;mM
NADHK;Cofactor metabolism;Eff Enzyme Count;;10;#
NADHK;Cofactor metabolism;Substrate Catalytic Rate Constant;;31,3405;1/s
NADHK;Cofactor metabolism;Product Catalytic Rate Constant;;104,2685;1/s
NADHK;Cofactor metabolism;Michaelis Menten Constant;M_nadh_c;2;mM
NADHK;Cofactor metabolism;Michaelis Menten Constant;M_atp_c;0,4054;mM
NADHK;Cofactor metabolism;Michaelis Menten Constant;M_nadph_c;0,3;mM
NADHK;Cofactor metabolism;Michaelis Menten Constant;M_adp_c;4,624;mM
RBFK;Cofactor metabolism;Eff Enzyme Count;;68;#
RBFK;Cofactor metabolism;Substrate Catalytic Rate Constant;;1.2796;1/s
RBFK;Cofactor metabolism;Product Catalytic Rate Constant;;0.4249;1/s
RBFK;Cofactor metabolism;Michaelis Menten Constant;M_atp_c;0.1681;mM
RBFK;Cofactor metabolism;Michaelis Menten Constant;M_ribflv_c;0.0094;mM
RBFK;Cofactor metabolism;Michaelis Menten Constant;M_adp_c;0.1385;mM
RBFK;Cofactor metabolism;Michaelis Menten Constant;M_fmn_c;0.1385;mM
FMNAT;Cofactor metabolism;Eff Enzyme Count;;68;#
