Reaction Name;Subsystem;Parameter Type;Related Species;Value;Units
GLYK;Lipid metabolism;Eff Enzyme Count;;396;#
GLYK;Lipid metabolism;Substrate Catalytic Rate Constant;;3280.3273;1/s
GLYK;Lipid metabolism;Product Catalytic Rate Constant;;93.0643;1/s
GLYK;Lipid metabolism;Michaelis Menten Constant;M_atp_c;0.3337;mM
GLYK;Lipid metabolism;Michaelis Menten Constant;M_glyc_c;0.1345;mM
GLYK;Lipid metabolism;Michaelis Menten Constant;M_adp_c;0.1719;mM
GLYK;Lipid metabolism;Michaelis Menten Constant;M_glyc3p_c;3.9462;mM
ACPS;Lipid metabolism;Eff Enzyme Count;;50;#
ACPS;Lipid metabolism;Substrate Catalytic Rate Constant;;0.7524;1/s
ACPS;Lipid metabolism;Product Catalytic Rate Constant;;0.0482;1/s
ACPS;Lipid metabolism;Michaelis Menten Constant;M_apoACP_c;0.0041;mM
ACPS;Lipid metabolism;Michaelis Menten Constant;M_coa_c;0.0161;mM
ACPS;Lipid metabolism;Michaelis Menten Constant;M_ACP_c;0.6226;mM
ACPS;Lipid metabolism;Michaelis Menten Constant;M_pap_c;0.6226;mM
BPNT;Lipid metabolism;Eff Enzyme Count;;187;#
BPNT;Lipid metabolism;Substrate Catalytic Rate Constant;;7.1703;1/s
BPNT;Lipid metabolism;Product Catalytic Rate Constant;;0.3301;1/s
BPNT;Lipid metabolism;Michaelis Menten Constant;M_pap_c;0.025;mM
BPNT;Lipid metabolism;Michaelis Menten Constant;M_amp_c;0.2965;mM
BPNT;Lipid metabolism;Michaelis Menten Constant;M_pi_c;0.2965;mM
FAKr;Lipid metabolism;Eff Enzyme Count;;205;#
FAKr;Lipid metabolism;Substrate Catalytic Rate Constant;;74.8817;1/s
FAKr;Lipid metabolism;Product Catalytic Rate Constant;;228.2947;1/s
FAKr;Lipid metabolism;Michaelis Menten Constant;M_atp_c;1.4528;mM
FAKr;Lipid metabolism;Michaelis Menten Constant;M_fa_c;0.3014;mM
FAKr;Lipid metabolism;Michaelis Menten Constant;M_adp_c;0.0332;mM
FAKr;Lipid metabolism;Michaelis Menten Constant;M_ap_c;0.0332;mM
ACPPAT;Lipid metabolism;Eff Enzyme Count;;140;#
ACPPAT;Lipid metabolism;Substrate Catalytic Rate Constant;;20,7;1/s
ACPPAT;Lipid metabolism;Product Catalytic Rate Constant;;0.0494;1/s
ACPPAT;Lipid metabolism;Michaelis Menten Constant;M_ACP_c;0.0179;mM
ACPPAT;Lipid metabolism;Michaelis Menten Constant;M_ap_c;0,0179;mM
ACPPAT;Lipid metabolism;Michaelis Menten Constant;M_ACP_R_c;0.5602;mM
ACPPAT;Lipid metabolism;Michaelis Menten Constant;M_pi_c;0.5602;mM
APG3PAT;Lipid metabolism;Eff Enzyme Count;;100;#
APG3PAT;Lipid metabolism;Substrate Catalytic Rate Constant;;8.4989;1/s
APG3PAT;Lipid metabolism;Product Catalytic Rate Constant;;0.0658;1/s
APG3PAT;Lipid metabolism;Michaelis Menten Constant;M_ap_c;0.0206;mM
APG3PAT;Lipid metabolism;Michaelis Menten Constant;M_glyc3p_c;0.0206;mM
APG3PAT;Lipid metabolism;Michaelis Menten Constant;M_1ag3p_c;0.4856;mM
APG3PAT;Lipid metabolism;Michaelis Menten Constant;M_pi_c;0.4856;mM
AGPAT;Lipid metabolism;Eff Enzyme Count;;170;#
AGPAT;Lipid metabolism;Substrate Catalytic Rate Constant;;144,4;1/s
AGPAT;Lipid metabolism;Product Catalytic Rate Constant;;0;1/s
AGPAT;Lipid metabolism;Michaelis Menten Constant;M_1ag3p_c;0.0064;mM
AGPAT;Lipid metabolism;Michaelis Menten Constant;M_ACP_R_c;0.0247;mM
AGPAT;Lipid metabolism;Michaelis Menten Constant;M_ACP_c;0.4044;mM
AGPAT;Lipid metabolism;Michaelis Menten Constant;M_pa_c;0.4044;mM
DASYN;Lipid metabolism;Eff Enzyme Count;;40;#
DASYN;Lipid metabolism;Substrate Catalytic Rate Constant;;6.4829;1/s
DASYN;Lipid metabolism;Product Catalytic Rate Constant;;3.3541;1/s
DASYN;Lipid metabolism;Michaelis Menten Constant;M_ctp_c;0.164;mM
DASYN;Lipid metabolism;Michaelis Menten Constant;M_pa_c;0.0758;mM
DASYN;Lipid metabolism;Michaelis Menten Constant;M_cdpdag_c;0.1446;mM
DASYN;Lipid metabolism;Michaelis Menten Constant;M_ppi_c;0.1446;mM
PGSA;Lipid metabolism;Eff Enzyme Count;;36;#
PGSA;Lipid metabolism;Substrate Catalytic Rate Constant;;4.0472;1/s
PGSA;Lipid metabolism;Product Catalytic Rate Constant;;0;1/s
PGSA;Lipid metabolism;Michaelis Menten Constant;M_cdpdag_c;0.0324;mM
PGSA;Lipid metabolism;Michaelis Menten Constant;M_glyc3p_c;0.0509;mM
PGSA;Lipid metabolism;Michaelis Menten Constant;M_cmp_c;0.0416;mM
PGSA;Lipid metabolism;Michaelis Menten Constant;M_pg3p_c;0.0536;mM
PGPP;Lipid metabolism;Eff Enzyme Count;;10;#
PGPP;Lipid metabolism;Substrate Catalytic Rate Constant;;26.212;1/s
PGPP;Lipid metabolism;Product Catalytic Rate Constant;;0;1/s
PGPP;Lipid metabolism;Michaelis Menten Constant;M_pg3p_c;0.0011;mM
PGPP;Lipid metabolism;Michaelis Menten Constant;M_pg_c;46.068;mM
PGPP;Lipid metabolism;Michaelis Menten Constant;M_pi_c;46.068;mM
CLPNS;Lipid metabolism;Eff Enzyme Count;;15;#
CLPNS;Lipid metabolism;Substrate Catalytic Rate Constant;;120.0193;1/s
CLPNS;Lipid metabolism;Product Catalytic Rate Constant;;0.0005;1/s
CLPNS;Lipid metabolism;Michaelis Menten Constant;M_pg_c;2.9902;mM
CLPNS;Lipid metabolism;Michaelis Menten Constant;M_pg_c;2.9902;mM
CLPNS;Lipid metabolism;Michaelis Menten Constant;M_clpn_c;1.8783;mM
CLPNS;Lipid metabolism;Michaelis Menten Constant;M_glyc_c;1.8783;mM
PAPA;Lipid metabolism;Eff Enzyme Count;;10;#
PAPA;Lipid metabolism;Substrate Catalytic Rate Constant;;44.3467;1/s
PAPA;Lipid metabolism;Product Catalytic Rate Constant;;0.1399;1/s
PAPA;Lipid metabolism;Michaelis Menten Constant;M_pa_c;0.052;mM
PAPA;Lipid metabolism;Michaelis Menten Constant;M_12dgr_c;0.3459;mM
PAPA;Lipid metabolism;Michaelis Menten Constant;M_pi_c;0.3459;mM
PGMT;Lipid metabolism;Eff Enzyme Count;;274;#
PGMT;Lipid metabolism;Substrate Catalytic Rate Constant;;0.668;1/s
PGMT;Lipid metabolism;Product Catalytic Rate Constant;;4.5294;1/s
PGMT;Lipid metabolism;Michaelis Menten Constant;M_g6p_c;2.8402;mM
PGMT;Lipid metabolism;Michaelis Menten Constant;M_g1p_c;6.6039;mM
GALU;Lipid metabolism;Eff Enzyme Count;;336;#
GALU;Lipid metabolism;Substrate Catalytic Rate Constant;;36.5547;1/s
GALU;Lipid metabolism;Product Catalytic Rate Constant;;5.8538;1/s
GALU;Lipid metabolism;Michaelis Menten Constant;M_g1p_c;0.1659;mM
GALU;Lipid metabolism;Michaelis Menten Constant;M_utp_c;0.0903;mM
GALU;Lipid metabolism;Michaelis Menten Constant;M_ppi_c;0.0377;mM
GALU;Lipid metabolism;Michaelis Menten Constant;M_udpg_c;0.0459;mM
UDPG4E;Lipid metabolism;Eff Enzyme Count;;86;#
UDPG4E;Lipid metabolism;Substrate Catalytic Rate Constant;;449.458;1/s
UDPG4E;Lipid metabolism;Product Catalytic Rate Constant;;243.4781;1/s
UDPG4E;Lipid metabolism;Michaelis Menten Constant;M_udpg_c;29.0953;mM
UDPG4E;Lipid metabolism;Michaelis Menten Constant;M_udpgal_c;0.1181;mM
UDPGALM;Lipid metabolism;Eff Enzyme Count;;78;#
UDPGALM;Lipid metabolism;Substrate Catalytic Rate Constant;;27;1/s
UDPGALM;Lipid metabolism;Product Catalytic Rate Constant;;1,5;1/s
UDPGALM;Lipid metabolism;Michaelis Menten Constant;M_udpgal_c;0.3042;mM
UDPGALM;Lipid metabolism;Michaelis Menten Constant;M_udpgalfur_c;0,45;mM
DAGGALT;Lipid metabolism;Eff Enzyme Count;;162;#
DAGGALT;Lipid metabolism;Substrate Catalytic Rate Constant;;0.4457;1/s
DAGGALT;Lipid metabolism;Product Catalytic Rate Constant;;0;1/s
DAGGALT;Lipid metabolism;Michaelis Menten Constant;M_12dgr_c;0.5305;mM
DAGGALT;Lipid metabolism;Michaelis Menten Constant;M_udpgalfur_c;0.0589;mM
DAGGALT;Lipid metabolism;Michaelis Menten Constant;M_galfur12dgr_c;0.1699;mM
DAGGALT;Lipid metabolism;Michaelis Menten Constant;M_udp_c;0.1699;mM
