Reaction Name;Subsystem;Parameter Type;Related Species;Value;Units
ADPT;Nucleotide metabolism;Eff Enzyme Count;;363;#
ADPT;Nucleotide metabolism;Substrate Catalytic Rate Constant;;6.5832;1/s
ADPT;Nucleotide metabolism;Product Catalytic Rate Constant;;0.895;1/s
ADPT;Nucleotide metabolism;Michaelis Menten Constant;M_ade_c;0.0044;mM
ADPT;Nucleotide metabolism;Michaelis Menten Constant;M_prpp_c;0.0085;mM
ADPT;Nucleotide metabolism;Michaelis Menten Constant;M_amp_c;0.0319;mM
ADPT;Nucleotide metabolism;Michaelis Menten Constant;M_ppi_c;0.1586;mM
PUNP1;Nucleotide metabolism;Eff Enzyme Count;;629;#
PUNP1;Nucleotide metabolism;Substrate Catalytic Rate Constant;;26.2772;1/s
PUNP1;Nucleotide metabolism;Product Catalytic Rate Constant;;109.8453;1/s
PUNP1;Nucleotide metabolism;Michaelis Menten Constant;M_adn_c;0.7652;mM
PUNP1;Nucleotide metabolism;Michaelis Menten Constant;M_pi_c;2.1387;mM
PUNP1;Nucleotide metabolism;Michaelis Menten Constant;M_ade_c;4.0132;mM
PUNP1;Nucleotide metabolism;Michaelis Menten Constant;M_r1p_c;0.0142;mM
ADK1;Nucleotide metabolism;Eff Enzyme Count;;213;#
ADK1;Nucleotide metabolism;Substrate Catalytic Rate Constant;;319.1556;1/s
ADK1;Nucleotide metabolism;Product Catalytic Rate Constant;;783.2866;1/s
ADK1;Nucleotide metabolism;Michaelis Menten Constant;M_amp_c;0.096;mM
ADK1;Nucleotide metabolism;Michaelis Menten Constant;M_atp_c;0.1426;mM
ADK1;Nucleotide metabolism;Michaelis Menten Constant;M_adp_c;0.2669;mM
ADK1;Nucleotide metabolism;Michaelis Menten Constant;M_adp_c;0.2669;mM
RNDR1;Nucleotide metabolism;Eff Enzyme Count;;50;#
RNDR1;Nucleotide metabolism;Substrate Catalytic Rate Constant;;4.3833;1/s
RNDR1;Nucleotide metabolism;Product Catalytic Rate Constant;;0;1/s
RNDR1;Nucleotide metabolism;Michaelis Menten Constant;M_adp_c;0.0206;mM
RNDR1;Nucleotide metabolism;Michaelis Menten Constant;M_trdrd_c;0.0389;mM
RNDR1;Nucleotide metabolism;Michaelis Menten Constant;M_dadp_c;0.2569;mM
RNDR1;Nucleotide metabolism;Michaelis Menten Constant;M_trdox_c;0.2569;mM
TRDR;Nucleotide metabolism;Eff Enzyme Count;;100;#
TRDR;Nucleotide metabolism;Substrate Catalytic Rate Constant;;19.0309;1/s
TRDR;Nucleotide metabolism;Product Catalytic Rate Constant;;139.1897;1/s
TRDR;Nucleotide metabolism;Michaelis Menten Constant;M_nadph_c;0.0468;mM
TRDR;Nucleotide metabolism;Michaelis Menten Constant;M_trdox_c;0.0129;mM
TRDR;Nucleotide metabolism;Michaelis Menten Constant;M_nadp_c;0.7737;mM
TRDR;Nucleotide metabolism;Michaelis Menten Constant;M_trdrd_c;0.7737;mM
PPA;Nucleotide metabolism;Eff Enzyme Count;;190;#
PPA;Nucleotide metabolism;Substrate Catalytic Rate Constant;;646.7271;1/s
PPA;Nucleotide metabolism;Product Catalytic Rate Constant;;0.1874;1/s
PPA;Nucleotide metabolism;Michaelis Menten Constant;M_ppi_c;0.0024;mM
PPA;Nucleotide metabolism;Michaelis Menten Constant;M_pi_c;0.0976;mM
PPA;Nucleotide metabolism;Michaelis Menten Constant;M_pi_c;0.0976;mM
PUNP2;Nucleotide metabolism;Eff Enzyme Count;;629;#
PUNP2;Nucleotide metabolism;Substrate Catalytic Rate Constant;;13,3;1/s
PUNP2;Nucleotide metabolism;Product Catalytic Rate Constant;;109.8439;1/s
PUNP2;Nucleotide metabolism;Michaelis Menten Constant;M_dad_2_c;0.7005;mM
PUNP2;Nucleotide metabolism;Michaelis Menten Constant;M_pi_c;2.1382;mM
PUNP2;Nucleotide metabolism;Michaelis Menten Constant;M_2dr1p_c;0.0143;mM
PUNP2;Nucleotide metabolism;Michaelis Menten Constant;M_ade_c;4.0135;mM
DADNK;Nucleotide metabolism;Eff Enzyme Count;;86;#
DADNK;Nucleotide metabolism;Substrate Catalytic Rate Constant;;1.48;1/s
DADNK;Nucleotide metabolism;Product Catalytic Rate Constant;;0.4533;1/s
DADNK;Nucleotide metabolism;Michaelis Menten Constant;M_atp_c;0.0094;mM
DADNK;Nucleotide metabolism;Michaelis Menten Constant;M_dad_2_c;0.012;mM
DADNK;Nucleotide metabolism;Michaelis Menten Constant;M_adp_c;0.1435;mM
DADNK;Nucleotide metabolism;Michaelis Menten Constant;M_damp_c;0.1435;mM
DADK;Nucleotide metabolism;Eff Enzyme Count;;213;#
DADK;Nucleotide metabolism;Substrate Catalytic Rate Constant;;2.9129;1/s
DADK;Nucleotide metabolism;Product Catalytic Rate Constant;;3.43299;1/s
DADK;Nucleotide metabolism;Michaelis Menten Constant;M_atp_c;0.1;mM
DADK;Nucleotide metabolism;Michaelis Menten Constant;M_damp_c;0.1;mM
DADK;Nucleotide metabolism;Michaelis Menten Constant;M_adp_c;1;mM
DADK;Nucleotide metabolism;Michaelis Menten Constant;M_dadp_c;0.1;mM
PYK5;Nucleotide metabolism;Eff Enzyme Count;;551;#
PYK5;Nucleotide metabolism;Substrate Catalytic Rate Constant;;576,72;1/s
PYK5;Nucleotide metabolism;Product Catalytic Rate Constant;;0.02;1/s
PYK5;Nucleotide metabolism;Michaelis Menten Constant;M_dadp_c;0.2814;mM
PYK5;Nucleotide metabolism;Michaelis Menten Constant;M_pep_c;0.0791;mM
PYK5;Nucleotide metabolism;Michaelis Menten Constant;M_datp_c;0.1168;mM
PYK5;Nucleotide metabolism;Michaelis Menten Constant;M_pyr_c;0.0553;mM
PGK2;Nucleotide metabolism;Eff Enzyme Count;;411;#
PGK2;Nucleotide metabolism;Substrate Catalytic Rate Constant;;37,4;1/s
PGK2;Nucleotide metabolism;Product Catalytic Rate Constant;;0.07699573353053;1/s
PGK2;Nucleotide metabolism;Michaelis Menten Constant;M_13dpg_c;0.0057;mM
PGK2;Nucleotide metabolism;Michaelis Menten Constant;M_dadp_c;0.5357;mM
PGK2;Nucleotide metabolism;Michaelis Menten Constant;M_3pg_c;0.7375;mM
PGK2;Nucleotide metabolism;Michaelis Menten Constant;M_datp_c;0.0902;mM
GUAPRT;Nucleotide metabolism;Eff Enzyme Count;;439;#
GUAPRT;Nucleotide metabolism;Substrate Catalytic Rate Constant;;14.4958;1/s
