Metabolite name;Met ID;KEGG ID;InChI key;Conc (mM)
5-formyltetrahydrofolate;x_5fthf;C03479;VVIAGPKUTFNRDU-UHFFFAOYSA-N;5.00E-02
Acetate;x_ac;C00033;QTBSBXVTEAMEQO-UHFFFAOYSA-N;3.05E-01
Adenine;x_ade;C00147;GFFGJBXGBJISGV-UHFFFAOYSA-N;1.50E-01
Adenosine;x_adn;C00212;OIRDTQYFTABQOQ-KQYNXXCUSA-N;1.50E-01
Calcium;x_ca2;C00076;BHPQYMZQTOCNFJ-UHFFFAOYSA-N;6.80E-01
Chloride;x_cl;C00698;VEXZGXHMUGYJMC-UHFFFAOYSA-M;1.99E+01
cholesterol;x_chsterol;C00187;HVYWMOMLDIMFJA-DPAQBDIFSA-N;5.03E-02
CoA;x_coa;C00010;RGJOEKWQDUBAIZ-IBOSZNHHSA-N;2.93E-03
Cytidine;x_cytd;C00475;UHDGCWIWMRVCDJ-XVFCMESISA-N;1.00E-01
D-Glucose;x_glc__D;C00031;WQZGKKKJIJFFOK-GASJEMHNSA-N;4.28E+01
Deoxyadenosine;x_dad_2;C00559;OLXZPDWKRNYJJZ-RRKCRQDMSA-N;1.99E-02
Deoxycytidine;x_dcyt;C00881;CKTSBUTUHBMZGZ-SHYZEUOFSA-N;2.20E-02
Deoxyguanosine;x_dgsn;C00330;YKBGVTZYEHREMT-KVQBGUIXSA-N;1.87E-02
fatty acid;x_fa;C00162; ;8.00E-02
Glycine;x_gly;C00037;DHMQDGOQFOQNFH-UHFFFAOYSA-N;4.33E+00
Guanine;x_gua;C00242;UYTPUPDQBNUYGX-UHFFFAOYSA-N;1.30E-01
Guanosine;x_gsn;C00387;NYHBQMYGNKIUIF-UUOKFMHZSA-N;1.30E-01
L-Alanine;x_ala__L;C00041;QNAYBMKLOCPYGJ-REOHCLBHSA-N;4.14E+00
L-Arginine;x_arg__L;C00062;ODKSFYDXXFIFQN-BYPYZUCNSA-N;4.17E+00
L-Asparagine;x_asn__L;C00152;DCXYFEDJOCDNAF-REOHCLBHSA-N;4.00E+00
L-Aspartate;x_asp__L;C00049;CKLJMWTZIZZHCS-REOHCLBHSA-N;1.13E-01
L-Cysteine;x_cys__L;C00097;XUJNEKJLAYXESH-REOHCLBHSA-N;3.17E+00
L-Glutamate;x_glu__L;C00025;WHUUTDBJXJRKMK-VKHMYHEASA-N;4.26E+00
L-Glutamine;x_gln__L;C00064;ZDXPYRJPNDTMRX-VKHMYHEASA-N;2.00E+00
L-Histidine;x_his__L;C00135;HNDVDQJCIGZPNO-YFKPBYRVSA-N;4.05E+00
L-Isoleucine;x_ile__L;C00407;AGPKZVBTJJNPAG-WHFBIAKZSA-N;4.08E+00
L-Leucine;x_leu__L;C00123;ROHFNLRQFUQHCH-YFKPBYRVSA-N;4.23E+00
L-Lysine;x_lys__L;C00047;KDXKERNSBIXSRK-YFKPBYRVSA-N;4.19E+00
L-Methionine;x_met__L;C00073;FFEARJCKVFRZRR-BYPYZUCNSA-N;8.05E+00
L-Phenylalanine;x_phe__L;C00079;COLNVLDHVKWLRT-QMMMGPOBSA-N;1.08E+00
L-Proline;x_pro__L;C00148;ONIBWKKTOPOVIA-BYPYZUCNSA-N;4.17E+00
L-Serine;x_ser__L;C00065;MTCFGRXMJLQNBG-REOHCLBHSA-N;1.12E+00
L-Threonine;x_thr__L;C00188;AYFVYJQAPQTCCC-GBXIJSLDSA-N;1.13E+00
L-Tryptophan;x_trp__L;C00078;QIVBCDIJIAJPQS-VIFPVBQESA-N;5.25E-01
L-Tyrosine;x_tyr__L;C00082;OUYCCCASQSFEME-QMMMGPOBSA-N;4.11E+00
L-Valine;x_val__L;C00183;KZSNJWFQEVHDMF-BYPYZUCNSA-N;8.11E+00
Magnesium;x_mg2;C00305;JLVVSXFLKOJNIY-UHFFFAOYSA-N;1.41E+00
Nicotinate;x_nac;C00253;PVNIIMVLHYAWGP-UHFFFAOYSA-N;1.61E-02
Phosphate;x_pi;C00009;NBIIXXVUZAFLBC-UHFFFAOYSA-N;1.34E+02
Potassium;x_k;C00238;NPYPAHLBTDXSSS-UHFFFAOYSA-N;1.27E+01
pyridoxal phosphate;x_pydx5p;C00018;NGVDGCNFYWLIFO-UHFFFAOYSA-N;6.00E-03
riboflavin;x_ribflv;C00255;AUNGANRZJHBGPY-SCRDCRAPSA-N;3.01E-03
Sodium;x_na1;C01330;FKNQFGJONOIPTF-UHFFFAOYSA-N;1.94E+01
spermine;x_sprm;C00750;PFNFFQXMRSDOHW-UHFFFAOYSA-N;1.00E-01
thiamin diphosphate;x_thmpp;C00068;AYEKOFBPNLCAJY-UHFFFAOYSA-O;8.02E-03
Thymidine;x_thymd;C00214;IQFYYKKMVGJFEH-XLPZGREQSA-N;1.01E-01
triacylglycerol;x_tag;C00422; ;5.00E+00
Uracil;x_ura;C00106;ISAKRJDGNUQOIC-UHFFFAOYSA-N;1.80E-01
Uridine;x_uri;C00299;DRTQHJPVMGBUCF-XVFCMESISA-N;1.80E-01
