Component;ID;Category;Fraction
Protein;Protein;Macromolecules;54.727
RNA;RNA;Macromolecules;16.274
DNA;DNA;Macromolecules;5.5
Acyl carrier protein;ACP;Macromolecules;0.018
dUTPase;dUTPase;Macromolecules;0.003
Lipogalactan capsule;lgltn;Lipids & capsule;6.368
Phosphatidylglycerol;pg;Lipids & capsule;2.944
Cardiolipin;clpn;Lipids & capsule;2.944
Cholesterol;chsterol;Lipids & capsule;1.534
Diacylglycerol;12dgr;Lipids & capsule;1.366
Gal-DAG;galfur12dgr;Lipids & capsule;1.31
Triacylglycerol;tag;Lipids & capsule;0.549
Fatty acid;fa;Lipids & capsule;0.549
Potassium;k;Small molecules & ions;3.285
Phosphate;pi;Small molecules & ions;0.375
Chloride;cl;Small molecules & ions;0.198
ATP;atp;Small molecules & ions;0.167
Sodium;na;Small molecules & ions;0.131
Spermine;sprm;Small molecules & ions;0.128
GTP;gtp;Small molecules & ions;0.115
UTP;utp;Small molecules & ions;0.106
CTP;ctp;Small molecules & ions;0.053
Magnesium;mg2;Small molecules & ions;0.019
Calcium;ca2;Small molecules & ions;0.019
FAD;fad;Small molecules & ions;0.016
5,10-meTHF(Glu)3;mlthfglu3;Small molecules & ions;0.015
CoA;coa;Small molecules & ions;0.012
Thiamin diphosphate;thmpp;Small molecules & ions;0.009
NADP+;nadp;Small molecules & ions;0.008
Pyridoxal phosphate;pydx5p;Small molecules & ions;0.005
dTTP;dttp;Small molecules & ions;0.003
dATP;datp;Small molecules & ions;0.003
dCTP;dctp;Small molecules & ions;0.002
dGTP;dgtp;Small molecules & ions;0.001
Generic amino acid;AA;Small molecules & ions;1.247
