Component;ID;Fraction
Protein;Protein;54.727
rRNA;rRNA;16.274
DNA;DNA;5.5
Acyl carrier protein;ACP;0.018
dUTPase;dUTPase;0.003
Lipogalactan capsule;lgltn;6.368
Phosphatidylglycerol;pg;2.944
Cardiolipin;clpn;2.944
Cholesterol;chsterol;1.534
Diacylglycerol;12dgr;1.366
Gal-DAG;galfur12dgr;1.31
Triacylglycerol;tag;0.549
Fatty acid;fa;0.549
Potassium;k;3.285
Phosphate;pi;0.375
Chloride;cl;0.198
ATP;atp;0.167
Sodium;na;10.131
Spermine;sprm;0.128
GTP;gtp;0.115
UTP;utp;0.106
CTP;ctp;0.053
Magnesium;mg2;0.019
Calcium;ca2;0.019
FAD;fad;0.016
5,10-meTHF(Glu)3;mlthfglu3;0.015
CoA;coa;0.012
Thiamin diphosphate;thmpp;0.009
NADP+;nadp;0.008
Pyridoxal phosphate;pydx5p;0.005
dTTP;dttp;0.003
dATP;datp;0.003
dCTP;dctp;0.002
dGTP;dgtp;0.001
ala__L;ala__L;0.077
arg__L;arg__L;0.043
asn__L;asn__L;0.083
asp__L;asp__L;0.072
cys__L;cys__L;0.008
gln__L;gln__L;0.048
glu__L;glu__L;0.085
gly;gly;0.068
his__L;his__L;0.019
ile__L;ile__L;0.115
leu__L;leu__L;0.112
lys__L;lys__L;0.133
met__L;met__L;0.026
phe__L;phe__L;0.049
pro__L;pro__L;0.035
ser__L;ser__L;0.071
thr__L;thr__L;0.071
trp__L;trp__L;0.008
tyr__L;tyr__L;0.041
val__L;val__L;0.083
