glc;mu
0.1;0.668202447338399
0.2;0.567385031264472
0.3;0.600330831236872
0.4;0.588937432179438
0.40001;0.366905278764079
0.4001;0.403480297027002
0.401;0.30063682042947
0.4025;0.343740321179121
0.405;0.395751210171489
0.4075;0.380216685765822
0.41;0.482785652320972
0.425;0.337832500732373
0.45;0.41724000733511
0.475;0.440817731661564
0.5;0.539782523151231
0.6;0.536636730692838
0.65;0.518395544545584
0.7;0.51813083936618
0.8;0.511283267486496
0.9;0.57610189613494
1;0.624052163501446
1.15;0.546399040260288
1.4;0.511883312100309
2.5;0.714147092480366
2.9;0.550469560746691
5;0.684715879455847
5.4;0.507486512216274
7.9;0.466867811579337
10.4;0.43724753286924
