well;glc;mu
A1;0.4;0.418329599144047
A2;0.4;0.280033875867342
A3;0.4;0.705129274791096
A5;0.41;0.478949962523104
A6;0.41;0.422969165208958
A7;0.41;0.449089385764684
A9;1.15;0.498868683877118
A10;1.15;0.485281373087775
A12;1.15;0.539197141661322
B1;0.40001;0.393052704738569
B2;0.40001;0.346501434875007
B3;0.40001;0.265380108464984
B5;0.425;0.267437906694553
B6;0.425;0.276479883034232
B7;0.425;0.359802154569077
B9;1.4;0.463120933653502
B10;1.4;0.488073714518087
B12;1.4;0.533552375952313
C1;0.4001;0.440481413980799
C2;0.4001;0.317393931827976
C3;0.4001;0.383295156812257
C5;0.45;0.311044999751141
C6;0.45;0.426190180967836
C7;0.45;0.425328850195712
C9;2.9;0.487353950504414
C10;2.9;0.55467394931355
C12;2.9;0.508796067587734
D1;0.401;0.285903429555851
D2;0.401;0.314382086129001
D3;0.401;0.252890118633397
D5;0.475;0.449638311724886
D6;0.475;0.375339804193878
D7;0.475;0.421985406751877
D9;5.4;0.463376851538491
D10;5.4;0.480211602842192
D12;5.4;0.531998665924318
E1;0.4025;0.409946933256722
E2;0.4025;0.302541297396615
E3;0.4025;0.261880444602707
E5;0.5;0.497398812382994
E6;0.5;0.505887986097352
E7;0.5;0.472413005505563
E9;7.9;0.420600841551317
E10;7.9;0.468486573976531
E12;7.9;0.488228838629427
F1;0.405;0.416935311324759
F2;0.405;0.360271154878194
F3;0.405;0.312020064811059
F5;0.65;0.494210026853223
F6;0.65;0.488387082302905
F7;0.65;0.523730488137497
F9;10.4;0.395445277699915
F10;10.4;0.435802588826571
F12;10.4;0.438649222085633
G1;0.4075;0.416543376904303
G2;0.4075;0.405862420776438
G3;0.4075;0.242688614365888
G5;0.9;0.504477254819264
G6;0.9;0.563120435071259
G7;0.9;0.509962698428416
A1_2;0.1;0.735653954743359
A2_2;0.2;0.767264803964211
A3_2;0.3;0.410387246678158
A4_2;0.4;0.8653897313429
A5_2;0.5;0.519977348727497
A6_2;0.6;0.660837757864252
A7_2;0.7;0.642804092818884
A8_2;0.8;0.561739160562893
A9_2;0.9;0.658735909210035
A10_2;1;0.886140385239313
A11_2;2.5;0.766680688942784
A12_2;5;0.634628808916819
B1_2;0.1;0.693189344384232
B2_2;0.2;0.536205925287698
B3_2;0.3;0.518602624154965
B4_2;0.4;0.501039522696189
B5_2;0.5;0.473160911849531
B6_2;0.6;0.303856724031639
B7_2;0.7;0.455678446339001
B8_2;0.8;0.351580834346264
B9_2;0.9;0.293400387430093
B10_2;1;0.309696711575924
B11_2;2.5;0.420276737615288
B12_2;5;0.682513131778077
C1_2;0.1;0.973395106128646
C2_2;0.2;0.585237632500498
C3_2;0.3;0.557255385253141
C4_2;0.4;0.443034921850289
C5_2;0.5;0.461926378746427
C6_2;0.6;0.38821034556822
C7_2;0.7;0.53722817840658
C8_2;0.8;0.524694116541518
C9_2;0.9;0.463970957739144
C10_2;1;0.760751696249081
C11_2;2.5;0.693925346727971
C12_2;5;0.772509740670762
F1_2;0.2;0.513882087547441
F2_2;0.3;0.520182272757835
F3_2;0.4;0.661971764271485
F4_2;0.5;0.470452742927177
F5_2;0.6;0.367610021459793
F6_2;0.7;0.531614512391174
F7_2;0.8;0.500328750381824
F8_2;0.9;0.5884939794549
F9_2;1;0.386896555802552
F10_2;2.5;0.573374346623819
F11_2;5;0.514643417805976
F12_2;5;0.70160350101988
G1_2;0.2;0.529574455319151
G2_2;0.3;0.508012567771793
G3_2;0.4;0.54391272407866
G4_2;0.5;0.778577939865597
G5_2;0.6;0.544777944593558
G6_2;0.7;0.566171597643731
G7_2;0.8;0.388717141102771
G8_2;0.9;0.665210655450769
G9_2;1;0.499114670962278
G10_2;2.5;0.864169786633804
G11_2;5;0.536792246365512
G12_2;5;0.818167028543669
H1_2;0.2;0.353891200738015
H2_2;0.3;1.01826475429733
H3_2;0.4;0.683748021443234
H4_2;0.5;0.87124371781928
H5_2;0.6;0.708017424648112
H6_2;0.7;0.228300182805486
H7_2;0.8;0.587471683498851
H8_2;0.9;0.566605688761398
H9_2;1;0.768471030498332
H10_2;2.5;0.694094734978602
H11_2;5;0.682337052916116
H12_2;5;0.529091517366554
