reaction;f0
5FTHFabc;0.008608400905800163
ACALDt;1e-10
ACt;1e-10
ADEt2;0.06938903175021616
ADNabc;0.002398506833643769
ATPase;1e-10
CO2t;1e-10
COAabc;0.005132691600249743
DADNabc;0.028725148175441643
DCYTabc;0.002677790615906839
DGSNabc;0.007290253358209549
DURIabc;0.002669743295402456
FAt;0.006147080782969734
FORt;1e-10
GLCpts;6.143710134807239
GLYCt;0.0023906231340530206
GSNabc;1e-10
GUAt2;0.09670355982583863
H2Ot;0.72
Ht;0.0003015480514383384
LIPTA;0.0024657922232356553
L_LACt2r;1e-10
NACabc;0.009631894290813018
NAt;0.0008130082258811461
NAt3;1e-10
NH3t;0.0008921574128114661
O2t;0.5085263907613162
PIabc;1.6033561213752903
PYRt2r;2.788851466416818
RIBFLVabc;0.0044762027269862874
THMDabc;0.008119685728376173
URAt2;0.12577744208216185
trdoxt;1e-10
trdrdt;0.0016261583887265778
AAabc;0.9282920521124773
5FTHFPGS;0.00997448582835095
ACKr;0.007741131500709913
ACPPAT;0.08326610295135398
ACPS;0.020537333365188797
ACP_transl;33.769632979932695
ADK1;3.550656498774369
ADPT;0.276735419280743
AGPAT;0.08497251718757717
APG3PAT;0.005016341697066539
BPNT;1e-10
CLPNS;0.0008663740175810117
CTPDP;0.004068778665625877
CTPS2;0.6080228797906385
CTPSDUMP;1e-10
CYTK1;0.007323808898002271
CYTK2;1e-10
DADK;0.002623757488906356
DADNK;0.004241045857063423
DAGGALT;0.0012451414621638358
DAGPST;0.0008350056577373736
DASYN;0.00468299815369881
DCDPMP;0.001071383520898347
DCMPDA;1e-10
DCTPDP;1e-10
DCTPMP;1e-10
DCYTK;1e-10
DGK1;0.0032657079063089173
DGSNK;6.7848460876439125
DNAP;0.0031609476827496263
DRPA;0.004382916626834156
DURIK1;1e-10
DUTPDP;0.0012802582337362214
ENO;5.804173685811206
FAKr;0.015339207359177544
FBA;5.457625602329135
FMETTRS;0.45893111560640326
FMNAT;0.0009945403083347153
FTHFCL;0.0055607940129365156
GALU;0.011153028913245882
GAPD;29.389408628303045
GAPDP;1e-10
GHMT;0.012441749233415155
GHMT2;1e-10
GK1;0.540347438502295
GLYK;0.01054174565937146
GUAPRT;0.3398325304347091
LDH_L;0.006859382281855004
MTHFC;0.014050581592694913
MTHFD;0.023100407340857644
NADHK;1e-10
NADK;0.002558062810520253
NADS;0.005496012692965531
NCTPPRT;0.004225160544381331
NNATr;0.004919301926513735
NOX;21.592374668242314
NTD1;1e-10
NTD5;1e-10
NTD6;1e-10
NTD8;3.1966382411860037
NTD9;0.0024401804003187644
PAPA;0.001723978543018912
PDH_E1;1.1118287595207321
PDH_E2;1.1242969590945084
PDH_E3;1.2550869941903435
PDH_acald;0.13457025325524455
PFK;12.36399955857131
PGI;4.588723681912854
PGK;21.33610917806627
PGK2;0.001791122771654312
PGK3;0.4376693037161415
PGK4;1e-10
PGM;5.804986693941287
PGMT;0.004707318696669297
PGPP;0.001895006310357095
PGSA;0.00370869223316994
PPA;1.126226548116593
PPM;1e-10
PPM2;0.005195924756915458
PRPPS;1.6680899773542768
PSSYN;0.005468159649494621
PTAr;0.017724031909769792
PUNP1;1e-10
PUNP2;0.009837262027561262
PUNP3;0.0013516757534783686
PUNP4;1e-10
PYK;7.549624233309624
PYK2;0.6264488938230527
PYK3;1e-10
PYK4;1e-10
PYK5;1e-10
PYK6;0.0011407392950800752
PYK7;0.0011402104838399453
PYK8;0.001528302345117435
PYK9;0.002429093381521122
PdhC_transl;0.6147140731649982
RBFK;0.0024864635388021513
RNDR1;0.018063917926826906
RNDR2;1e-10
RNDR3;0.0816966283304033
RNDR4;0.0777134049997952
RPE;0.3482203091181236
RPI;0.34740730098804234
TALA;0.3487406321342301
TKT1;0.347453491097093
TKT2;0.3275360089328795
TMDK1;0.005426309353024213
TMPK;0.003903317189616631
TPI;2.727999793034486
TRDR;0.18162947432677434
UDPG4E;0.007700495858354132
UDPGALM;0.00688748772827283
UMPK;0.9097981475508569
UPPRT;0.5492585079915424
dUTPase_transl;0.15409917775744167
rRNAP;0.0017919735171188266
rRNA_degrad;1e-10
tRNAP;1.5201668516438758
AATRS;34.3230457391578
Ribosome;0.7242093670214679
