reaction;protein;contribution
5FTHFPGS;protein_0823;1.0
5FTHFabc;protein_0641;0.36713016846161534
5FTHFabc;protein_0642;0.16678404507368044
5FTHFabc;protein_0643;0.22385598142001858
5FTHFabc;protein_0822;0.2422298050446857
ACKr;protein_0230;1.0
ACPPAT;protein_0419;1.0
ACPS;protein_0513;0.6047006460515955
ACPS;protein_0621;0.39529935394840454
ACP_transl;protein_0201;0.3903250218032853
ACP_transl;protein_0621;0.13919058186258823
ACP_transl;protein_0650;0.47048439633412636
ACt;spontaneous_protein;1.0
ADK1;protein_0651;1.0
ADNabc;protein_0008;0.1358904650088565
ADNabc;protein_0009;0.3862941601280572
ADNabc;protein_0010;0.23734415132416306
ADNabc;protein_0011;0.24047122353892328
ADPT;protein_0413;1.0
AGPAT;protein_0512;1.0
APG3PAT;protein_0117;1.0
BPNT;protein_0139;1.0
CLPNS;protein_0147;1.0
CO2t;spontaneous_protein;1.0
COAabc;protein_0641;0.33565491079143034
COAabc;protein_0642;0.1524851090424436
COAabc;protein_0643;0.2046640835552047
COAabc;protein_0836;0.30719589661092145
CTPS2;protein_0129;1.0
CYTK1;protein_0347;1.0
CYTK2;protein_0347;1.0
DADK;protein_0651;1.0
DADNK;protein_0330;0.979131688089874
DADNK;protein_0382;1.0208683119101258
DADNabc;protein_0008;0.1358904650088565
DADNabc;protein_0009;0.3862941601280572
DADNabc;protein_0010;0.23734415132416306
DADNabc;protein_0011;0.24047122353892328
DAGGALT;protein_0114;0.9670672861708097
DAGGALT;protein_0697;1.0329327138291902
DAGPST;protein_0114;1.0
DASYN;protein_0304;1.0
DCYTK;protein_0330;0.979131688089874
DCYTK;protein_0382;1.0208683119101258
DCYTabc;protein_0008;0.1358904650088565
DCYTabc;protein_0009;0.3862941601280572
DCYTabc;protein_0010;0.23734415132416306
DCYTabc;protein_0011;0.24047122353892328
DGK1;protein_0203;1.0
DGSNK;protein_0330;0.979131688089874
DGSNK;protein_0382;1.0208683119101258
DGSNabc;protein_0008;0.1358904650088565
DGSNabc;protein_0009;0.3862941601280572
DGSNabc;protein_0010;0.23734415132416306
DGSNabc;protein_0011;0.24047122353892328
DNAP;average_protein;1.0
ENO;protein_0213;1.0
FAKr;protein_0420;0.49126566030997737
FAKr;protein_0616;0.2542333747452936
FAKr;protein_0617;0.254500964944729
FAt;spontaneous_protein;1.0
FBA;protein_0131;1.0
FMETTRS;protein_0390;1.0
FORt;spontaneous_protein;1.0
FTHFCL;protein_0443;1.0
GALU;protein_0115;1.0
GAPD;protein_0607;1.0
GHMT;protein_0799;1.0
GK1;protein_0203;1.0
GLCpts;protein_0233;0.37598307803737446
GLCpts;protein_0694;0.055071902168098874
GLCpts;protein_0234;0.09839928211366278
GLCpts;protein_0779;0.47054573768086383
GLYCt;spontaneous_protein;1.0
GLYK;protein_0218;1.0
GSNabc;protein_0008;0.1358904650088565
GSNabc;protein_0009;0.3862941601280572
GSNabc;protein_0010;0.23734415132416306
GSNabc;protein_0011;0.24047122353892328
GUAPRT;protein_0216;1.0
H2Ot;spontaneous_protein;1.0
Ht;spontaneous_protein;1.0
LIPTA;protein_0401;1.0
MTHFC;protein_0684;1.0
MTHFD;protein_0684;1.0
NACabc;protein_0314;0.258385824285464
NACabc;protein_0641;0.3593027794919477
NACabc;protein_0642;0.16322813028684438
