reaction;direction
5FTHFabc;forward
ACt;forward
ATPase;forward
COAabc;forward
DADNabc;forward
DCYTabc;forward
DGSNabc;forward
FAt;forward
FORt;forward
GLCpts;forward
GLYCt;forward
H2Ot;forward
Ht;forward
LIPTA;forward
L_LACt2r;forward
NACabc;forward
NH3t;forward
O2t;forward
PIabc;forward
PYRt2r;forward
RIBFLVabc;forward
THMDabc;forward
URAt2;forward
trdoxt;reversible
AAabc;forward
5FTHFPGS;forward
ACKr;forward
ACPPAT;forward
ACPS;forward
ACP_transl;forward
ADK1;forward
ADPT;forward
AGPAT;forward
APG3PAT;forward
BPNT;forward
CLPNS;forward
CTPS2;forward
CYTK1;forward
CYTK2;forward
DADK;forward
DADNK;forward
DAGGALT;forward
DAGPST;forward
DASYN;forward
DCMPDA;forward
DCYTK;forward
DGK1;forward
DGSNK;forward
DNAP;forward
DRPA;forward
ENO;forward
FAKr;forward
FBA;forward
FMETTRS;forward
FTHFCL;forward
GALU;forward
GAPD;forward
GHMT;forward
GK1;forward
GLYK;forward
GUAPRT;forward
LDH_L;forward
MTHFC;forward
MTHFD;forward
NADHK;forward
NADS;forward
NCTPPRT;forward
NNATr;forward
NOX;forward
PAPA;forward
PDH_E3;forward
PDH_acald;forward
PFK;forward
PGI;forward
PGK;forward
PGK3;forward
PGK4;forward
PGM;forward
PGMT;forward
PGPP;forward
PGSA;forward
PPA;forward
PPM2;forward
PRPPS;forward
PSSYN;forward
PTAr;forward
PUNP2;forward
PUNP4;forward
PYK;forward
PYK2;forward
PYK4;forward
PYK5;forward
PYK7;forward
PYK8;forward
PdhC_transl;forward
RBFK;forward
RPE;forward
RPI;forward
TALA;forward
TKT1;forward
TKT2;forward
TMDK1;forward
TMPK;forward
TPI;forward
TRDR;forward
UDPG4E;forward
UDPGALM;forward
UMPK;forward
UPPRT;forward
dUTPase_transl;forward
rRNAP;forward
tRNAP;forward
AATRS;forward
Ribosome;forward
