reaction;f0
5FTHFabc;0.03159618560729869
ACt;0.03808891335160905
ATPase;11.245989424481209
COAabc;0.005586912070077237
DADNabc;0.40408848941550274
DCYTabc;0.014895154608920913
DGSNabc;0.4629496930511378
FAt;0.0074685811389110296
FORt;1e-10
GLCpts;7.8746283431394755
GLYCt;0.002802383989052099
H2Ot;0.72
Ht;0.08803967289407158
LIPTA;0.0017897629438224487
L_LACt2r;0.8992610476081323
NACabc;0.01048427422414498
NH3t;0.000921883681064322
O2t;0.5422410033775963
PIabc;1.488738291139758
PYRt2r;2.9196501994465143
RIBFLVabc;0.003858621052887299
THMDabc;0.02251763052183446
URAt2;0.11165548089421398
trdoxt;0.014653808740576174
AAabc;1.0020252544238837
5FTHFPGS;0.041475376785803944
ACKr;0.36500605687531495
ACPPAT;0.10601608069327054
ACPS;0.022354796280431903
ACP_transl;36.785748016891205
ADK1;3.403803974219391
ADPT;0.2535239141976403
AGPAT;0.10834491979316348
APG3PAT;0.006209892125857868
BPNT;1e-10
CLPNS;0.0020264979164239458
CTPS2;0.532277831331576
CYTK1;0.0018230434036701421
CYTK2;0.00825966703533411
DADK;0.0191411354075766
DADNK;0.01937616704042068
DAGGALT;0.0013553309720898388
DAGPST;0.0009088999637318313
DASYN;0.006767946728973039
DCMPDA;0.0009341814706834967
DCYTK;0.0116919959869968
DGK1;0.008355286002407139
DGSNK;0.009562378458490662
DNAP;0.05987467100664342
DRPA;0.22420019271372016
ENO;7.9002787555744565
FAKr;0.01893254958329645
FBA;7.194990123889881
FMETTRS;0.4990819333034742
FTHFCL;0.02734395365216279
GALU;0.012140022622382684
GAPD;40.0
GHMT;0.013529429556356942
GK1;0.48677612137449905
GLYK;0.013199984810112078
GUAPRT;0.30325919572535087
LDH_L;7.5096701982899985
MTHFC;0.01528065491540374
MTHFD;1e-10
NADHK;0.002786847874828543
NADS;0.005982385327778699
NCTPPRT;0.00459906848416539
NNATr;0.0053546382599047706
NOX;23.023152450043366
PAPA;0.001876543015852444
PDH_E3;39.90510811694191
PDH_acald;40.0
PFK;16.299495635574097
PGI;5.882609474197058
PGK;29.2339851622773
PGK3;0.39403438489721154
PGK4;0.005326509855051688
PGM;7.901163711326669
PGMT;0.005123895572480738
PGPP;0.003285269574919623
PGSA;0.005700327043040754
PPA;1.068690807230229
PPM2;0.22508514846593256
PRPPS;1.4944740972039676
PSSYN;0.005952067583078214
PTAr;0.5910945822379413
PUNP2;0.1715093896955069
PUNP4;0.20757092299779215
PYK;11.395941433968467
PYK2;0.5592700506711608
PYK4;1e-10
PYK5;0.011959686905549945
PYK7;0.004354408716456451
PYK8;0.011791309059311588
PdhC_transl;0.502051579541575
RBFK;0.0017131459340362061
RPE;0.31223529327870864
RPI;0.31135033752649627
TALA;0.3128016625794264
TKT1;0.31140061525581697
TKT2;0.2941173216365565
TMDK1;0.019263083006312166
TMPK;0.019002363909372922
TPI;3.596610106192728
TRDR;0.014656218321266365
UDPG4E;0.008381955668827948
UDPGALM;0.007496999916615558
UMPK;0.8060283492166623
UPPRT;0.48686526178485784
dUTPase_transl;0.16773627313420642
rRNAP;0.10043590352811098
tRNAP;1.2741109064454845
AATRS;37.047727473839856
Ribosome;0.6063460509118208
