;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
rho;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0;1100.0
x_5fthf;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095;0.03818337095
x_ac;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997;0.018008454464999997
x_adn;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999;0.04008626519999999
x_co2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
x_coa;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197;0.0022370641972524197
x_dad_2;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005;0.0049997230237000005
x_dcyt;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684;0.004998787684
x_dgsn;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996;0.0049974210615999996
x_fa;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002;0.021459680000000002
x_for;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
x_glc__D;0.4;0.40001000000000003;0.4001;0.401;0.4025;0.405;0.40750000000000003;0.41000000000000003;0.42500000000000004;0.45;0.47500000000000003;0.5;0.65;0.9;1.15;1.4;2.9;5.4;7.9;10.4
x_glyc;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
x_gsn;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249;0.03682135249
x_h2o;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0;1000.0
x_h;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07;1e-07
