reaction;direction
5FTHFabc;forward
ACALDt;forward
ACt;forward
ADEt2;forward
ADNabc;forward
ALAt2r;forward
ARGt2r;forward
ASNt2r;forward
ASPt2pr;forward
ATPase;forward
CO2t;forward
COAabc;forward
CYSt2r;forward
DADNabc;forward
DCYTabc;forward
DGSNabc;forward
DURIabc;forward
FAt;forward
FORt;forward
GLCpts;forward
GLNt2r;forward
GLUt2pr;forward
GLYCt;forward
GLYt2r;forward
GSNabc;forward
GUAt2;forward
H2Ot;forward
HISt2r;forward
Ht;forward
ISOt2r;forward
LEUt2r;forward
LIPTA;forward
LYSt2r;forward
L_LACt2r;forward
METt2r;forward
NACabc;forward
NAt;forward
NAt3;forward
NH3t;forward
O2t;forward
PHEt2r;forward
PIabc;forward
PROt2r;forward
PYRt2r;forward
RIBFLVabc;forward
SERt2r;forward
THMDabc;forward
THRt2r;forward
TRPt2r;forward
TYRt2r;forward
URAt2;forward
VALt2r;forward
trdoxt;reversible
trdrdt;reversible
5FTHFPGS;forward
ACKr;forward
ACPPAT;forward
ACPS;forward
ACP_transl;forward
ADK1;forward
ADPT;forward
AGPAT;forward
ALATRS;forward
APG3PAT;forward
ARGTRS;forward
ASNTRS;forward
ASPTRS;forward
BPNT;forward
CLPNS;forward
CTPDP;forward
CTPS2;forward
CTPSDUMP;forward
CYSTRS;forward
CYTK1;forward
CYTK2;forward
DADK;forward
DADNK;forward
DAGGALT;forward
DAGPST;forward
DASYN;forward
DCDPMP;forward
DCMPDA;forward
DCTPDP;forward
DCTPMP;forward
DCYTK;forward
DGK1;forward
DGSNK;forward
DNAP;forward
DRPA;forward
DURIK1;forward
DUTPDP;forward
ENO;forward
FAKr;forward
FBA;forward
FMETTRS;forward
FMNAT;forward
FTHFCL;forward
GALU;forward
GAPD;forward
GAPDP;forward
GHMT;forward
GHMT2;forward
GK1;forward
GLNTRAT;forward
GLNTRAT2;forward
GLUTRS;forward
GLUTRS_Gln;forward
GLYK;forward
GLYTRS;forward
GUAPRT;forward
HISTRS;forward
ILETRS;forward
LDH_L;forward
LEUTRS;forward
LYSTRS;forward
METTRS;forward
MTHFC;forward
MTHFD;forward
NADHK;forward
NADK;forward
NADS;forward
NCTPPRT;forward
NNATr;forward
NOX;forward
NTD1;forward
NTD5;forward
NTD6;forward
NTD8;forward
NTD9;forward
PAPA;forward
PDH_E1;forward
PDH_E2;forward
PDH_E3;forward
PDH_acald;forward
PFK;forward
PGI;forward
PGK;forward
PGK2;forward
PGK3;forward
PGK4;forward
PGM;forward
PGMT;forward
PGPP;forward
PGSA;forward
PHETRS;forward
PPA;forward
PPM;forward
PPM2;forward
PROTRS;forward
PRPPS;forward
PSSYN;forward
PTAr;forward
PUNP1;forward
PUNP2;forward
PUNP3;forward
PUNP4;forward
PYK;forward
PYK2;forward
PYK3;forward
PYK4;forward
PYK5;forward
PYK6;forward
PYK7;forward
PYK8;forward
PYK9;forward
PdhC_transl;forward
RBFK;forward
RNDR1;forward
RNDR2;forward
RNDR3;forward
RNDR4;forward
RPE;forward
RPI;forward
SERTRS;forward
TALA;forward
THRTRS;forward
TKT1;forward
TKT2;forward
TMDK1;forward
TMPK;forward
TPI;forward
TRDR;forward
TRPTRS;forward
TYRTRS;forward
UDPG4E;forward
UDPGALM;forward
UMPK;forward
UPPRT;forward
VALTRS;forward
dUTPase_transl;forward
trnaalaP;forward
trnaargP;forward
trnaasnP;forward
trnaaspP;forward
trnacysP;forward
trnaglnP;forward
trnagluP;forward
trnaglyP;forward
trnahisP;forward
trnaileP;forward
trnaleuP;forward
trnalysP;forward
trnametP;forward
trnapheP;forward
trnaproP;forward
trnaserP;forward
trnathrP;forward
trnatrpP;forward
trnatyrP;forward
trnavalP;forward
mRNAP;forward
mRNA_degrad;forward
rRNAP;forward
rRNA_degrad;forward
Ribosome;forward
