reaction;f0
5FTHFabc;0.00860840090580116
ACALDt;0.026078200246459314
ACt;1e-10
ADEt2;1e-10
ADNabc;0.4327055177099253
ATPase;1e-10
CO2t;1e-10
COAabc;0.005132691600249743
DADNabc;0.013520690140868387
DCYTabc;0.002677790615906839
DGSNabc;0.5008298571790848
DURIabc;0.014057734598841866
FAt;0.006147080782969734
FORt;1e-10
GLCpts;7.8483302749012
GLYCt;0.0023906231340530206
GSNabc;0.002308946782666633
GUAt2;1e-10
H2Ot;0.72
Ht;0.0014549638411041066
LIPTA;0.0024657922232356553
L_LACt2r;0.9212326910082679
NACabc;0.00963189429077865
NAt;0.0008130082258811461
NAt3;1e-10
NH3t;1e-10
O2t;0.528142288710228
PIabc;1.6002425373501776
PYRt2r;2.8968191757623085
RIBFLVabc;0.0044762027269862874
THMDabc;0.02186687973819481
URAt2;0.12157354958024187
trdoxt;0.001625873865716193
trdrdt;1e-10
AAabc;0.9267360761192805
5FTHFPGS;0.009974485828352326
ACKr;0.007741131500709913
ACPPAT;0.08326610295135398
ACPS;0.020537333365188797
ACP_transl;33.769632979932695
ADK1;3.514287550278713
ADPT;0.2807685763826484
AGPAT;0.08497251718757717
APG3PAT;0.005016341697066539
BPNT;1e-10
CLPNS;0.0008663740175810117
CTPDP;0.0006619718896820179
CTPS2;0.5792610050836918
CTPSDUMP;0.05371626298061291
CYTK1;0.0016748285115542555
CYTK2;0.007982699951718415
DADK;0.00982101831625545
DADNK;15.2745199377593
DAGGALT;0.0012451414621638358
DAGPST;0.0008350056577373736
DASYN;0.00468299815369881
DCDPMP;1e-10
DCMPDA;0.01693092272435097
DCTPDP;1e-10
DCTPMP;1e-10
DCYTK;1e-10
DGK1;0.008090080615377844
DGSNK;0.009160981089572383
DNAP;0.05987467100664342
DRPA;0.12993835729312186
DURIK1;0.011114216584814755
DUTPDP;1e-10
ENO;7.900472912485686
FAKr;0.015339207359177544
FBA;7.249670119464631
FMETTRS;0.4587802615812608
FMNAT;0.0009945403083347153
FTHFCL;0.005560794012937472
GALU;0.011153028913245882
GAPD;40.0
GAPDP;1e-10
GHMT;0.012437392297411967
GHMT2;1e-10
GK1;0.5295720539859096
GLYK;0.01054174565937146
GUAPRT;0.3296985746115476
LDH_L;7.692364503814363
MTHFC;0.014046230675356059
MTHFD;0.02309173697449653
NADHK;1e-10
NADK;0.002558062810453277
NADS;0.005496012692902352
NCTPPRT;0.004225160544354183
NNATr;0.004919301926469
NOX;22.426612709736972
NTD1;1e-10
NTD5;1e-10
NTD6;7.025400805890809
NTD8;1e-10
NTD9;1e-10
PAPA;0.001723978543018912
PDH_E1;1.1118287595207321
PDH_E2;1.1242969590945084
PDH_E3;1.2550869941903435
PDH_acald;0.13457025325524455
PFK;16.423189228003054
PGI;5.863432399278027
PGK;29.61932792627239
PGK2;1e-10
PGK3;1e-10
PGK4;0.005228389330696273
PGM;7.901285920615767
PGMT;0.004707318696669297
PGPP;0.001895006310357095
PGSA;0.00370869223316994
PPA;1.1167461690296707
PPM;0.12367922024711188
PPM2;0.13075136542320318
PRPPS;1.6327571748197462
PSSYN;0.005468159649494621
PTAr;0.017724031909769792
PUNP1;0.19824357103139514
PUNP2;1e-10
PUNP3;1e-10
PUNP4;0.22530945094965824
PYK;11.030973071273792
PYK2;0.6068726982443606
PYK3;0.3702883886707076
PYK4;1e-10
PYK5;0.011874882085308701
PYK6;1e-10
PYK7;0.004268937245111741
PYK8;0.011706261955389586
PYK9;0.0009655060630892987
PdhC_transl;0.6147140731649982
RBFK;0.0024864635388021513
RNDR1;0.1298888505832227
RNDR2;1e-10
RNDR3;1e-10
RNDR4;0.04605356108433054
RPE;0.25842001013629734
RPI;0.25760700200621606
TALA;0.2589403331524039
TKT1;0.25765319211526677
TKT2;0.2436463086087016
TMDK1;0.01884908421714279
TMPK;0.018730067796880464
TPI;3.624022051602234
TRDR;0.18155625575473425
UDPG4E;0.007700495858354132
UDPGALM;0.00688748772827283
UMPK;0.8791200305912228
UPPRT;0.5307799797712034
dUTPase_transl;0.15409917775744167
rRNAP;0.10043590373722722
rRNA_degrad;1e-10
tRNAP;1.396044969615434
AATRS;34.26529430570694
Ribosome;0.6648681832816363
