condition;iter;t;dt;5FTHFabc;ACt;ADNabc;CO2t;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;GSNabc;H2Ot;Ht;LIPTA;NACabc;NH3t;O2t;PIabc;PYRt2r;THMDabc;URAt2;trdoxt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCYTK;DGK1;DGSNK;DNAP;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;MTHFC;MTHFD;NADK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E1;PDH_E2;PDH_E3;PFK;PGI;PGK;PGK3;PGM;PGMT;PGPP;PGSA;PPA;PPM;PRPPS;PSSYN;PTAr;PUNP1;PUNP3;PYK;PYK2;PYK4;PYK5;PYK6;PYK7;PYK8;PdhC_transl;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;rRNAP;rRNA_degrad;tRNAP;AATRS;Ribosome
1;0;0;0.0001;0.030506;1e-10;0.408144;0.000107753;0.00568758;0.0227014;0.0128804;0.0125348;0.00681163;1e-10;5.97561;0.00264907;0.481766;0.72;0.00399287;0.00273236;0.0106732;0.000988607;0.526238;1.5408;2.88503;0.0226619;0.116407;0.00180164;1.02424;0.0399366;0.00857801;0.0922678;0.0227576;37.4204;4.52493;0.264055;0.0941587;0.00555865;1e-10;0.000960036;0.555393;0.637017;0.00832105;0.0192009;0.0194669;0.00137975;0.000925277;0.00518927;0.00967453;0.00841406;0.00965134;0.0598747;6.0035;0.0169975;5.57418;0.508118;0.0262469;0.0123588;30.3995;0.0137745;1.46941;0.0116814;0.316207;0.0155572;0.00187796;0.00283461;0.00609018;0.00468193;0.00545112;22.3419;0.00191035;1.37938;1.39496;1.39077;12.6282;4.46242;21.3485;1.19228;6.0044;0.00521622;0.00209987;0.00410963;1.8868;0.252292;1.5577;0.00605931;0.0196401;0.186809;0.225912;7.469;1.13417;0.436251;0.0119785;0.00460017;0.00437335;0.0118102;0.68117;0.157215;0.156314;0.157792;0.156365;0.149344;0.0193548;0.0190627;2.78619;0.000958794;0.00853298;0.00763208;1.64246;0.507679;0.170759;2.97074;1.37259;1.33295;37.8701;0.634427
1;100;2.6496e-06;6.4e-09;0.0303825;1e-10;0.408138;9.7721e-05;0.00568757;0.0226948;0.0128733;0.0125285;0.00682166;1e-10;5.97562;0.0026591;0.48176;0.72;0.0040029;0.0027323;0.0106632;0.000998638;0.526248;1.54079;2.88502;0.022655;0.116417;0.00181063;1.02423;0.039928;0.00859154;0.0922678;0.0227576;37.4203;4.52492;0.264055;0.0941587;0.00555868;1e-10;0.000960036;0.555385;0.637008;0.00831164;0.0191918;0.0194568;0.00137976;0.000925277;0.00518927;0.00966412;0.00840509;0.00964146;0.0598659;6.0035;0.0169876;5.57418;0.508075;0.0262408;0.0123587;30.3995;0.0137746;1.4694;0.0116686;0.316207;0.0155571;0.00187796;0.00282801;0.00608368;0.00468193;0.00544185;22.3419;0.00191028;1.37938;1.39496;1.39077;12.6282;4.46242;21.3485;1.19228;6.0044;0.0052162;0.00209981;0.00410963;1.8868;0.252293;1.55769;0.00605933;0.0196401;0.186809;0.225912;7.46901;1.13417;0.436251;0.0119785;0.00460015;0.00437333;0.0118101;0.681049;0.157215;0.156314;0.157792;0.156365;0.149344;0.0193446;0.0190535;2.78619;0.000959778;0.00853298;0.00763208;1.64245;0.507679;0.170638;2.97073;1.37258;1.33294;37.8702;0.634305
1;200;2.94528e-06;2.56e-09;0.0303713;1e-10;0.408137;9.67661e-05;0.00568757;0.0226941;0.0128726;0.0125279;0.00682262;1e-10;5.97562;0.00266006;0.481759;0.72;0.00400386;0.00273229;0.0106622;0.000999593;0.526249;1.54079;2.88502;0.0226543;0.116418;0.00181114;1.02423;0.0399272;0.00859283;0.0922678;0.0227576;37.4203;4.52492;0.264055;0.0941587;0.00555869;1e-10;0.000960036;0.555384;0.637007;0.00831074;0.0191909;0.0194558;0.00137976;0.000925277;0.00518927;0.00966313;0.00840424;0.00964052;0.0598651;6.0035;0.0169867;5.57418;0.508075;0.0262402;0.0123587;30.3995;0.0137746;1.4694;0.0116674;0.316207;0.0155571;0.00187796;0.00282738;0.00608305;0.00468193;0.00544094;22.3419;0.00191027;1.37938;1.39496;1.39077;12.6282;4.46242;21.3485;1.19228;6.0044;0.0052162;0.0020998;0.00410963;1.8868;0.252293;1.55769;0.00605933;0.0196401;0.186809;0.225912;7.46901;1.13417;0.436251;0.0119785;0.00460015;0.00437332;0.0118101;0.681039;0.157215;0.156314;0.157792;0.156365;0.149344;0.0193437;0.0190526;2.78619;0.000960195;0.00853298;0.00763208;1.64245;0.507679;0.170628;2.97073;1.37258;1.33294;37.8702;0.634294
1;300;3.42656e-06;5.12e-09;0.030354;1e-10;0.408136;9.52698e-05;0.00568757;0.0226932;0.0128715;0.012527;0.00682411;1e-10;5.97562;0.00266155;0.481758;0.72;0.00400536;0.00273228;0.0106607;0.00100109;0.526251;1.54078;2.88502;0.0226533;0.116419;0.00181184;1.02423;0.0399259;0.00859484;0.0922679;0.0227576;37.4203;4.52492;0.264055;0.0941587;0.0055587;1e-10;0.000960036;0.555383;0.637005;0.00830934;0.0191895;0.0194543;0.00137976;0.000925277;0.00518927;0.00966158;0.00840291;0.00963905;0.0598638;6.0035;0.0169852;5.57418;0.508076;0.0262393;0.0123587;30.3995;0.0137746;1.4694;0.0116655;0.316207;0.0155571;0.00187796;0.00282639;0.00608206;0.00468193;0.00543951;22.3419;0.00191025;1.37938;1.39496;1.39077;12.6282;4.46242;21.3485;1.19228;6.0044;0.0052162;0.00209979;0.00410963;1.8868;0.252293;1.55769;0.00605933;0.0196401;0.186809;0.225912;7.46902;1.13417;0.436251;0.0119784;0.00460014;0.00437332;0.0118101;0.681022;0.157215;0.156314;0.157792;0.156365;0.149344;0.0193421;0.0190512;2.78619;0.000960946;0.00853298;0.00763208;1.64245;0.507679;0.170611;2.97073;1.37258;1.33294;37.8702;0.634277
1;400;3.66618e-06;2.048e-09;0.0303456;1e-10;0.408136;9.45511e-05;0.00568757;0.0226927;0.012871;0.0125265;0.00682483;1e-10;5.97562;0.00266227;0.481758;0.72;0.00400608;0.00273228;0.01066;0.00100181;0.526252;1.54078;2.88502;0.0226528;0.11642;0.00181218;1.02423;0.0399253;0.00859581;0.0922679;0.0227576;37.4202;4.52492;0.264055;0.0941587;0.00555871;1e-10;0.000960036;0.555382;0.637005;0.00830867;0.0191889;0.0194536;0.00137976;0.000925277;0.00518927;0.00966083;0.00840227;0.00963835;0.0598631;6.0035;0.0169845;5.57418;0.508077;0.0262388;0.0123587;30.3995;0.0137746;1.4694;0.0116646;0.316207;0.0155571;0.00187796;0.00282592;0.00608158;0.00468193;0.00543882;22.3419;0.00191025;1.37938;1.39496;1.39077;12.6282;4.46242;21.3485;1.19228;6.0044;0.00521619;0.00209978;0.00410963;1.8868;0.252293;1.55769;0.00605934;0.0196401;0.186809;0.225912;7.46902;1.13417;0.436251;0.0119784;0.00460014;0.00437331;0.0118101;0.681014;0.157215;0.156314;0.157792;0.156365;0.149344;0.0193414;0.0190506;2.78619;0.0009613;0.00853298;0.00763208;1.64244;0.507679;0.170603;2.97073;1.37258;1.33294;37.8702;0.634269
1;500;4.04915e-06;4.096e-09;0.0303327;1e-10;0.408135;9.34377e-05;0.00568757;0.0226919;0.0128702;0.0125258;0.00682595;1e-10;5.97562;0.00266338;0.481757;0.72;0.00400719;0.00273227;0.0106589;0.00100292;0.526253;1.54078;2.88502;0.0226521;0.116421;0.0018127;1.02423;0.0399243;0.00859731;0.0922679;0.0227576;37.4202;4.52492;0.264055;0.0941587;0.00555871;1e-10;0.000960036;0.555382;0.637004;0.00830763;0.0191879;0.0194525;0.00137976;0.000925278;0.00518927;0.00965968;0.00840127;0.00963725;0.0598622;6.0035;0.0169834;5.57418;0.508078;0.0262381;0.0123587;30.3995;0.0137746;1.4694;0.0116632;0.316207;0.0155571;0.00187796;0.00282518;0.00608083;0.00468193;0.00543774;22.3419;0.00191024;1.37938;1.39496;1.39077;12.6282;4.46242;21.3485;1.19228;6.0044;0.00521619;0.00209977;0.00410963;1.8868;0.252293;1.55769;0.00605934;0.0196401;0.186809;0.225912;7.46902;1.13417;0.436251;0.0119784;0.00460013;0.00437331;0.0118101;0.681002;0.157215;0.156314;0.157792;0.156365;0.149344;0.0193403;0.0190495;2.78619;0.000961856;0.00853298;0.00763208;1.64244;0.507679;0.170591;2.97073;1.37258;1.33294;37.8702;0.634256
1;600;4.8151e-06;8.192e-09;0.0303084;1e-10;0.408134;9.13384e-05;0.00568757;0.0226905;0.0128687;0.0125245;0.00682805;1e-10;5.97562;0.00266548;0.481756;0.72;0.00400929;0.00273226;0.0106568;0.00100502;0.526255;1.54078;2.88501;0.0226506;0.116423;0.00181367;1.02423;0.0399226;0.00860013;0.0922679;0.0227576;37.4202;4.52491;0.264055;0.0941587;0.00555873;1e-10;0.000960036;0.55538;0.637002;0.00830566;0.019186;0.0194504;0.00137977;0.000925278;0.00518927;0.00965751;0.0083994;0.00963519;0.0598603;6.0035;0.0169814;5.57418;0.508083;0.0262369;0.0123587;30.3995;0.0137747;1.46939;0.0116605;0.316207;0.015557;0.00187796;0.00282378;0.00607939;0.00468193;0.00543567;22.3419;0.00191021;1.37938;1.39496;1.39077;12.6282;4.46242;21.3485;1.19228;6.0044;0.00521618;0.00209975;0.00410963;1.8868;0.252293;1.55769;0.00605935;0.0196401;0.186809;0.225912;7.46902;1.13417;0.436251;0.0119784;0.00460012;0.0043733;0.0118101;0.68098;0.157215;0.156315;0.157792;0.156365;0.149344;0.0193382;0.0190476;2.78619;0.000962912;0.00853298;0.00763208;1.64244;0.507679;0.170569;2.97073;1.37258;1.33294;37.8703;0.634231
1;700;5.93741e-06;3.2768e-09;0.0302762;1e-10;0.408132;8.85637e-05;0.00568757;0.0226887;0.0128667;0.0125228;0.00683082;1e-10;5.97562;0.00266826;0.481754;0.72;0.00401207;0.00273224;0.010654;0.0010078;0.526258;1.54078;2.88501;0.0226487;0.116426;0.00181498;1.02422;0.0399202;0.00860386;0.0922679;0.0227576;37.4202;4.52491;0.264055;0.0941587;0.00555876;1e-10;0.000960036;0.555378;0.636999;0.00830307;0.0191834;0.0194476;0.00137977;0.000925278;0.00518927;0.00965464;0.00839693;0.00963247;0.0598579;6.0035;0.0169787;5.57418;0.508093;0.0262352;0.0123587;30.3995;0.0137747;1.46939;0.011657;0.316207;0.015557;0.00187796;0.00282193;0.00607743;0.00468193;0.00543282;22.3419;0.00191018;1.37938;1.39496;1.39077;12.6282;4.46242;21.3485;1.19228;6.0044;0.00521617;0.00209973;0.00410963;1.8868;0.252293;1.55768;0.00605936;0.0196401;0.186809;0.225912;7.46902;1.13417;0.436251;0.0119784;0.0046001;0.00437328;0.0118101;0.680961;0.157215;0.156315;0.157791;0.156365;0.149344;0.0193353;0.0190451;2.78619;0.00096429;0.00853298;0.00763208;1.64244;0.507679;0.17055;2.97073;1.37258;1.33295;37.8703;0.634196
1;800;6.36339e-06;6.5536e-09;0.0302651;1e-10;0.408132;8.7602e-05;0.00568757;0.0226881;0.012866;0.0125221;0.00683178;1e-10;5.97562;0.00266922;0.481753;0.72;0.00401304;0.00273224;0.0106531;0.00100876;0.526259;1.54078;2.88501;0.0226481;0.116427;0.00181543;1.02422;0.0399194;0.00860515;0.0922679;0.0227576;37.4202;4.52491;0.264055;0.0941587;0.00555877;1e-10;0.000960036;0.555377;0.636998;0.00830217;0.0191826;0.0194466;0.00137978;0.000925278;0.00518927;0.00965365;0.00839608;0.00963153;0.0598571;6.0035;0.0169777;5.57418;0.508097;0.0262346;0.0123587;30.3995;0.0137747;1.46939;0.0116558;0.316207;0.015557;0.00187796;0.00282129;0.00607673;0.00468193;0.0054318;22.3419;0.00191016;1.37938;1.39496;1.39077;12.6282;4.46242;21.3485;1.19228;6.0044;0.00521617;0.00209972;0.00410963;1.8868;0.252293;1.55768;0.00605936;0.0196401;0.186809;0.225912;7.46903;1.13417;0.436251;0.0119784;0.0046001;0.00437327;0.0118101;0.680958;0.157215;0.156315;0.157791;0.156365;0.149344;0.0193344;0.0190442;2.78619;0.00096477;0.00853298;0.00763208;1.64244;0.507679;0.170547;2.97073;1.37258;1.33295;37.8703;0.634183
1;900;7.21536e-06;1.31072e-08;0.0302443;1e-10;0.408131;8.58126e-05;0.00568757;0.0226869;0.0128647;0.012521;0.00683357;1e-10;5.97562;0.00267101;0.481752;0.72;0.00401483;0.00273223;0.0106513;0.00101055;0.52626;1.54077;2.88501;0.0226469;0.116429;0.00181627;1.02422;0.0399179;0.00860755;0.0922679;0.0227576;37.4202;4.52491;0.264055;0.0941587;0.0055588;1e-10;0.000960036;0.555376;0.636997;0.00830051;0.0191809;0.0194449;0.00137978;0.000925279;0.00518927;0.0096518;0.00839449;0.00962978;0.0598555;6.0035;0.016976;5.57418;0.508105;0.0262335;0.0123587;30.3995;0.0137748;1.46939;0.0116535;0.316207;0.0155569;0.00187796;0.00282009;0.00607538;0.00468193;0.00542983;22.3419;0.00191014;1.37938;1.39496;1.39077;12.6282;4.46242;21.3485;1.19228;6.0044;0.00521616;0.0020997;0.00410963;1.8868;0.252293;1.55768;0.00605937;0.0196401;0.186809;0.225912;7.46903;1.13417;0.436251;0.0119784;0.00460008;0.00437325;0.0118101;0.680956;0.157215;0.156315;0.157791;0.156366;0.149344;0.0193326;0.0190425;2.78619;0.000965667;0.00853298;0.00763208;1.64244;0.507679;0.170545;2.97072;1.37258;1.33296;37.8703;0.634158
