condition;iter;t;dt;5FTHFabc;ACt;ADNabc;CO2t;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;GSNabc;H2Ot;Ht;LIPTA;NACabc;NH3t;O2t;PIabc;PYRt2r;THMDabc;URAt2;trdoxt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCYTK;DGK1;DGSNK;DNAP;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;MTHFC;MTHFD;NADK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E1;PDH_E2;PDH_E3;PFK;PGI;PGK;PGK3;PGM;PGMT;PGPP;PGSA;PPA;PPM;PRPPS;PSSYN;PTAr;PUNP1;PUNP3;PYK;PYK2;PYK4;PYK5;PYK6;PYK7;PYK8;PdhC_transl;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;rRNAP;rRNA_degrad;tRNAP;AATRS;Ribosome
1;0;0;0.0001;0.0157966;1.26541e-20;0.186844;1.86054e-14;0.0232454;0.0228102;0.0156706;0.0132914;1.92964e-13;1.68802e-20;0.944778;2.18585e-13;0.226791;3.03703e-10;3.01332e-11;3.99883e-05;0.0251576;4.41117e-13;1.2497e-10;0.513037;2.48954e-10;0.012201;7.82944e-12;1.1349e-07;0.159668;0.00399506;0.000110249;0.0030298;7.74336e-05;0.0144534;0.105774;0.0295636;0.00946889;0.00232032;1.04308e-11;8.41165e-05;0.778306;0.0350089;0.000467191;0.000456051;0.00450098;0.000114794;2.00633e-06;0.00178482;0.00231285;0.000647681;0.00218595;9.2188e-05;1.19164;0.0134882;2.47159;0.00650551;0.00160699;0.000700284;2.92687;0.00440768;0.219118;0.000142695;0.0710465;0.0019658;7.65048e-05;0.000376716;0.00383303;0.00105867;0.00114465;1.20879;0.000203521;0.01389;0.00372382;0.0132804;6.23511;0.307861;0.30243;0.015126;0.767529;0.000473608;0.000143747;0.000251398;0.199208;0.170372;3.1267;1.94192e-05;0.00029719;0.00651009;0.0184938;5.62034;0.843184;0.339272;0.00849193;0.00319332;0.00325338;0.00844142;4.76613e-05;0.0145784;0.00108081;0.024744;0.0552878;0.0449828;0.00257242;0.00204638;5.61598;1.94498e-05;0.000466847;0.0021365;0.280094;0.0274275;2.23187e-05;0.000479187;0.000408276;0.00430498;1.21083;661.295
1;100;2.6496e-06;6.4e-09;0.0219768;1.79758e-20;0.261003;2.39694e-14;0.0324712;0.0318547;0.0218785;0.0185577;2.7452e-13;2.39792e-20;1.34223;3.11688e-13;0.316805;4.31428e-10;4.29135e-11;5.61735e-05;0.0351094;6.3299e-13;1.77531e-10;0.715022;3.53652e-10;0.0170387;1.11231e-11;1.02435e-05;0.223449;0.00560479;0.000165854;0.00430568;0.000109999;0.0140888;0.148783;0.0420036;0.0134509;0.00329723;1.48154e-11;0.000119493;1.08467;0.0487181;0.0006495;0.000641149;0.00627529;0.000163074;2.85015e-06;0.0025358;0.00322279;0.000902389;0.00304612;0.000128976;1.69285;0.01872;3.5115;0.00637179;0.00226368;0.000994566;4.17686;0.00626186;0.305592;0.000199822;0.100937;0.00279257;0.000108699;0.000501223;0.00529694;0.00150445;0.00160338;1.71711;0.000289097;0.0197296;0.00528993;0.0188646;8.68113;0.437123;0.453091;0.0215004;1.09005;0.000672056;0.000204178;0.000357221;0.28293;0.242032;4.30634;2.75862e-05;0.000424715;0.00926814;0.0263289;8.2713;1.1983;0.482257;0.0120664;0.0045376;0.00462291;0.0119942;4.68678e-05;0.0207095;0.00153538;0.0351455;0.0785395;0.0638464;0.00361876;0.00285117;7.97778;2.76151e-05;0.000663184;0.00303502;0.380142;0.038966;2.19614e-05;0.000670353;0.000579976;0.00602239;3.06729;644.502
1;200;2.94528e-06;2.56e-09;0.0224094;1.83581e-20;0.266239;2.424e-14;0.0331225;0.0324929;0.0223162;0.0189291;2.80398e-13;2.44892e-20;1.37079;3.18431e-13;0.32316;4.40603e-10;4.38367e-11;5.73236e-05;0.0358104;6.47071e-13;1.81307e-10;0.729245;3.61173e-10;0.01738;1.13598e-11;0.0001269;0.227961;0.00571916;0.000170591;0.00439742;0.000112338;0.0140576;0.151842;0.0428976;0.013737;0.00336746;1.51303e-11;0.000122034;1.10624;0.0496819;0.000662286;0.0006543;0.00640022;0.000166543;2.91077e-06;0.00258977;0.00328678;0.000920298;0.00310661;0.000131576;1.72886;0.0190859;3.58623;0.00636711;0.00231044;0.0010157;4.26755;0.00639505;0.311686;0.00020386;0.103084;0.00285196;0.000111013;0.000509438;0.00539892;0.0015365;0.00163578;1.75363;0.000295243;0.0201489;0.00540244;0.0192656;8.8531;0.4464;0.465818;0.021959;1.1132;0.000686281;0.000208518;0.000364828;0.288942;0.247181;4.38823;2.81729e-05;0.000433996;0.00946722;0.0268944;8.48503;1.22384;0.492543;0.0123233;0.00463423;0.00472135;0.0122495;4.67954e-05;0.0211499;0.00156804;0.0358924;0.0802098;0.0651986;0.00369314;0.0029078;8.14745;2.8214e-05;0.000677288;0.00309957;0.386962;0.0397951;2.19226e-05;0.000683868;0.00059231;0.00614381;3.41251;643.063
1;300;3.42656e-06;5.12e-09;0.0230551;1.89311e-20;0.274067;2.461e-14;0.0340964;0.0334469;0.0229705;0.0194842;2.89212e-13;2.52535e-20;1.41358;3.28554e-13;0.332662;4.54354e-10;4.52217e-11;5.90449e-05;0.0368582;6.68263e-13;1.86966e-10;0.750504;3.72445e-10;0.0178902;1.17145e-11;6.84872e-05;0.234709;0.00589035;0.00017803;0.00453492;0.000115844;0.0140067;0.156422;0.0442374;0.0141656;0.00347273;1.56021e-11;0.000125843;1.13846;0.0511221;0.000681384;0.000673979;0.00658693;0.000171741;3.00161e-06;0.00267066;0.00338238;0.000947057;0.003197;0.000135465;1.78282;0.0196321;3.69822;0.00636052;0.00238044;0.00104736;4.40374;0.00659464;0.320796;0.000209898;0.106303;0.00294097;0.00011448;0.000521601;0.0055511;0.00158454;0.00168422;1.80835;0.000304454;0.0207774;0.00557105;0.0198667;9.11008;0.4603;0.485766;0.0226464;1.1479;0.000707589;0.000215022;0.000376228;0.29795;0.254898;4.51039;2.90522e-05;0.000447942;0.00976587;0.0277428;8.81604;1.26211;0.507961;0.0127084;0.00477905;0.00486889;0.0126322;4.6673e-05;0.02181;0.00161698;0.0370118;0.082713;0.0672241;0.00380445;0.00299242;8.4017;2.91173e-05;0.000698426;0.0031963;0.39711;0.0410376;2.1856e-05;0.000704082;0.000610793;0.0063254;4.11206;640.714
1;400;3.66618e-06;2.048e-09;0.0233505;1.91943e-20;0.277655;2.47639e-14;0.0345428;0.0338841;0.0232703;0.0197386;2.93264e-13;2.56046e-20;1.43324;3.33212e-13;0.337017;4.60671e-10;4.58586e-11;5.98345e-05;0.0373382;6.78041e-13;1.89565e-10;0.760244;3.77623e-10;0.0181241;1.18774e-11;0.00012249;0.237803;0.00596891;0.000181616;0.0045981;0.000117455;0.0139807;0.158523;0.044853;0.0143626;0.00352109;1.58189e-11;0.000127593;1.15323;0.0517818;0.000690128;0.000683005;0.00667247;0.000174129;3.04335e-06;0.00270783;0.00342617;0.000959312;0.0032384;0.000137248;1.80762;0.0198821;3.74968;0.00635742;0.00241256;0.00106191;4.46644;0.00668632;0.324971;0.000212665;0.107782;0.00298186;0.000116073;0.000527119;0.0056207;0.00160661;0.00170641;1.83349;0.000308685;0.0210661;0.00564851;0.0201427;9.22778;0.466685;0.495363;0.0229622;1.16384;0.000717374;0.000218009;0.000381466;0.302088;0.258443;4.56624;2.94561e-05;0.000454366;0.0099032;0.028133;8.97339;1.2797;0.515046;0.0128853;0.00484559;0.00493668;0.012808;4.66084e-05;0.0221132;0.00163946;0.0375259;0.083863;0.0681542;0.00385551;0.00303119;8.5185;2.9533e-05;0.000708136;0.00324074;0.401738;0.0416085;2.18207e-05;0.000713349;0.000619284;0.00640865;4.54572;639.517
1;500;4.04915e-06;4.096e-09;0.0237863;1.95841e-20;0.282956;2.49693e-14;0.0352024;0.03453;0.0237132;0.0201144;2.99269e-13;2.61246e-20;1.46237;3.40121e-13;0.343453;4.70026e-10;4.6803e-11;6.10024e-05;0.0380472;6.9258e-13;1.93416e-10;0.774632;3.85292e-10;0.0184695;1.21187e-11;0.000120151;0.242376;0.00608512;0.000187174;0.00469169;0.00011984;0.0139373;0.161631;0.0457648;0.0146542;0.00359274;1.61399e-11;0.000130184;1.17504;0.052756;0.000703035;0.000696354;0.00679881;0.000177666;3.10516e-06;0.00276289;0.00349082;0.00097741;0.00329953;0.000139883;1.84434;0.0202508;3.82589;0.00635212;0.00246008;0.00108345;4.55947;0.00682211;0.331138;0.000216754;0.109973;0.00304243;0.000118433;0.000535192;0.00572336;0.00163931;0.00173919;1.87073;0.000314951;0.0214937;0.00576324;0.0205517;9.40159;0.476139;0.510215;0.0234302;1.18744;0.000731861;0.000222434;0.000389225;0.308217;0.263694;4.64858;3.00544e-05;0.000463904;0.0101068;0.0287114;9.21426;1.30575;0.525542;0.0131474;0.00494415;0.00503709;0.0130685;4.6497e-05;0.0225623;0.00167277;0.0382874;0.0855662;0.069531;0.00393103;0.00308844;8.6915;3.01502e-05;0.000722518;0.00330656;0.408544;0.042454;2.17597e-05;0.000727048;0.000631859;0.00653173;5.40354;637.52
1;600;4.8151e-06;8.192e-09;0.0245045;2.02338e-20;0.291734;2.5218e-14;0.0362943;0.035599;0.024446;0.0207363;3.09292e-13;2.69913e-20;1.51091;3.51682e-13;0.354107;4.8562e-10;4.8381e-11;6.29408e-05;0.0392197;7.17054e-13;1.99833e-10;0.798426;3.98073e-10;0.0190413;1.2521e-11;5.29193e-05;0.249953;0.0062781;0.000197463;0.00484774;0.000123816;0.0138378;0.166793;0.0472848;0.0151403;0.00371219;1.66748e-11;0.000134503;1.21111;0.0543662;0.000724343;0.000718506;0.00700774;0.000183562;3.20819e-06;0.00285471;0.00359767;0.00100732;0.00340056;0.000144247;1.90555;0.0208589;3.95293;0.00633686;0.00253901;0.00111935;4.71523;0.00704842;0.341341;0.000223526;0.113624;0.00314336;0.000122366;0.000548172;0.00589236;0.00169384;0.00179344;1.93279;0.000325394;0.0222063;0.00595445;0.0212331;9.68885;0.49189;0.537611;0.0242106;1.22678;0.000755983;0.000229807;0.00040216;0.318428;0.272447;4.78395;3.10515e-05;0.000479897;0.0104469;0.0296775;9.64802;1.34918;0.543047;0.0135842;0.00510847;0.00520449;0.0135026;4.62243e-05;0.0233109;0.00172828;0.0395564;0.0884048;0.0718232;0.00405637;0.00318309;8.97982;3.11847e-05;0.000746489;0.00341625;0.419652;0.0438634;2.16129e-05;0.000749763;0.000652817;0.0067358;8.05161;632.939
1;700;5.93741e-06;3.2768e-09;0.0250708;2.07735e-20;0.298793;2.51042e-14;0.0371725;0.0364576;0.0250337;0.0212351;3.1767e-13;2.77112e-20;1.55124;3.61437e-13;0.362675;4.98572e-10;4.97059e-11;6.45164e-05;0.0401583;7.38212e-13;2.05164e-10;0.817467;4.0869e-10;0.0195005;1.28553e-11;0.000108293;0.25607;0.00643542;0.000209198;0.00497759;0.000127118;0.0136698;0.171007;0.0485484;0.015544;0.00381157;1.71189e-11;0.000138091;1.24002;0.0556504;0.000741248;0.000736535;0.00717483;0.00018846;3.29378e-06;0.00293134;0.00368289;0.00103116;0.00348116;0.000147766;1.95641;0.0213384;4.05852;0.00630384;0.00260353;0.00114918;4.84674;0.00723635;0.349519;0.000228981;0.116658;0.00322721;0.000125636;0.000557098;0.00602457;0.00173921;0.00183703;1.98434;0.000334065;0.0227978;0.00611329;0.021799;9.91792;0.504949;0.568574;0.0248606;1.25941;0.000775938;0.000235928;0.000412918;0.326901;0.279722;4.88914;3.18798e-05;0.000493465;0.0107316;0.0304864;10.1087;1.38533;0.557626;0.0139475;0.0052451;0.00534368;0.0138635;4.57348e-05;0.0239327;0.0017744;0.0406096;0.0907627;0.0737184;0.00415849;0.0032587;9.21929;3.20622e-05;0.0007664;0.00350737;0.427949;0.0450346;2.13555e-05;0.000768238;0.000670222;0.00690181;14.0613;625.22
1;800;6.36339e-06;6.5536e-09;0.0251774;2.08849e-20;0.300175;2.49648e-14;0.0373445;0.0366252;0.0251482;0.0213323;3.1942e-13;2.78599e-20;1.55957;3.63508e-13;0.364353;5.01247e-10;4.99846e-11;6.48299e-05;0.0403404;7.42881e-13;2.06265e-10;0.821162;4.10883e-10;0.0195902;1.29244e-11;0.00010569;0.257276;0.00646698;0.000212808;0.00500449;0.000127801;0.0136334;0.171854;0.0488098;0.0156273;0.00383215;1.72106e-11;0.000138832;1.24566;0.0558982;0.000744477;0.000740136;0.00720722;0.000189472;3.31146e-06;0.00294737;0.00369932;0.00103576;0.00349671;0.000148458;1.96692;0.0214289;4.08035;0.00630274;0.00261651;0.00115535;4.87455;0.00727515;0.35111;0.000230052;0.117286;0.00324454;0.000126313;0.000558327;0.00604917;0.00174862;0.00184553;1.99499;0.000335855;0.0229199;0.0061461;0.0219158;9.96208;0.507638;0.578021;0.0249955;1.26614;0.00078003;0.000237191;0.000415144;0.328647;0.281226;4.90847;3.20509e-05;0.000496355;0.0107911;0.0306555;10.2412;1.39282;0.56065;0.0140226;0.00527338;0.00537249;0.0139382;4.56357e-05;0.0240611;0.00178393;0.0408269;0.0912497;0.0741067;0.00417891;0.00327332;9.26874;3.22503e-05;0.000770513;0.00352619;0.429357;0.0452768;2.12992e-05;0.000771967;0.000673816;0.00693533;15.3483;623.539
1;900;7.21536e-06;1.31072e-08;0.0253704;2.10863e-20;0.302682;2.46907e-14;0.0376564;0.0369293;0.0253558;0.0215086;3.22584e-13;2.81285e-20;1.57463;3.67259e-13;0.367396;5.06081e-10;5.04891e-11;6.53967e-05;0.0406706;7.51375e-13;2.08255e-10;0.82787;4.14845e-10;0.0197528;1.30492e-11;7.01085e-05;0.259462;0.00652429;0.000219981;0.00505311;0.000129033;0.0136035;0.173388;0.0492822;0.0157779;0.00386934;1.73762e-11;0.000140171;1.25594;0.0563482;0.000750337;0.000746653;0.00726598;0.000191301;3.3434e-06;0.00297646;0.00372911;0.0010441;0.0035249;0.000149712;1.98592;0.0215932;4.11981;0.00631862;0.00264001;0.00116652;4.9248;0.00734525;0.353999;0.00023199;0.11842;0.00327584;0.000127535;0.00056062;0.00609388;0.00176562;0.00186087;2.01424;0.000339087;0.0231404;0.00620539;0.0221269;10.0422;0.512496;0.596776;0.0252393;1.27829;0.000787421;0.000239473;0.000419167;0.3318;0.283944;4.94367;3.236e-05;0.000501576;0.0108987;0.0309609;10.5012;1.40635;0.566118;0.0141585;0.00532447;0.00542453;0.0140731;4.55764e-05;0.0242932;0.00180115;0.0412194;0.0921296;0.0748071;0.00421588;0.00329985;9.35809;3.25916e-05;0.000777944;0.00356019;0.431944;0.0457144;2.12523e-05;0.000778797;0.000680308;0.00699674;16.0045;622.146
