condition;iter;t;dt;5FTHFabc;ACt;ADNabc;CO2t;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;GSNabc;H2Ot;Ht;LIPTA;NACabc;NH3t;O2t;PIabc;PYRt2r;THMDabc;URAt2;trdoxt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCYTK;DGK1;DGSNK;DNAP;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;MTHFC;MTHFD;NADK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E1;PDH_E2;PDH_E3;PFK;PGI;PGK;PGK3;PGM;PGMT;PGPP;PGSA;PPA;PPM;PRPPS;PSSYN;PTAr;PUNP1;PUNP3;PYK;PYK2;PYK4;PYK5;PYK6;PYK7;PYK8;PdhC_transl;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;rRNAP;rRNA_degrad;tRNAP;AATRS;Ribosome
1;0;0;0.0001;8.52214;2.7936e-08;114.019;0.0301017;1.58888;6.34186;3.59828;3.50173;1.90289;2.7936e-08;1669.34;0.740043;134.586;201.139;1.11545;0.763312;2.98166;0.276177;147.01;430.437;805.961;6.33081;32.5193;0.503307;286.132;11.1567;2.39635;25.7759;6.35755;10453.7;1264.08;73.7662;26.3041;1.55286;2.7936e-08;0.268195;155.154;177.957;2.32457;5.36395;5.43826;0.385447;0.258485;1.44967;2.70267;2.35055;2.69619;16.7266;1677.14;4.74842;1557.2;141.948;7.33233;3.45254;8492.4;3.84803;410.494;3.26331;88.3355;4.34606;0.524626;0.791876;1.70135;1.30794;1.52282;6241.43;0.533676;385.344;389.696;388.526;3527.81;1246.62;5963.9;333.074;1677.39;1.4572;0.586619;1.14807;527.096;70.4803;435.159;1.69273;5.48666;52.1868;63.1107;2086.54;316.841;121.871;3.3463;1.2851;1.22174;3.29928;190.291;43.9196;43.6679;44.0806;43.6822;41.7208;5.40696;5.32535;778.349;0.267848;2.38377;2.1321;458.836;141.825;47.703;829.904;383.445;372.373;10579.4;177.233
1;100;1.2416e-06;6.4e-09;11.6898;3.85131e-08;157.186;0.0366366;2.19046;8.73981;4.95718;4.8245;2.62824;3.85131e-08;2301.4;1.0251;185.54;277.295;1.54265;1.0523;4.10573;0.385606;202.676;593.405;1111.11;8.72447;44.8367;0.697734;394.463;15.3767;3.31028;35.5353;8.76466;14411.7;1742.69;101.696;36.2635;2.1409;2.02241e-05;0.36974;213.895;245.331;3.2001;7.3904;7.49237;0.531404;0.356354;1.99855;3.72087;3.23613;3.7122;23.0554;2312.14;6.54145;2146.79;195.677;10.1055;4.75971;11707.8;5.30503;565.911;4.49262;121.781;5.99153;0.723262;1.08833;2.34216;1.80316;2.09441;8604.57;0.735748;531.244;537.243;535.63;4863.51;1718.62;8221.97;459.184;2312.48;2.00889;0.808735;1.58275;726.667;97.166;599.915;2.33367;7.56398;71.9458;87.0057;2876.55;436.803;168.014;4.61323;1.77161;1.68425;4.5484;262.284;60.5485;60.2018;60.7703;60.2213;57.5167;7.44916;7.33713;1073.05;0.370199;3.28632;2.93935;632.557;195.523;65.7085;1144.12;528.625;513.359;14585;244.279
1;200;2.4512e-06;1.28e-08;12.3233;4.06992e-08;166.106;0.036145;2.31479;9.23418;5.23671;5.09672;2.77999;4.06992e-08;2432.03;1.08586;196.07;293.034;1.63281;1.11203;4.3362;0.410064;214.182;627.084;1174.18;9.21792;47.3843;0.738633;416.851;16.2473;3.50171;37.5523;9.26215;15229.7;1841.6;107.468;38.3218;2.26255;8.11655e-05;0.390726;226.034;259.253;3.37928;7.80749;7.91501;0.561593;0.376583;2.11199;3.92935;3.41748;3.92033;24.3618;2443.38;6.91017;2268.64;206.791;10.6776;5.02982;12372.4;5.60621;598.03;4.74429;128.694;6.33155;0.764314;1.14815;2.47269;1.9055;2.20955;9092.97;0.777545;561.397;567.737;566.033;5139.57;1816.17;8688.65;485.247;2443.74;2.12286;0.854669;1.67259;767.913;102.682;633.962;2.46618;7.99324;76.0293;91.9441;3039.83;461.597;177.55;4.87499;1.87209;1.77976;4.80648;277.153;63.9852;63.6194;64.2194;63.6395;60.7808;7.86931;7.75117;1133.96;0.392411;3.47285;3.10619;668.459;206.621;69.4196;1209.06;558.629;542.507;15412.9;258.103
1;300;4.8704e-06;2.56e-08;12.8847;4.26291e-08;173.982;0.0358678;2.42454;9.67075;5.48361;5.33715;2.91381;4.26291e-08;2547.36;1.13934;205.366;306.93;1.71227;1.16479;4.53984;0.431501;224.341;656.818;1229.85;9.65368;49.6332;0.774581;436.616;17.0161;3.67058;39.3331;9.70136;15951.9;1928.94;112.564;40.139;2.37015;0.000245499;0.409255;236.751;271.545;3.53756;8.17582;8.28824;0.588284;0.394446;2.21214;4.11351;3.57766;4.10417;25.5153;2559.24;7.23579;2376.23;216.618;11.1827;5.26823;12959.1;5.87218;626.387;4.9666;134.796;6.63167;0.800558;1.20068;2.58582;1.99586;2.30771;9524.16;0.814513;588.019;594.66;592.874;5383.28;1902.3;9100.67;508.258;2559.62;2.2234;0.895277;1.7519;804.329;107.552;664.016;2.58325;8.37211;79.6343;96.3038;3183.98;483.485;185.969;5.10596;1.96066;1.86395;5.0342;290.293;67.0194;66.6372;67.264;66.6575;63.6616;8.24035;8.11681;1187.73;0.412023;3.63754;3.25349;700.156;216.419;72.7086;1266.39;585.116;568.265;16143.8;270.266
1;400;9.7088e-06;5.12e-08;13.8243;4.5773e-08;186.813;0.0375881;2.60333;10.3833;5.88736;5.73018;3.12964;4.5773e-08;2735.22;1.22429;220.512;329.566;1.83959;1.25079;4.87372;0.46425;240.887;705.259;1320.55;10.365;53.2946;0.832123;468.816;18.2705;3.94285;42.234;10.4168;17128.4;2071.21;120.866;43.0992;2.54569;0.000683389;0.439436;254.211;291.571;3.79737;8.77774;8.89833;0.631816;0.423547;2.37528;4.41568;3.84048;4.40572;27.3962;2747.99;7.76828;2551.47;232.636;12.0071;5.65647;13914.8;6.30553;672.582;5.33141;144.738;7.12047;0.8596;1.28712;2.76823;2.14304;2.4643;10226.6;0.874836;631.386;638.516;636.599;5780.3;2042.59;9771.85;545.742;2748.4;2.38708;0.961513;1.88111;863.651;115.486;712.972;2.77407;8.98913;85.5065;103.405;3418.8;519.142;199.684;5.48203;2.10478;2.0009;5.40497;311.697;71.9621;71.554;72.2232;71.5738;68.3532;8.8469;8.71436;1275.32;0.442888;3.90581;3.49343;751.792;232.38;78.0663;1359.79;628.262;610.239;17334.4;290.049
1;500;1.93856e-05;1.024e-07;15.2033;5.03857e-08;205.638;0.0401507;2.86561;11.4289;6.47976;6.30685;3.44627;5.03857e-08;3010.86;1.34889;242.733;362.777;2.02648;1.37709;5.36361;0.51226;265.163;776.33;1453.63;11.4087;58.6665;0.916543;516.059;20.1112;4.34267;46.4903;11.4666;18854.4;2279.95;133.046;47.4423;2.80407;0.00189325;0.483718;279.827;320.952;4.1783;9.66061;9.79317;0.695867;0.466258;2.61463;4.85873;4.22584;4.84787;30.156;3024.92;8.54928;2808.6;256.162;13.2167;6.22569;15317;6.94159;740.359;5.86632;159.323;7.83737;0.946224;1.41208;3.02946;2.35895;2.68265;11257.1;0.96368;695.012;702.861;700.75;6362.79;2248.44;10756.6;600.738;3025.36;2.62681;1.05897;2.07068;950.691;127.128;784.784;3.05439;9.89394;94.1211;113.824;3763.33;571.457;219.805;6.03322;2.31567;2.20123;5.94838;343.1;79.214;78.7703;79.4977;78.7871;75.2328;9.73654;9.59083;1403.84;0.488138;4.29941;3.84546;827.55;255.798;85.9247;1496.81;691.558;671.855;19081.2;319.001
1;600;3.87392e-05;2.048e-07;16.9345;5.62051e-08;229.386;0.0426502;3.19639;12.7474;7.22658;7.0339;3.8465;5.62051e-08;3358.6;1.50682;270.766;404.676;2.26344;1.53685;5.98087;0.573564;295.791;865.994;1621.51;12.7249;65.4444;1.02339;575.661;22.4334;4.84933;51.8604;12.7909;21032;2543.33;148.412;52.9212;3.13255;0.00519116;0.53958;312.142;358.018;4.65734;10.7729;10.9204;0.777279;0.520188;2.91658;5.41596;4.71054;5.40405;33.637;3374.29;9.53292;3132.99;285.892;14.7428;6.94228;17086;7.74482;825.864;6.53904;177.724;8.74102;1.05551;1.56318;3.34356;2.63126;2.92863;12557.3;1.07679;775.282;784.04;781.684;7097.66;2508.15;11998.9;670.121;3374.78;2.92778;1.18277;2.30984;1060.51;141.822;875.346;3.40929;11.034;104.987;126.965;4197.98;637.455;245.187;6.72679;2.57997;2.45208;6.6321;382.712;88.3628;87.8814;88.6708;87.8876;83.9005;10.8572;10.695;1565.97;0.545597;4.79599;4.28956;923.127;285.342;95.834;1669.68;771.394;749.66;21285;355.356
1;700;7.74464e-05;4.096e-07;18.7988;6.25257e-08;255.181;0.0440896;3.55533;14.1787;8.03679;7.82275;4.2826;6.25257e-08;3736.29;1.67963;301.213;450.185;2.52337;1.71165;6.6499;0.64143;329.059;963.387;1803.86;14.1536;72.8075;1.14002;640.397;24.9563;5.40421;57.6942;14.2293;23397.2;2829.46;165.103;58.8713;3.49552;0.0135747;0.600245;347.236;398.276;5.17445;11.978;12.1414;0.86753;0.578903;3.24448;6.01765;5.23394;6.00478;37.4169;3753.78;10.5979;3485.35;318.275;16.4008;7.71507;19007.5;8.61929;918.732;7.2654;197.711;9.72039;1.17421;1.70988;3.65674;2.92664;3.13468;13969.5;1.202;862.466;872.212;869.59;7895.82;2790.26;13348.3;745.483;3754.31;3.24933;1.31918;2.56964;1179.82;157.794;973.635;3.79848;12.2688;116.782;141.233;4670.07;709.138;272.748;7.47524;2.86231;2.71947;7.36978;425.728;98.2998;97.7938;98.6255;97.771;93.2861;12.071;11.8913;1742.07;0.608653;5.33536;4.77185;1026.94;317.431;106.588;1857.44;858.059;834.297;23678.7;394.53
1;800;0.000154861;8.192e-07;20.5473;6.8561e-08;279.809;0.0434408;3.89714;15.544;8.80884;8.57462;4.70134;6.8561e-08;4096.93;1.84666;330.285;493.639;2.77703;1.88206;7.28632;0.708267;360.828;1056.39;1977.97;15.5165;79.8401;1.2523;702.21;27.3679;5.94116;63.2675;15.6028;25655.6;3102.74;181.067;64.5506;3.85435;0.0619038;0.658145;380.73;436.716;5.66325;13.1239;13.3018;0.95864;0.635342;3.55726;6.58662;5.72898;6.57313;41.0246;4116.15;11.6093;3821.83;349.339;17.9858;8.43404;20842.1;9.45919;1007.4;7.95223;216.793;10.6504;1.28754;1.81154;3.92805;3.20644;3.22592;15317.9;1.32523;945.711;956.406;953.526;8657.93;3059.67;14636.8;817.445;4116.71;3.53702;1.4525;2.81779;1293.78;173.059;1067.38;4.18017;13.4408;128.038;154.85;5120.84;777.588;299.047;8.17886;3.12119;2.96331;8.06296;466.79;107.788;107.29;108.119;107.201;102.189;13.2245;13.0286;1910.19;0.669893;5.85045;5.2322;1126.06;348.072;116.843;2036.73;940.705;915.317;25964.3;431.435
1;900;0.00030969;1.6384e-06;21.9999;7.38277e-08;301.299;0.0393784;4.19301;16.7328;9.4797;9.22825;5.071;7.38277e-08;4411.65;1.99592;355.653;531.559;3.01011;2.03923;7.83714;0.770126;388.559;1137.56;2129.91;16.7035;85.9809;1.35194;756.154;29.4791;6.41631;68.1374;16.8014;27626.3;3341.28;195.146;69.5012;4.18655;0.322421;0.708606;409.919;470.266;6.08523;14.1194;14.3094;1.05018;0.68551;3.827;7.07793;6.1566;7.06417;44.1704;4432.4;12.4865;4115.48;376.652;19.3739;9.00757;22443.1;10.2034;1084.77;8.54543;233.414;11.4504;1.38643;1.827;4.18601;3.41492;3.12845;16494.6;1.43442;1018.35;1029.88;1026.78;9323.01;3294.81;15761.2;880.253;4432.99;3.72921;1.57038;3.03458;1393.29;186.384;1149.11;4.53781;14.4528;137.867;166.738;5514.2;837.345;321.966;8.77125;3.32611;3.15357;8.64593;502.605;116.067;115.633;116.396;115.411;109.849;14.2262;14.0166;2056.88;0.725048;6.30008;5.63349;1212.56;374.784;125.774;2193.23;1012.64;986.305;27958.9;462.926
