condition;iter;t;dt;10fthfglu3;12dgr;13dpg;1ag3p;2pg;3pg;5fthf;5fthfglu3;ACP_R;ACP;DNA;PdhC;ac;accoa;acdhlpl_PdhC;actp;ade;adn;adp;amp;ap;apoACP;atp;cdp;cdpdag;clpn;cmp;co2;coa;ctp;dUTPase;dad_2;dadp;damp;datp;dcdp;dcmp;dctp;dcyt;dgdp;dgmp;dgsn;dgtp;dhap;dhlpl_PdhC;dnad;dtdp;dtmp;dttp;e4p;f6p;fa;fdp;fmettrna;for;g1p;g3p;g6p;galfur12dgr;gdp;glyc3p;glyc;gmp;gsn;gtp;gua;h2o;h;lgltn;lpl_PdhC;methfglu3;mlthfglu3;nac;nad;nadh;nadp;nadph;nh3;nicrnt;o2;pa;pap;pep;pg3p;pg;pi;ppi;prpp;pyr;r1p;r5p;ru5p__D;s7p;thfglu3;thymd;trdox;trdrd;udp;udpg;udpgal;udpgalfur;udpgltn;ump;ura;utp;xu5p__D;rRNA;AA;tRNA;AAtRNA;Protein
20;0;0;0.0001;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.020975;0.0154;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.176523;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.012514;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.000900901;0.0455672;0.000900901;0.000900901;0.000900901;0.634427
20;100;2.6496e-06;6.4e-09;0.000902034;0.000900832;0.000896637;0.00090093;0.000900496;0.000903849;0.000831138;0.000901021;0.000900909;0.020975;0.0153977;0.00090033;0.000902322;0.000900919;0.000900893;0.000897575;0.000900886;0.00089879;0.000674953;0.000898548;0.000896437;0.176522;0.00118472;0.000896447;0.000900901;0.000900901;0.000904075;0.000910933;0.000900882;0.000899241;0.000900266;0.000902095;0.000896434;0.000900115;0.000902239;0.000896444;0.000900102;0.000901289;0.000901958;0.000896432;0.000900125;0.000902186;0.000901325;0.00090098;0.000900905;0.000897205;0.000896437;0.00090011;0.000902213;0.000900853;0.000904692;0.000914363;0.000896359;0.000862263;0.000900896;0.000900891;0.000900973;0.000904596;0.000900906;0.000896415;0.000897238;0.00091291;0.000903899;0.000898821;0.000903575;0.000900885;0.000905815;0.000910731;0.000900901;0.00090084;0.000897435;0.0125141;0.000899002;0.000901256;0.000900654;0.000896767;0.000900845;0.000911026;0.00090459;0.000910931;0.000900975;0.000900901;0.000895228;0.000900962;0.000900846;0.000873561;0.000894548;0.000895287;0.000914009;0.000900737;0.000904482;0.000900771;0.000900831;0.000899572;0.000902044;0.000909074;0.000901773;0.00089645;0.00090089;0.000900901;0.000900882;0.000900905;0.000903968;0.000910843;0.000906601;0.000900813;0.0455664;0.000898081;0.000436676;0.00151899;0.634305
20;200;2.976e-06;2.56e-09;0.000902024;0.000900822;0.000896188;0.000900935;0.000900436;0.000904157;0.000824269;0.000901033;0.00090091;0.020975;0.0153975;0.000900274;0.000902471;0.000900922;0.000900891;0.000897227;0.000900883;0.000898571;0.000651673;0.000898231;0.000895968;0.176522;0.00121402;0.000895982;0.000900901;0.000900901;0.000904389;0.000911985;0.000900879;0.000899042;0.000900204;0.00090222;0.000895967;0.000900033;0.000902378;0.000895978;0.000900018;0.000901328;0.000902069;0.000895965;0.000900044;0.00090232;0.000901368;0.000900993;0.000900906;0.000896805;0.00089597;0.000900027;0.00090235;0.000900845;0.000905117;0.000915775;0.000895874;0.0008624;0.000900896;0.000900889;0.000900986;0.000904968;0.000900907;0.000895946;0.000896853;0.00091417;0.000904185;0.000898605;0.000903829;0.000900882;0.00090632;0.000911764;0.000900902;0.000900834;0.000897076;0.0125141;0.000898803;0.000901304;0.000900614;0.000896356;0.000900813;0.000912089;0.000904987;0.000911983;0.000900985;0.000900901;0.000894654;0.00090097;0.000900839;0.000870782;0.000893902;0.000894682;0.000915382;0.000900708;0.000904884;0.000900748;0.000900819;0.000899554;0.000902163;0.00090908;0.000902263;0.000895986;0.000900888;0.000900901;0.000900879;0.000900905;0.000904267;0.000911886;0.000907179;0.000900797;0.0455664;0.000897791;0.000391248;0.00157579;0.634293
20;300;3.4496e-06;5.12e-09;0.00090198;0.000900809;0.000895561;0.000900943;0.000900347;0.000904586;0.00081469;0.000901051;0.000900913;0.020975;0.0153972;0.000900197;0.000902679;0.000900927;0.000900889;0.000896741;0.000900879;0.000898266;0.00061925;0.000897765;0.000895313;0.176522;0.00125484;0.000895335;0.000900901;0.000900901;0.000904823;0.000913454;0.000900874;0.000898745;0.000900118;0.000902393;0.000895317;0.000899918;0.000902571;0.000895329;0.000899901;0.000901382;0.000902222;0.000895315;0.00089993;0.000902507;0.000901428;0.000901015;0.000900908;0.000896241;0.00089532;0.000899911;0.000902539;0.000900832;0.000905718;0.000917745;0.000895194;0.000863548;0.000900895;0.000900886;0.000901005;0.000905483;0.000900908;0.00089529;0.000896316;0.000915927;0.000904574;0.000898304;0.000904161;0.000900878;0.000907026;0.000913205;0.000900902;0.000900826;0.000896578;0.0125141;0.000898525;0.000901372;0.000900552;0.000895783;0.000900769;0.000913571;0.000905545;0.000913451;0.000900999;0.000900901;0.000893861;0.000900982;0.000900828;0.000866914;0.00089302;0.00089383;0.000917296;0.000900663;0.000905456;0.000900714;0.000900801;0.000899555;0.000902329;0.00090908;0.000902952;0.00089534;0.000900885;0.000900901;0.000900874;0.000900907;0.000904677;0.000913341;0.000907969;0.000900773;0.0455665;0.000897387;0.000328302;0.00165377;0.634276
20;400;3.5369e-06;3.2768e-12;0.000901969;0.000900806;0.000895449;0.000900945;0.00090033;0.000904663;0.000813883;0.000901054;0.000900913;0.020975;0.0153971;0.000900183;0.000902716;0.000900928;0.000900889;0.000896654;0.000900878;0.000898211;0.000613952;0.000897678;0.000895196;0.176522;0.00126155;0.000895219;0.000900901;0.000900901;0.0009049;0.000913717;0.000900873;0.000898689;0.000900103;0.000902424;0.000895201;0.000899897;0.000902606;0.000895213;0.00089988;0.000901392;0.00090225;0.000895198;0.00089991;0.00090254;0.000901438;0.000901019;0.000900908;0.00089614;0.000895204;0.000899891;0.000902573;0.000900829;0.000905827;0.000918098;0.000895072;0.000863871;0.000900895;0.000900886;0.000901009;0.000905575;0.000900908;0.000895173;0.00089622;0.000916242;0.000904643;0.00089825;0.000904217;0.000900877;0.000907132;0.000913465;0.000900902;0.000900825;0.000896488;0.0125141;0.000898475;0.000901384;0.000900541;0.000895732;0.000900709;0.000913837;0.000905645;0.000913714;0.000901002;0.000900901;0.000893719;0.000900984;0.000900826;0.000866337;0.000892865;0.000893676;0.000917639;0.000900655;0.000905559;0.000900707;0.000900798;0.000899559;0.000902359;0.000907366;0.000903879;0.000895225;0.000900884;0.000900901;0.000900873;0.000900907;0.000904749;0.000913602;0.000908108;0.000900769;0.0455665;0.000897314;0.000317095;0.00166757;0.634273
20;500;3.53749e-06;6.5536e-12;0.000901969;0.000900806;0.000895448;0.000900945;0.00090033;0.000904664;0.000813871;0.000901054;0.000900913;0.020975;0.0153971;0.000900183;0.000902716;0.000900928;0.000900888;0.000896653;0.000900878;0.000898211;0.000613913;0.000897678;0.000895195;0.176522;0.0012616;0.000895218;0.000900901;0.000900901;0.0009049;0.000913719;0.000900873;0.000898688;0.000900103;0.000902425;0.0008952;0.000899897;0.000902606;0.000895212;0.00089988;0.000901392;0.00090225;0.000895197;0.00089991;0.00090254;0.000901439;0.000901019;0.000900908;0.000896139;0.000895203;0.000899891;0.000902573;0.000900829;0.000905828;0.0009181;0.000895071;0.000863873;0.000900895;0.000900886;0.000901009;0.000905575;0.000900908;0.000895172;0.00089622;0.000916244;0.000904643;0.00089825;0.000904217;0.000900877;0.000907132;0.000913467;0.000900902;0.000900825;0.000896488;0.0125141;0.000898474;0.000901384;0.000900541;0.000895731;0.000900709;0.000913839;0.000905646;0.000913716;0.000901002;0.000900901;0.000893719;0.000900984;0.000900826;0.000866332;0.000892864;0.000893675;0.000917641;0.000900655;0.00090556;0.000900707;0.000900798;0.000899559;0.000902359;0.000907367;0.000903879;0.000895224;0.000900884;0.000900901;0.000900873;0.000900907;0.00090475;0.000913604;0.000908109;0.000900769;0.0455665;0.000897314;0.00031702;0.00166767;0.634273
20;600;3.53866e-06;1.31072e-11;0.000901968;0.000900806;0.000895446;0.000900945;0.00090033;0.000904665;0.000813846;0.000901054;0.000900913;0.020975;0.0153971;0.000900183;0.000902717;0.000900928;0.000900888;0.000896652;0.000900878;0.00089821;0.000613834;0.000897677;0.000895193;0.176522;0.0012617;0.000895217;0.000900901;0.000900901;0.000904901;0.000913722;0.000900873;0.000898687;0.000900102;0.000902425;0.000895198;0.000899897;0.000902606;0.000895211;0.00089988;0.000901392;0.000902251;0.000895196;0.00089991;0.000902541;0.000901439;0.000901019;0.000900908;0.000896138;0.000895202;0.00089989;0.000902574;0.000900829;0.000905829;0.000918105;0.00089507;0.000863878;0.000900895;0.000900885;0.000901009;0.000905576;0.000900908;0.00089517;0.000896218;0.000916249;0.000904644;0.000898249;0.000904218;0.000900877;0.000907134;0.00091347;0.000900902;0.000900825;0.000896487;0.0125141;0.000898474;0.000901384;0.00090054;0.00089573;0.000900709;0.000913843;0.000905648;0.000913719;0.000901002;0.000900901;0.000893717;0.000900984;0.000900826;0.000866323;0.000892862;0.000893673;0.000917646;0.000900655;0.000905562;0.000900707;0.000900798;0.000899559;0.00090236;0.000907371;0.000903879;0.000895222;0.000900884;0.000900901;0.000900873;0.000900907;0.000904751;0.000913607;0.000908111;0.000900769;0.0455665;0.000897313;0.000316871;0.00166785;0.634273
20;700;3.541e-06;2.62144e-11;0.000901968;0.000900806;0.000895443;0.000900945;0.000900329;0.000904667;0.000813796;0.000901054;0.000900913;0.020975;0.0153971;0.000900183;0.000902718;0.000900928;0.000900888;0.00089665;0.000900878;0.000898209;0.000613676;0.000897674;0.00089519;0.176522;0.0012619;0.000895213;0.000900901;0.000900901;0.000904903;0.000913729;0.000900873;0.000898686;0.000900102;0.000902426;0.000895195;0.000899896;0.000902607;0.000895208;0.000899879;0.000901392;0.000902251;0.000895193;0.000899909;0.000902542;0.000901439;0.000901019;0.000900908;0.000896135;0.000895199;0.00089989;0.000902575;0.000900829;0.000905832;0.000918114;0.000895066;0.000863887;0.000900895;0.000900885;0.000901009;0.000905579;0.000900908;0.000895167;0.000896216;0.000916257;0.000904646;0.000898248;0.00090422;0.000900877;0.000907138;0.000913477;0.000900902;0.000900824;0.000896484;0.0125141;0.000898472;0.000901385;0.00090054;0.000895727;0.000900709;0.00091385;0.00090565;0.000913726;0.000901002;0.000900901;0.000893713;0.000900984;0.000900826;0.000866304;0.000892858;0.000893669;0.000917655;0.000900655;0.000905564;0.000900707;0.000900798;0.000899559;0.00090236;0.000907378;0.000903879;0.000895219;0.000900884;0.000900901;0.000900873;0.000900907;0.000904753;0.000913614;0.000908115;0.000900769;0.0455665;0.000897311;0.000316571;0.00166822;0.634273
20;800;3.5457e-06;5.24288e-11;0.000901967;0.000900806;0.000895437;0.000900945;0.000900328;0.000904671;0.000813697;0.000901054;0.000900913;0.020975;0.0153971;0.000900182;0.00090272;0.000900928;0.000900888;0.000896645;0.000900878;0.000898206;0.000613362;0.00089767;0.000895184;0.176522;0.0012623;0.000895207;0.000900901;0.000900901;0.000904907;0.000913744;0.000900873;0.000898683;0.000900101;0.000902428;0.000895189;0.000899895;0.000902609;0.000895201;0.000899878;0.000901393;0.000902253;0.000895186;0.000899908;0.000902544;0.00090144;0.000901019;0.000900908;0.000896129;0.000895192;0.000899889;0.000902577;0.000900829;0.000905838;0.000918133;0.00089506;0.000863905;0.000900895;0.000900885;0.00090101;0.000905584;0.000900908;0.000895161;0.000896211;0.000916274;0.00090465;0.000898245;0.000904223;0.000900877;0.000907145;0.000913491;0.000900902;0.000900824;0.000896479;0.0125141;0.00089847;0.000901385;0.000900539;0.000895721;0.000900709;0.000913864;0.000905656;0.00091374;0.000901002;0.000900901;0.000893705;0.000900984;0.000900826;0.000866266;0.000892849;0.000893661;0.000917673;0.000900654;0.00090557;0.000900707;0.000900797;0.00089956;0.000902362;0.000907392;0.000903879;0.000895213;0.000900884;0.000900901;0.000900873;0.000900907;0.000904757;0.000913628;0.000908122;0.000900768;0.0455665;0.000897307;0.000315973;0.00166896;0.634273
20;900;3.55508e-06;1.04858e-10;0.000901966;0.000900806;0.000895425;0.000900945;0.000900327;0.000904679;0.000813498;0.000901055;0.000900913;0.020975;0.0153971;0.000900181;0.000902724;0.000900928;0.000900888;0.000896636;0.000900878;0.0008982;0.000612733;0.00089766;0.000895171;0.176522;0.00126309;0.000895195;0.000900901;0.000900901;0.000904915;0.000913772;0.000900873;0.000898677;0.0009001;0.000902431;0.000895176;0.000899893;0.000902613;0.000895189;0.000899876;0.000901394;0.000902256;0.000895174;0.000899906;0.000902547;0.000901441;0.00090102;0.000900908;0.000896119;0.00089518;0.000899886;0.00090258;0.000900829;0.00090585;0.000918171;0.000895047;0.000863942;0.000900895;0.000900885;0.00090101;0.000905594;0.000900908;0.000895148;0.0008962;0.000916308;0.000904657;0.000898239;0.000904228;0.000900877;0.000907159;0.000913519;0.000900902;0.000900824;0.00089647;0.0125141;0.000898464;0.000901387;0.000900538;0.000895709;0.000900709;0.000913892;0.000905666;0.000913769;0.000901002;0.000900901;0.00089369;0.000900984;0.000900825;0.00086619;0.000892833;0.000893644;0.00091771;0.000900653;0.000905581;0.000900706;0.000900797;0.00089956;0.000902365;0.00090742;0.000903879;0.000895201;0.000900884;0.000900901;0.000900873;0.000900907;0.000904764;0.000913656;0.000908137;0.000900768;0.0455665;0.000897299;0.000314778;0.00167043;0.634273
