condition;iter;t;dt;10fthfglu3;12dgr;13dpg;1ag3p;2dr1p;2dr5p;2pg;3pg;5fthf;5fthfglu3;ACP_R;ACP;DNA;PdhC;ac;acald;accoa;actp;ade;adp;amp;ap;apoACP;atp;cdp;cdpdag;clpn;cmp;coa;ctp;dUTPase;dad_2;dadp;damp;datp;dcdp;dcmp;dctp;dcyt;dgdp;dgmp;dgsn;dgtp;dhap;dhlpl_PdhC;dnad;dtdp;dtmp;dttp;dump;e4p;f6p;fa;fdp;fmettrna;fmn;for;g1p;g3p;g6p;galfur12dgr;gdp;glyc3p;glyc;gmp;gtp;gua;h2o;h;lac__L;lgltn;lpl_PdhC;methfglu3;mlthfglu3;nac;nad;nadh;nadp;nadph;nh3;nicrnt;o2;pa;pap;pep;pg3p;pg;pi;ppi;prpp;pyr;r5p;ribflv;ru5p__D;s7p;thfglu3;thymd;trdox;trdrd;udp;udpg;udpgal;udpgalfur;udpgltn;ump;ura;utp;xu5p__D;rRNA;AA;tRNA;AAtRNA;Protein
1;0;0;0.0001;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.0206038;0.0154;0.000884956;0.000884956;0.0176348;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.173544;0.000884956;0.000884956;0.000884956;0.00190167;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.0131954;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.0137713;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.0455672;0.000884956;0.000884956;0.000884956;0.606346
1;100;9.952e-06;3.2e-08;0.000885207;0.000884709;0.000873606;0.000885155;0.000884623;0.000884314;0.000883053;0.000892664;0.000693173;0.000885269;0.000885013;0.0206037;0.0153941;0.000882857;0.000914646;0.0176349;0.000884984;0.000876229;0.000884827;0.000292561;0.000873888;0.000873136;0.173543;0.0016327;0.000873194;0.000884955;0.00190167;0.000894396;0.000884966;0.000865458;0.000883829;0.000888315;0.000873303;0.000882892;0.000888389;0.00087333;0.000883774;0.000885887;0.000887717;0.000873168;0.000882918;0.000888547;0.000886139;0.000885409;0.000884375;0.000873252;0.00087331;0.000882879;0.000888322;0.000884037;0.000884645;0.000896299;0.000920365;0.000872556;0.000867403;0.000873225;0.000884948;0.000884888;0.00088597;0.000893893;0.000884971;0.000873172;0.00087529;0.000916548;0.00089461;0.000874763;0.000884825;0.000897505;0.000911615;0.000885024;0.000884957;0.00088651;0.000876065;0.0131958;0.000879958;0.000875862;0.000892673;0.000885026;0.000873911;0.000911594;0.00089647;0.000911344;0.000885221;0.000884955;0.000870999;0.000885174;0.000884758;0.000815145;0.000886051;0.000867384;0.000919293;0.000896158;0.000889892;0.000884206;0.000884575;0.000883844;0.000887942;0.000909015;0.0137724;0.000873316;0.00088489;0.000884958;0.000884897;0.000884968;0.000894395;0.000911121;0.00088764;0.000884385;0.0455594;0.00087821;9.58619e-05;0.00209539;0.605958
1;200;1.5424e-05;6.4e-08;0.000882966;0.000884574;0.000872409;0.000885328;0.00088433;0.000883783;0.00088172;0.000893315;0.000676214;0.000885296;0.000885061;0.0206036;0.0153935;0.000881893;0.000917429;0.017635;0.000885013;0.000875437;0.000884715;0.000262738;0.000863448;0.000871942;0.173543;0.00168721;0.000872134;0.000884954;0.00190167;0.000895247;0.000884971;0.000852608;0.000883796;0.000888781;0.000872346;0.000882706;0.000888602;0.000872378;0.000884193;0.00088586;0.000887942;0.000872095;0.000882735;0.000889029;0.000886263;0.000885781;0.000883905;0.000868795;0.000872355;0.000882692;0.000888527;0.000883426;0.000884389;0.000899074;0.000923668;0.000870843;0.00093385;0.000872168;0.000884947;0.000884833;0.000886815;0.000893746;0.000884983;0.000872099;0.000874356;0.000919504;0.000895479;0.000861352;0.000884711;0.000898341;0.000914205;0.000885082;0.000884959;0.000887916;0.000875551;0.0131961;0.000879488;0.000873551;0.000891929;0.000885103;0.000872777;0.000914151;0.00090072;0.000913823;0.000885362;0.000884955;0.000871067;0.000885289;0.000884654;0.000812694;0.000898027;0.000860844;0.000922325;0.000900663;0.000890314;0.000883606;0.000884276;0.000885521;0.000888187;0.000908949;0.0137736;0.000872366;0.000884836;0.000884959;0.000884848;0.000884978;0.000895241;0.000913587;0.000878983;0.000883917;0.0455585;0.000877686;0.000101913;0.00219597;0.605807
1;300;2.6368e-05;1.28e-07;0.000879245;0.00088431;0.000871255;0.000885721;0.000883668;0.000882582;0.00087888;0.000893696;0.000662915;0.000885312;0.000885169;0.0206035;0.0153931;0.000879701;0.000919559;0.0176353;0.000885079;0.000874869;0.000884461;0.000272367;0.000840018;0.000870873;0.173543;0.00171776;0.000871385;0.000884952;0.00190167;0.000895848;0.000884982;0.000828783;0.000883733;0.000889401;0.000871831;0.000882574;0.000888582;0.000871869;0.000885344;0.000885648;0.000888066;0.000871317;0.000882605;0.000889652;0.00088638;0.000886624;0.000882867;0.0008597;0.000871842;0.000882559;0.000888498;0.000882137;0.00088381;0.000904073;0.000926172;0.000868595;0.00103995;0.00087142;0.000884947;0.000884709;0.000888729;0.000891983;0.000885011;0.000871322;0.000873587;0.000921758;0.000896091;0.000835324;0.000884452;0.000898798;0.000916306;0.000885214;0.000884962;0.000891091;0.000875658;0.0131967;0.000879125;0.000869314;0.000888893;0.000885163;0.000871849;0.000916209;0.000909335;0.000915726;0.000885634;0.000884954;0.00087332;0.000885513;0.000884451;0.000815427;0.000921226;0.00084757;0.000924331;0.000909929;0.000890579;0.000882269;0.000883613;0.000888047;0.000888326;0.000908896;0.0137745;0.000871863;0.00088471;0.000884963;0.000884736;0.000885001;0.000895829;0.000915492;0.000861097;0.000882859;0.0455575;0.000877269;0.000113819;0.00240853;0.60552
1;400;4.8256e-05;2.56e-07;0.000873012;0.0008838;0.000868947;0.000886663;0.000882082;0.000879685;0.000872683;0.00089426;0.000639563;0.000885337;0.000885431;0.0206032;0.0153923;0.000874472;0.000923264;0.0176358;0.000885236;0.000873884;0.000883852;0.000298542;0.000790855;0.000868813;0.173543;0.00177623;0.000870095;0.000884947;0.00190167;0.000896883;0.00088501;0.000786001;0.000883621;0.000890778;0.000871097;0.000882347;0.000888371;0.000871151;0.000887906;0.000885099;0.000888268;0.00086996;0.00088238;0.000891026;0.000886607;0.000888671;0.000880511;0.000840574;0.000871112;0.000882331;0.000888271;0.000879336;0.000882418;0.000915587;0.000930525;0.000863705;0.00120765;0.000870134;0.000884946;0.000884413;0.000893341;0.00088734;0.000885079;0.000869964;0.000872158;0.000925676;0.00089714;0.000788603;0.000883833;0.000899697;0.000920027;0.000885539;0.00088497;0.000898583;0.000876188;0.0131979;0.000878494;0.000861956;0.000881165;0.000885265;0.000870125;0.000919828;0.00092725;0.000919028;0.000886148;0.000884953;0.000878869;0.000885935;0.00088407;0.000821733;0.000960411;0.000819908;0.000927523;0.000929594;0.000891021;0.000879129;0.000882069;0.00089168;0.000888555;0.000908867;0.0137761;0.000871137;0.000884384;0.000884972;0.000884465;0.000885056;0.000896829;0.00091881;0.000828998;0.000880312;0.0455558;0.000876559;0.000136102;0.00281486;0.605001
1;500;9.2032e-05;5.12e-07;0.000862359;0.000882864;0.00086385;0.000889042;0.000878109;0.000872325;0.000858966;0.000895043;0.000596066;0.000885378;0.000886104;0.0206025;0.0153909;0.000861418;0.00093012;0.0176372;0.000885627;0.000872029;0.000882318;0.000344577;0.000691196;0.000864454;0.173543;0.00190661;0.000867691;0.000884932;0.00190167;0.000898812;0.000885091;0.000714756;0.000883438;0.000894099;0.000870061;0.000881922;0.000887572;0.000870151;0.00089369;0.000883661;0.000888658;0.000867377;0.000881962;0.00089432;0.000887089;0.000893959;0.000875375;0.000801045;0.000870088;0.000881906;0.000887437;0.0008731;0.000878901;0.000943357;0.000938598;0.000852258;0.00147138;0.000867735;0.000884945;0.00088367;0.000905009;0.000875247;0.000885256;0.00086738;0.000869244;0.000932924;0.000899083;0.00071125;0.000882277;0.00090181;0.000927022;0.000886392;0.00088499;0.000916633;0.000877823;0.0132008;0.000877332;0.000852754;0.000860737;0.000885452;0.000866568;0.000926508;0.000963488;0.000925104;0.000887043;0.000884949;0.000892296;0.000886667;0.000883409;0.000834693;0.00101804;0.00076377;0.000932744;0.000970684;0.000891842;0.000871557;0.000878421;0.000896539;0.000888996;0.000908819;0.013779;0.000870011;0.000883448;0.000884996;0.000883762;0.0008852;0.000898661;0.000924941;0.000776386;0.000873885;0.0455537;0.000875306;0.000174227;0.00350703;0.604135
1;600;0.000179584;1.024e-06;0.000844232;0.000881241;0.000852609;0.000895053;0.000868255;0.000853574;0.000829469;0.000895258;0.000520609;0.000885427;0.00088787;0.0206005;0.0153886;0.000829004;0.00094184;0.0176407;0.000886584;0.000868779;0.000878455;0.000421847;0.000505986;0.000855344;0.173543;0.00216312;0.00086354;0.000884886;0.00190166;0.000902143;0.000885345;0.000604771;0.000883162;0.000902093;0.000869257;0.000881184;0.000885002;0.000869431;0.000906861;0.000879961;0.000889355;0.000862739;0.000881237;0.000902208;0.000888123;0.000907981;0.000866955;0.000724482;0.00086931;0.000881172;0.000884792;0.000859139;0.000870051;0.00100831;0.000952452;0.00082573;0.00186671;0.000863592;0.000884943;0.000881753;0.000934078;0.000845567;0.000885726;0.000862735;0.000863449;0.000945313;0.000902378;0.000592745;0.000878386;0.000906339;0.000939384;0.000888601;0.000885043;0.000957296;0.000882667;0.0132071;0.000875372;0.000854438;0.00080756;0.000885773;0.000859081;0.00093778;0.00103092;0.000935402;0.000888449;0.000884939;0.000924124;0.000887809;0.000882379;0.000864036;0.00109078;0.000658818;0.000939772;0.00105084;0.000893241;0.00085389;0.000870395;0.000901681;0.000889784;0.000908745;0.013784;0.000868406;0.000880489;0.000885058;0.000881889;0.000885584;0.000901694;0.000935413;0.000697983;0.000857848;0.0455548;0.000873302;0.000233629;0.00457127;0.602808
1;700;0.000354688;2.048e-06;0.000813569;0.000878128;0.000829968;0.00090912;0.000846285;0.000808949;0.000772898;0.000890654;0.000397167;0.000885453;0.000892371;0.0205955;0.0153848;0.000754021;0.0009604;0.017649;0.00088856;0.000863621;0.000869199;0.000541275;0.000204746;0.000837199;0.173543;0.00259122;0.000857034;0.000884718;0.00190164;0.000907361;0.00088633;0.000442623;0.000882777;0.000919826;0.000870358;0.000880019;0.00087818;0.000870713;0.000936356;0.000871264;0.000890396;0.000854934;0.000880096;0.000919635;0.000890387;0.000943787;0.000865915;0.000589653;0.000870465;0.000880019;0.00087782;0.00082837;0.00084948;0.00114267;0.000974449;0.000769855;0.00242131;0.000857097;0.00088494;0.000876812;0.000997955;0.000785413;0.000886966;0.000854872;0.000852506;0.000964903;0.000907171;0.0004202;0.000869556;0.000915076;0.000960165;0.000893284;0.000885184;0.00103317;0.00089569;0.013221;0.000872396;0.000895083;0.000694527;0.00088628;0.000841657;0.000955046;0.00114199;0.000951736;0.000890869;0.000884507;0.000991934;0.000889734;0.000880647;0.000928925;0.0011735;0.000484973;0.000947924;0.0011907;0.00089527;0.000816568;0.000855666;0.000903716;0.00089098;0.000908642;0.0137919;0.000864529;0.000870318;0.00088522;0.000876953;0.000886594;0.000905855;0.000952098;0.000594476;0.000821485;0.0455732;0.000870397;0.000319069;0.00608068;0.600926
1;800;0.000704896;4.096e-06;0.000761004;0.00086932;0.00079609;0.000937229;0.000807861;0.000714199;0.000691718;0.000862728;0.00020892;0.000885324;0.000903091;0.0205836;0.0153795;0.000597399;0.000986493;0.0176661;0.000890679;0.000857498;0.000817733;0.000685544;5.93042e-05;0.000806009;0.173544;0.00312228;0.000849182;0.000883686;0.00190159;0.000913655;0.00089077;0.000204769;0.000882272;0.000951939;0.000877917;0.000878582;0.000863037;0.000878618;0.00100076;0.000853261;0.00089075;0.000843658;0.0008787;0.000951083;0.000895481;0.00102269;0.00090711;0.000337246;0.000878123;0.000878622;0.000862403;0.000762314;0.000807482;0.00137012;0.00100504;0.000678281;0.00315956;0.00084925;0.000884936;0.000864114;0.00110765;0.000700707;0.000890157;0.000842819;0.000834854;0.000992236;0.000908076;0.000174926;0.000854567;0.000924011;0.000993121;0.000898285;0.000885547;0.00114858;0.000927891;0.0132509;0.000869872;0.000976003;0.000571901;0.000887003;0.000793309;0.000977434;0.00130527;0.0009762;0.000898425;0.00073482;0.00110971;0.000895421;0.000875526;0.00107647;0.00131812;0.000193026;0.00096118;0.00138296;0.000896559;0.000746326;0.000834706;0.000894825;0.000891561;0.000908496;0.0138031;0.000846635;0.000833679;0.000885628;0.000864259;0.000889194;0.000905081;0.000977544;0.000495239;0.000750536;0.0456424;0.000866724;0.000434709;0.00810118;0.598404
1;900;0.00140531;8.192e-06;0.000668367;0.000840323;0.000666724;0.00098495;0.000762088;0.000530969;0.000638918;0.000819518;4.26496e-05;0.000881561;0.000926741;0.0205574;0.01537;0.000304146;0.00101281;0.0176975;0.000887994;0.000851504;0.000737575;0.000860635;6.88522e-05;0.000757303;0.173546;0.00374315;0.000749348;0.000814443;0.00190148;0.000920804;0.00089998;5.6319e-05;0.000881693;0.000995336;0.000897846;0.000876873;0.000834396;0.000899155;0.00113723;0.000819493;0.000885867;0.000825778;0.000877068;0.00099329;0.000907925;0.00115257;0.00102682;2.23738e-05;0.000898208;0.000877019;0.000833266;0.000623711;0.000730386;0.00168231;0.00103706;0.000595302;0.00410633;0.000840297;0.000884931;0.000828201;0.00125326;0.000651099;0.00089862;0.000679694;0.000808526;0.00101977;0.00082715;3.44296e-05;0.000865011;0.000938126;0.00103546;0.000898764;0.000886508;0.00132245;0.00099812;0.0133134;0.00089414;0.00098944;0.000561726;0.000887742;0.000667274;0.000996222;0.00142694;0.00100371;0.000970686;0.000382692;0.00122845;0.000915602;0.000857317;0.00127757;0.00137788;0.000117257;0.00100421;0.00163066;0.000890774;0.000623296;0.000812574;0.000858563;0.000886879;0.000907557;0.0138146;0.000782741;0.000723094;0.000886583;0.000830694;0.000896083;0.000817129;0.00103218;0.000478393;0.000628214;0.0457881;0.000859648;0.000581961;0.0106746;0.595135
