condition;iter;t;dt;10fthfglu3;12dgr;13dpg;1ag3p;2dr1p;2dr5p;2pg;3pg;5fthf;5fthfglu3;ACP_R;ACP;DNA;PdhC;ac;acald;accoa;actp;ade;adp;amp;ap;apoACP;atp;cdp;cdpdag;clpn;cmp;coa;ctp;dUTPase;dad_2;dadp;damp;datp;dcdp;dcmp;dctp;dcyt;dgdp;dgmp;dgsn;dgtp;dhap;dhlpl_PdhC;dnad;dtdp;dtmp;dttp;dump;e4p;f6p;fa;fdp;fmettrna;fmn;for;g1p;g3p;g6p;galfur12dgr;gdp;glyc3p;glyc;gmp;gtp;gua;h2o;h;lac__L;lgltn;lpl_PdhC;methfglu3;mlthfglu3;nac;nad;nadh;nadp;nadph;nh3;nicrnt;o2;pa;pap;pep;pg3p;pg;pi;ppi;prpp;pyr;r5p;ribflv;ru5p__D;s7p;thfglu3;thymd;trdox;trdrd;udp;udpg;udpgal;udpgalfur;udpgltn;ump;ura;utp;xu5p__D;rRNA;AA;tRNA;AAtRNA;Protein
1;0;0;0.0001;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;22.6641;16.94;0.973451;0.973451;19.3983;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;190.899;0.973451;0.973451;0.973451;2.09184;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;14.5149;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;15.1484;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;0.973451;50.1239;0.973451;0.973451;0.973451;666.981
1;100;9.952e-06;3.2e-08;0.973728;0.97318;0.960967;0.973671;0.973085;0.972745;0.971358;0.981931;0.76249;0.973796;0.973514;22.6641;16.9335;0.971143;1.00611;19.3984;0.973483;0.963852;0.97331;0.321818;0.961277;0.960449;190.898;1.79597;0.960514;0.97345;2.09184;0.983836;0.973463;0.952004;0.972212;0.977147;0.960633;0.971182;0.977228;0.960663;0.972151;0.974475;0.976489;0.960485;0.97121;0.977402;0.974753;0.97395;0.972812;0.960577;0.960641;0.971167;0.977154;0.97244;0.973109;0.985929;1.0124;0.959812;0.954144;0.960548;0.973442;0.973377;0.974567;0.983283;0.973468;0.960489;0.962819;1.0082;0.984071;0.962239;0.973307;0.987256;1.00278;0.973527;0.973453;0.975161;0.963671;14.5154;0.967954;0.963448;0.981941;0.973529;0.961302;1.00275;0.986117;1.00248;0.973743;0.973451;0.958099;0.973691;0.973234;0.89666;0.974656;0.954123;1.01122;0.985774;0.978881;0.972627;0.973032;0.972228;0.976736;0.999916;15.1496;0.960647;0.97338;0.973454;0.973386;0.973465;0.983835;1.00223;0.976404;0.972824;50.1153;0.966031;0.105448;2.30493;666.554
1;200;1.5424e-05;6.4e-08;0.971263;0.973032;0.95965;0.973861;0.972763;0.972161;0.969893;0.982646;0.743835;0.973826;0.973567;22.664;16.9329;0.970082;1.00917;19.3985;0.973514;0.962981;0.973187;0.289012;0.949793;0.959136;190.898;1.85593;0.959348;0.973449;2.09184;0.984771;0.973468;0.937869;0.972175;0.97766;0.959581;0.970977;0.977463;0.959615;0.972613;0.974446;0.976736;0.959305;0.971008;0.977932;0.97489;0.974359;0.972295;0.955675;0.95959;0.970961;0.97738;0.971769;0.972828;0.988981;1.01603;0.957927;1.02723;0.959385;0.973442;0.973316;0.975496;0.98312;0.973481;0.959309;0.961792;1.01145;0.985027;0.947487;0.973182;0.988176;1.00563;0.97359;0.973455;0.976708;0.963106;14.5157;0.967436;0.960906;0.981122;0.973614;0.960055;1.00557;0.990792;1.00521;0.973898;0.973451;0.958174;0.973818;0.973119;0.893963;0.98783;0.946929;1.01456;0.990729;0.979346;0.971967;0.972704;0.974073;0.977006;0.999844;15.1509;0.959603;0.97332;0.973455;0.973332;0.973476;0.984765;1.00495;0.966882;0.972309;50.1144;0.965454;0.112105;2.41557;666.388
1;300;2.6368e-05;1.28e-07;0.96717;0.972741;0.95838;0.974293;0.972034;0.97084;0.966768;0.983066;0.729206;0.973844;0.973686;22.6639;16.9324;0.967671;1.01151;19.3988;0.973587;0.962356;0.972907;0.299604;0.92402;0.95796;190.898;1.88953;0.958523;0.973447;2.09184;0.985433;0.97348;0.911662;0.972106;0.978341;0.959014;0.970832;0.97744;0.959056;0.973879;0.974213;0.976872;0.958449;0.970865;0.978617;0.975018;0.975287;0.971154;0.94567;0.959026;0.970815;0.977348;0.970351;0.972191;0.99448;1.01879;0.955454;1.14394;0.958562;0.973442;0.97318;0.977601;0.981181;0.973512;0.958454;0.960946;1.01393;0.9857;0.918856;0.972898;0.988678;1.00794;0.973736;0.973458;0.9802;0.963224;14.5163;0.967037;0.956245;0.977783;0.973679;0.959034;1.00783;1.00027;1.0073;0.974198;0.97345;0.960651;0.974065;0.972897;0.896969;1.01335;0.932327;1.01676;1.00092;0.979637;0.970496;0.971975;0.976852;0.977158;0.999785;15.1519;0.95905;0.973181;0.973459;0.97321;0.973501;0.985412;1.00704;0.947207;0.971145;50.1133;0.964996;0.125201;2.64939;666.072
1;400;4.8256e-05;2.56e-07;0.960313;0.97218;0.955842;0.975329;0.97029;0.967653;0.959951;0.983686;0.703519;0.973871;0.973974;22.6635;16.9316;0.961919;1.01559;19.3994;0.97376;0.961272;0.972238;0.328396;0.86994;0.955694;190.898;1.95385;0.957105;0.973441;2.09184;0.986571;0.973511;0.864602;0.971983;0.979856;0.958206;0.970581;0.977208;0.958266;0.976696;0.973609;0.977095;0.956956;0.970618;0.980128;0.975268;0.977538;0.968562;0.924632;0.958223;0.970565;0.977098;0.967269;0.97066;1.00715;1.02358;0.950076;1.32842;0.957147;0.973441;0.972855;0.982675;0.976074;0.973587;0.956961;0.959374;1.01824;0.986854;0.867463;0.972217;0.989667;1.01203;0.974093;0.973467;0.988441;0.963807;14.5177;0.966343;0.948152;0.969282;0.973791;0.957137;1.01181;1.01998;1.01093;0.974763;0.973448;0.966756;0.974528;0.972477;0.903907;1.05645;0.901899;1.02028;1.02255;0.980123;0.967042;0.970276;0.980848;0.977411;0.999754;15.1537;0.958251;0.972822;0.973469;0.972911;0.973562;0.986512;1.01069;0.911898;0.968343;50.1114;0.964215;0.149713;3.09634;665.502
1;500;9.2032e-05;5.12e-07;0.948595;0.971151;0.950235;0.977946;0.96592;0.959557;0.944862;0.984548;0.655673;0.973915;0.974714;22.6627;16.93;0.94756;1.02313;19.4009;0.974189;0.959232;0.97055;0.379035;0.760316;0.9509;190.897;2.09727;0.95446;0.973425;2.09183;0.988693;0.9736;0.786232;0.971782;0.983508;0.957067;0.970114;0.97633;0.957166;0.983059;0.972027;0.977524;0.954114;0.970158;0.983751;0.975798;0.983355;0.962913;0.88115;0.957097;0.970097;0.976181;0.96041;0.966791;1.03769;1.03246;0.937484;1.61851;0.954509;0.973439;0.972037;0.99551;0.962772;0.973781;0.954118;0.956169;1.02622;0.988992;0.782375;0.970505;0.991991;1.01972;0.975031;0.973489;1.0083;0.965606;14.5208;0.965066;0.93803;0.946811;0.973998;0.953224;1.01916;1.05984;1.01761;0.975748;0.973444;0.981525;0.975334;0.97175;0.918163;1.11985;0.840147;1.02602;1.06775;0.981027;0.958712;0.966264;0.986192;0.977895;0.999701;15.1569;0.957013;0.971793;0.973495;0.972138;0.97372;0.988527;1.01743;0.854025;0.961273;50.109;0.962837;0.191649;3.85773;664.549
1;600;0.000179584;1.024e-06;0.928655;0.969366;0.93787;0.984558;0.95508;0.938931;0.912416;0.984784;0.57267;0.97397;0.976657;22.6605;16.9274;0.911905;1.03602;19.4048;0.975242;0.955657;0.966301;0.464032;0.556585;0.940879;190.897;2.37943;0.949894;0.973374;2.09183;0.992357;0.97388;0.665248;0.971478;0.992302;0.956183;0.969303;0.973502;0.956374;0.997547;0.967958;0.978291;0.949013;0.969361;0.992429;0.976935;0.99878;0.95365;0.79693;0.956241;0.969289;0.973271;0.945052;0.957056;1.10914;1.0477;0.908303;2.05339;0.949951;0.973437;0.969928;1.02749;0.930124;0.974299;0.949009;0.949794;1.03984;0.992616;0.652019;0.966225;0.996973;1.03332;0.977461;0.973548;1.05303;0.970934;14.5278;0.962909;0.939882;0.888316;0.97435;0.944989;1.03156;1.13401;1.02894;0.977294;0.973432;1.01654;0.97659;0.970617;0.95044;1.19986;0.7247;1.03375;1.15593;0.982566;0.939279;0.957435;0.991849;0.978763;0.999619;15.1624;0.955246;0.968538;0.973563;0.970078;0.974142;0.991864;1.02895;0.767781;0.943632;50.1103;0.960633;0.256992;5.0284;663.089
1;700;0.000354688;2.048e-06;0.894926;0.965941;0.912965;1.00003;0.930914;0.889844;0.850188;0.979719;0.436884;0.973998;0.981608;22.655;16.9233;0.829423;1.05644;19.4139;0.977416;0.949983;0.956119;0.595403;0.22522;0.920919;190.898;2.85034;0.942737;0.97319;2.09181;0.998097;0.974963;0.486885;0.971054;1.01181;0.957394;0.968021;0.965998;0.957785;1.02999;0.95839;0.979436;0.940427;0.968106;1.0116;0.979425;1.03817;0.952507;0.648618;0.957512;0.968021;0.965602;0.911207;0.934428;1.25694;1.07189;0.84684;2.66344;0.942807;0.973434;0.964493;1.09775;0.863955;0.975663;0.94036;0.937756;1.06139;0.997888;0.46222;0.956512;1.00658;1.05618;0.982612;0.973703;1.13649;0.985259;14.5431;0.959635;0.984591;0.76398;0.974908;0.925823;1.05055;1.25619;1.04691;0.979956;0.972957;1.09113;0.978708;0.968712;1.02182;1.29085;0.533471;1.04272;1.30977;0.984797;0.898225;0.941232;0.994088;0.980078;0.999507;15.1711;0.950982;0.95735;0.973742;0.964648;0.975254;0.99644;1.04731;0.653924;0.903634;50.1306;0.957437;0.350976;6.68874;661.019
1;800;0.000704896;4.096e-06;0.837104;0.956252;0.875699;1.03095;0.888647;0.785619;0.76089;0.949001;0.229812;0.973856;0.9934;22.6419;16.9174;0.657139;1.08514;19.4327;0.979747;0.943247;0.899507;0.754098;0.0652347;0.88661;190.898;3.43451;0.9341;0.972055;2.09175;1.00502;0.979847;0.225245;0.970499;1.04713;0.965709;0.966441;0.949341;0.96648;1.10084;0.938587;0.979825;0.928023;0.96657;1.04619;0.985029;1.12496;0.997821;0.37097;0.965935;0.966484;0.948644;0.838546;0.88823;1.50713;1.10554;0.746109;3.47552;0.934175;0.973429;0.950526;1.21842;0.770777;0.979173;0.927101;0.918339;1.09146;0.998884;0.192418;0.940024;1.01641;1.09243;0.988114;0.974102;1.26344;1.02068;14.5759;0.956859;1.0736;0.629092;0.975704;0.87264;1.07518;1.4358;1.07382;0.988267;0.808302;1.22068;0.984963;0.963079;1.18411;1.44993;0.212329;1.0573;1.52125;0.986215;0.820959;0.918176;0.984308;0.980717;0.999346;15.1834;0.931299;0.917047;0.974191;0.950685;0.978114;0.995589;1.0753;0.544762;0.825589;50.2066;0.953396;0.47818;8.91129;658.244
1;900;0.00140531;8.192e-06;0.735204;0.924356;0.733396;1.08344;0.838297;0.584065;0.70281;0.90147;0.0469146;0.969717;1.01941;22.6132;16.907;0.334561;1.11409;19.4672;0.976793;0.936655;0.811332;0.946699;0.0757374;0.833034;190.901;4.11747;0.824283;0.895887;2.09163;1.01288;0.989978;0.0619509;0.969862;1.09487;0.98763;0.964561;0.917836;0.989071;1.25096;0.901442;0.974454;0.908356;0.964775;1.09262;0.998718;1.26782;1.1295;0.0246111;0.988028;0.964721;0.916593;0.686082;0.803425;1.85054;1.14077;0.654833;4.51696;0.924326;0.973425;0.911021;1.37859;0.716209;0.988482;0.747663;0.889378;1.12174;0.909864;0.0378725;0.951512;1.03194;1.13901;0.98864;0.975159;1.45469;1.09793;14.6447;0.983554;1.08838;0.617899;0.976516;0.734002;1.09584;1.56964;1.10408;1.06775;0.420961;1.35129;1.00716;0.943048;1.40532;1.51567;0.128983;1.10463;1.79373;0.979852;0.685626;0.893831;0.94442;0.975567;0.998312;15.1961;0.861015;0.795403;0.975241;0.913763;0.985692;0.898842;1.1354;0.526232;0.691036;50.3669;0.945613;0.640157;11.7421;654.649
