condition;iter;t;dt;5FTHFabc;ACt;ATPase;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NH3t;O2t;PIabc;PYRt2r;RIBFLVabc;THMDabc;URAt2;trdoxt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCMPDA;DCYTK;DGK1;DGSNK;DNAP;DRPA;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM2;PRPPS;PSSYN;PTAr;PUNP2;PUNP4;PYK;PYK2;PYK4;PYK5;PYK7;PYK8;PdhC_transl;RBFK;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;rRNAP;tRNAP;AATRS;Ribosome
1;0;0;0.0001;0.0315962;0.0380889;6.01294;0.00558691;0.404088;0.0148952;0.46295;0.00746858;1e-10;6.15167;0.00280238;0.72;0.0477901;0.00178976;1e-10;0.0104843;0.000921884;0.542241;1.48874;2.91965;0.00385862;0.0225176;0.111655;0.0146538;1.00203;0.0414754;0.365006;0.106016;0.0223548;36.7857;3.4038;0.253524;0.108345;0.00620989;1e-10;0.0020265;0.532278;0.00182304;0.00825967;0.0191411;0.0193762;0.00135533;0.0009089;0.00676795;0.000934181;0.011692;0.00835529;0.00956238;0.0598747;0.2242;6.07303;0.0189325;5.5174;0.499082;0.027344;0.01214;30.7512;0.0135294;0.486776;0.0132;0.303259;0.00746641;0.0152807;1e-10;0.00278685;0.00598239;0.00459907;0.00535464;23.0232;0.00187654;39.9051;40;12.4996;4.59419;22.3837;0.394034;0.00532651;6.07392;0.0051239;0.00328527;0.00570033;1.06869;0.225085;1.49447;0.00595207;0.591095;0.171509;0.207571;8.4499;0.55927;1e-10;0.0119597;0.00435441;0.0117913;0.502052;0.00171315;0.312235;0.31135;0.312802;0.311401;0.294117;0.0192631;0.0190024;2.75782;0.0146562;0.00838196;0.007497;0.806028;0.486865;0.167736;0.100436;1.27411;37.0477;0.606346
1;100;9.952e-06;3.2e-08;0.0312572;0.0380625;6.01291;0.00558697;0.404071;0.0148762;0.462933;0.00749499;1e-10;6.15168;0.00282879;0.72;0.0478165;0.00179075;1e-10;0.0104579;0.000948285;0.542267;1.48871;2.91962;0.00384722;0.0224996;0.111682;0.014679;1.002;0.0414529;0.365042;0.106016;0.0223548;36.7855;3.40379;0.253524;0.108345;0.00621014;1e-10;0.0020265;0.532258;0.00179881;0.00823496;0.0191171;0.0193497;0.00135535;0.000908902;0.00676795;0.000933211;0.0116646;0.00833174;0.00953645;0.0598516;0.224201;6.07303;0.0189067;5.5174;0.499058;0.0273278;0.0121399;30.7512;0.0135299;0.486753;0.0131664;0.303259;0.00746699;0.0152802;1e-10;0.00276958;0.0059624;0.00459906;0.00532569;23.0232;0.00187627;39.9051;40;12.4995;4.59419;22.3838;0.394034;0.00532654;6.07392;0.0051238;0.00328505;0.00570033;1.06869;0.225085;1.49444;0.00595211;0.591095;0.171509;0.207571;8.44993;0.55927;1e-10;0.0119595;0.00435424;0.0117911;0.501838;0.00169044;0.312235;0.311351;0.312801;0.311401;0.294116;0.0192363;0.0189781;2.75782;0.0146574;0.00838196;0.007497;0.806004;0.486865;0.167523;0.100419;1.27418;37.0479;0.605958
1;200;1.5424e-05;6.4e-08;0.0312273;0.03806;6.0129;0.00558703;0.404069;0.0148744;0.462932;0.00749748;1e-10;6.15168;0.00283127;0.72;0.047819;0.00179169;1e-10;0.0104555;0.000950774;0.54227;1.48871;2.91962;0.00384614;0.0224979;0.111684;0.0146801;1.002;0.041451;0.365045;0.106016;0.0223548;36.7855;3.40379;0.253524;0.108345;0.00621035;1e-10;0.0020265;0.532256;0.00179663;0.00823273;0.019115;0.0193473;0.00135537;0.000908903;0.00676794;0.000932567;0.0116622;0.00832962;0.00953412;0.0598494;0.224201;6.07303;0.0189043;5.51741;0.499126;0.0273265;0.0121399;30.7512;0.0135301;0.486751;0.0131634;0.303259;0.00746747;0.0152799;1e-10;0.00276792;0.00595526;0.00459906;0.00531501;23.0232;0.00187612;39.9051;40;12.4995;4.59419;22.3838;0.394034;0.00532656;6.07392;0.00512372;0.00328493;0.00570033;1.06869;0.225085;1.49443;0.00595215;0.591095;0.171509;0.20757;8.44994;0.55927;1e-10;0.0119594;0.00435409;0.011791;0.501832;0.00168839;0.312235;0.311352;0.312801;0.311401;0.294115;0.0192339;0.0189759;2.75782;0.0146587;0.00838196;0.007497;0.806002;0.486865;0.167516;0.100417;1.27424;37.0479;0.605807
1;300;2.6368e-05;1.28e-07;0.0312041;0.0380581;6.0129;0.00558715;0.404068;0.0148731;0.46293;0.00749941;1e-10;6.15168;0.0028332;0.72;0.0478211;0.00179386;1e-10;0.0104535;0.000952696;0.542272;1.48871;2.91962;0.00384529;0.0224966;0.111686;0.014681;1.002;0.0414499;0.365047;0.106016;0.0223548;36.7855;3.40381;0.253524;0.108345;0.00621083;1e-10;0.0020265;0.532254;0.00179509;0.00823116;0.0191134;0.0193456;0.00135542;0.000908906;0.00676794;0.000931206;0.0116604;0.00832812;0.00953246;0.0598477;0.224202;6.07304;0.0189027;5.51741;0.499234;0.0273256;0.0121397;30.7512;0.0135307;0.486749;0.0131613;0.303259;0.00746859;0.0152793;1e-10;0.00276655;0.0059409;0.00459905;0.00529334;23.0232;0.00187584;39.9051;40;12.4995;4.59419;22.3838;0.394034;0.0053266;6.07392;0.00512354;0.0032847;0.00570033;1.06869;0.225085;1.4944;0.00595224;0.591094;0.171508;0.20757;8.44994;0.55927;1e-10;0.0119591;0.00435375;0.0117907;0.50182;0.00168694;0.312235;0.311353;0.3128;0.311401;0.294113;0.0192322;0.0189744;2.75782;0.0146596;0.00838196;0.00749699;0.806001;0.486865;0.167504;0.100415;1.27437;37.048;0.60552
1;400;4.8256e-05;2.56e-07;0.0311635;0.0380547;6.01289;0.00558744;0.404066;0.0148707;0.462928;0.00750277;1e-10;6.15168;0.00283655;0.72;0.0478246;0.00179905;1e-10;0.0104502;0.000956046;0.542275;1.4887;2.91962;0.0038438;0.0224943;0.11169;0.0146825;1.002;0.0414481;0.365051;0.106016;0.0223547;36.7855;3.40385;0.253524;0.108345;0.00621198;1e-10;0.0020265;0.532251;0.00179243;0.00822845;0.0191108;0.0193427;0.00135552;0.000908914;0.00676793;0.000928249;0.0116574;0.00832554;0.00952962;0.0598448;0.224205;6.07304;0.0188998;5.51741;0.499405;0.0273243;0.0121393;30.7512;0.013532;0.486747;0.0131576;0.303259;0.00747133;0.015278;1e-10;0.002764;0.00591141;0.00459903;0.00524828;23.0232;0.00187531;39.9051;40;12.4995;4.5942;22.3838;0.394035;0.00532671;6.07392;0.00512309;0.00328427;0.00570033;1.06869;0.225085;1.49435;0.00595245;0.591094;0.171507;0.207568;8.44994;0.559269;1e-10;0.0119583;0.00435293;0.0117899;0.5018;0.00168445;0.312235;0.311356;0.312798;0.311401;0.294108;0.0192292;0.0189717;2.75782;0.0146613;0.00838196;0.00749699;0.805998;0.486865;0.167483;0.100411;1.27459;37.048;0.605001
1;500;9.2032e-05;5.12e-07;0.0310882;0.0380485;6.01289;0.00558819;0.404062;0.0148662;0.462924;0.00750899;1e-10;6.15168;0.00284273;0.72;0.0478314;0.00181211;1e-10;0.010444;0.000962235;0.542282;1.4887;2.91961;0.00384102;0.0224901;0.111696;0.0146854;1.00199;0.0414451;0.365058;0.106017;0.0223546;36.7855;3.40393;0.253524;0.108344;0.00621489;1e-10;0.00202649;0.532246;0.00178748;0.0082234;0.0191059;0.0193373;0.00135579;0.000908935;0.00676792;0.000921667;0.0116518;0.00832073;0.00952431;0.0598394;0.224212;6.07306;0.0188945;5.51742;0.499674;0.0273222;0.0121381;30.7512;0.0135349;0.486742;0.0131507;0.303259;0.00747852;0.0152751;1e-10;0.0027587;0.00585319;0.00459895;0.00515709;23.0232;0.00187439;39.9051;40;12.4995;4.59421;22.3838;0.394035;0.00532699;6.07392;0.00512192;0.00328352;0.00570032;1.0687;0.225084;1.49424;0.00595301;0.591094;0.171503;0.207564;8.44995;0.559268;1e-10;0.0119563;0.00435093;0.0117879;0.501766;0.00167981;0.312235;0.311364;0.312792;0.311402;0.294096;0.0192237;0.0189668;2.75781;0.0146644;0.00838197;0.00749697;0.805993;0.486865;0.167449;0.100406;1.27496;37.048;0.604135
1;600;0.000179584;1.024e-06;0.0309586;0.038038;6.01287;0.00559011;0.404055;0.0148586;0.462918;0.00751965;1e-10;6.15169;0.00285329;0.72;0.0478433;0.00184471;1e-10;0.0104333;0.000972798;0.542293;1.48869;2.9196;0.00383618;0.0224829;0.111706;0.0146903;1.00198;0.0414414;0.365071;0.106018;0.0223544;36.7854;3.40408;0.253524;0.108344;0.00622223;1e-10;0.00202649;0.532235;0.00177893;0.00821468;0.0190975;0.0193279;0.00135651;0.00090899;0.00676786;0.000906928;0.0116422;0.00831241;0.00951515;0.0598303;0.224229;6.07309;0.0188853;5.51743;0.500077;0.0273196;0.0121342;30.7512;0.0135414;0.486734;0.0131389;0.303259;0.00749716;0.0152686;1e-10;0.00274742;0.00574998;0.00459871;0.00498722;23.0232;0.00187294;39.9051;40;12.4995;4.59424;22.3838;0.394036;0.00532777;6.07392;0.00511866;0.00328235;0.00570032;1.06871;0.225082;1.49404;0.00595449;0.591093;0.171493;0.207555;8.44995;0.559267;1e-10;0.0119516;0.00434603;0.0117831;0.501715;0.00167179;0.312235;0.311381;0.31278;0.311402;0.294065;0.0192143;0.0189582;2.75781;0.0146698;0.00838198;0.00749693;0.805986;0.486865;0.167396;0.100409;1.27552;37.0481;0.602808
1;700;0.000354688;2.048e-06;0.030749;0.0380212;6.01285;0.00559484;0.404044;0.0148465;0.462907;0.0075366;1e-10;6.15168;0.00287002;0.72;0.0478635;0.00192039;1e-10;0.0104163;0.000989529;0.54231;1.48869;2.91958;0.00382818;0.0224715;0.111723;0.0146981;1.00197;0.0414389;0.36509;0.106021;0.0223537;36.7853;3.40433;0.253525;0.108342;0.00623942;4.23815e-07;0.00202647;0.532212;0.00176552;0.00820102;0.0190842;0.0193133;0.00135841;0.000909135;0.00676765;0.000874448;0.011627;0.00829939;0.00950077;0.0598157;0.224269;6.07316;0.0188708;5.51748;0.500641;0.0273178;0.0121209;30.7511;0.0135557;0.486721;0.0131204;0.303258;0.00753667;0.0152541;1e-10;0.0027208;0.00559407;0.00459768;0.00470639;23.0233;0.00187046;39.9051;40;12.4995;4.59431;22.3838;0.394038;0.00532986;6.07393;0.00510909;0.00328037;0.00570031;1.06875;0.225078;1.49371;0.00595838;0.59109;0.17147;0.207533;8.44996;0.55927;1e-10;0.011941;0.00433489;0.0117723;0.501644;0.00165922;0.312235;0.311418;0.312756;0.311401;0.293998;0.0191995;0.0189448;2.75779;0.0146781;0.00838203;0.00749681;0.805975;0.486865;0.167323;0.100449;1.2763;37.0481;0.600926
1;800;0.000704896;4.096e-06;0.0304357;0.0379972;6.01281;0.00560551;0.404027;0.0148289;0.462892;0.00756104;1e-10;6.15168;0.0028939;0.72;0.0478953;0.00207875;1e-10;0.0103915;0.00101343;0.542337;1.48869;2.91956;0.00381575;0.022455;0.111747;0.0147092;1.00195;0.0414436;0.365114;0.106027;0.0223522;36.7852;3.40463;0.253658;0.108337;0.00627371;0.000156421;0.00202642;0.532159;0.00174935;0.00818455;0.0190683;0.0192955;0.0013633;0.000909507;0.0067664;0.000804718;0.0116087;0.00828366;0.00948337;0.059795;0.224351;6.07328;0.0188531;5.51755;0.501393;0.0273212;0.0120731;30.7511;0.0135863;0.486706;0.013098;0.30325;0.00757887;0.0152232;1e-10;0.00264587;0.00544399;0.00458858;0.00428104;23.0233;0.00186316;39.9051;40;12.4994;4.59443;22.3838;0.394044;0.00533538;6.07397;0.00507968;0.00327454;0.00570027;1.06881;0.225065;1.49331;0.00596839;0.591088;0.171426;0.207492;8.44996;0.5593;1e-10;0.0119193;0.00431236;0.0117503;0.501551;0.00164402;0.312235;0.311488;0.312716;0.311394;0.293871;0.0191816;0.0189286;2.75775;0.0146901;0.00838213;0.0074965;0.805964;0.486858;0.167228;0.100602;1.27734;37.0482;0.598404
1;900;0.00140531;8.192e-06;0.0301618;0.0379733;6.01275;0.00561635;0.403992;0.0147913;0.462857;0.0075859;1e-10;6.15169;0.00291751;0.72;0.047936;0.00237562;1e-10;0.010343;0.00103713;0.542366;1.48869;2.91953;0.00378427;0.0224193;0.111771;0.0147198;1.00192;0.0414516;0.365141;0.10604;0.022349;36.7851;3.40502;0.253867;0.108327;0.0063318;0.000523409;0.00202629;0.532111;0.00173094;0.00816583;0.0190502;0.0192752;0.00137626;0.000910494;0.00668467;0.000658405;0.0115878;0.00826573;0.00946345;0.059758;0.224502;6.07345;0.0188325;5.51762;0.502357;0.0273332;0.0119285;30.751;0.0136504;0.486688;0.0130727;0.303119;0.00758291;0.0151582;1e-10;0.00244872;0.00524998;0.00444923;0.00374564;23.0234;0.00183725;39.905;40.0001;12.4994;4.59457;22.3839;0.39429;0.00534981;6.07409;0.00499329;0.00325385;0.00570019;1.06888;0.225033;1.49288;0.00599492;0.591092;0.17136;0.207428;8.44995;0.559421;0.00012861;0.0118788;0.0042702;0.0117093;0.501445;0.00162669;0.312233;0.31161;0.312664;0.311377;0.293656;0.0191612;0.0189102;2.75766;0.0147024;0.00838236;0.00749578;0.805961;0.48672;0.167118;0.100923;1.27855;37.0483;0.595135
