condition;iter;t;dt;5FTHFabc;ACt;ATPase;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NH3t;O2t;PIabc;PYRt2r;RIBFLVabc;THMDabc;URAt2;trdoxt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCMPDA;DCYTK;DGK1;DGSNK;DNAP;DRPA;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM2;PRPPS;PSSYN;PTAr;PUNP2;PUNP4;PYK;PYK2;PYK4;PYK5;PYK7;PYK8;PdhC_transl;RBFK;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;rRNAP;tRNAP;AATRS;Ribosome
1;0;0;0.0001;0.017042;5.01332e-12;7.77406;0.0237841;0.422922;0.018876;0.511322;2.2007e-13;1.75579e-20;1.72216;2.4052e-13;3.15898e-10;3.75141e-10;2.7709e-05;8.77477e-21;0.0257407;4.27861e-13;1.33941e-10;0.51654;2.62057e-10;0.0194239;0.0126279;7.81142e-12;3.20047e-07;0.162665;0.00432125;0.00489753;0.00362979;7.91514e-05;0.0151037;0.0828648;0.0295396;0.0115305;0.0026997;1.08601e-11;0.000184999;0.778115;0.000104428;0.000483377;0.000473451;0.00466685;0.0001178;2.08192e-06;0.00243005;9.71814e-05;0.00291179;0.000670222;0.00225614;9.64135e-05;0.0463563;1.25549;0.0156777;2.54585;0.00673982;0.00174309;0.000716255;3.09833;0.00450709;0.075625;0.000167914;0.0708981;0.000121926;0.00201008;4.24016e-12;0.000275251;0.00392979;0.00108292;0.00117137;1.29763;0.000208259;0.403603;0.539162;6.43907;0.33038;0.33102;0.0052113;6.9457e-05;0.808706;0.000486219;0.000234255;0.00036342;0.11748;0.734521;3.13298;1.98674e-05;0.00934803;0.00390278;0.0152361;6.62962;0.433144;8.10753e-11;0.00882726;0.00337281;0.00877334;3.73009e-05;0.000243545;0.030132;0.00224442;0.0510747;0.11481;0.0925928;0.00266491;0.00212551;5.78827;0.000310297;0.00047837;0.002189;0.143567;0.0273703;2.33162e-05;1.6926e-05;0.00429921;1.25086;618.909
1;100;9.952e-06;3.2e-08;0.0278658;8.55801e-12;13.0027;0.0393122;0.699033;0.0311611;0.845152;3.7726e-13;2.99931e-20;2.94251;4.14736e-13;5.39628e-10;6.41185e-10;4.63819e-05;1.49894e-20;0.0424387;7.5182e-13;2.28814e-10;0.849883;4.47652e-10;0.0320101;0.0208563;1.33469e-11;0.000178255;0.269843;0.00721635;0.0113089;0.00620724;0.000135209;0.0139148;0.138879;0.0504874;0.0196952;0.00461599;1.85444e-11;0.00031603;1.28099;0.000169028;0.000790853;0.000792263;0.00768195;0.000201245;3.55659e-06;0.00415906;0.000165839;0.00478834;0.00110137;0.00370875;0.000159814;0.0791893;2.14501;0.0255552;4.35058;0.00641723;0.00292864;0.00122337;5.36579;0.0076999;0.124593;0.000278767;0.121154;0.000207286;0.00343378;7.24317e-12;0.000411632;0.00635223;0.00185209;0.00194233;2.21482;0.000355683;0.690806;0.919579;10.5699;0.56369;0.754896;0.00891712;0.000118794;1.38053;0.000828329;0.00040005;0.000621262;0.200546;1.25475;5.03275;3.39387e-05;0.0162355;0.00670662;0.0261816;13.8249;0.740757;1.38731e-10;0.0150892;0.0057657;0.0149955;3.49996e-05;0.000400625;0.0514736;0.00383444;0.0872115;0.196114;0.157749;0.00446465;0.00349425;9.88743;0.0005277;0.000817179;0.00373933;0.223983;0.0467702;2.17937e-05;2.81337e-05;0.00714755;15.1479;569.881
1;200;1.5424e-05;6.4e-08;0.0291401;8.96887e-12;13.6166;0.0411497;0.731698;0.0326135;0.884646;3.95529e-13;3.14351e-20;3.08398;4.35058e-13;5.65572e-10;6.72047e-10;4.86414e-05;1.571e-20;0.0444114;7.90033e-13;2.39816e-10;0.889434;4.69173e-10;0.0334965;0.0218294;1.39889e-11;0.000100203;0.282494;0.00755911;0.0123754;0.0065064;0.00014171;0.0138129;0.145498;0.0529255;0.0206406;0.00483851;1.94355e-11;0.000331227;1.34158;0.000176657;0.000827339;0.000829642;0.00803908;0.000210929;3.72768e-06;0.00436478;0.000173689;0.00501052;0.00115242;0.00388069;0.000167298;0.0829981;2.24839;0.0267281;4.55999;0.00654811;0.0030674;0.00128263;5.6275;0.0080695;0.130397;0.000291803;0.126997;0.000217187;0.00359881;7.59137e-12;0.000428986;0.00663807;0.00194202;0.00202942;2.32143;0.000372749;0.724617;0.962433;11.0583;0.590803;0.824849;0.00934736;0.00012452;1.44682;0.000868177;0.000419259;0.000651178;0.210156;1.31509;5.25949;3.55708e-05;0.0170267;0.00703062;0.0274464;14.9331;0.776417;1.45418e-10;0.0158148;0.00604286;0.0157165;3.48112e-05;0.000418981;0.0539492;0.00401915;0.0913957;0.205534;0.165218;0.00467546;0.00365655;10.3625;0.000553135;0.000856476;0.00391911;0.233894;0.049026;2.15443e-05;2.95275e-05;0.00750219;14.947;565.57
1;300;2.6368e-05;1.28e-07;0.0314182;9.68337e-12;14.6957;0.0444007;0.789485;0.035186;0.954513;4.27171e-13;3.39411e-20;3.32971;4.70059e-13;6.10659e-10;7.25653e-10;5.26739e-05;1.69624e-20;0.0479102;8.54739e-13;2.58935e-10;0.959585;5.06575e-10;0.0361341;0.0235521;1.51043e-11;7.86806e-05;0.304828;0.00816051;0.0131667;0.00702579;0.000153006;0.0136606;0.157163;0.0571688;0.0222824;0.00522503;2.09846e-11;0.00035764;1.44955;0.000190413;0.000892338;0.000895353;0.00867271;0.000227766;4.02504e-06;0.0047248;0.000187252;0.00540513;0.00124314;0.0041862;0.000180525;0.0896184;2.42821;0.0288242;4.92385;0.006717;0.00331074;0.00138591;6.07461;0.00871194;0.140685;0.00031484;0.13716;0.000234498;0.0038855;8.19653e-12;0.00046184;0.0071471;0.00209885;0.00218049;2.50717;0.000402393;0.783711;1.03587;11.9244;0.638051;0.878062;0.0100938;0.000134462;1.56211;0.000937849;0.00045264;0.00070313;0.226858;1.41995;5.66565;3.84074e-05;0.0183711;0.00758909;0.0296266;15.9564;0.838285;1.57013e-10;0.0170742;0.00652375;0.0169679;3.44999e-05;0.000451765;0.0582521;0.00434044;0.0986652;0.221898;0.178163;0.00504586;0.00394469;11.188;0.000597285;0.000924775;0.00423153;0.252045;0.0529512;2.11701e-05;3.20253e-05;0.00813779;14.4994;559.077
1;400;4.8256e-05;2.56e-07;0.0350326;1.0824e-11;16.415;0.0495757;0.881453;0.0392787;1.06571;4.77743e-13;3.79424e-20;3.72192;5.26095e-13;6.82648e-10;8.11259e-10;5.93167e-05;1.89621e-20;0.0534743;9.58863e-13;2.89462e-10;1.07117;5.66294e-10;0.0403279;0.0262932;1.68855e-11;7.67324e-05;0.340387;0.00912031;0.0141965;0.00785557;0.000171044;0.0134264;0.175891;0.0639673;0.0248995;0.00584294;2.34578e-11;0.000399818;1.62271;0.000212214;0.000995595;0.00100005;0.00968048;0.000254668;4.49994e-06;0.00530808;0.000208638;0.00603262;0.00138738;0.00467195;0.000201589;0.100194;2.71591;0.0321527;5.50517;0.00691999;0.00369865;0.00155146;6.78498;0.00973794;0.157053;0.000351504;0.153426;0.000262197;0.00434303;9.16276e-12;0.000513673;0.00794625;0.00235118;0.00241306;2.80468;0.000449681;0.879191;1.1494;13.2959;0.713716;0.948007;0.0112865;0.000150344;1.74618;0.00104979;0.000505911;0.000786108;0.253509;1.58743;6.30537;4.29377e-05;0.0205037;0.00847865;0.0330992;17.3904;0.937003;1.75521e-10;0.0190831;0.00729046;0.0189642;3.40092e-05;0.000503814;0.0651252;0.00485445;0.110255;0.248001;0.19859;0.00563604;0.00440293;12.5051;0.000667796;0.00103386;0.00473037;0.280753;0.0592348;2.06314e-05;3.61169e-05;0.00917945;13.641;549.033
1;500;9.2032e-05;5.12e-07;0.0399857;1.24134e-11;18.7983;0.0567296;1.00851;0.0449274;1.21932;5.4844e-13;4.3521e-20;4.26826;6.04763e-13;7.83018e-10;9.30669e-10;6.93352e-05;2.17501e-20;0.0611462;1.10696e-12;3.32025e-10;1.22513;6.49554e-10;0.0461078;0.0300777;1.93692e-11;7.24581e-05;0.389565;0.0104567;0.015451;0.00901432;0.000196191;0.0131076;0.202384;0.0735246;0.0285319;0.0067072;2.69051e-11;0.000458635;1.86548;0.000241984;0.00113754;0.00114513;0.0110703;0.00029224;5.16226e-06;0.00614678;0.000237556;0.0068975;0.00158612;0.00534119;0.000230744;0.114955;3.11897;0.0367236;6.31694;0.00714791;0.00423703;0.00178403;7.76262;0.0111691;0.179645;0.000402165;0.176233;0.000301045;0.00498014;1.05099e-11;0.000583503;0.00901916;0.00270953;0.00271147;3.2232;0.000515497;1.01518;1.29534;15.1669;0.820012;1.03394;0.0129524;0.000172526;2.00278;0.00120832;0.000580112;0.000901893;0.290628;1.82105;7.16844;4.92583e-05;0.023442;0.00971341;0.0379191;19.2317;1.07444;2.01308e-10;0.0218776;0.00835562;0.021741;3.33413e-05;0.000575231;0.0747173;0.00557471;0.126357;0.284298;0.226247;0.00645408;0.00503477;14.3386;0.000766192;0.00118607;0.00542584;0.31972;0.0680511;1.99389e-05;4.21207e-05;0.010709;12.3501;535.243
1;600;0.000179584;1.024e-06;0.0456944;1.42994e-11;21.6037;0.0651227;1.1573;0.0515305;1.39922;6.32838e-13;5.01472e-20;4.91579;6.99428e-13;9.02234e-10;1.07263e-09;8.39258e-05;2.50616e-20;0.0700971;1.2895e-12;3.82585e-10;1.40503;7.48448e-10;0.0528444;0.034505;2.23203e-11;6.55623e-05;0.447259;0.0120508;0.0166642;0.010396;0.000226058;0.0127401;0.235734;0.0851274;0.0327912;0.00774242;3.09972e-11;0.00052852;2.15879;0.000276085;0.00130224;0.0013158;0.0126927;0.000337072;5.94916e-06;0.00721764;0.000269192;0.00790613;0.00181773;0.00612104;0.000265038;0.132549;3.6036;0.0420209;7.28524;0.00737709;0.00487217;0.0020645;8.86974;0.0128722;0.206064;0.00046147;0.203731;0.000348121;0.00573447;1.21098e-11;0.000662976;0.0102205;0.00315596;0.00300629;3.73419;0.000593438;1.17948;1.43637;17.2976;0.94889;1.11843;0.0149394;0.000198984;2.30767;0.00140464;0.000668094;0.00103968;0.334644;2.09895;8.1375;5.6781e-05;0.0268213;0.0111627;0.0435762;21.1726;1.2371;2.31873e-10;0.0251776;0.00960893;0.0250198;3.25786e-05;0.000657674;0.0861429;0.00644149;0.145334;0.327113;0.25687;0.00741675;0.00577227;16.5061;0.00088328;0.0013674;0.00625183;0.364094;0.0786999;1.91772e-05;5.01686e-05;0.0127604;10.7801;519.085
1;700;0.000354688;2.048e-06;0.0512666;1.62273e-11;24.4474;0.0736241;1.30725;0.0581613;1.58052;7.201e-13;5.69336e-20;5.576;7.98735e-13;1.02433e-09;1.21831e-09;0.000107643;2.84532e-20;0.0790521;1.48919e-12;4.34374e-10;1.58582;8.4973e-10;0.0595682;0.0389568;2.53447e-11;5.75068e-05;0.505524;0.0137435;0.0176481;0.0118244;0.000256637;0.0123771;0.286007;0.0978577;0.0369943;0.00882565;1.49112e-07;0.000600151;2.47419;0.000309127;0.00146551;0.00148853;0.0143193;0.000383612;6.75522e-06;0.00856005;0.000294314;0.00891572;0.00204929;0.00690026;0.000299945;0.15075;4.11487;0.0472726;8.28844;0.00758224;0.00551794;0.00236;9.86009;0.0146279;0.232648;0.000521061;0.233275;0.00039898;0.00650044;1.37483e-11;0.000742902;0.011404;0.00368313;0.00320001;4.3003;0.000672691;1.33214;1.52506;19.3397;1.08763;1.18892;0.0169936;0.000226358;2.62102;0.00162563;0.00075784;0.00118142;0.379597;2.38468;9.05618;6.45342e-05;0.0300227;0.0126063;0.0492097;22.9187;1.4026;2.63026e-10;0.0285115;0.010863;0.0283323;3.18307e-05;0.000738328;0.0979368;0.00735929;0.164523;0.370283;0.284071;0.00839121;0.00651199;18.6973;0.00100368;0.00155541;0.00709757;0.407358;0.0902055;1.84524e-05;6.15632e-05;0.0156619;9.16717;502.622
1;800;0.000704896;4.096e-06;0.0559937;1.79734e-11;27.0182;0.0813955;1.44243;0.0641021;1.74397;8.00676e-13;6.30996e-20;6.1718;8.92605e-13;1.13527e-09;1.35115e-09;0.000159251;3.15347e-20;0.0870222;1.69034e-12;4.81441e-10;1.74861;9.41749e-10;0.0655171;0.0429555;2.80956e-11;4.80992e-05;0.558114;0.0156749;0.0185137;0.0131488;0.000284387;0.0120567;0.403345;0.116203;0.0404317;0.00985721;6.13093e-05;0.000665505;2.7839;0.000337599;0.00160921;0.0016443;0.0157773;0.000427887;7.49124e-06;0.0112436;0.000299455;0.00981952;0.00225632;0.00759585;0.000332108;0.167805;4.60552;0.0519179;9.22434;0.00774834;0.00610375;0.00263354;10.5376;0.0162567;0.256615;0.000574444;0.271048;0.000447477;0.00718125;1.52368e-11;0.000807053;0.0131089;0.00471368;0.00320509;4.8692;0.000742107;1.40148;1.54125;21.0735;1.22489;1.2521;0.0188915;0.000251753;2.91218;0.00185476;0.00083796;0.00131133;0.42026;2.64642;9.84473;7.17221e-05;0.0324125;0.0138361;0.0540074;24.453;1.55292;2.91098e-10;0.0314598;0.0119449;0.0312624;3.11573e-05;0.000808223;0.10888;0.00826604;0.181785;0.408628;0.304177;0.00926969;0.00717613;20.6297;0.00111426;0.00173634;0.00786537;0.445849;0.105426;1.78219e-05;9.24043e-05;0.0234914;7.69773;487.188
1;900;0.00140531;8.192e-06;0.0598643;1.94485e-11;29.1841;0.0879821;1.55601;0.0689806;1.88132;8.69784e-13;6.83212e-20;6.67542;9.74357e-13;1.22922e-09;1.4642e-09;0.000371326;3.41443e-20;0.093444;1.87303e-12;5.21309e-10;1.88518;1.01967e-09;0.070099;0.0462684;3.04271e-11;2.018e-05;0.602386;0.0213162;0.0191827;0.0143194;0.000307821;0.0117972;0.417502;0.134893;0.0425759;0.0108119;0.000228553;0.000722007;3.01426;0.000360048;0.00172493;0.00177515;0.0169946;0.000471919;8.13745e-06;0.0211189;0.000264167;0.010573;0.00242851;0.00817327;0.00036048;0.183941;5.02505;0.0557563;10.0362;0.00789347;0.00660128;0.00282625;11.0705;0.0177219;0.27715;0.000618949;0.307873;0.000482771;0.00772477;1.6497e-11;0.000798783;0.0442716;0.00566906;0.00302237;5.28309;0.000787523;1.35935;1.47854;22.4701;1.34115;1.31032;0.0210903;0.000275906;3.1665;0.00202179;0.000900091;0.00142845;0.45464;2.87019;10.4764;7.82408e-05;0.0341844;0.0148327;0.0578949;25.6925;1.68714;0.000410214;0.0338608;0.0127725;0.0336508;3.06061e-05;0.000863732;0.118712;0.00922174;0.196582;0.44045;0.318352;0.0100072;0.00773189;22.2015;0.00121105;0.00192909;0.00851399;0.480073;0.120446;1.73143e-05;0.000325018;0.0824426;6.48307;473.345
