condition;iter;t;dt;mu;density;consistent;mu_diff
1;0;0;0.0001;0.0718361;1;1;0
1;100;2.4448e-06;6.4e-09;0.104185;1;1;0
1;200;3.6416e-06;1.28e-08;0.113681;1;1;0
1;300;4.65792e-06;5.12e-09;0.119284;1;1;0
1;400;5.50784e-06;1.024e-08;0.121561;1;1;0
1;500;6.94144e-06;4.096e-09;0.124067;1;1;0
1;600;7.41248e-06;8.192e-09;0.12486;1;1;0
1;700;8.35456e-06;1.6384e-08;0.12641;1;1;0
1;800;1.02387e-05;3.2768e-08;0.129419;1;1;0
1;900;1.2539e-05;6.5536e-09;0.132904;1;1;0
1;1000;1.34303e-05;1.31072e-08;0.134197;1;1;0
1;1100;1.52129e-05;2.62144e-08;0.136671;1;1;0
1;1200;1.87781e-05;5.24288e-08;0.141316;1;1;0
1;1300;2.59084e-05;1.04858e-07;0.149948;1;1;0
1;1400;4.0169e-05;2.09715e-07;0.165048;1;1;0
1;1500;6.86903e-05;4.1943e-07;0.188888;1;1;0
1;1600;0.000125733;8.38861e-07;0.221556;1;1;0
1;1700;0.000191164;3.35544e-07;0.246278;1;1;0
1;1800;0.000236462;6.71089e-07;0.25906;1;1;0
1;1900;0.000327059;1.34218e-06;0.278537;1;1;0
1;2000;0.000508253;2.68435e-06;0.303995;1;1;0
1;2100;0.000870641;5.36871e-06;0.333893;1;1;0
1;2200;0.00124924;4.29497e-07;0.353326;1;1;0
1;2300;0.0013025;8.58993e-07;0.355402;1;1;0
1;2400;0.00140902;1.71799e-06;0.35926;1;1;0
1;2500;0.0015492;1.37439e-07;0.363898;1;1;0
1;2600;0.0015657;2.74878e-07;0.364415;1;1;0
1;2700;0.00159868;5.49756e-07;0.365433;1;1;0
1;2800;0.00166465;1.09951e-06;0.367404;1;1;0
1;2900;0.00176897;8.79609e-08;0.370354;1;1;0
1;3000;0.00177874;1.75922e-07;0.370621;1;1;0
1;3100;0.00179826;3.51844e-07;0.371147;1;1;0
1;3200;0.00183732;7.03687e-07;0.372176;1;1;0
1;3300;0.00191543;1.40737e-06;0.374133;1;1;0
1;3400;0.00204631;5.6295e-07;0.377142;1;1;0
1;3500;0.00210824;1.1259e-06;0.378489;1;1;0
1;3600;0.00223209;2.2518e-06;0.38105;1;1;0
1;3700;0.00224091;9.0072e-08;0.381247;1;1;0
1;3800;0.00225875;1.80144e-07;0.381605;1;1;0
1;3900;0.00229442;3.60288e-07;0.382314;1;1;0
1;4000;0.00236575;7.20576e-07;0.3837;1;1;0
1;4100;0.00250843;1.44115e-06;0.386356;1;1;0
1;4200;0.00256953;5.76461e-07;0.387451;1;1;0
1;4300;0.00268252;1.15292e-06;0.389415;1;1;0
1;4400;0.00272679;9.22337e-08;0.390165;1;1;0
1;4500;0.00274339;1.84467e-07;0.390443;1;1;0
1;4600;0.0027766;3.68935e-07;0.390995;1;1;0
1;4700;0.00284301;7.3787e-07;0.392083;1;1;0
1;4800;0.00297582;1.47574e-06;0.394191;1;1;0
1;4900;0.00305197;5.90296e-07;0.395364;1;1;0
1;5000;0.00315763;1.18059e-06;0.396947;1;1;0
1;5100;0.00329482;4.72237e-07;0.398933;1;1;0
1;5200;0.00335999;9.44473e-07;0.399849;1;1;0
1;5300;0.00349032;1.88895e-06;0.401632;1;1;0
1;5400;0.00363842;7.55579e-07;0.403581;1;1;0
1;5500;0.00374118;1.51116e-06;0.404889;1;1;0
1;5600;0.00386147;6.04463e-07;0.406375;1;1;0
1;5700;0.00394246;1.20893e-06;0.407324;1;1;0
1;5800;0.00410446;2.41785e-06;0.409129;1;1;0
1;5900;0.00429982;9.67141e-07;0.411131;1;1;0
1;6000;0.00442748;1.93428e-06;0.412366;1;1;0
1;6100;0.0045861;7.73713e-07;0.413848;1;1;0
1;6200;0.00468668;1.54743e-06;0.41476;1;1;0
1;6300;0.00481542;6.1897e-07;0.4159;1;1;0
1;6400;0.00489465;1.23794e-06;0.416588;1;1;0
1;6500;0.00504073;4.95176e-07;0.417828;1;1;0
1;6600;0.00509272;9.90352e-07;0.418262;1;1;0
1;6700;0.00519671;1.9807e-06;0.419118;1;1;0
1;6800;0.00539121;7.92282e-07;0.42068;1;1;0
1;6900;0.00547282;1.58456e-06;0.421322;1;1;0
1;7000;0.00563603;3.16913e-06;0.422583;1;1;0
1;7100;0.00565758;1.26765e-07;0.422747;1;1;0
1;7200;0.0056823;2.5353e-07;0.422935;1;1;0
1;7300;0.00573174;5.0706e-07;0.423308;1;1;0
1;7400;0.00583061;1.01412e-06;0.424048;1;1;0
1;7500;0.00602837;2.02824e-06;0.425496;1;1;0
1;7600;0.00611802;8.11296e-07;0.426133;1;1;0
1;7700;0.0062746;1.62259e-06;0.427196;1;1;0
1;7800;0.00637682;6.49037e-07;0.427864;1;1;0
1;7900;0.00649365;1.29807e-06;0.428609;1;1;0
1;8000;0.0067273;2.59615e-06;0.430039;1;1;0
1;8100;0.00686541;1.03846e-06;0.430856;1;1;0
1;8200;0.00705026;2.07692e-06;0.431887;1;1;0
1;8300;0.00715992;8.30767e-07;0.43248;1;1;0
1;8400;0.00730697;1.66153e-06;0.433257;1;1;0
1;8500;0.00744355;6.64614e-07;0.433965;1;1;0
1;8600;0.00754855;1.32923e-06;0.434501;1;1;0
1;8700;0.00770274;5.31691e-07;0.435277;1;1;0
1;8800;0.00776921;1.06338e-06;0.435608;1;1;0
1;8900;0.00790213;2.12676e-06;0.436263;1;1;0
1;9000;0.00808205;8.50706e-07;0.437136;1;1;0
1;9100;0.00818754;1.70141e-06;0.437642;1;1;0
1;9200;0.00836517;6.80565e-07;0.438483;1;1;0
1;9300;0.00844071;1.36113e-06;0.438837;1;1;0
1;9400;0.0085918;2.72226e-06;0.439539;1;1;0
1;9500;0.00868054;5.44452e-07;0.439947;1;1;0
1;9600;0.00878018;1.0889e-06;0.440402;1;1;0
1;9700;0.00897945;2.17781e-06;0.4413;1;1;0
1;9800;0.0090879;8.71123e-07;0.441786;1;1;0
1;9900;0.00924644;1.74225e-06;0.442487;1;1;0
1;10000;0.00935934;6.96898e-07;0.442982;1;1;0
1;10100;0.00947921;1.3938e-06;0.443502;1;1;0
1;10200;0.00961803;5.57519e-07;0.4441;1;1;0
1;10300;0.00969831;1.11504e-06;0.444443;1;1;0
1;10400;0.00985888;2.23007e-06;0.445119;1;1;0
1;10500;0.0100221;8.9203e-07;0.445808;1;1;0
1;10600;0.0101497;1.78406e-06;0.446338;1;1;0
1;10700;0.0103156;7.13624e-07;0.447021;1;1;0
1;10800;0.0104084;1.42725e-06;0.4474;1;1;0
1;10900;0.0105865;5.70899e-07;0.448121;1;1;0
1;11000;0.0106447;1.1418e-06;0.448356;1;1;0
1;11100;0.0107612;2.2836e-06;0.448822;1;1;0
1;11200;0.0109859;9.13439e-07;0.449712;1;1;0
1;11300;0.0110781;1.82688e-06;0.450075;1;1;0
1;11400;0.0112627;3.65375e-06;0.450794;1;1;0
1;11500;0.0113759;7.30751e-07;0.451231;1;1;0
1;11600;0.0114956;5.84601e-08;0.451679;1;1;0
1;11700;0.0115019;1.1692e-07;0.451701;1;1;0
1;11800;0.0115147;2.3384e-07;0.451746;1;1;0
1;11900;0.0115402;4.67681e-07;0.451836;1;1;0
1;12000;0.0115912;9.35361e-07;0.452014;1;1;0
1;12100;0.0116793;3.74144e-07;0.452316;1;1;0
1;12200;0.0117197;7.48289e-07;0.452454;1;1;0
1;12300;0.0117906;2.99316e-07;0.452692;1;1;0
1;12400;0.0118226;5.98631e-07;0.452799;1;1;0
1;12500;0.0118797;2.39452e-07;0.452989;1;1;0
1;12600;0.0119051;4.78905e-07;0.453073;1;1;0
1;12700;0.0119512;3.83124e-08;0.453224;1;1;0
1;12800;0.0119552;7.66248e-08;0.453237;1;1;0
1;12900;0.0119631;1.5325e-07;0.453263;1;1;0
