condition;iter;t;dt;5FTHFabc;ACt;ATPase;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NH3t;O2t;PIabc;PYRt2r;RIBFLVabc;THMDabc;URAt2;trdoxt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCMPDA;DCYTK;DGK1;DGSNK;DNAP;DRPA;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM2;PRPPS;PSSYN;PTAr;PUNP2;PUNP4;PYK;PYK2;PYK4;PYK5;PYK7;PYK8;PdhC_transl;RBFK;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;rRNAP;tRNAP;AATRS;Ribosome
1;0;0;0.0001;2.49741;3.0106;475.272;0.441598;31.9397;1.17733;36.5922;0.590328;7.90415e-09;486.237;0.221505;56.9098;3.7774;0.141465;7.90415e-09;0.828692;0.072867;42.8595;117.672;230.773;0.304991;1.77983;8.82541;1.15826;79.2015;3.27827;28.8506;8.37967;1.76696;2907.6;269.042;20.0389;8.56374;0.490839;7.90415e-09;0.160177;42.072;0.144096;0.652856;1.51294;1.53152;0.107127;0.0718408;0.534948;0.0738391;0.924152;0.660414;0.755824;4.73258;17.7211;480.021;1.49646;436.104;39.4482;2.16131;0.959565;2430.62;1.06939;38.4755;1.04335;23.97;0.590156;1.20781;7.90415e-09;0.220277;0.472856;0.363517;0.423238;1819.78;0.148325;3154.16;3161.66;987.984;363.131;1769.24;31.1451;0.421015;480.091;0.405;0.259672;0.450562;84.4709;17.7911;118.125;0.47046;46.721;13.5564;16.4067;667.892;44.2055;7.90415e-09;0.945311;0.344179;0.932002;39.6829;0.13541;24.6795;24.6096;24.7243;24.6136;23.2475;1.52258;1.50197;217.982;1.15845;0.662522;0.592574;63.7097;38.4825;13.2581;7.9386;100.708;2928.31;47.9265
1;100;9.952e-06;3.2e-08;4.2204;5.13926;811.872;0.754362;54.5583;2.00861;62.5059;1.01198;1.35022e-08;830.609;0.381947;97.2155;6.45626;0.241789;1.35022e-08;1.41205;0.128039;73.2178;201.008;394.212;0.519457;3.03793;15.0795;1.98198;135.292;5.59704;49.2885;14.3145;3.01838;4966.84;459.584;34.2312;14.6289;0.838502;1.35022e-08;0.273621;71.8662;0.242879;1.1119;2.58123;2.61262;0.183002;0.122721;0.913818;0.126004;1.57498;1.12496;1.28763;8.08125;30.2719;819.99;2.55281;744.968;67.3836;3.68984;1.63915;4152.08;1.82682;65.7221;1.77775;40.9465;1.0082;2.06316;1.35022e-08;0.373953;0.805053;0.620973;0.719083;3108.62;0.253337;5388.05;5400.86;1687.71;620.314;3022.29;53.2031;0.719197;820.109;0.691823;0.443552;0.769667;144.296;30.3913;201.782;0.803663;79.8105;23.1574;28.0265;1140.92;75.5135;1.35022e-08;1.61479;0.587916;1.59206;67.7589;0.228245;42.1585;42.0391;42.2349;42.0458;39.712;2.59731;2.56245;372.365;1.97906;1.13174;1.01226;108.828;65.7373;22.6192;13.5587;172.041;5002.27;81.8173
1;200;1.5424e-05;6.4e-08;4.41907;5.38599;850.904;0.790637;57.1811;2.10493;65.5108;1.06099;1.41513e-08;870.543;0.400662;101.889;6.76702;0.253548;1.41513e-08;1.47958;0.134547;76.7383;210.672;413.164;0.544279;3.18375;15.8048;2.07743;141.796;5.86586;51.6586;15.0027;3.16349;5205.63;481.681;35.8769;15.3322;0.878845;1.41513e-08;0.286776;75.3211;0.254247;1.16504;2.70502;2.7379;0.191803;0.128622;0.957752;0.13197;1.65035;1.17875;1.3492;8.46947;31.7274;859.414;2.67521;780.785;70.6329;3.86705;1.71795;4351.7;1.91469;68.8816;1.86279;42.9151;1.05674;2.16231;1.41513e-08;0.391696;0.842747;0.650827;0.752143;3258.08;0.265496;5647.09;5660.52;1768.85;650.138;3167.59;55.761;0.753777;859.538;0.725073;0.46486;0.806671;151.234;31.8525;211.481;0.842307;83.6476;24.2707;29.3739;1195.78;79.144;1.41513e-08;1.69241;0.61616;1.66858;71.0158;0.238929;44.1854;44.0603;44.2654;44.0673;41.6211;2.72184;2.68534;390.267;2.07439;1.18616;1.06092;114.06;68.8978;23.7058;14.2103;180.322;5242.77;85.7296
1;300;2.6368e-05;1.28e-07;4.76781;5.81506;918.737;0.853685;61.7393;2.27252;70.7331;1.14587;1.52794e-08;939.942;0.432896;110.012;7.30678;0.274091;1.52794e-08;1.59724;0.145567;82.8561;227.466;446.101;0.587539;3.43735;17.065;2.24317;153.1;6.33331;55.7771;16.1987;3.41568;5620.62;520.083;38.737;16.5545;0.948979;1.52794e-08;0.309637;81.3254;0.274279;1.25767;2.92043;2.9559;0.2071;0.138876;1.0341;0.142283;1.78165;1.27249;1.45651;9.14439;34.2568;927.926;2.88822;843.028;76.2802;4.1752;1.85488;4698.61;2.06742;74.3725;2.01097;46.3363;1.14116;2.3346;1.52794e-08;0.422713;0.907736;0.702709;0.808792;3517.81;0.286618;6097.27;6111.77;1909.86;701.966;3420.11;60.2062;0.813874;928.06;0.782847;0.501883;0.870977;163.29;34.3917;228.336;0.909469;90.3159;26.2055;31.7155;1291.1;85.4532;1.52794e-08;1.82727;0.665228;1.80155;76.6753;0.257755;47.7078;47.573;47.794;47.5803;44.9388;2.93857;2.89918;421.379;2.23991;1.28072;1.1455;123.152;74.3902;25.5937;15.3428;194.716;5660.72;92.52
1;400;4.8256e-05;2.56e-07;5.32295;6.50002;1027.04;0.954374;69.0173;2.54001;79.0714;1.28153;1.70807e-08;1050.75;0.484502;122.981;8.16878;0.30729;1.70807e-08;1.78496;0.163299;92.6244;254.281;498.691;0.656549;3.84218;19.0774;2.50788;171.148;7.07962;62.3533;18.1083;3.81834;6283.22;581.401;43.3037;18.506;1.06105;1.70807e-08;0.34614;90.9122;0.30616;1.40548;3.26426;3.30387;0.231532;0.155249;1.15601;0.158551;1.99117;1.42206;1.62773;10.2219;38.2958;1037.32;3.22822;942.412;85.3019;4.66719;2.07347;5252.53;2.31137;83.1398;2.24741;51.7988;1.27616;2.60959;1.70807e-08;0.47211;1.00971;0.785546;0.896442;3932.52;0.320317;6816.07;6832.28;2135.01;784.721;3823.3;67.3039;0.909839;1037.47;0.87506;0.560976;0.973656;182.54;38.446;255.246;1.01672;100.963;29.2945;35.4541;1443.31;95.5271;1.70807e-08;2.04256;0.743511;2.01379;85.7109;0.287716;53.332;53.1818;53.428;53.1895;50.2357;3.28449;3.2405;471.054;2.50426;1.4317;1.28054;137.67;83.16;28.6073;17.1509;217.709;6328.06;103.338
1;500;9.2032e-05;5.12e-07;6.09082;7.4545;1178.05;1.09484;79.164;2.9126;90.6964;1.47117;1.95921e-08;1205.24;0.55695;141.063;9.37115;0.355029;1.95921e-08;2.04619;0.188522;106.244;291.667;572.012;0.752536;4.40627;21.8835;2.87717;196.311;8.11996;71.5224;20.7709;4.37973;7207.03;666.9;49.6706;21.2269;1.21762;1.95921e-08;0.397032;104.278;0.350204;1.61113;3.74324;3.78858;0.265627;0.178079;1.32597;0.180574;2.28284;1.6302;1.86601;11.7238;43.9277;1189.84;3.70182;1080.98;97.8965;5.35299;2.3781;6024.8;2.65178;95.3629;2.5765;59.4147;1.4652;2.99271;1.95921e-08;0.540486;1.14676;0.90103;1.01038;4510.72;0.367232;7818.24;7836.83;2448.91;900.101;4385.44;77.1996;1.04367;1190.01;1.00349;0.643309;1.11681;209.38;44.0986;292.753;1.16632;115.807;33.6009;40.6662;1655.52;109.572;1.95921e-08;2.3425;0.852436;2.3095;98.3063;0.329109;61.1733;61.0026;61.2825;61.01;57.6194;3.76633;3.71598;540.313;2.87307;1.6422;1.46881;157.911;95.387;32.8066;19.6716;249.791;7258.47;118.363
1;600;0.000179584;1.024e-06;6.9889;8.58707;1357.41;1.26197;91.2154;3.35433;104.504;1.69756;2.2575e-08;1388.74;0.644131;162.54;10.8006;0.416444;2.2575e-08;2.35532;0.219609;122.423;336.073;659.1;0.866017;5.07551;25.2177;3.31634;226.198;9.35541;82.4147;23.9335;5.0465;8304.31;768.471;57.233;24.4586;1.40467;2.2575e-08;0.457479;120.152;0.401593;1.85446;4.31125;4.36328;0.306232;0.205204;1.52784;0.204739;2.62822;1.87653;2.14805;13.5067;50.6196;1371;4.26336;1245.56;112.892;6.16739;2.7393;6942.08;3.05698;109.88;2.96611;68.4607;1.69248;3.44688;2.2575e-08;0.62023;1.29806;1.03816;1.12586;5197.49;0.422815;9008.58;9030;2821.76;1037.15;5053.14;88.9536;1.20274;1371.19;1.15554;0.74099;1.28685;241.262;50.8123;337.28;1.34423;133.439;38.7145;46.8555;1907.58;126.255;2.2575e-08;2.69808;0.981115;2.66004;113.262;0.377406;70.4871;70.2943;70.6101;70.299;66.3852;4.33763;4.27981;622.576;3.3117;1.89223;1.69243;181.951;109.91;37.7897;22.6672;287.948;8363.6;136.084
1;700;0.000354688;2.048e-06;7.881;9.74485;1541.1;1.43396;103.557;3.80517;118.643;1.93164;2.56301e-08;1576.68;0.735587;184.536;12.2674;0.492196;2.56301e-08;2.66972;0.253617;138.994;381.552;748.291;0.981166;5.75945;28.6347;3.76713;256.806;10.6208;93.5729;27.1731;5.72927;9428.1;872.532;64.9787;27.7681;1.59917;0.000108624;0.519384;136.406;0.452505;2.10193;4.8913;4.95;0.348161;0.233012;1.73455;0.224121;2.98002;2.12714;2.43505;15.3308;57.4802;1556.55;4.8366;1414.13;128.315;7.00156;3.1066;7881.54;3.47433;124.747;3.36276;77.7252;1.93165;3.90965;2.56301e-08;0.697344;1.43376;1.17839;1.20625;5900.87;0.4794;10227.7;10252;3203.62;1177.52;5736.98;100.992;1.36605;1556.75;1.30946;0.840761;1.46099;273.921;57.6875;382.839;1.52714;151.497;43.9478;53.1909;2165.73;143.341;2.56301e-08;3.06047;1.11104;3.01725;128.572;0.425258;80.026;79.8167;80.1594;79.8122;75.3518;4.92083;4.85556;706.824;3.76202;2.14832;1.92144;206.572;124.784;42.885;25.7452;327.117;9495.45;154.018
1;800;0.000704896;4.096e-06;8.64552;10.7934;1707.99;1.59229;114.767;4.21227;131.488;2.14778;2.84058e-08;1747.44;0.822035;204.522;13.6051;0.590486;2.84058e-08;2.9518;0.287873;154.055;422.876;829.325;1.0839;6.37852;31.7427;4.17827;284.614;11.7724;103.714;30.1178;6.34933;10449.2;967.114;72.0538;30.7741;1.7821;0.0444327;0.57562;151.164;0.496917;2.32489;5.4165;5.48105;0.387256;0.258353;1.92205;0.228587;3.29755;2.35304;2.69383;16.9853;63.7288;1725.17;5.35539;1567.31;142.425;7.76083;3.42946;8735.1;3.8593;138.253;3.72061;86.1406;2.15284;4.32427;2.84058e-08;0.751581;1.54641;1.30343;1.21607;6539.97;0.529246;11335.4;11362.3;3550.57;1305.09;6358.31;111.932;1.51556;1725.36;1.44293;0.930159;1.61921;303.605;63.9317;424.187;1.69537;167.904;48.6951;58.9397;2400.28;158.874;2.84058e-08;3.38578;1.22496;3.33778;142.47;0.466999;88.6929;88.4809;88.8296;88.4542;83.4764;5.44868;5.37683;783.362;4.17285;2.38101;2.12944;228.941;138.296;47.5024;28.5767;362.838;10523.9;169.982
1;900;0.00140531;8.192e-06;9.27671;11.6792;1849.31;1.72739;124.254;4.5493;142.359;2.33316;3.07565e-08;1892.05;0.897324;221.447;14.7434;0.730658;3.07565e-08;3.18114;0.318986;166.813;457.869;897.947;1.16391;6.89539;34.3769;4.52728;308.156;12.7491;112.305;32.6143;6.87378;11313.8;1047.26;78.0807;33.3175;1.94744;0.160982;0.623217;163.659;0.532376;2.51152;5.85917;5.92838;0.423289;0.280036;2.05597;0.202502;3.56399;2.54225;2.91063;18.3795;69.049;1867.98;5.79223;1697.03;154.507;8.40672;3.66879;9457.94;4.19839;149.688;4.0207;93.2287;2.33224;4.66214;3.07565e-08;0.75314;1.61471;1.36843;1.15203;7081.2;0.565073;12273.4;12302.6;3844.38;1413.13;6884.49;121.27;1.64541;1868.18;1.53576;1.00077;1.75318;328.749;69.2123;459.157;1.84383;181.799;52.7043;63.7975;2598.91;172.058;0.039556;3.65351;1.31337;3.60136;154.227;0.500314;96.032;95.8403;96.1644;95.7687;90.3182;5.8933;5.81611;848.159;4.52193;2.57812;2.30544;247.885;149.698;51.3996;31.0403;393.237;11394.8;183.043
