condition;iter;t;dt;10fthfglu3;12dgr;13dpg;1ag3p;2pg;3pg;5fthf;5fthfglu3;ACP_R;ACP;DNA;PdhC;ac;accoa;acdhlpl_PdhC;actp;ade;adn;adp;amp;ap;apoACP;atp;cdp;cdpdag;clpn;cmp;co2;coa;ctp;dUTPase;dad_2;dadp;damp;datp;dcdp;dcmp;dctp;dcyt;dgdp;dgmp;dgsn;dgtp;dhap;dhlpl_PdhC;dnad;dtdp;dtmp;dttp;e4p;f6p;fa;fdp;fmettrna;for;g1p;g3p;g6p;galfur12dgr;gdp;glyc3p;glyc;gmp;gsn;gtp;gua;h2o;h;lgltn;lpl_PdhC;methfglu3;mlthfglu3;nac;nad;nadh;nadp;nadph;nh3;nicrnt;o2;pa;pap;pep;pg3p;pg;pi;ppi;prpp;pyr;r1p;r5p;ru5p__D;s7p;thfglu3;thymd;trdox;trdrd;udp;udpg;udpgal;udpgalfur;udpgltn;ump;ura;utp;xu5p__D;rRNA;AA;tRNA;AAtRNA;Protein
1;0;0;0.0001;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;23.0725;16.94;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;194.175;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;13.7654;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;50.1239;0.990991;0.990991;0.990991;697.869
1;100;2.6496e-06;6.4e-09;0.992236;0.990915;0.98631;0.991023;0.990543;0.994227;0.914422;0.991123;0.991;23.0725;16.9375;0.990364;0.992551;0.991011;0.990982;0.987341;0.990974;0.988674;0.742966;0.988409;0.986091;194.174;1.30254;0.986102;0.990991;0.990991;0.994475;1.002;0.990971;0.989168;0.990294;0.992302;0.986088;0.990128;0.992458;0.986099;0.990114;0.991416;0.992152;0.986086;0.990139;0.992401;0.991456;0.991077;0.990996;0.986934;0.986091;0.990123;0.992431;0.990938;0.995152;1.00577;0.986005;0.948519;0.990986;0.99098;0.99107;0.995046;0.990996;0.986067;0.98697;1.00417;0.994283;0.988707;0.993927;0.990974;0.996385;1.00178;0.990992;0.990924;0.987186;13.7655;0.988906;0.991381;0.99072;0.986453;0.990929;1.00211;0.995041;1.002;0.991072;0.990991;0.98477;0.991058;0.990931;0.960981;0.984017;0.984828;1.00538;0.990811;0.994922;0.990848;0.990915;0.98953;0.992246;0.999942;0.991958;0.986106;0.990979;0.990991;0.99097;0.990995;0.994358;1.0019;0.997248;0.990894;50.1231;0.987896;0.481352;1.66959;697.736
1;200;3.05792e-06;2.56e-09;0.99222;0.990902;0.985696;0.99103;0.99046;0.994649;0.905007;0.99114;0.991002;23.0725;16.9372;0.990288;0.992755;0.991015;0.99098;0.986864;0.99097;0.988374;0.711115;0.987974;0.985449;194.174;1.34263;0.985467;0.990991;0.990991;0.994905;1.00344;0.990966;0.988894;0.990209;0.992472;0.98545;0.990016;0.992648;0.985463;0.989999;0.991469;0.992303;0.985448;0.990028;0.992585;0.991514;0.991096;0.990997;0.986386;0.985454;0.990009;0.992617;0.990927;0.995734;1.0077;0.985341;0.948783;0.990985;0.990977;0.991088;0.995555;0.990997;0.985424;0.986444;1.0059;0.994673;0.988412;0.994272;0.99097;0.997077;1.0032;0.990992;0.990916;0.986696;13.7655;0.988634;0.991446;0.990665;0.985891;0.990887;1.00356;0.995584;1.00344;0.991086;0.990991;0.983987;0.991069;0.990921;0.957177;0.983134;0.984;1.00726;0.990771;0.995473;0.990817;0.990898;0.989507;0.992409;0.999988;0.992611;0.985472;0.990976;0.990991;0.990966;0.990996;0.994767;1.00333;0.998036;0.990873;50.1231;0.987499;0.419241;1.74719;697.72
1;300;3.51104e-06;5.12e-09;0.99217;0.990888;0.985042;0.991038;0.990365;0.995096;0.895017;0.991158;0.991004;23.0725;16.9369;0.990208;0.992971;0.991021;0.990978;0.986357;0.990966;0.988056;0.677313;0.987484;0.984766;194.174;1.38519;0.984792;0.990991;0.990991;0.995356;1.00497;0.990961;0.988581;0.99012;0.992653;0.984773;0.989896;0.99285;0.984786;0.989877;0.991525;0.992463;0.98477;0.98991;0.99278;0.991576;0.991119;0.990998;0.985798;0.984776;0.989889;0.992814;0.990913;0.996363;1.00975;0.984632;0.950135;0.990985;0.990974;0.991109;0.99609;0.990999;0.984741;0.985884;1.00773;0.995077;0.988099;0.994614;0.990965;0.997814;1.0047;0.990992;0.990908;0.986176;13.7655;0.988344;0.991517;0.9906;0.985293;0.990841;1.00511;0.996166;1.00497;0.991101;0.990991;0.983163;0.991081;0.990909;0.953146;0.982218;0.983111;1.00925;0.990724;0.99607;0.990781;0.990879;0.989514;0.992582;0.999989;0.993329;0.984799;0.990973;0.990992;0.990961;0.990997;0.995193;1.00485;0.998857;0.990848;50.1232;0.987077;0.353686;1.8283;697.702
1;400;3.78445e-06;2.048e-09;0.992125;0.990879;0.984662;0.991044;0.990306;0.995357;0.889204;0.991169;0.991006;23.0725;16.9367;0.990161;0.993097;0.991024;0.990976;0.986062;0.990963;0.987872;0.657687;0.987183;0.984368;194.174;1.40992;0.9844;0.990991;0.990991;0.995615;1.00587;0.990957;0.988382;0.990068;0.992759;0.984378;0.989826;0.992966;0.984393;0.989807;0.991558;0.992556;0.984375;0.989841;0.992893;0.991612;0.991133;0.990999;0.985452;0.984382;0.989819;0.992929;0.990904;0.996734;1.01095;0.984218;0.951423;0.990984;0.990972;0.991122;0.996398;0.991;0.984343;0.985558;1.0088;0.995307;0.987917;0.994796;0.990962;0.998243;1.00557;0.990992;0.990903;0.985875;13.7655;0.988175;0.991559;0.990559;0.984944;0.990814;1.00601;0.996508;1.00586;0.99111;0.990991;0.982687;0.991089;0.990903;0.950808;0.981703;0.982588;1.01041;0.990695;0.996424;0.990758;0.990867;0.989532;0.992683;0.999987;0.993747;0.984407;0.990971;0.990992;0.990957;0.990998;0.995437;1.00573;0.999322;0.990832;50.1232;0.986833;0.315944;1.87469;697.692
1;500;4.1449e-06;4.096e-09;0.992051;0.990868;0.984175;0.991051;0.990228;0.995689;0.88178;0.991182;0.991008;23.0725;16.9364;0.990103;0.993258;0.991029;0.990974;0.985685;0.990959;0.987637;0.632695;0.986779;0.98386;194.174;1.44142;0.9839;0.990991;0.990991;0.995942;1.007;0.990952;0.988101;0.990003;0.992893;0.983876;0.989737;0.993115;0.983891;0.989716;0.991599;0.992675;0.983872;0.989753;0.993038;0.991657;0.991152;0.991;0.985005;0.98388;0.989729;0.993075;0.990893;0.997214;1.01248;0.983687;0.953595;0.990984;0.99097;0.99114;0.996789;0.991001;0.983835;0.985142;1.01016;0.995595;0.987685;0.994997;0.990958;0.998789;1.00669;0.990992;0.990897;0.985491;13.7655;0.98796;0.991613;0.990504;0.984499;0.990779;1.00715;0.996949;1.007;0.991122;0.990991;0.982085;0.991099;0.990894;0.947837;0.981076;0.981915;1.01189;0.990654;0.996884;0.990727;0.990851;0.98957;0.992811;0.999987;0.994281;0.983908;0.990968;0.990992;0.990953;0.990999;0.995744;1.00686;0.999893;0.99081;50.1233;0.986522;0.268534;1.93279;697.678
1;600;4.86579e-06;8.192e-09;0.991862;0.990844;0.983254;0.991067;0.990068;0.996316;0.867754;0.991208;0.991012;23.0725;16.9359;0.989999;0.993562;0.991039;0.99097;0.984973;0.990951;0.987194;0.585843;0.985933;0.982897;194.174;1.50051;0.982957;0.99099;0.990991;0.996549;1.00916;0.990943;0.987408;0.989887;0.993147;0.982926;0.989569;0.993396;0.982944;0.989545;0.991675;0.9929;0.982922;0.989587;0.993311;0.991742;0.991192;0.991003;0.984144;0.982931;0.98956;0.99335;0.990868;0.99814;1.01536;0.982677;0.959263;0.990983;0.990965;0.991178;0.997517;0.991003;0.982875;0.984355;1.01273;0.996121;0.987249;0.995194;0.990949;0.999813;1.00881;0.990992;0.990887;0.984768;13.7656;0.987552;0.991715;0.99039;0.983655;0.990713;1.00933;0.997798;1.00915;0.991146;0.990991;0.980961;0.991118;0.990876;0.942305;0.980081;0.980618;1.01469;0.99057;0.997779;0.990663;0.990817;0.989686;0.993054;0.999951;0.995307;0.982967;0.990963;0.990992;0.990943;0.991001;0.996309;1.00899;1.00084;0.990765;50.1236;0.985942;0.184366;2.03639;697.652
1;700;5.30816e-06;3.2768e-09;0.991725;0.99083;0.982722;0.991077;0.989967;0.996677;0.859646;0.991223;0.991014;23.0725;16.9356;0.98995;0.993737;0.991045;0.990967;0.984563;0.990945;0.98694;0.559366;0.985375;0.982342;194.174;1.5339;0.982414;0.99099;0.990991;0.99689;1.0104;0.990936;0.986803;0.98983;0.993293;0.98238;0.989473;0.993557;0.982399;0.989447;0.991718;0.993029;0.982376;0.989492;0.993468;0.99179;0.991218;0.991004;0.983637;0.982385;0.989463;0.993507;0.990852;0.998686;1.01702;0.982092;0.963384;0.990983;0.990961;0.991202;0.99793;0.991005;0.982323;0.983901;1.01422;0.996411;0.986998;0.995076;0.990944;1.00039;1.01003;0.990993;0.990881;0.984354;13.7656;0.987317;0.991772;0.990317;0.983167;0.990677;1.01058;0.998297;1.01039;0.99116;0.990991;0.980323;0.99113;0.990865;0.939228;0.979756;0.979853;1.01631;0.990516;0.998312;0.990621;0.990795;0.989778;0.993194;0.999985;0.995873;0.982426;0.990959;0.990992;0.990937;0.991002;0.996625;1.01022;1.00122;0.990736;50.1238;0.985621;0.143726;2.08818;697.637
1;800;5.8816e-06;6.5536e-09;0.991532;0.990812;0.982072;0.991091;0.989836;0.997118;0.849746;0.99124;0.991018;23.0725;16.9353;0.98991;0.993951;0.991053;0.990963;0.984062;0.990938;0.986631;0.528027;0.984582;0.981663;194.174;1.57335;0.981752;0.99099;0.990991;0.997299;1.01191;0.990928;0.985651;0.989782;0.993471;0.981713;0.989354;0.993752;0.981734;0.989327;0.99177;0.993186;0.981708;0.989375;0.99366;0.991848;0.991252;0.991006;0.983001;0.981719;0.989344;0.993699;0.990831;0.999367;1.01906;0.981371;0.969101;0.990982;0.990957;0.991234;0.998427;0.991007;0.981647;0.983346;1.01603;0.996753;0.986694;0.994464;0.990936;1.00105;1.01152;0.990993;0.990874;0.98385;13.7656;0.98703;0.991837;0.990222;0.982569;0.990631;1.01211;0.998921;1.01191;0.991179;0.990991;0.979554;0.991146;0.990851;0.935695;0.979862;0.978897;1.01828;0.990444;0.998985;0.990567;0.990767;0.989911;0.993364;0.999986;0.996584;0.981766;0.990955;0.990992;0.990928;0.991004;0.997;1.01173;1.00136;0.990698;50.1241;0.985253;0.110493;2.13583;697.618
1;900;7.02848e-06;1.31072e-08;0.991132;0.990776;0.980889;0.991119;0.989572;0.997916;0.831793;0.991273;0.991025;23.0725;16.9347;0.989896;0.994338;0.991071;0.990956;0.983152;0.990922;0.986074;0.474212;0.982805;0.980429;194.174;1.64097;0.980556;0.99099;0.990991;0.998014;1.01466;0.99091;0.98234;0.989753;0.993793;0.980507;0.98914;0.994105;0.98053;0.989109;0.991862;0.993471;0.980501;0.989163;0.994007;0.99195;0.991322;0.99101;0.981796;0.980513;0.989128;0.994045;0.990788;1.00064;1.02275;0.980052;0.980775;0.990982;0.990948;0.991301;0.999306;0.991011;0.980422;0.982339;1.01932;0.997329;0.986144;0.991971;0.990921;1.00214;1.01424;0.990993;0.990863;0.982943;13.7657;0.98651;0.991937;0.990026;0.981482;0.990548;1.01489;1.0001;1.01466;0.991215;0.990991;0.978193;0.991176;0.990824;0.929943;0.981548;0.977089;1.02184;0.990297;1.00027;0.990455;0.990709;0.990193;0.993673;0.999986;0.997874;0.980573;0.990945;0.990992;0.990911;0.991007;0.997648;1.01445;1.0006;0.990619;50.1247;0.984658;0.0957388;2.18061;697.581
