condition;iter;t;dt;mu;density;consistent;mu_diff
1;0;0;0.0001;0.0690165;1;1;0
1;100;2.6496e-06;6.4e-09;0.0979565;1;1;0
1;200;3.05792e-06;2.56e-09;0.100794;1;1;0
1;300;3.51104e-06;5.12e-09;0.103665;1;1;0
1;400;3.78445e-06;2.048e-09;0.10526;1;1;0
1;500;4.1449e-06;4.096e-09;0.107201;1;1;0
1;600;4.86579e-06;8.192e-09;0.11044;1;1;0
1;700;5.30816e-06;3.2768e-09;0.111891;1;1;0
1;800;5.8816e-06;6.5536e-09;0.113115;1;1;0
1;900;7.02848e-06;1.31072e-08;0.114673;1;1;0
1;1000;7.74413e-06;5.24288e-09;0.115565;1;1;0
1;1100;8.65639e-06;1.04858e-08;0.116669;1;1;0
1;1200;1.04809e-05;2.09715e-08;0.118778;1;1;0
1;1300;1.413e-05;4.1943e-08;0.122687;1;1;0
1;1400;2.1428e-05;8.38861e-08;0.129768;1;1;0
1;1500;3.60242e-05;1.67772e-07;0.141995;1;1;0
1;1600;6.52166e-05;3.35544e-07;0.160992;1;1;0
