condition;iter;t;dt;10fthfglu3;12dgr;13dpg;1ag3p;2dr1p;2dr5p;2pg;3pg;5fthf;5fthfglu3;ACP_R;ACP;DNA;PdhC;ac;acald;accoa;acdhlpl_PdhC;actp;ade;adn;adp;amp;ap;apoACP;atp;cdp;cdpdag;clpn;cmp;co2;coa;ctp;dUTPase;dad_2;dadp;damp;datp;dcdp;dcmp;dctp;dcyt;dgdp;dgmp;dgsn;dgtp;dhap;dhlpl_PdhC;dnad;dtdp;dtmp;dttp;dudp;dump;duri;dutp;e4p;f6p;fa;fad;fdp;fmettrna;fmn;for;g1p;g3p;g6p;galfur12dgr;gdp;glyc3p;glyc;gmp;gsn;gtp;gua;h2o;h;lac__L;lgltn;lpl_PdhC;methfglu3;mlthfglu3;na1;nac;nad;nadh;nadp;nadph;nh3;nicrnt;o2;pa;pap;pep;pg3p;pg;pi;ppi;prpp;pyr;r1p;r5p;ribflv;ru5p__D;s7p;thfglu3;thymd;trdox;trdrd;udp;udpg;udpgal;udpgalfur;udpgltn;ump;ura;utp;xu5p__D;rRNA;AA;tRNA;AAtRNA;Protein
1;0;0;0.0001;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.0189287;0.0154;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.159301;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.000813008;0.0455672;0.000813008;0.000813008;0.000813008;0.664868
1;100;1.92e-05;1.6e-07;0.000807825;0.000812374;0.000800406;0.000813603;0.000812371;0.000811296;0.000807886;0.000821236;0.000533594;0.000813343;0.000813148;0.0189285;0.0153935;0.000812007;0.000817042;0.00081336;0.00081338;0.000812872;0.000803515;0.000840898;0.000807598;0.000187725;0.000779914;0.000799914;0.1593;0.00166021;0.000801611;0.000812943;0.000813008;0.000821756;0.000841913;0.000812642;0.000767221;0.000811888;0.000817083;0.000800553;0.000810777;0.000816597;0.000813321;0.000803167;0.000813805;0.000806717;0.000800245;0.000810805;0.000816562;0.000814328;0.000814308;0.000813087;0.000792822;0.0008006;0.000810763;0.000816475;0.000813321;0.000810521;0.000815933;0.000812633;0.000812119;0.000829553;0.000851657;0.000777716;0.000798157;0.000954565;0.000820789;0.000813;0.000812824;0.000815835;0.000820461;0.000813056;0.00080067;0.000802403;0.000847526;0.000823419;0.00080693;0.000773023;0.000841726;0.000828167;0.000841821;0.000813164;0.000813014;0.000812949;0.000804194;0.000814143;0.000841913;0.000807538;0.000810435;0.000807909;0.000800443;0.000813008;0.0008424;0.000832663;0.000841885;0.000813718;0.000813008;0.00080185;0.00081357;0.000812507;0.000734125;0.000833205;0.000782839;0.000849858;0.000810052;0.000835666;0.000818275;0.000810693;0.000811883;0.000815871;0.000816159;0.000813121;0.000841814;0.000800618;0.000812797;0.000813013;0.000812819;0.000813047;0.0008232;0.000841653;0.000795727;0.000811429;0.0455583;0.000805809;9.39347e-05;0.00215014;0.664173
1;200;4.96e-05;3.2e-07;0.000797839;0.000811402;0.000797017;0.000815164;0.000810697;0.000806895;0.000797558;0.00082206;0.000481498;0.00081338;0.000813512;0.0189282;0.0153923;0.000811643;0.000817667;0.000814263;0.000814356;0.000812518;0.000801888;0.00084406;0.000808459;0.000224082;0.000704025;0.000796666;0.1593;0.00178603;0.00080303;0.000812747;0.000813006;0.000820192;0.000847217;0.000811688;0.000698052;0.000811703;0.000819461;0.000799282;0.000810429;0.000816478;0.000814131;0.000801361;0.000813042;0.000805561;0.000798182;0.000810463;0.000816936;0.000814673;0.000817671;0.000813292;0.000763623;0.00079943;0.000810414;0.00081622;0.000814134;0.000810416;0.00081621;0.000811658;0.000809843;0.000848261;0.000858493;0.000728179;0.000790308;0.00121644;0.000847547;0.000812999;0.000812367;0.000823138;0.000813025;0.000813181;0.000799701;0.000800165;0.000853699;0.000824956;0.000805816;0.000695324;0.000847006;0.00082992;0.000847588;0.000813576;0.000813028;0.000813281;0.000805336;0.000816381;0.000847217;0.00080654;0.000800908;0.000795265;0.000796508;0.000813006;0.000848364;0.000860237;0.000847131;0.000814813;0.000813008;0.000812568;0.000814402;0.000811776;0.000742211;0.000886656;0.000740136;0.000854248;0.000802806;0.000872399;0.000818919;0.000805128;0.000809228;0.000821281;0.000816469;0.000813287;0.000846987;0.00079943;0.000812187;0.000813027;0.000812325;0.000813148;0.00082472;0.000846905;0.000743333;0.000807374;0.0455555;0.000804665;0.000128392;0.00282849;0.663326
1;300;0.0001104;6.4e-07;0.000780872;0.000809657;0.000789205;0.000819694;0.000805848;0.000794106;0.000773571;0.000822687;0.000390436;0.000813426;0.000814595;0.0189271;0.0153903;0.00081078;0.00081876;0.000816886;0.000817187;0.000811454;0.00079885;0.000847085;0.000812278;0.000285165;0.000555264;0.000789492;0.159299;0.00205088;0.000809252;0.000812003;0.000813002;0.000814607;0.000856414;0.000808915;0.000592177;0.000811424;0.000825992;0.000797726;0.000809819;0.000815463;0.000816366;0.000798231;0.000810714;0.000803554;0.000794438;0.000809865;0.000817605;0.000815437;0.000827779;0.000813912;0.000704471;0.000798192;0.000809805;0.000814791;0.000816375;0.000810205;0.000816716;0.000808965;0.000803279;0.000898204;0.000870397;0.000631268;0.000770108;0.00160773;0.000900302;0.000812996;0.000811076;0.000844217;0.000790982;0.000813558;0.000799081;0.000795523;0.000864416;0.000827522;0.000803886;0.000575323;0.000856184;0.000833838;0.000857854;0.000814806;0.000813071;0.000814319;0.000809291;0.000821707;0.000856414;0.000804824;0.000797456;0.0007591;0.000786867;0.000813002;0.000858803;0.000914132;0.000856188;0.000816883;0.000813008;0.000841123;0.000815805;0.000810569;0.000762166;0.000947019;0.000656121;0.000859472;0.000783355;0.00095184;0.00082003;0.000790553;0.000802522;0.000827329;0.00081703;0.00081354;0.000856035;0.000797712;0.000809983;0.000813068;0.000810833;0.000813455;0.000827273;0.000856014;0.000665221;0.000795639;0.0455542;0.000802799;0.000182493;0.00387332;0.662027
1;400;0.000232;1.28e-06;0.000752199;0.000806508;0.00077241;0.000831535;0.000793228;0.000760575;0.000724032;0.000820004;0.000243703;0.000813449;0.000817634;0.0189242;0.015387;0.000808634;0.000820489;0.000823754;0.000824585;0.000808406;0.000793544;0.0008455;0.000824273;0.000380328;0.00030704;0.000774253;0.159299;0.00250476;0.000828075;0.000808716;0.000812991;0.000796094;0.000870975;0.000801645;0.000444228;0.000811038;0.000842432;0.000796785;0.000808846;0.000812039;0.000821899;0.000793275;0.000804611;0.000800367;0.00078807;0.000808913;0.000818659;0.00081717;0.000856421;0.000815626;0.000598814;0.000798208;0.000808838;0.000810158;0.000821925;0.000809868;0.000817529;0.000802295;0.000786286;0.00101324;0.000889329;0.000468244;0.000723029;0.00215255;0.000989387;0.000812994;0.000807628;0.000896827;0.00073969;0.000814652;0.000800876;0.000786281;0.000881383;0.000831094;0.000800832;0.000398904;0.000870833;0.000841425;0.00087491;0.000817756;0.000813195;0.000817427;0.00082084;0.000834007;0.000870977;0.000802193;0.000829944;0.000671981;0.00076407;0.000812992;0.000875298;0.00100452;0.000870543;0.000821496;0.000813008;0.000907593;0.000818098;0.000808682;0.000813921;0.000999329;0.000514226;0.000863092;0.000737828;0.00110161;0.000821691;0.000757748;0.000789031;0.00083074;0.00081792;0.000813781;0.000870649;0.000793869;0.000801534;0.000813185;0.000806507;0.000814345;0.000830867;0.000870481;0.00056151;0.000765589;0.0455656;0.000800069;0.000260351;0.00535052;0.660192
1;500;0.0004752;2.56e-06;0.000703012;0.000798706;0.00074462;0.000857291;0.000766072;0.000686112;0.000646905;0.000799625;2.5683e-05;0.000813203;0.000825339;0.0189166;0.0153821;0.000803366;0.000822815;0.00083896;0.000840662;0.00080039;0.00078536;0.000818455;0.000852259;0.00050695;5.88148e-05;0.000745561;0.159298;0.00312689;0.000862551;0.000790459;0.000812959;0.000731003;0.000892128;0.00078538;0.000293454;0.000810537;0.000876704;0.000798325;0.000807512;0.000804411;0.000833604;0.000785754;0.000791326;0.000795417;0.000778099;0.000807624;0.000819421;0.000821275;0.000925366;0.000819654;0.000416352;0.000802455;0.000807532;0.000799172;0.000833672;0.000810254;0.000818028;0.00078817;0.000749154;0.00122233;0.000916601;0.000225909;0.000637681;0.00287263;0.00112257;0.00081299;0.00079916;0.000996576;0.000659974;0.000817662;0.000808488;0.000769839;0.000905773;0.000833169;0.000796085;0.000146399;0.000892981;0.000853119;0.000901726;0.000821068;0.000813536;0.000826204;0.000849998;0.000861164;0.000892133;0.000798892;0.000909521;0.000548634;0.000716847;0.000812963;0.000898678;0.00113672;0.000892258;0.000839523;0.000758905;0.0010256;0.000823644;0.000804216;0.000930896;0.00104075;0.000291204;0.000869089;0.000648647;0.00133521;0.000823027;0.000696088;0.000769619;0.000824074;0.000818489;0.000813671;0.000892666;0.000775178;0.000768036;0.000813498;0.000794606;0.000816792;0.000832958;0.000892104;0.00045749;0.00070199;0.045617;0.000796272;0.00036542;0.00731909;0.657742
1;600;0.000768247;6.5536e-11;0.000649559;0.000784241;0.000699307;0.000885304;0.000737104;0.00059854;0.000599782;0.000770171;1.91332e-05;0.0008096;0.00083575;0.0189065;0.0153764;0.000796289;0.000824854;0.000856766;0.000858125;0.000789123;0.000777616;0.00075257;0.000880157;0.000605659;6.77944e-05;0.000715847;0.159298;0.00359613;0.000883437;0.000749159;0.000812914;0.000614428;0.000898325;0.000760938;0.000278554;0.000810142;0.000910392;0.000801128;0.000806317;0.000796837;0.000847257;0.00077701;0.000775804;0.00078795;0.000767441;0.000806484;0.000816578;0.000827425;0.00100292;0.000824753;0.000209378;0.000809557;0.000806381;0.00078631;0.000847383;0.000812737;0.000815401;0.000771681;0.000706073;0.00141644;0.000928419;8.17471e-11;0.000572187;0.00347547;0.00124712;0.000812987;0.000785835;0.00108675;0.000612002;0.000822389;0.00072954;0.000753144;0.000914804;0.000817256;0.000788289;3.14271e-05;0.000907206;0.000861773;0.00091481;0.000819707;0.000814073;0.000839078;0.000888048;0.000895734;0.000898334;0.000800437;0.000950244;0.000515018;0.00066117;0.000812923;0.000906001;0.00124251;0.000900707;0.000878902;0.000593773;0.00110601;0.000834612;0.000795322;0.00106126;0.0010404;0.000127875;0.000883309;0.000554164;0.00153478;0.000819448;0.000631215;0.000756224;0.000806364;0.000815748;0.000812931;0.000900664;0.000734663;0.000705771;0.000813946;0.000775952;0.000820634;0.000816377;0.000904739;0.000435673;0.000631084;0.0456903;0.000791098;0.000453672;0.00896655;0.655673
1;700;0.000768255;1.31072e-10;0.000649557;0.00078424;0.000699305;0.000885305;0.000737104;0.000598538;0.000599781;0.000770171;1.91332e-05;0.0008096;0.000835751;0.0189065;0.0153764;0.000796289;0.000824854;0.000856767;0.000858126;0.000789122;0.000777616;0.000752569;0.000880158;0.000605662;6.77946e-05;0.000715846;0.159298;0.00359613;0.000883438;0.000749158;0.000812914;0.000614424;0.000898325;0.000760938;0.000278554;0.000810142;0.000910393;0.000801128;0.000806317;0.000796837;0.000847258;0.00077701;0.000775804;0.000787949;0.000767441;0.000806484;0.000816578;0.000827425;0.00100292;0.000824753;0.000209373;0.000809557;0.000806381;0.00078631;0.000847383;0.000812737;0.000815401;0.00077168;0.000706072;0.00141644;0.000928419;8.17471e-11;0.000572186;0.00347549;0.00124712;0.000812987;0.000785835;0.00108675;0.000612001;0.000822389;0.000729536;0.000753143;0.000914805;0.000817255;0.000788289;3.14272e-05;0.000907206;0.000861773;0.00091481;0.000819706;0.000814073;0.000839078;0.000888049;0.000895735;0.000898334;0.000800438;0.000950245;0.000515018;0.000661169;0.000812923;0.000906001;0.00124251;0.000900707;0.000878903;0.000593769;0.00110601;0.000834612;0.000795322;0.00106126;0.0010404;0.000127874;0.000883309;0.000554161;0.00153479;0.000819448;0.000631213;0.000756224;0.000806363;0.000815748;0.000812931;0.000900664;0.000734662;0.000705769;0.000813946;0.000775951;0.000820634;0.000816376;0.000904739;0.000435674;0.000631082;0.0456903;0.000791098;0.000453674;0.00896659;0.655673
1;800;0.00076827;2.62144e-10;0.000649554;0.000784239;0.000699302;0.000885306;0.000737102;0.000598533;0.000599779;0.000770169;1.91332e-05;0.0008096;0.000835751;0.0189065;0.0153764;0.000796288;0.000824854;0.000856768;0.000858127;0.000789122;0.000777615;0.000752566;0.000880159;0.000605666;6.7795e-05;0.000715844;0.159298;0.00359615;0.000883439;0.000749156;0.000812914;0.000614418;0.000898325;0.000760936;0.000278555;0.000810142;0.000910395;0.000801128;0.000806317;0.000796837;0.000847258;0.00077701;0.000775803;0.000787949;0.00076744;0.000806483;0.000816578;0.000827425;0.00100293;0.000824753;0.000209363;0.000809557;0.000806381;0.000786309;0.000847384;0.000812737;0.000815401;0.000771679;0.000706069;0.00141645;0.000928419;8.17471e-11;0.000572183;0.00347552;0.00124712;0.000812987;0.000785834;0.00108676;0.000612;0.00082239;0.000729527;0.000753143;0.000914805;0.000817253;0.000788289;3.14274e-05;0.000907207;0.000861774;0.000914811;0.000819706;0.000814073;0.000839079;0.000888051;0.000895737;0.000898334;0.000800438;0.000950246;0.000515018;0.000661166;0.000812923;0.000906002;0.00124251;0.000900707;0.000878905;0.000593761;0.00110601;0.000834613;0.000795321;0.00106127;0.0010404;0.000127871;0.000883311;0.000554157;0.0015348;0.000819448;0.00063121;0.000756223;0.000806362;0.000815748;0.000812931;0.000900664;0.000734659;0.000705766;0.000813946;0.00077595;0.000820635;0.000816374;0.00090474;0.000435674;0.000631079;0.0456903;0.000791098;0.000453678;0.00896667;0.655673
1;900;0.000768302;5.24288e-10;0.000649549;0.000784238;0.000699295;0.000885309;0.000737099;0.000598524;0.000599776;0.000770167;1.91333e-05;0.000809599;0.000835752;0.0189065;0.0153764;0.000796288;0.000824854;0.000856769;0.000858128;0.000789121;0.000777615;0.00075256;0.000880162;0.000605675;6.77958e-05;0.000715842;0.159298;0.00359618;0.000883441;0.000749151;0.000812914;0.000614404;0.000898326;0.000760934;0.000278557;0.000810142;0.000910398;0.000801129;0.000806317;0.000796836;0.00084726;0.000777009;0.000775801;0.000787948;0.000767439;0.000806483;0.000816577;0.000827426;0.00100293;0.000824754;0.000209342;0.000809558;0.000806381;0.000786308;0.000847385;0.000812738;0.000815401;0.000771678;0.000706065;0.00141647;0.00092842;8.17471e-11;0.000572179;0.00347557;0.00124712;0.000812987;0.000785832;0.00108677;0.000611997;0.00082239;0.000729511;0.000753141;0.000914806;0.00081725;0.000788288;3.14278e-05;0.00090721;0.000861775;0.000914812;0.000819706;0.000814073;0.00083908;0.000888055;0.000895741;0.000898335;0.000800439;0.000950248;0.000515018;0.00066116;0.000812923;0.000906002;0.00124252;0.000900708;0.00087891;0.000593745;0.00110602;0.000834614;0.00079532;0.00106128;0.0010404;0.000127867;0.000883314;0.000554147;0.00153482;0.000819447;0.000631203;0.000756222;0.00080636;0.000815747;0.000812931;0.000900665;0.000734655;0.000705758;0.000813946;0.000775948;0.000820635;0.00081637;0.000904742;0.000435675;0.000631071;0.0456903;0.000791097;0.000453686;0.00896682;0.655673
