condition;iter;t;dt;10fthfglu3;12dgr;13dpg;1ag3p;2dr1p;2dr5p;2pg;3pg;5fthf;5fthfglu3;ACP_R;ACP;DNA;PdhC;ac;acald;accoa;acdhlpl_PdhC;actp;ade;adn;adp;amp;ap;apoACP;atp;cdp;cdpdag;clpn;cmp;co2;coa;ctp;dUTPase;dad_2;dadp;damp;datp;dcdp;dcmp;dctp;dcyt;dgdp;dgmp;dgsn;dgtp;dhap;dhlpl_PdhC;dnad;dtdp;dtmp;dttp;dudp;dump;duri;dutp;e4p;f6p;fa;fad;fdp;fmettrna;fmn;for;g1p;g3p;g6p;galfur12dgr;gdp;glyc3p;glyc;gmp;gsn;gtp;gua;h2o;h;lac__L;lgltn;lpl_PdhC;methfglu3;mlthfglu3;na1;nac;nad;nadh;nadp;nadph;nh3;nicrnt;o2;pa;pap;pep;pg3p;pg;pi;ppi;prpp;pyr;r1p;r5p;ribflv;ru5p__D;s7p;thfglu3;thymd;trdox;trdrd;udp;udpg;udpgal;udpgalfur;udpgltn;ump;ura;utp;xu5p__D;rRNA;AA;tRNA;AAtRNA;Protein
1;0;0;0.0001;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;20.8215;16.94;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;175.231;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;0.894309;50.1239;0.894309;0.894309;0.894309;731.355
1;100;1.92e-05;1.6e-07;0.888608;0.893611;0.880447;0.894963;0.893608;0.892426;0.888675;0.903359;0.586954;0.894678;0.894463;20.8214;16.9329;0.893207;0.898746;0.894695;0.894718;0.894159;0.883867;0.924988;0.888358;0.206497;0.857906;0.879906;175.23;1.82623;0.881772;0.894237;0.894308;0.903931;0.926105;0.893906;0.843943;0.893077;0.898791;0.880609;0.891855;0.898257;0.894653;0.883483;0.895186;0.887388;0.88027;0.891886;0.898218;0.895761;0.895739;0.894395;0.872104;0.880661;0.891839;0.898123;0.894653;0.891573;0.897526;0.893896;0.893331;0.912508;0.936823;0.855488;0.877972;1.05002;0.902868;0.8943;0.894106;0.897419;0.902507;0.894361;0.880737;0.882643;0.932278;0.905761;0.887623;0.850325;0.925898;0.910983;0.926003;0.89448;0.894315;0.894244;0.884614;0.895558;0.926105;0.888292;0.891478;0.8887;0.880487;0.894308;0.92664;0.915929;0.926074;0.895089;0.894309;0.882035;0.894927;0.893758;0.807537;0.916526;0.861122;0.934844;0.891057;0.919233;0.900102;0.891762;0.893072;0.897458;0.897774;0.894433;0.925996;0.88068;0.894077;0.894315;0.894101;0.894352;0.90552;0.925819;0.8753;0.892572;50.1141;0.88639;0.103328;2.36516;730.591
1;200;4.96e-05;3.2e-07;0.877623;0.892542;0.876718;0.89668;0.891767;0.887585;0.877314;0.904266;0.529647;0.894718;0.894863;20.821;16.9315;0.892808;0.899434;0.895689;0.895791;0.89377;0.882077;0.928466;0.889305;0.24649;0.774428;0.876333;175.23;1.96464;0.883333;0.894022;0.894307;0.902211;0.931939;0.892856;0.767857;0.892873;0.901407;0.87921;0.891472;0.898126;0.895544;0.881497;0.894346;0.886117;0.878;0.89151;0.898629;0.896141;0.899438;0.894622;0.839985;0.879373;0.891456;0.897842;0.895547;0.891458;0.897831;0.892824;0.890828;0.933087;0.944342;0.800997;0.869338;1.33808;0.932302;0.894298;0.893604;0.905452;0.894327;0.894499;0.879671;0.880182;0.939069;0.907452;0.886398;0.764856;0.931706;0.912912;0.932346;0.894934;0.89433;0.894609;0.885869;0.898019;0.931939;0.887194;0.880999;0.874792;0.876159;0.894307;0.933201;0.946261;0.931844;0.896295;0.894309;0.893824;0.895842;0.892953;0.816432;0.975321;0.81415;0.939672;0.883086;0.959639;0.900811;0.885641;0.89015;0.903409;0.898116;0.894616;0.931686;0.879373;0.893406;0.89433;0.893558;0.894463;0.907192;0.931596;0.817667;0.888112;50.1111;0.885131;0.141231;3.11134;729.658
1;300;0.0001104;6.4e-07;0.858959;0.890622;0.868125;0.901663;0.886433;0.873516;0.850928;0.904955;0.429479;0.894769;0.896055;20.8198;16.9293;0.891858;0.900635;0.898574;0.898906;0.892599;0.878735;0.931794;0.893506;0.313681;0.610791;0.868441;175.229;2.25597;0.890178;0.893203;0.894302;0.896068;0.942055;0.889806;0.651395;0.892567;0.908591;0.877498;0.890801;0.89701;0.898003;0.878054;0.891785;0.883909;0.873882;0.890851;0.899366;0.89698;0.910557;0.895303;0.774918;0.878011;0.890785;0.89627;0.898013;0.891225;0.898388;0.889862;0.883607;0.988024;0.957437;0.694395;0.847119;1.7685;0.990333;0.894296;0.892183;0.928639;0.87008;0.894914;0.878989;0.875075;0.950858;0.910274;0.884275;0.632855;0.941803;0.917222;0.943639;0.896287;0.894378;0.895751;0.89022;0.903877;0.942056;0.885306;0.877201;0.83501;0.865554;0.894303;0.944683;1.00554;0.941807;0.898571;0.894309;0.925235;0.897385;0.891626;0.838382;1.04172;0.721733;0.945419;0.86169;1.04702;0.902033;0.869609;0.882774;0.910061;0.898733;0.894894;0.941639;0.877483;0.890981;0.894374;0.891916;0.894801;0.910001;0.941615;0.731743;0.875203;50.1096;0.883079;0.200743;4.26065;728.229
1;400;0.000232;1.28e-06;0.827419;0.887158;0.849651;0.914688;0.87255;0.836632;0.796435;0.902004;0.268074;0.894794;0.899397;20.8166;16.9257;0.889497;0.902537;0.906129;0.907044;0.889246;0.872899;0.93005;0.9067;0.418361;0.337744;0.851678;175.229;2.75524;0.910883;0.889587;0.89429;0.875703;0.958072;0.881809;0.488651;0.892142;0.926675;0.876464;0.88973;0.893243;0.904089;0.872603;0.885072;0.880404;0.866877;0.889805;0.900525;0.898887;0.942063;0.897189;0.658695;0.878029;0.889722;0.891173;0.904117;0.890854;0.899282;0.882524;0.864914;1.11457;0.978262;0.515069;0.795332;2.36781;1.08833;0.894293;0.888391;0.98651;0.813659;0.896117;0.880964;0.864909;0.969521;0.914204;0.880916;0.438795;0.957916;0.925567;0.962401;0.899532;0.894514;0.89917;0.902924;0.917407;0.958074;0.882412;0.912939;0.739179;0.840477;0.894291;0.962827;1.10497;0.957597;0.903646;0.894309;0.998352;0.899908;0.88955;0.895313;1.09926;0.565649;0.949401;0.811611;1.21177;0.90386;0.833522;0.867934;0.913814;0.899712;0.895159;0.957714;0.873256;0.881687;0.894503;0.887157;0.895779;0.913954;0.95753;0.617661;0.842148;50.1222;0.880076;0.286386;5.88557;726.211
1;500;0.0004752;2.56e-06;0.773313;0.878577;0.819082;0.94302;0.842679;0.754723;0.711596;0.879588;0.0282513;0.894524;0.907873;20.8083;16.9203;0.883703;0.905097;0.922856;0.924729;0.880429;0.863896;0.900301;0.937485;0.557645;0.0646963;0.820117;175.228;3.43958;0.948806;0.869504;0.894255;0.804104;0.981341;0.863917;0.322799;0.89159;0.964374;0.878158;0.888263;0.884852;0.916964;0.864329;0.870459;0.874959;0.855909;0.888387;0.901363;0.903403;1.0179;0.901619;0.457988;0.882701;0.888285;0.879089;0.917039;0.89128;0.899831;0.866987;0.82407;1.34456;1.00826;0.2485;0.701449;3.15989;1.23482;0.894289;0.879076;1.09623;0.725971;0.899428;0.889337;0.846823;0.99635;0.916486;0.875694;0.161039;0.982279;0.938431;0.991899;0.903175;0.89489;0.908824;0.934998;0.94728;0.981346;0.878781;1.00047;0.603498;0.788532;0.89426;0.988546;1.25039;0.981484;0.923475;0.834796;1.12816;0.906008;0.884637;1.02399;1.14483;0.320324;0.955997;0.713511;1.46874;0.90533;0.765697;0.846581;0.906481;0.900338;0.895039;0.981933;0.852696;0.84484;0.894848;0.874066;0.898472;0.916253;0.981315;0.503239;0.772189;50.1787;0.875899;0.401962;8.05099;723.516
1;600;0.000768247;6.5536e-11;0.714515;0.862665;0.769238;0.973835;0.810815;0.658394;0.65976;0.847189;0.0210465;0.89056;0.919325;20.7971;16.9141;0.875918;0.907339;0.942443;0.943938;0.868035;0.855377;0.827828;0.968173;0.666225;0.0745739;0.787431;175.228;3.95574;0.971781;0.824075;0.894205;0.67587;0.988157;0.837032;0.306409;0.891156;1.00143;0.881241;0.886948;0.876521;0.931983;0.854711;0.853384;0.866745;0.844185;0.887132;0.898236;0.910167;1.10321;0.907228;0.230316;0.890512;0.887019;0.864941;0.932121;0.894011;0.896941;0.848849;0.77668;1.55808;1.02126;8.99218e-08;0.629406;3.82302;1.37183;0.894286;0.864419;1.19543;0.673202;0.904628;0.802494;0.828458;1.00628;0.898982;0.867118;0.0345699;0.997926;0.94795;1.00629;0.901677;0.89548;0.922986;0.976853;0.985307;0.988167;0.880481;1.04527;0.56652;0.727287;0.894215;0.996601;1.36676;0.990777;0.966792;0.65315;1.21661;0.918073;0.874854;1.16739;1.14444;0.140662;0.97164;0.60958;1.68826;0.901393;0.694336;0.831847;0.887;0.897323;0.894224;0.99073;0.808129;0.776348;0.895341;0.853547;0.902698;0.898015;0.995213;0.479241;0.694192;50.2593;0.870208;0.499039;9.86321;721.241
1;700;0.000768255;1.31072e-10;0.714513;0.862664;0.769236;0.973835;0.810814;0.658392;0.659759;0.847188;0.0210465;0.89056;0.919326;20.7971;16.9141;0.875918;0.907339;0.942443;0.943938;0.868035;0.855377;0.827826;0.968174;0.666228;0.0745741;0.787431;175.228;3.95575;0.971782;0.824074;0.894205;0.675867;0.988158;0.837031;0.30641;0.891156;1.00143;0.881241;0.886948;0.876521;0.931984;0.854711;0.853384;0.866744;0.844185;0.887132;0.898236;0.910167;1.10322;0.907228;0.230311;0.890512;0.887019;0.864941;0.932122;0.894011;0.896941;0.848848;0.776679;1.55809;1.02126;8.99218e-08;0.629404;3.82304;1.37183;0.894286;0.864418;1.19543;0.673201;0.904628;0.802489;0.828458;1.00629;0.898981;0.867118;0.03457;0.997927;0.94795;1.00629;0.901677;0.89548;0.922986;0.976854;0.985308;0.988167;0.880481;1.04527;0.56652;0.727285;0.894215;0.996602;1.36676;0.990777;0.966793;0.653146;1.21661;0.918073;0.874854;1.16739;1.14444;0.140661;0.97164;0.609578;1.68827;0.901393;0.694334;0.831846;0.886999;0.897323;0.894224;0.99073;0.808128;0.776346;0.895341;0.853546;0.902698;0.898013;0.995213;0.479241;0.69419;50.2593;0.870208;0.499041;9.86325;721.241
1;800;0.00076827;2.62144e-10;0.71451;0.862663;0.769232;0.973837;0.810812;0.658386;0.659757;0.847186;0.0210466;0.89056;0.919326;20.7971;16.9141;0.875917;0.907339;0.942444;0.943939;0.868034;0.855377;0.827823;0.968175;0.666233;0.0745745;0.787429;175.228;3.95576;0.971783;0.824071;0.894205;0.675859;0.988158;0.83703;0.306411;0.891156;1.00143;0.881241;0.886948;0.87652;0.931984;0.854711;0.853383;0.866744;0.844184;0.887132;0.898236;0.910168;1.10322;0.907228;0.230299;0.890513;0.887019;0.86494;0.932122;0.894011;0.896941;0.848847;0.776676;1.5581;1.02126;8.99218e-08;0.629402;3.82307;1.37183;0.894286;0.864417;1.19543;0.6732;0.904629;0.80248;0.828457;1.00629;0.898979;0.867117;0.0345702;0.997928;0.947951;1.00629;0.901677;0.89548;0.922987;0.976856;0.98531;0.988168;0.880482;1.04527;0.56652;0.727282;0.894215;0.996602;1.36677;0.990778;0.966796;0.653137;1.21661;0.918074;0.874853;1.16739;1.14444;0.140658;0.971642;0.609572;1.68828;0.901393;0.694331;0.831846;0.886998;0.897322;0.894224;0.990731;0.808125;0.776342;0.895341;0.853545;0.902698;0.898011;0.995214;0.479242;0.694186;50.2593;0.870207;0.499046;9.86333;721.24
1;900;0.000768302;5.24288e-10;0.714504;0.862661;0.769225;0.97384;0.810809;0.658376;0.659754;0.847183;0.0210467;0.890559;0.919328;20.7971;16.9141;0.875916;0.907339;0.942446;0.943941;0.868033;0.855376;0.827816;0.968178;0.666243;0.0745754;0.787426;175.228;3.9558;0.971785;0.824066;0.894205;0.675845;0.988159;0.837027;0.306413;0.891156;1.00144;0.881242;0.886948;0.876519;0.931986;0.85471;0.853381;0.866743;0.844183;0.887132;0.898235;0.910169;1.10323;0.907229;0.230276;0.890514;0.887019;0.864939;0.932124;0.894011;0.896941;0.848845;0.776671;1.55812;1.02126;8.99218e-08;0.629396;3.82313;1.37183;0.894286;0.864415;1.19544;0.673197;0.904629;0.802462;0.828455;1.00629;0.898975;0.867117;0.0345705;0.997931;0.947952;1.00629;0.901677;0.89548;0.922989;0.976861;0.985315;0.988168;0.880483;1.04527;0.56652;0.727275;0.894215;0.996603;1.36677;0.990779;0.966801;0.653119;1.21662;0.918075;0.874852;1.16741;1.14444;0.140653;0.971645;0.609562;1.6883;0.901392;0.694323;0.831845;0.886996;0.897322;0.894224;0.990732;0.80812;0.776334;0.895341;0.853542;0.902699;0.898007;0.995217;0.479243;0.694178;50.2593;0.870207;0.499055;9.8635;721.24
