condition;iter;t;dt;5FTHFabc;ACALDt;ACt;ADEt2;ADNabc;ATPase;CO2t;COAabc;DADNabc;DCYTabc;DGSNabc;DURIabc;FAt;FORt;GLCpts;GLYCt;GSNabc;GUAt2;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NAt;NAt3;NH3t;O2t;PIabc;PYRt2r;RIBFLVabc;THMDabc;URAt2;trdoxt;trdrdt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPDP;CTPS2;CTPSDUMP;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCDPMP;DCMPDA;DCTPDP;DCTPMP;DCYTK;DGK1;DGSNK;DNAP;DRPA;DURIK1;DUTPDP;ENO;FAKr;FBA;FMETTRS;FMNAT;FTHFCL;GALU;GAPD;GAPDP;GHMT;GHMT2;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADK;NADS;NCTPPRT;NNATr;NOX;NTD1;NTD5;NTD6;NTD8;NTD9;PAPA;PDH_E1;PDH_E2;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK2;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM;PPM2;PRPPS;PSSYN;PTAr;PUNP1;PUNP2;PUNP3;PUNP4;PYK;PYK2;PYK3;PYK4;PYK5;PYK6;PYK7;PYK8;PYK9;PdhC_transl;RBFK;RNDR1;RNDR2;RNDR3;RNDR4;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;rRNAP;rRNA_degrad;tRNAP;AATRS;Ribosome
1;0;0;0.0001;0.0086084;1e-10;1e-10;0.0687797;0.00520867;1e-10;9.72401e-05;0.00513269;0.042096;0.00267779;0.0108758;0.00665603;0.00614708;1e-10;6.13661;0.00239062;0.00230895;0.0945436;0.72;0.000362181;0.00246579;1e-10;0.00963189;0.000813008;1e-10;0.000892157;0.509118;1.60024;2.79191;0.0044762;0.0218669;0.12269;1e-10;0.00162616;0.926736;0.00997449;0.00774113;0.0832661;0.0205373;33.7696;3.50518;0.275112;0.0849725;0.00501634;1e-10;0.000866374;2.20531;0.589149;0.00220408;3.6573;1e-10;0.0188715;0.0189669;0.00124514;0.000835006;0.004683;1e-10;1e-10;1e-10;1e-10;1e-10;0.00712386;0.00828356;0.0598747;0.00391429;0.00389045;1e-10;5.81094;0.0153392;5.46151;0.45878;0.00099454;0.00556079;0.011153;29.4237;1e-10;0.0124374;1e-10;0.530556;0.0105417;0.330309;0.00685938;0.0140462;0.0230917;1e-10;0.00255806;0.00549601;0.00422516;0.0049193;21.6175;1e-10;1e-10;1e-10;1e-10;1e-10;0.00172398;1.24481;1.25887;1.25509;1e-10;12.3728;4.58342;21.7858;1e-10;1e-10;0.00522839;5.81175;0.00470732;0.00189501;0.00370869;1.97251;1e-10;0.0047273;1.63286;0.00546816;0.017724;0.00129465;0.00907007;1e-10;1e-10;4.60259;0.612474;0.370288;2.50522;0.0118749;1e-10;0.00426894;0.0117063;0.000965506;0.614714;0.00248646;1e-10;0.0136235;0.117732;0.0460536;0.340894;0.340081;0.341414;0.340127;0.320692;0.0188491;0.0187301;2.72994;0.181556;0.0077005;0.00688749;0.887271;0.535689;0.154099;0.100436;1e-10;1.39604;34.2653;0.664868
1;100;1.92e-05;1.6e-07;0.0081209;1e-10;1e-10;0.0688086;0.00519047;1e-10;6.83349e-05;0.00513267;0.0420768;0.00265707;0.0108576;0.00663538;0.00617599;1e-10;6.13663;0.00241953;0.00229169;0.0945725;0.72;0.000391186;0.00246567;1e-10;0.00960306;0.000841913;1e-10;0.000921063;0.509147;1.60021;2.79188;0.00446371;0.0218471;0.122719;1e-10;0.00165508;0.92671;0.00995051;0.00777954;0.0832662;0.0205373;33.7694;3.50518;0.275112;0.0849725;0.00501707;1e-10;0.000866373;2.20531;0.589127;0.0021774;3.65728;1e-10;0.0188455;0.0189383;0.00124521;0.000835011;0.00468293;1e-10;1e-10;1e-10;1e-10;1e-10;0.00709841;0.00825553;0.0598494;0.00391598;0.00386093;1e-10;5.81094;0.0153112;5.46151;0.45892;0.000951368;0.00554355;0.0111528;29.4236;1e-10;0.0124386;1e-10;0.530532;0.0105055;0.330309;0.0068607;0.0140451;0.0230917;1e-10;0.00253828;0.00546226;0.00422515;0.00486988;21.6175;1e-10;1e-10;1e-10;1e-10;1e-10;0.00172329;1.24481;1.25887;1.25509;1e-10;12.3728;4.58342;21.7858;6.21451e-08;1e-10;0.00522845;5.81175;0.00470704;0.00189444;0.0037087;1.97251;2.30866e-06;0.00472728;1.6328;0.00546831;0.0177236;0.00129362;0.00906899;1e-10;1e-10;4.60263;0.612474;0.370288;2.50522;0.0118745;1e-10;0.00426849;0.0117058;0.00096506;0.614502;0.00246191;1e-10;0.0136235;0.117732;0.0460536;0.340894;0.340083;0.341413;0.340128;0.320689;0.0188201;0.0187038;2.72994;0.181556;0.0077005;0.00688748;0.887245;0.535689;0.153887;0.100416;1e-10;1.39625;34.2655;0.664173
1;200;4.96e-05;3.2e-07;0.00803131;1e-10;1e-10;0.0688139;0.00518713;1e-10;6.30311e-05;0.00513262;0.0420733;0.00265326;0.0108542;0.0066316;0.00618132;1e-10;6.13663;0.00242483;0.00228852;0.0945778;0.72;0.000396747;0.00246586;1e-10;0.00959775;0.000847217;1e-10;0.000926368;0.509152;1.6002;2.79188;0.00446136;0.0218435;0.122725;1e-10;0.00166042;0.926706;0.00994784;0.00778549;0.0832664;0.0205373;33.7694;3.50524;0.275112;0.0849723;0.00501898;1e-10;0.000866372;2.2053;0.589123;0.00217251;3.65727;1e-10;0.0188415;0.0189338;0.00124541;0.000835026;0.00468273;1e-10;1e-10;1e-10;1e-10;1e-10;0.00709447;0.00825119;0.0598448;0.00392033;0.00385635;1e-10;5.81095;0.0153069;5.46152;0.459186;0.00089077;0.00554163;0.011152;29.4236;1e-10;0.0124409;1e-10;0.530528;0.0104998;0.330309;0.00686418;0.0140428;0.0230917;1e-10;0.00253208;0.00541643;0.00422511;0.00480052;21.6175;1e-10;1e-10;1e-10;1e-10;1e-10;0.00172227;1.24481;1.25887;1.25509;1e-10;12.3728;4.58343;21.7858;2.16079e-07;1e-10;0.0052286;5.81175;0.0047063;0.00189361;0.00370873;1.97252;7.85544e-06;0.00472722;1.63272;0.0054687;0.0177225;0.00129091;0.00906616;1e-10;1e-10;4.60264;0.612473;0.370287;2.50522;0.0118733;1e-10;0.00426733;0.0117047;0.000963902;0.614468;0.00245811;1e-10;0.0136236;0.117732;0.0460537;0.340894;0.340089;0.341409;0.340128;0.320681;0.0188156;0.0186998;2.72994;0.181556;0.0077005;0.00688747;0.887241;0.535689;0.153852;0.10041;1e-10;1.39662;34.2655;0.663326
1;300;0.0001104;6.4e-07;0.00787564;1e-10;1e-10;0.0688231;0.00518136;1e-10;5.38339e-05;0.00513247;0.0420672;0.00264665;0.0108484;0.00662506;0.00619057;1e-10;6.13663;0.00243403;0.00228304;0.094587;0.72;0.000406673;0.00246646;1e-10;0.00958852;0.000856414;1e-10;0.000935567;0.509162;1.6002;2.79187;0.00445722;0.0218372;0.122734;1e-10;0.00166972;0.926699;0.00994445;0.00779589;0.0832671;0.0205373;33.7693;3.50536;0.275112;0.0849719;0.00502452;1e-10;0.000866368;2.2053;0.589114;0.00216402;3.65727;1e-10;0.0188345;0.0189261;0.00124598;0.00083507;0.00468195;1e-10;1e-10;1e-10;1e-10;1e-10;0.00708757;0.00824358;0.0598368;0.00393296;0.00384834;1e-10;5.81098;0.0152992;5.46153;0.459585;0.000772221;0.0055392;0.0111491;29.4236;1e-10;0.0124463;1e-10;0.530522;0.01049;0.330309;0.00687455;0.0140373;0.0230917;1e-10;0.0025169;0.00533039;0.00422496;0.00466483;21.6175;1e-10;1e-10;1e-10;1e-10;1e-10;0.00172059;1.24481;1.25887;1.25509;1e-10;12.3727;4.58345;21.7858;7.10622e-07;1e-10;0.00522909;5.81175;0.00470401;0.00189225;0.00370883;1.97252;2.23752e-05;0.00472706;1.63256;0.00546988;0.0177194;0.00128306;0.00905796;1e-10;1e-10;4.60264;0.612473;0.370283;2.50521;0.0118703;1e-10;0.00426412;0.0117016;0.000960705;0.614417;0.00245145;1e-10;0.0136239;0.117732;0.0460539;0.340894;0.340103;0.3414;0.340129;0.320657;0.0188078;0.0186927;2.72994;0.181556;0.00770051;0.00688744;0.887234;0.53569;0.153799;0.100407;1e-10;1.39717;34.2656;0.662027
1;400;0.000232;1.28e-06;0.00762728;1e-10;1e-10;0.0688377;0.00517221;1e-10;3.92716e-05;0.00513203;0.0420575;0.00263615;0.0108392;0.00661473;0.00620529;1e-10;6.13663;0.00244859;0.00227437;0.0946016;0.72;0.000423181;0.00246826;1e-10;0.00957381;0.000870977;1e-10;0.000950136;0.509177;1.6002;2.79185;0.00445042;0.0218273;0.122748;1e-10;0.00168457;0.926689;0.00994239;0.00781236;0.083269;0.0205373;33.7692;3.50556;0.275112;0.0849707;0.005039;1e-10;0.000866355;2.20527;0.589099;0.00215059;3.65728;1e-10;0.0188234;0.0189138;0.00124766;0.000835197;0.00467834;1e-10;1e-10;1e-10;1e-10;1e-10;0.00707665;0.00823154;0.0598242;0.00396603;0.00383566;1e-10;5.81104;0.0152871;5.46156;0.46014;0.000572796;0.00553773;0.0111381;29.4236;1e-10;0.0124589;1e-10;0.530512;0.0104745;0.330309;0.00689944;0.0140245;0.0230917;1e-10;0.00248099;0.00519667;0.00422429;0.00443658;21.6176;1e-10;1e-10;1e-10;1e-10;1e-10;0.00171794;1.24481;1.25887;1.25509;1e-10;12.3727;4.58351;21.7858;2.21889e-06;1e-10;0.00523059;5.81176;0.00469671;0.0018901;0.0037091;1.97255;5.50195e-05;0.0047266;1.63229;0.00547331;0.0177111;0.00126254;0.00903655;1e-10;1e-10;4.60265;0.612476;0.370274;2.50518;0.0118626;1e-10;0.00425617;0.0116938;0.000952783;0.614346;0.00244091;1e-10;0.0136243;0.117732;0.0460544;0.340894;0.340136;0.341379;0.340129;0.320601;0.0187953;0.0186814;2.72993;0.181557;0.00770054;0.00688736;0.887225;0.535689;0.153726;0.100432;1e-10;1.39794;34.2656;0.660192
1;500;0.0004752;2.56e-06;0.00726319;1e-10;1e-10;0.068859;0.00515804;1e-10;1.81154e-05;0.00513031;0.0420424;0.00261985;0.0108248;0.00659885;0.00622683;1e-10;6.13663;0.00246975;0.00226089;0.0946229;0.72;0.000449107;0.00247311;1e-10;0.00955108;0.000892133;1e-10;0.000971309;0.5092;1.6002;2.79183;0.00443911;0.021812;0.12277;1e-10;0.00170648;0.926674;0.00994614;0.00783451;0.0832737;0.0205373;33.7691;3.50583;0.275164;0.0849676;0.00507048;5.64063e-05;0.000866322;2.20518;0.589073;0.0021302;3.6573;1e-10;0.0188085;0.0188972;0.00125227;0.000835548;0.00465763;1e-10;1e-10;1e-10;1e-10;1e-10;0.00706194;0.00821531;0.0598051;0.00403923;0.00381856;1e-10;5.81114;0.0152707;5.46163;0.460873;0.000276351;0.00554075;0.0110943;29.4235;1e-10;0.0124868;1e-10;0.530501;0.0104536;0.330305;0.00692738;0.0139964;0.0230917;1e-10;0.00240661;0.00504339;0.00422007;0.0040974;21.6177;1e-10;1e-10;1e-10;1e-10;1e-10;0.00171164;1.2448;1.25887;1.25509;1e-10;12.3727;4.58362;21.7859;6.54711e-06;9.58817e-07;0.00523488;5.81179;0.00467296;0.00188503;0.0037099;1.97261;0.000116212;0.00472535;1.63192;0.00548273;0.0176932;0.00121798;0.00899004;1e-10;1e-10;4.60266;0.612507;0.370255;2.50515;0.0118465;1e-10;0.00423934;0.0116774;0.000936009;0.614253;0.00242671;1e-10;0.0136253;0.11773;0.0460552;0.340894;0.340197;0.341342;0.340124;0.320487;0.0187786;0.0186663;2.72989;0.181557;0.00770063;0.00688713;0.887215;0.535687;0.153631;0.100546;1e-10;1.39895;34.2657;0.657742
1;600;0.000768247;6.5536e-11;0.00725145;1e-10;1e-10;0.0688653;0.00513533;1e-10;1.19143e-05;0.00511703;0.0420189;0.00259526;0.0108019;0.00657483;0.00623358;1e-10;6.13664;0.00247595;0.00223874;0.0946292;0.72;0.000461792;0.0024799;1e-10;0.00952102;0.000898334;1e-10;0.000977535;0.509209;1.6002;2.79183;0.00441786;0.0217883;0.122776;1e-10;0.00171374;0.926653;0.00994515;0.00785392;0.0832799;0.0205373;33.7691;3.50602;0.275297;0.0849631;0.00510466;0.000228569;0.000866274;2.20502;0.589047;0.00210649;3.65734;1e-10;0.0187954;0.0188826;0.00125951;0.000836099;0.00461046;1e-10;1e-10;1e-10;1e-10;1e-10;0.00704903;0.00820104;0.0597831;0.00412497;0.00380354;1e-10;5.81125;0.0152561;5.46168;0.461487;1e-10;0.00554616;0.0110129;29.4235;1e-10;0.0125222;1e-10;0.530494;0.0104353;0.330277;0.0069159;0.0139606;0.0230917;1e-10;0.00231889;0.00496718;0.00418989;0.00378179;21.6177;1e-10;1e-10;1e-10;1e-10;1e-10;0.00169918;1.2448;1.25888;1.25509;1e-10;12.3726;4.58371;21.7859;1.34905e-05;6.48333e-05;0.00524175;5.81185;0.00463121;0.00187494;0.00371142;1.97266;0.000180315;0.00472351;1.63168;0.00549753;0.0176737;0.0011696;0.0089396;1e-10;1e-10;4.60266;0.61258;0.370303;2.50515;0.0118276;1e-10;0.00421969;0.0116583;0.000916427;0.614181;0.00241424;1e-10;0.0136265;0.117728;0.046056;0.340893;0.340262;0.341309;0.340112;0.320364;0.0187639;0.018653;2.72984;0.181558;0.00770074;0.0068868;0.887211;0.535659;0.153556;0.100707;1e-10;1.39976;34.2658;0.655673
1;700;0.000768255;1.31072e-10;0.00725145;1e-10;1e-10;0.0688653;0.00513533;1e-10;1.19142e-05;0.00511703;0.0420189;0.00259526;0.0108019;0.00657483;0.00623358;1e-10;6.13664;0.00247595;0.00223874;0.0946292;0.72;0.000461792;0.0024799;1e-10;0.00952102;0.000898334;1e-10;0.000977535;0.509209;1.6002;2.79183;0.00441786;0.0217883;0.122776;1e-10;0.00171374;0.926653;0.00994515;0.00785392;0.0832799;0.0205373;33.7691;3.50602;0.275297;0.0849631;0.00510466;0.000228573;0.000866274;2.20502;0.589047;0.00210649;3.65734;1e-10;0.0187954;0.0188826;0.00125951;0.000836099;0.00461046;1e-10;1e-10;1e-10;1e-10;1e-10;0.00704903;0.00820104;0.0597831;0.00412497;0.00380353;1e-10;5.81125;0.0152561;5.46168;0.461487;1e-10;0.00554616;0.0110129;29.4235;1e-10;0.0125222;1e-10;0.530494;0.0104353;0.330277;0.0069159;0.0139606;0.0230917;1e-10;0.00231889;0.00496718;0.00418989;0.00378178;21.6177;1e-10;1e-10;1e-10;1e-10;1e-10;0.00169918;1.2448;1.25888;1.25509;1e-10;12.3726;4.58371;21.7859;1.34907e-05;6.48364e-05;0.00524175;5.81185;0.0046312;0.00187494;0.00371142;1.97266;0.000180317;0.00472351;1.63168;0.00549753;0.0176737;0.0011696;0.0089396;1e-10;1e-10;4.60266;0.61258;0.370303;2.50515;0.0118276;1e-10;0.00421969;0.0116583;0.000916426;0.614181;0.00241424;1e-10;0.0136265;0.117728;0.046056;0.340893;0.340262;0.341309;0.340112;0.320364;0.0187639;0.018653;2.72984;0.181558;0.00770074;0.0068868;0.887211;0.535659;0.153556;0.100707;1e-10;1.39976;34.2658;0.655673
1;800;0.00076827;2.62144e-10;0.00725145;1e-10;1e-10;0.0688653;0.00513533;1e-10;1.19139e-05;0.00511703;0.0420189;0.00259525;0.0108019;0.00657483;0.00623358;1e-10;6.13664;0.00247595;0.00223874;0.0946292;0.72;0.000461793;0.0024799;1e-10;0.00952101;0.000898334;1e-10;0.000977535;0.509209;1.6002;2.79183;0.00441785;0.0217883;0.122776;1e-10;0.00171374;0.926653;0.00994515;0.00785392;0.0832799;0.0205373;33.7691;3.50602;0.275297;0.0849631;0.00510467;0.000228581;0.000866274;2.20502;0.589047;0.00210649;3.65734;1e-10;0.0187954;0.0188826;0.00125951;0.000836099;0.00461046;1e-10;1e-10;1e-10;1e-10;1e-10;0.00704903;0.00820104;0.0597831;0.00412497;0.00380353;1e-10;5.81125;0.0152561;5.46168;0.461487;1e-10;0.00554616;0.0110129;29.4235;1e-10;0.0125222;1e-10;0.530494;0.0104353;0.330277;0.00691589;0.0139606;0.0230917;1e-10;0.00231889;0.00496717;0.00418988;0.00378177;21.6177;1e-10;1e-10;1e-10;1e-10;1e-10;0.00169918;1.2448;1.25888;1.25509;1e-10;12.3726;4.58371;21.7859;1.34911e-05;6.48427e-05;0.00524175;5.81185;0.0046312;0.00187494;0.00371142;1.97266;0.00018032;0.00472351;1.63168;0.00549753;0.0176737;0.00116959;0.00893959;1e-10;1e-10;4.60266;0.61258;0.370303;2.50515;0.0118276;1e-10;0.00421968;0.0116583;0.000916425;0.614181;0.00241424;1e-10;0.0136265;0.117728;0.046056;0.340893;0.340262;0.341309;0.340112;0.320364;0.0187639;0.018653;2.72984;0.181558;0.00770074;0.0068868;0.887211;0.535659;0.153556;0.100707;1e-10;1.39976;34.2658;0.655673
1;900;0.000768302;5.24288e-10;0.00725145;1e-10;1e-10;0.0688653;0.00513533;1e-10;1.19133e-05;0.00511703;0.0420189;0.00259525;0.0108019;0.00657482;0.00623358;1e-10;6.13664;0.00247595;0.00223874;0.0946292;0.72;0.000461794;0.0024799;1e-10;0.00952101;0.000898335;1e-10;0.000977536;0.509209;1.6002;2.79183;0.00441785;0.0217883;0.122776;1e-10;0.00171374;0.926653;0.00994515;0.00785392;0.0832799;0.0205373;33.7691;3.50602;0.275297;0.0849631;0.00510467;0.000228598;0.000866274;2.20502;0.589047;0.00210649;3.65734;1e-10;0.0187954;0.0188826;0.00125951;0.000836099;0.00461045;1e-10;1e-10;1e-10;1e-10;1e-10;0.00704903;0.00820104;0.0597831;0.00412498;0.00380353;1e-10;5.81125;0.0152561;5.46168;0.461487;1e-10;0.00554616;0.0110129;29.4235;1e-10;0.0125222;1e-10;0.530494;0.0104353;0.330277;0.00691589;0.0139606;0.0230917;1e-10;0.00231888;0.00496717;0.00418988;0.00378174;21.6177;1e-10;1e-10;1e-10;1e-10;1e-10;0.00169918;1.2448;1.25888;1.25509;1e-10;12.3726;4.58371;21.7859;1.34919e-05;6.48553e-05;0.00524175;5.81185;0.0046312;0.00187493;0.00371142;1.97266;0.000180326;0.0047235;1.63168;0.00549753;0.0176737;0.00116959;0.00893959;1e-10;1e-10;4.60266;0.61258;0.370303;2.50515;0.0118276;1e-10;0.00421968;0.0116583;0.000916423;0.614181;0.00241424;1e-10;0.0136265;0.117728;0.046056;0.340893;0.340262;0.341309;0.340112;0.320364;0.0187639;0.018653;2.72984;0.181558;0.00770074;0.0068868;0.887211;0.535659;0.153556;0.100707;1e-10;1.39976;34.2658;0.655673
