condition;iter;t;dt;5FTHFabc;ACALDt;ACt;ADEt2;ADNabc;ATPase;CO2t;COAabc;DADNabc;DCYTabc;DGSNabc;DURIabc;FAt;FORt;GLCpts;GLYCt;GSNabc;GUAt2;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NAt;NAt3;NH3t;O2t;PIabc;PYRt2r;RIBFLVabc;THMDabc;URAt2;trdoxt;trdrdt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPDP;CTPS2;CTPSDUMP;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCDPMP;DCMPDA;DCTPDP;DCTPMP;DCYTK;DGK1;DGSNK;DNAP;DRPA;DURIK1;DUTPDP;ENO;FAKr;FBA;FMETTRS;FMNAT;FTHFCL;GALU;GAPD;GAPDP;GHMT;GHMT2;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADK;NADS;NCTPPRT;NNATr;NOX;NTD1;NTD5;NTD6;NTD8;NTD9;PAPA;PDH_E1;PDH_E2;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK2;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM;PPM2;PRPPS;PSSYN;PTAr;PUNP1;PUNP2;PUNP3;PUNP4;PYK;PYK2;PYK3;PYK4;PYK5;PYK6;PYK7;PYK8;PYK9;PdhC_transl;RBFK;RNDR1;RNDR2;RNDR3;RNDR4;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;rRNAP;rRNA_degrad;tRNAP;AATRS;Ribosome
1;0;0;0.0001;0.00449089;1.72333e-20;1.26419e-20;3.83946e-12;0.00240234;1.24807e-10;1.67741e-14;0.0211341;0.0426146;0.00328227;0.0116186;0.000523913;1.73971e-13;1.6864e-20;0.970724;1.97071e-13;0.00109508;4.72264e-12;3.03412e-10;2.73068e-12;3.97546e-05;8.42796e-21;0.0228727;2.68474e-13;3.16672e-20;3.977e-13;1.20789e-10;0.538109;2.40688e-10;0.0217941;0.0118612;8.24418e-12;4.84092e-16;7.86935e-09;0.145333;0.0010047;0.000101592;0.00277137;6.99955e-05;0.0147985;0.0824719;0.0308681;0.00943896;0.00210804;1.04813e-11;7.66066e-05;0.320537;0.839234;0.00120516;0.203299;5.67995e-12;0.00045101;0.0044205;0.00010621;1.98046e-06;0.00164436;1.77353e-11;1.00284e-11;1.49855e-11;1.49855e-11;2.41007e-11;0.00055395;0.00189126;9.5152e-05;0.000779237;0.000952922;2.40266e-11;1.16139;0.0123987;2.42621;0.00636393;7.18123e-05;0.000342144;0.000635305;2.93439;7.08642e-12;0.00399713;1.67787e-11;0.0798106;0.000129543;0.0743002;0.000109065;0.00178218;0.000958798;9.78897e-12;0.00036255;0.00352718;0.000960985;0.00104166;1.17914;2.17655e-11;2.09036e-11;2.03864e-11;1.95317e-11;1.87491e-11;0.000185145;0.0137413;0.00356509;0.013301;1.41654e-12;6.21579;0.319944;0.315031;1.27545e-12;1.28449e-12;6.60142e-05;0.748344;0.000439242;0.000130705;0.000229332;0.209307;6.89394e-11;0.014853;3.35509;1.76456e-05;0.000275684;4.54658e-05;0.000199614;8.25015e-12;7.10129e-12;3.50995;0.45911;0.259986;1.97287;0.00845752;6.97864e-11;0.00319224;0.00839919;0.00070994;4.84799e-05;0.000341473;4.72162e-12;0.000626616;0.00567351;0.00218362;0.0316829;0.00238195;0.0538237;0.121941;0.0993218;0.00251344;0.00202977;5.53314;0.00375431;0.000428166;0.00195825;0.154936;0.0289836;2.2911e-05;1.66206e-05;2.9724e-14;0.00462565;1.19517;695.471
1;100;1.92e-05;1.6e-07;0.00814206;3.44677e-20;2.52846e-20;7.68238e-12;0.00460108;2.4332e-10;2.35766e-14;0.0406166;0.0818664;0.00625959;0.0222932;0.00100823;3.4959e-13;3.3729e-20;1.94191;3.98918e-13;0.00208897;9.44844e-12;6.06842e-10;5.89889e-12;7.74109e-05;1.68564e-20;0.0438263;5.56054e-13;6.33362e-20;8.21194e-13;2.41598e-10;1.02846;4.81384e-10;0.0417681;0.0227762;1.64927e-11;9.69485e-16;2.36886e-08;0.280544;0.00195921;0.000330793;0.00555074;0.000139996;0.0136992;0.161326;0.0617984;0.0188737;0.00422168;2.09517e-11;0.000153227;0.643553;1.60821;0.00229859;0.387189;1.08262e-11;0.000879937;0.00845483;0.000212473;3.96162e-06;0.00330685;3.54691e-11;2.00669e-11;2.99685e-11;2.99685e-11;4.61712e-11;0.00105704;0.00361052;0.000183508;0.00155929;0.00182544;4.80457e-11;2.32403;0.0234232;4.85519;0.00654889;0.000133397;0.000669099;0.00127167;5.97077;1.41832e-11;0.00799372;3.35556e-11;0.15279;0.0002502;0.148704;0.000216972;0.00356417;0.00191891;1.68429e-11;0.000619313;0.00659019;0.00192677;0.00200192;2.35927;4.35359e-11;4.18115e-11;4.07772e-11;3.90677e-11;3.74738e-11;0.000370105;0.0274701;0.00713116;0.0266126;2.83347e-12;11.8408;0.639155;1.00251;1.58746e-09;2.57448e-12;0.000132242;1.49547;0.000876177;0.000261252;0.000459116;0.418135;3.18579e-06;0.0297075;6.22145;3.52938e-05;0.000563723;9.16092e-05;0.000402423;1.66368e-11;1.43178e-11;9.76624;0.919451;0.520674;3.95314;0.0169275;1.39697e-10;0.00638582;0.0168085;0.00141968;4.60296e-05;0.000656546;1.10304e-11;0.00124307;0.0112584;0.00433355;0.0633716;0.004766;0.107576;0.243853;0.197732;0.00491079;0.00387627;11.0654;0.00750856;0.000856396;0.00391661;0.277826;0.0580117;2.13328e-05;3.23723e-05;5.94535e-14;0.00901258;16.0881;643.199
1;200;4.96e-05;3.2e-07;0.00985576;4.23044e-20;3.10334e-20;9.4298e-12;0.00562802;2.98115e-10;2.66911e-14;0.0497133;0.100195;0.00765065;0.0272781;0.00123374;4.29443e-13;4.13977e-20;2.38296;4.90691e-13;0.00255333;1.15973e-11;7.44816e-10;7.34301e-12;9.48746e-05;2.0689e-20;0.0536128;6.8678e-13;7.77366e-20;1.01371e-12;2.96532e-10;1.2583;5.90833e-10;0.0510964;0.027873;2.02434e-11;1.19222e-15;3.17921e-08;0.343487;0.00240572;0.00037356;0.00681524;0.00017183;0.0134037;0.198376;0.0759771;0.0231496;0.00518491;2.57137e-11;0.000188083;0.795247;1.97856;0.002808;0.473652;1.3244e-11;0.00107805;0.0103435;0.000260893;4.86331e-06;0.00409781;4.3531e-11;2.46317e-11;3.67842e-11;3.67842e-11;5.65007e-11;0.00129277;0.00441587;0.000224685;0.00191625;0.00223235;5.89705e-11;2.85541;0.0286176;5.96085;0.00693663;0.000152969;0.000819858;0.00156509;7.3172;1.7409e-11;0.00980952;4.1179e-11;0.186958;0.000306245;0.182723;0.000266395;0.00437344;0.00235561;2.04795e-11;0.000753324;0.00800735;0.00237395;0.00241444;2.89967;5.34344e-11;5.13186e-11;5.00492e-11;4.7951e-11;4.59895e-11;0.00045393;0.0337014;0.008755;0.0327119;3.4768e-12;14.4555;0.785398;1.13432;6.77624e-09;3.16076e-12;0.000162367;1.83533;0.00107801;0.000320477;0.000563628;0.512882;1.3331e-05;0.0364637;7.56218;4.33236e-05;0.000690079;0.000112099;0.000493305;2.04013e-11;1.75571e-11;11.2721;1.1282;0.638871;4.84919;0.0207675;1.71412e-10;0.00783243;0.0206212;0.00173969;4.52766e-05;0.000802942;1.30868e-11;0.00152348;0.0137962;0.00531135;0.077793;0.00585542;0.13194;0.299176;0.241373;0.00601688;0.00474184;13.5776;0.00921537;0.00105125;0.00480708;0.338318;0.0712933;2.05902e-05;4.04213e-05;7.29731e-14;0.0112571;14.5787;628.542
1;300;0.0001104;6.4e-07;0.0117345;5.1608e-20;3.78583e-20;1.15051e-11;0.00682574;3.62577e-10;2.78098e-14;0.0603581;0.121635;0.00926602;0.0331024;0.0014973;5.24671e-13;5.05019e-20;2.90554;6.00874e-13;0.00309274;1.41492e-11;9.08616e-10;9.182e-12;0.000115498;2.52389e-20;0.0650318;8.46912e-13;9.48324e-20;1.24892e-12;3.61752e-10;1.5267;7.20766e-10;0.0619814;0.0338327;2.46972e-11;1.45872e-15;4.614e-08;0.417275;0.00294312;0.000412088;0.00832078;0.000209633;0.0130653;0.243642;0.093054;0.0281859;0.00633589;3.13643e-11;0.00022948;0.983136;2.42428;0.00339796;0.574622;1.60659e-11;0.00131106;0.012548;0.00031859;5.93448e-06;0.00509318;5.3096e-11;3.00534e-11;4.48814e-11;4.48814e-11;6.8577e-11;0.00156747;0.00535459;0.000273022;0.00234635;0.00270627;7.19434e-11;3.49219;0.0346387;7.27749;0.00731602;0.000161179;0.000997466;0.00191838;8.86805;2.12391e-11;0.0119674;5.02149e-11;0.226888;0.000371839;0.223507;0.000325712;0.00533182;0.0028749;2.46365e-11;0.000897619;0.00960104;0.00292208;0.0028465;3.55232;6.51857e-11;6.2606e-11;6.10574e-11;5.84978e-11;5.60943e-11;0.000553086;0.0410629;0.0106894;0.0399039;4.23794e-12;17.4459;0.961583;1.25432;2.71999e-08;3.85778e-12;0.000198231;2.23882;0.00132492;0.000390598;0.000687921;0.625204;4.6577e-05;0.0444893;9.06458;5.28705e-05;0.000836514;0.000135619;0.000599908;2.4835e-11;2.13718e-11;12.781;1.37523;0.778684;5.90512;0.0253061;2.08951e-10;0.00953802;0.025127;0.00211318;4.44231e-05;0.000973485;1.53434e-11;0.00185382;0.0167799;0.00646356;0.094948;0.00716219;0.160678;0.364536;0.290444;0.00731834;0.00575189;16.5502;0.0112413;0.00128305;0.00586418;0.407162;0.0872361;1.98017e-05;5.10286e-05;8.90218e-14;0.0142172;12.6848;611.483
1;400;0.000232;1.28e-06;0.0133627;6.10381e-20;4.4776e-20;1.36103e-11;0.00801182;4.27222e-10;2.39941e-14;0.0709649;0.142991;0.0108521;0.03889;0.00175907;6.22017e-13;5.97299e-20;3.4328;7.14921e-13;0.00362275;1.67372e-11;1.07464e-09;1.13006e-11;0.000136472;2.98506e-20;0.0763492;1.0187e-12;1.12161e-19;1.50014e-12;4.27866e-10;1.79349;8.52464e-10;0.0727687;0.0397638;2.92135e-11;1.73013e-15;7.72838e-08;0.490985;0.00354059;0.000440331;0.00985869;0.000247983;0.0127367;0.297563;0.11112;0.0331622;0.0075246;3.70854e-11;0.000271473;1.19654;2.89671;0.00397349;0.675334;1.88714e-11;0.00154455;0.0147361;0.000377741;7.02082e-06;0.00626553;6.27743e-11;3.55537e-11;5.31066e-11;5.31066e-11;8.06034e-11;0.00183941;0.00628413;0.000321536;0.00280219;0.00317384;8.5104e-11;4.15404;0.0405514;8.62455;0.007645;0.000140755;0.00117616;0.00228667;10.2722;2.51289e-11;0.0141654;5.93308e-11;0.26663;0.000437086;0.266076;0.000388098;0.0062964;0.00340392;2.887e-11;0.0010062;0.0111263;0.00353065;0.00317897;4.2521;7.70964e-11;7.40479e-11;7.22165e-11;6.91891e-11;6.63286e-11;0.0006528;0.0483979;0.0126732;0.0468375;4.9995e-12;20.287;1.14775;1.34359;1.00549e-07;4.56596e-12;0.00023485;2.64863;0.00159621;0.000461292;0.000814542;0.738821;0.000137344;0.0526387;10.4653;6.25974e-05;0.000974387;0.000157;0.000704105;2.92244e-11;2.51474e-11;14.05;1.62393;0.919038;6.95333;0.0298546;2.46729e-10;0.0112356;0.0296417;0.00247361;4.36006e-05;0.00114154;1.74459e-11;0.0021836;0.019741;0.00761577;0.112447;0.0085247;0.189434;0.429898;0.334173;0.00862285;0.00675468;19.5316;0.0132946;0.00152029;0.00693546;0.473518;0.103938;1.90787e-05;6.53803e-05;1.05271e-13;0.0182213;10.7289;594.381
1;500;0.0004752;2.56e-06;0.0144186;6.95324e-20;5.10072e-20;1.55092e-11;0.00905338;4.84996e-10;1.26084e-14;0.0803836;0.161966;0.0122206;0.0440082;0.00198976;7.1104e-13;6.80422e-20;3.90448;8.2145e-13;0.00408064;1.90707e-11;1.2242e-09;1.36619e-11;0.000156105;3.40048e-20;0.0863063;1.18865e-12;1.27769e-19;1.74698e-12;4.87432e-10;2.03036;9.7109e-10;0.0822451;0.045025;3.32848e-11;1.96838e-15;2.14013e-07;0.556705;0.00598112;0.000461992;0.0112706;0.000282609;0.0124509;0.448993;0.130905;0.0373159;0.0086461;2.38691e-05;0.000309419;1.44212;3.35961;0.00446261;0.766701;2.13673e-11;0.00175285;0.0166718;0.000433183;8.00235e-06;0.00766972;7.14552e-11;4.0517e-11;6.05598e-11;6.05598e-11;9.13065e-11;0.00207919;0.00710404;0.000365344;0.00326234;0.00358273;9.69903e-11;4.78249;0.0457094;9.86785;0.00790946;7.70315e-05;0.00133724;0.00262803;11.2554;2.86841e-11;0.0161797;6.74425e-11;0.301983;0.000494783;0.3101;0.000447308;0.00714852;0.00388737;3.30914e-11;0.00105163;0.0127107;0.00432105;0.00332003;4.9571;8.78206e-11;8.4356e-11;8.22698e-11;7.88211e-11;7.55474e-11;0.000739492;0.0546031;0.0145282;0.0524657;5.65218e-12;22.656;1.32968;1.41239;3.3849e-07;4.99078e-08;0.000268393;3.02367;0.00187591;0.000523718;0.000930607;0.840839;0.000341208;0.0600134;11.6289;7.15178e-05;0.00107814;0.000170824;0.000790101;3.29775e-11;2.83743e-11;15.0785;1.84781;1.04329;7.86485;0.0338658;2.80409e-10;0.0127068;0.0336212;0.00275972;4.28722e-05;0.00128787;1.9225e-11;0.00247232;0.0223082;0.00863655;0.128503;0.00984167;0.215002;0.487354;0.36612;0.00978645;0.00764338;22.1447;0.015145;0.00174518;0.00789986;0.531215;0.121488;1.84695e-05;9.86135e-05;1.19841e-13;0.0274721;8.95831;578.564
1;600;0.000768247;6.5536e-11;0.015386;7.45292e-20;5.46727e-20;1.66252e-11;0.00963389;5.18886e-10;8.88834e-15;0.0856937;0.173016;0.0129391;0.0469373;0.00211976;7.62962e-13;7.29318e-20;4.18144;8.82692e-13;0.00431878;2.04425e-11;1.31217e-09;1.50573e-11;0.000168787;3.64485e-20;0.0919559;1.28293e-12;1.36951e-19;1.88453e-12;5.22469e-10;2.16897;1.04087e-09;0.0874846;0.0480716;3.56785e-11;2.09167e-15;4.53007e-07;0.59523;0.00719945;0.000474906;0.0121286;0.000303115;0.0122902;0.461049;0.153955;0.0393999;0.00935456;0.000104534;0.000332021;1.55898;3.61233;0.00471782;0.824738;2.28346e-11;0.00187458;0.0177975;0.000469499;8.5913e-06;0.00818995;7.65245e-11;4.3449e-11;6.49942e-11;6.49942e-11;9.75845e-11;0.00221792;0.00757884;0.000391543;0.00358941;0.00381616;1.04023e-10;5.166;0.0487181;10.6217;0.00806094;2.98086e-11;0.001433;0.00280678;11.7207;3.08854e-11;0.017412;7.21175e-11;0.322798;0.000528235;0.354486;0.000479174;0.00763101;0.00418132;3.54009e-11;0.00105698;0.015123;0.00554843;0.00327042;5.35648;9.4117e-11;9.04215e-11;8.81858e-11;8.4489e-11;8.10513e-11;0.000783794;0.0577113;0.0157148;0.0556136;5.99409e-12;23.9837;1.44256;1.45482;7.4966e-07;3.66517e-06;0.000289143;3.25159;0.00204434;0.000557748;0.00100229;0.900834;0.000592649;0.0643811;12.2845;7.70151e-05;0.00112599;0.000174317;0.000834955;3.5062e-11;3.01651e-11;15.6747;1.98521;1.12474;8.39626;0.0361812;3.00243e-10;0.0135283;0.0359154;0.00289073;4.24519e-05;0.00137064;2.02852e-11;0.00265324;0.0238324;0.00926777;0.138328;0.0107254;0.230086;0.520434;0.381898;0.010466;0.00816156;23.6278;0.0162362;0.00190071;0.00846637;0.565358;0.139974;1.81276e-05;0.000222876;1.28335e-13;0.0620257;7.92613;568.842
1;700;0.000768255;1.31072e-10;0.015386;7.45293e-20;5.46728e-20;1.66252e-11;0.0096339;5.18887e-10;8.88824e-15;0.0856938;0.173017;0.0129391;0.0469373;0.00211976;7.62964e-13;7.29319e-20;4.18144;8.82693e-13;0.00431879;2.04425e-11;1.31217e-09;1.50573e-11;0.000168787;3.64485e-20;0.0919561;1.28293e-12;1.36952e-19;1.88453e-12;5.2247e-10;2.16897;1.04087e-09;0.0874847;0.0480717;3.56786e-11;2.09167e-15;4.53019e-07;0.59523;0.00719946;0.000474907;0.0121286;0.000303115;0.0122902;0.461049;0.153955;0.0393999;0.00935457;0.000104536;0.000332021;1.55898;3.61234;0.00471783;0.82474;2.28346e-11;0.00187458;0.0177975;0.0004695;8.59131e-06;0.00818995;7.65246e-11;4.3449e-11;6.49943e-11;6.49943e-11;9.75846e-11;0.00221792;0.00757885;0.000391544;0.00358942;0.00381617;1.04023e-10;5.166;0.0487182;10.6217;0.00806094;2.98086e-11;0.001433;0.00280678;11.7207;3.08855e-11;0.0174121;7.21176e-11;0.322798;0.000528235;0.354487;0.000479174;0.00763102;0.00418132;3.54009e-11;0.00105698;0.0151232;0.00554845;0.00327042;5.35649;9.41171e-11;9.04216e-11;8.81859e-11;8.44891e-11;8.10514e-11;0.000783795;0.0577114;0.0157148;0.0556137;5.9941e-12;23.9838;1.44256;1.45482;7.49672e-07;3.66536e-06;0.000289143;3.2516;0.00204434;0.000557749;0.00100229;0.900835;0.000592656;0.0643812;12.2845;7.70152e-05;0.00112599;0.000174317;0.000834955;3.50621e-11;3.01651e-11;15.6747;1.98521;1.12474;8.39627;0.0361812;3.00244e-10;0.0135283;0.0359154;0.00289073;4.24519e-05;0.00137064;2.02852e-11;0.00265324;0.0238324;0.00926779;0.138328;0.0107254;0.230086;0.520434;0.381898;0.010466;0.00816157;23.6278;0.0162362;0.00190072;0.00846638;0.565358;0.139974;1.81276e-05;0.000222875;1.28335e-13;0.0620257;7.92611;568.842
1;800;0.00076827;2.62144e-10;0.0153861;7.45295e-20;5.46729e-20;1.66253e-11;0.00963392;5.18888e-10;8.88805e-15;0.085694;0.173017;0.0129391;0.0469374;0.00211977;7.62966e-13;7.29321e-20;4.18145;8.82696e-13;0.00431879;2.04426e-11;1.31217e-09;1.50574e-11;0.000168788;3.64486e-20;0.0919563;1.28293e-12;1.36952e-19;1.88454e-12;5.22471e-10;2.16897;1.04088e-09;0.0874849;0.0480718;3.56787e-11;2.09168e-15;4.53042e-07;0.595232;0.00719947;0.000474907;0.0121287;0.000303116;0.0122901;0.461049;0.153956;0.0394;0.0093546;0.00010454;0.000332022;1.55898;3.61234;0.00471784;0.824742;2.28347e-11;0.00187459;0.0177976;0.000469502;8.59134e-06;0.00818996;7.65248e-11;4.34492e-11;6.49944e-11;6.49944e-11;9.75849e-11;0.00221792;0.00757887;0.000391545;0.00358943;0.00381618;1.04024e-10;5.16602;0.0487183;10.6218;0.00806095;2.98087e-11;0.001433;0.00280679;11.7207;3.08856e-11;0.0174121;7.21178e-11;0.322799;0.000528237;0.354489;0.000479175;0.00763103;0.00418134;3.5401e-11;0.00105698;0.0151234;0.00554849;0.00327041;5.3565;9.41174e-11;9.04219e-11;8.81861e-11;8.44894e-11;8.10516e-11;0.000783796;0.0577115;0.0157148;0.0556138;5.99411e-12;23.9838;1.44256;1.45482;7.49697e-07;3.66573e-06;0.000289144;3.25161;0.00204435;0.00055775;0.00100229;0.900838;0.00059267;0.0643814;12.2845;7.70155e-05;0.00112599;0.000174318;0.000834957;3.50621e-11;3.01652e-11;15.6747;1.98521;1.12475;8.39629;0.0361813;3.00244e-10;0.0135283;0.0359155;0.00289073;4.24519e-05;0.00137064;2.02852e-11;0.00265325;0.0238325;0.00926781;0.138329;0.0107255;0.230087;0.520436;0.381899;0.0104661;0.00816159;23.6279;0.0162363;0.00190072;0.00846641;0.56536;0.139975;1.81276e-05;0.000222875;1.28336e-13;0.0620255;7.92607;568.841
1;900;0.000768302;5.24288e-10;0.0153861;7.45299e-20;5.46732e-20;1.66254e-11;0.00963397;5.18891e-10;8.88767e-15;0.0856945;0.173018;0.0129392;0.0469377;0.00211978;7.6297e-13;7.29325e-20;4.18148;8.82701e-13;0.00431881;2.04427e-11;1.31218e-09;1.50575e-11;0.000168789;3.64488e-20;0.0919567;1.28294e-12;1.36953e-19;1.88455e-12;5.22474e-10;2.16899;1.04088e-09;0.0874853;0.0480721;3.56789e-11;2.09169e-15;4.53089e-07;0.595235;0.00719949;0.000474908;0.0121287;0.000303118;0.0122901;0.46105;0.153958;0.0394001;0.00935466;0.000104548;0.000332024;1.55899;3.61236;0.00471786;0.824747;2.28348e-11;0.0018746;0.0177977;0.000469505;8.59139e-06;0.00818997;7.65252e-11;4.34494e-11;6.49948e-11;6.49948e-11;9.75854e-11;0.00221794;0.00757891;0.000391547;0.00358946;0.00381619;1.04024e-10;5.16605;0.0487185;10.6218;0.00806096;2.98089e-11;0.00143301;0.0028068;11.7208;3.08857e-11;0.0174122;7.21182e-11;0.322801;0.000528239;0.354492;0.000479177;0.00763107;0.00418136;3.54012e-11;0.00105698;0.0151238;0.00554857;0.0032704;5.35653;9.41179e-11;9.04224e-11;8.81866e-11;8.44898e-11;8.10521e-11;0.0007838;0.0577117;0.0157149;0.055614;5.99414e-12;23.9839;1.44257;1.45483;7.49747e-07;3.66647e-06;0.000289146;3.25163;0.00204436;0.000557753;0.0010023;0.900842;0.000592697;0.0643817;12.2846;7.70159e-05;0.001126;0.000174318;0.000834961;3.50623e-11;3.01654e-11;15.6747;1.98523;1.12475;8.39633;0.0361815;3.00246e-10;0.0135284;0.0359157;0.00289074;4.24519e-05;0.00137065;2.02853e-11;0.00265326;0.0238326;0.00926786;0.138329;0.0107256;0.230088;0.520438;0.3819;0.0104661;0.00816163;23.628;0.0162364;0.00190074;0.00846645;0.565363;0.139976;1.81276e-05;0.000222874;1.28336e-13;0.0620253;7.92598;568.84
