condition;iter;t;dt;mu;density;consistent;mu_diff
1;0;0;0.0001;0.0690159;1;1;0
1;100;1.92e-05;1.6e-07;0.138036;1;1;0
1;200;4.96e-05;3.2e-07;0.16942;1;1;0
1;300;0.0001104;6.4e-07;0.206679;1;1;0
1;400;0.000232;1.28e-06;0.244444;1;1;0
1;500;0.0004752;2.56e-06;0.278463;1;1;0
1;600;0.000768247;6.5536e-11;0.298474;1;1;0
1;700;0.000768255;1.31072e-10;0.298474;1;1;0
1;800;0.00076827;2.62144e-10;0.298475;1;1;0
1;900;0.000768302;5.24288e-10;0.298476;1;1;0
1;1000;0.000768366;1.04858e-09;0.29848;1;1;0
1;1100;0.000768492;2.09715e-09;0.298486;1;1;0
1;1200;0.000768746;4.1943e-09;0.298499;1;1;0
1;1300;0.000769254;8.38861e-09;0.298524;1;1;0
1;1400;0.000770269;1.67772e-08;0.298575;1;1;0
1;1500;0.000772299;3.35544e-08;0.298677;1;1;0
1;1600;0.000776359;6.71089e-08;0.298879;1;1;0
1;1700;0.000784479;1.34218e-07;0.299279;1;1;0
1;1800;0.000800719;2.68435e-07;0.300065;1;1;0
1;1900;0.0008332;5.36871e-07;0.301581;1;1;0
1;2000;0.000898161;1.07374e-06;0.304406;1;1;0
1;2100;0.00102808;2.14748e-06;0.309368;1;1;0
1;2200;0.00128793;4.29497e-06;0.317248;1;1;0
1;2300;0.00180762;8.58993e-06;0.328342;1;1;0
1;2400;0.00258999;6.87195e-07;0.339007;1;1;0
1;2500;0.00259167;5.49756e-09;0.339026;1;1;0
1;2600;0.00259271;1.09951e-08;0.339037;1;1;0
1;2700;0.0025948;2.19902e-08;0.33906;1;1;0
1;2800;0.00259898;4.39805e-08;0.339105;1;1;0
1;2900;0.00260734;8.79609e-08;0.339195;1;1;0
1;3000;0.00262405;1.75922e-07;0.339374;1;1;0
1;3100;0.00265747;3.51844e-07;0.339729;1;1;0
1;3200;0.00272432;7.03687e-07;0.340423;1;1;0
1;3300;0.00285803;1.40737e-06;0.341751;1;1;0
1;3400;0.00312543;2.81475e-06;0.344201;1;1;0
1;3500;0.00366023;5.6295e-06;0.348429;1;1;0
1;3600;0.00379381;1.80144e-08;0.349366;1;1;0
1;3700;0.00379687;3.60288e-08;0.349387;1;1;0
1;3800;0.00380299;7.20576e-08;0.349429;1;1;0
1;3900;0.00381524;1.44115e-07;0.349513;1;1;0
1;4000;0.00383974;2.8823e-07;0.349677;1;1;0
1;4100;0.00388874;5.76461e-07;0.350001;1;1;0
1;4200;0.00398674;1.15292e-06;0.35063;1;1;0
1;4300;0.00418274;2.30584e-06;0.351825;1;1;0
1;4400;0.0044328;3.68935e-08;0.353248;1;1;0
1;4500;0.00443752;7.3787e-08;0.353274;1;1;0
1;4600;0.00444697;1.47574e-07;0.353326;1;1;0
1;4700;0.00446586;2.95148e-07;0.353429;1;1;0
1;4800;0.00450364;5.90296e-07;0.353634;1;1;0
1;4900;0.00457919;1.18059e-06;0.354037;1;1;0
1;5000;0.00473031;2.36118e-06;0.354821;1;1;0
1;5100;0.00500496;1.88895e-07;0.356173;1;1;0
1;5200;0.0050057;7.55579e-09;0.356177;1;1;0
1;5300;0.0050072;1.51116e-08;0.356184;1;1;0
1;5400;0.00501019;3.02231e-08;0.356198;1;1;0
1;5500;0.00501618;6.04463e-08;0.356227;1;1;0
1;5600;0.00502814;1.20893e-07;0.356283;1;1;0
