condition;iter;t;dt;5FTHFabc;ACALDt;ACt;ADEt2;ADNabc;ATPase;CO2t;COAabc;DADNabc;DCYTabc;DGSNabc;DURIabc;FAt;FORt;GLCpts;GLYCt;GSNabc;GUAt2;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NAt;NAt3;NH3t;O2t;PIabc;PYRt2r;RIBFLVabc;THMDabc;URAt2;trdoxt;trdrdt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPDP;CTPS2;CTPSDUMP;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCDPMP;DCMPDA;DCTPDP;DCTPMP;DCYTK;DGK1;DGSNK;DNAP;DRPA;DURIK1;DUTPDP;ENO;FAKr;FBA;FMETTRS;FMNAT;FTHFCL;GALU;GAPD;GAPDP;GHMT;GHMT2;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADK;NADS;NCTPPRT;NNATr;NOX;NTD1;NTD5;NTD6;NTD8;NTD9;PAPA;PDH_E1;PDH_E2;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK2;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM;PPM2;PRPPS;PSSYN;PTAr;PUNP1;PUNP2;PUNP3;PUNP4;PYK;PYK2;PYK3;PYK4;PYK5;PYK6;PYK7;PYK8;PYK9;PdhC_transl;RBFK;RNDR1;RNDR2;RNDR3;RNDR4;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;rRNAP;rRNA_degrad;tRNAP;AATRS;Ribosome
1;0;0;0.0001;0.653528;7.59175e-09;7.59175e-09;5.22158;0.395429;7.59175e-09;0.00738222;0.389661;3.19582;0.203291;0.825661;0.505309;0.466671;7.59175e-09;465.876;0.18149;0.175289;7.17751;54.6606;0.0274959;0.187197;7.59175e-09;0.731229;0.0617215;7.59175e-09;0.0677303;38.6509;121.486;211.955;0.339822;1.66008;9.31435;7.59175e-09;0.123454;70.3555;0.757238;0.587687;6.32135;1.55914;2563.71;266.104;20.8858;6.4509;0.380828;7.59175e-09;0.0657729;167.422;44.7267;0.167328;277.653;7.59175e-09;1.43268;1.43992;0.094528;0.0633915;0.355521;7.59175e-09;7.59175e-09;7.59175e-09;7.59175e-09;7.59175e-09;0.540826;0.628867;4.54553;0.297163;0.295353;7.59175e-09;441.152;1.16451;414.624;34.8294;0.075503;0.422161;0.84671;2233.77;7.59175e-09;0.944215;7.59175e-09;40.2785;0.800303;25.0762;0.520747;1.06635;1.75307;7.59175e-09;0.194202;0.417243;0.320764;0.373461;1641.15;7.59175e-09;7.59175e-09;7.59175e-09;7.59175e-09;7.59175e-09;0.13088;94.5028;95.57;95.283;7.59175e-09;939.311;347.961;1653.92;7.59175e-09;7.59175e-09;0.396926;441.213;0.357368;0.143864;0.281555;149.748;7.59175e-09;0.358884;123.963;0.415129;1.34556;0.0982864;0.688577;7.59175e-09;7.59175e-09;349.417;46.4975;28.1114;190.19;0.901511;7.59175e-09;0.324087;0.88871;0.0732988;46.6675;0.188766;7.59175e-09;1.03426;8.93794;3.49627;25.8798;25.8181;25.9193;25.8216;24.3461;1.43097;1.42194;207.25;13.7833;0.584602;0.522881;67.3593;40.6682;11.6988;7.62484;7.59175e-09;105.984;2601.33;50.4751
1;100;1.92e-05;1.6e-07;1.23307;1.51839e-08;1.51839e-08;10.4479;0.788117;1.51839e-08;0.0103759;0.779341;6.38892;0.403448;1.64861;1.00751;0.937759;1.51839e-08;931.781;0.36738;0.347968;14.3598;109.324;0.0593974;0.374386;1.51839e-08;1.45812;0.127836;1.51839e-08;0.139854;77.3085;242.975;423.918;0.677766;3.31726;18.6336;1.51839e-08;0.251306;140.711;1.51088;1.18124;12.6431;3.11838;5127.53;532.224;41.7728;12.9022;0.761789;1.51839e-08;0.13155;334.853;89.4527;0.330616;555.319;1.51839e-08;2.8615;2.87558;0.189073;0.126788;0.711053;1.51839e-08;1.51839e-08;1.51839e-08;1.51839e-08;1.51839e-08;1.07782;1.25351;9.0875;0.5946;0.58624;1.51839e-08;882.33;2.32484;829.272;69.6821;0.144455;0.84173;1.69343;4467.67;1.51839e-08;1.88866;1.51839e-08;80.5556;1.59514;50.1539;1.04172;2.13259;3.50623;1.51839e-08;0.385411;0.829386;0.641544;0.73944;3282.39;1.51839e-08;1.51839e-08;1.51839e-08;1.51839e-08;1.51839e-08;0.261663;189.011;191.146;190.572;1.51839e-08;1878.67;695.943;3307.94;9.43607e-06;1.51839e-08;0.793885;882.453;0.714714;0.287651;0.563127;299.505;0.000350546;0.717787;247.924;0.830305;2.69114;0.196422;1.37703;1.51839e-08;1.51839e-08;698.86;92.9976;56.2243;380.391;1.80301;1.51839e-08;0.648125;1.77741;0.146534;93.3056;0.373815;1.51839e-08;2.06859;17.8764;6.99275;51.7611;51.638;51.8399;51.6448;48.6932;2.85763;2.83998;414.513;27.5674;1.16924;1.04579;134.719;81.3387;23.3661;15.2471;1.51839e-08;212.006;5202.85;100.848
1;200;4.96e-05;3.2e-07;1.49673;1.86362e-08;1.86362e-08;12.8243;0.966685;1.86362e-08;0.0117466;0.956526;7.84087;0.494467;2.02282;1.23588;1.15196;1.86362e-08;1143.63;0.451897;0.426494;17.6257;134.181;0.0739387;0.459543;1.86362e-08;1.78866;0.157889;1.86362e-08;0.17264;94.8867;298.217;520.3;0.831429;4.0708;22.8712;1.86362e-08;0.309439;172.703;1.8539;1.45092;15.5177;3.82738;6293.33;653.244;51.2704;15.8356;0.935348;1.86362e-08;0.161459;410.985;109.79;0.404873;681.577;1.86362e-08;3.51135;3.52855;0.232096;0.155617;0.872684;1.86362e-08;1.86362e-08;1.86362e-08;1.86362e-08;1.86362e-08;1.32214;1.53771;11.1528;0.730601;0.718677;1.86362e-08;1082.94;2.85262;1017.82;85.5749;0.166006;1.03275;2.0783;5483.45;1.86362e-08;2.3185;1.86362e-08;98.8703;1.95677;61.5571;1.27922;2.61704;4.30342;1.86362e-08;0.471885;1.00942;0.7874;0.894635;4028.69;1.86362e-08;1.86362e-08;1.86362e-08;1.86362e-08;1.86362e-08;0.320966;231.985;234.605;233.901;1.86362e-08;2305.81;854.177;4060.05;4.02689e-05;1.86362e-08;0.974414;1083.09;0.877077;0.352898;0.691168;367.602;0.00146396;0.880975;304.277;1.01916;3.30281;0.240577;1.68959;1.86362e-08;1.86362e-08;857.757;114.142;69.0074;466.877;2.21274;1.86362e-08;0.795268;2.18131;0.179635;114.514;0.458098;1.86362e-08;2.53893;21.9409;8.58267;63.5297;63.3797;63.6258;63.387;59.7627;3.50652;3.48493;508.757;33.8352;1.43508;1.28356;165.348;99.8322;28.6721;18.7127;1.86362e-08;260.277;6385.8;123.619
1;300;0.0001104;6.4e-07;1.7905;2.27347e-08;2.27347e-08;15.6467;1.17797;2.27347e-08;0.012239;1.16685;9.56385;0.601708;2.46636;1.50619;1.40741;2.27347e-08;1395.14;0.553369;0.519042;21.5041;163.69;0.0924559;0.560742;2.27347e-08;2.17992;0.194703;2.27347e-08;0.212698;115.756;363.8;634.723;1.01333;4.96463;27.9032;2.27347e-08;0.379605;210.682;2.26084;1.77237;18.9305;4.6691;7677.35;796.932;62.5458;19.3181;1.14231;2.27347e-08;0.196966;501.367;133.933;0.491984;831.47;2.27347e-08;4.28197;4.30279;0.28327;0.189851;1.06443;2.27347e-08;2.27347e-08;2.27347e-08;2.27347e-08;2.27347e-08;1.61134;1.87415;13.6037;0.894146;0.874909;2.27347e-08;1321.11;3.47823;1241.66;104.485;0.175562;1.25932;2.53471;6689.37;2.27347e-08;2.82963;2.27347e-08;120.612;2.38487;75.0947;1.56291;3.19133;5.24983;2.27347e-08;0.57221;1.21185;0.960531;1.06053;4914.68;2.27347e-08;2.27347e-08;2.27347e-08;2.27347e-08;2.27347e-08;0.391171;283.003;286.2;285.34;2.27347e-08;2812.9;1042.03;4952.94;0.000161558;2.27347e-08;1.18882;1321.28;1.06944;0.430196;0.84319;448.447;0.00508694;1.07468;371.158;1.24356;4.02844;0.291699;2.0593;2.27347e-08;2.27347e-08;1046.4;139.244;84.1827;569.551;2.69867;2.27347e-08;0.969435;2.66032;0.218413;139.686;0.55733;2.27347e-08;3.09734;26.7661;10.4702;77.5012;77.3215;77.6162;77.3273;72.9005;4.27589;4.24972;620.643;41.2763;1.75069;1.56584;201.71;121.787;34.9657;22.8273;2.27347e-08;317.643;7790.17;150.51
1;400;0.000232;1.28e-06;2.05089;2.68889e-08;2.68889e-08;18.5097;1.39075;2.68889e-08;0.0105597;1.37995;11.3088;0.708833;2.91454;1.77863;1.66853;2.68889e-08;1650.07;0.658399;0.611552;25.4373;193.6;0.113789;0.663687;2.68889e-08;2.57429;0.234196;2.68889e-08;0.255481;136.912;430.275;750.698;1.19667;5.86912;33.0057;2.68889e-08;0.452963;249.176;2.6734;2.10066;22.3901;5.52226;9080.18;942.607;73.9747;22.8477;1.35493;2.68889e-08;0.232953;592.972;158.402;0.578269;983.401;2.68889e-08;5.0614;5.08571;0.335482;0.224575;1.25795;2.68889e-08;2.68889e-08;2.68889e-08;2.68889e-08;2.68889e-08;1.90283;2.21337;16.0861;1.06642;1.03137;2.68889e-08;1562.52;4.11054;1468.55;123.726;0.154018;1.48903;2.9949;7911.68;2.68889e-08;3.35007;2.68889e-08;142.649;2.81647;88.8163;1.85518;3.77104;6.20911;2.68889e-08;0.667112;1.39733;1.13586;1.19295;5812.73;2.68889e-08;2.68889e-08;2.68889e-08;2.68889e-08;2.68889e-08;0.461934;334.715;338.496;337.479;2.68889e-08;3326.89;1232.46;5857.97;0.000596634;2.68889e-08;1.40645;1562.72;1.26289;0.508228;0.997335;530.398;0.0147941;1.27093;438.905;1.47171;4.76232;0.339484;2.42983;2.68889e-08;2.68889e-08;1237.6;164.688;99.5626;673.616;3.18973;2.68889e-08;1.14444;3.14434;0.256193;165.191;0.656334;2.68889e-08;3.66344;31.6568;12.3835;91.6626;91.4588;91.7929;91.457;86.2061;5.05386;5.02323;734.047;48.8185;2.07059;1.85193;238.565;144.041;41.3352;27.0051;2.68889e-08;375.891;9213.65;177.518
1;500;0.0004752;2.56e-06;2.22478;3.06309e-08;3.06309e-08;21.0921;1.57995;3.06309e-08;0.00554892;1.57146;12.878;0.802483;3.31575;2.02128;1.90733;3.06309e-08;1879.7;0.756506;0.692529;28.9838;220.542;0.137565;0.757534;3.06309e-08;2.92558;0.273268;3.06309e-08;0.29752;155.972;490.155;855.163;1.35974;6.6812;37.6054;3.06309e-08;0.52271;283.848;3.04659;2.39978;25.5075;6.29077;10343.8;1073.87;84.2852;26.0263;1.55313;0.0172778;0.265362;675.467;180.438;0.652498;1120.26;3.06309e-08;5.7612;5.78838;0.383581;0.255936;1.42667;3.06309e-08;3.06309e-08;3.06309e-08;3.06309e-08;3.06309e-08;2.16313;2.51642;18.3188;1.23725;1.16966;3.06309e-08;1780;4.67753;1672.95;141.169;0.0846488;1.69718;3.39828;9012.69;3.06309e-08;3.82481;3.06309e-08;162.497;3.20202;101.175;2.12192;4.28723;7.0732;3.06309e-08;0.737165;1.54484;1.29265;1.25507;6621.68;3.06309e-08;3.06309e-08;3.06309e-08;3.06309e-08;3.06309e-08;0.52429;381.294;385.604;384.444;3.06309e-08;3789.86;1404;6673.2;0.00200544;0.000293694;1.60349;1780.2;1.43137;0.5774;1.13638;604.229;0.0355969;1.44742;499.873;1.67941;5.41957;0.373076;2.75373;3.06309e-08;3.06309e-08;1409.83;187.616;113.412;767.35;3.62867;3.06309e-08;1.29855;3.5769;0.286708;188.151;0.743322;3.06309e-08;4.17356;36.0618;14.1071;104.419;104.205;104.556;104.183;98.168;5.75205;5.71765;836.189;55.6125;2.35877;2.10959;271.762;164.086;47.0584;30.798;3.06309e-08;428.511;10495.9;201.472
1;600;0.000768247;6.5536e-11;2.3808;3.28321e-08;3.28321e-08;22.6099;1.68604;3.28321e-08;0.00391172;1.68003;13.7957;0.852077;3.54648;2.15865;2.04661;3.28321e-08;2014.79;0.812906;0.735027;31.0687;236.391;0.151616;0.814201;3.28321e-08;3.12595;0.294942;3.28321e-08;0.320945;167.184;525.378;916.615;1.45047;7.15355;40.3099;3.28321e-08;0.562656;304.24;3.2652;2.57861;27.3425;6.74283;11087.1;1151.1;90.3858;27.8952;1.67597;0.0750438;0.284416;723.956;193.396;0.691606;1200.78;3.28321e-08;6.17093;6.19956;0.413523;0.274509;1.51371;3.28321e-08;3.28321e-08;3.28321e-08;3.28321e-08;3.28321e-08;2.31434;2.69257;19.628;1.35431;1.24878;3.28321e-08;1907.95;5.00888;1793.19;151.516;3.28321e-08;1.82092;3.61576;9660.35;3.28321e-08;4.1113;3.28321e-08;174.172;3.42611;108.437;2.27063;4.58356;7.58149;3.28321e-08;0.761341;1.63083;1.37563;1.24164;7097.54;3.28321e-08;3.28321e-08;3.28321e-08;3.28321e-08;3.28321e-08;0.557876;408.693;413.316;412.071;3.28321e-08;4062.2;1504.93;7152.76;0.0044292;0.0212861;1.72098;1908.15;1.52052;0.615581;1.21854;647.666;0.0592012;1.55083;535.714;1.80495;5.80265;0.384003;2.93506;3.28321e-08;3.28321e-08;1511.15;201.123;121.578;822.492;3.88324;3.28321e-08;1.38541;3.82765;0.300882;201.648;0.792645;3.28321e-08;4.47386;38.6526;15.1212;111.922;111.715;112.059;111.666;105.182;6.16058;6.12418;896.263;59.6091;2.52832;2.26108;291.29;175.868;50.4156;33.0643;3.28321e-08;459.57;11250.2;215.271
1;700;0.000768255;1.31072e-10;2.3808;3.28321e-08;3.28321e-08;22.6099;1.68604;3.28321e-08;0.00391168;1.68003;13.7957;0.852078;3.54648;2.15866;2.04662;3.28321e-08;2014.79;0.812907;0.735028;31.0688;236.391;0.151616;0.814202;3.28321e-08;3.12595;0.294942;3.28321e-08;0.320946;167.184;525.378;916.616;1.45048;7.15356;40.31;3.28321e-08;0.562656;304.24;3.2652;2.57861;27.3426;6.74284;11087.1;1151.1;90.3859;27.8952;1.67597;0.0750453;0.284416;723.957;193.397;0.691606;1200.78;3.28321e-08;6.17094;6.19957;0.413524;0.274509;1.51371;3.28321e-08;3.28321e-08;3.28321e-08;3.28321e-08;3.28321e-08;2.31435;2.69258;19.6281;1.35431;1.24878;3.28321e-08;1907.96;5.00889;1793.19;151.516;3.28321e-08;1.82092;3.61576;9660.37;3.28321e-08;4.11131;3.28321e-08;174.172;3.42612;108.437;2.27064;4.58357;7.5815;3.28321e-08;0.761341;1.63083;1.37563;1.24164;7097.54;3.28321e-08;3.28321e-08;3.28321e-08;3.28321e-08;3.28321e-08;0.557876;408.693;413.317;412.072;3.28321e-08;4062.2;1504.93;7152.77;0.00442927;0.0212872;1.72098;1908.15;1.52052;0.615581;1.21854;647.667;0.0592018;1.55083;535.715;1.80496;5.80266;0.384003;2.93506;3.28321e-08;3.28321e-08;1511.15;201.123;121.578;822.493;3.88324;3.28321e-08;1.38541;3.82766;0.300882;201.649;0.792646;3.28321e-08;4.47386;38.6526;15.1212;111.922;111.715;112.059;111.666;105.182;6.16059;6.12419;896.264;59.6092;2.52832;2.26108;291.29;175.868;50.4157;33.0643;3.28321e-08;459.571;11250.2;215.272
1;800;0.00076827;2.62144e-10;2.38081;3.28322e-08;3.28322e-08;22.61;1.68604;3.28322e-08;0.00391159;1.68003;13.7957;0.852079;3.54649;2.15866;2.04662;3.28322e-08;2014.79;0.81291;0.735029;31.0689;236.392;0.151617;0.814205;3.28322e-08;3.12596;0.294943;3.28322e-08;0.320946;167.185;525.38;916.618;1.45048;7.15358;40.3101;3.28322e-08;0.562658;304.241;3.26521;2.57862;27.3426;6.74286;11087.1;1151.1;90.3861;27.8953;1.67598;0.0750483;0.284417;723.959;193.397;0.691608;1200.79;3.28322e-08;6.17095;6.19959;0.413525;0.27451;1.51372;3.28322e-08;3.28322e-08;3.28322e-08;3.28322e-08;3.28322e-08;2.31435;2.69258;19.6281;1.35432;1.24878;3.28322e-08;1907.96;5.0089;1793.19;151.516;3.28322e-08;1.82093;3.61577;9660.39;3.28322e-08;4.11132;3.28322e-08;174.173;3.42613;108.437;2.27064;4.58358;7.58152;3.28322e-08;0.761342;1.63083;1.37563;1.24164;7097.56;3.28322e-08;3.28322e-08;3.28322e-08;3.28322e-08;3.28322e-08;0.557877;408.694;413.318;412.073;3.28322e-08;4062.22;1504.93;7152.79;0.00442942;0.0212893;1.72098;1908.16;1.52053;0.615583;1.21854;647.668;0.059203;1.55083;535.716;1.80496;5.80267;0.384003;2.93507;3.28322e-08;3.28322e-08;1511.15;201.124;121.579;822.496;3.88325;3.28322e-08;1.38542;3.82767;0.300883;201.649;0.792648;3.28322e-08;4.47388;38.6527;15.1212;111.923;111.715;112.059;111.666;105.183;6.16061;6.1242;896.267;59.6094;2.52833;2.26109;291.291;175.869;50.4158;33.0644;3.28322e-08;459.572;11250.2;215.272
1;900;0.000768302;5.24288e-10;2.38082;3.28324e-08;3.28324e-08;22.6101;1.68605;3.28324e-08;0.00391142;1.68004;13.7958;0.852083;3.54651;2.15867;2.04663;3.28324e-08;2014.8;0.812914;0.735032;31.069;236.393;0.151618;0.814209;3.28324e-08;3.12598;0.294945;3.28324e-08;0.320948;167.186;525.383;916.623;1.45049;7.15361;40.3103;3.28324e-08;0.562661;304.242;3.26523;2.57863;27.3428;6.7429;11087.2;1151.11;90.3866;27.8954;1.67599;0.0750542;0.284418;723.962;193.398;0.691611;1200.79;3.28324e-08;6.17099;6.19962;0.413527;0.274511;1.51372;3.28324e-08;3.28324e-08;3.28324e-08;3.28324e-08;3.28324e-08;2.31437;2.6926;19.6282;1.35433;1.24879;3.28324e-08;1907.97;5.00893;1793.2;151.517;3.28324e-08;1.82094;3.61578;9660.44;3.28324e-08;4.11134;3.28324e-08;174.174;3.42614;108.438;2.27065;4.5836;7.58156;3.28324e-08;0.761343;1.63084;1.37564;1.24163;7097.6;3.28324e-08;3.28324e-08;3.28324e-08;3.28324e-08;3.28324e-08;0.55788;408.697;413.32;412.075;3.28324e-08;4062.24;1504.94;7152.83;0.00442971;0.0212935;1.72099;1908.17;1.52053;0.615586;1.21855;647.672;0.0592054;1.55084;535.719;1.80497;5.8027;0.384004;2.93508;3.28324e-08;3.28324e-08;1511.16;201.125;121.579;822.5;3.88327;3.28324e-08;1.38542;3.82769;0.300884;201.65;0.792652;3.28324e-08;4.4739;38.6529;15.1213;111.923;111.716;112.06;111.667;105.183;6.16064;6.12423;896.272;59.6097;2.52834;2.2611;291.293;175.87;50.4161;33.0646;3.28324e-08;459.574;11250.3;215.273
