condition;iter;t;dt;10fthfglu3;12dgr;13dpg;1ag3p;2pg;3pg;5fthf;5fthfglu3;ACP_R;ACP;DNA;PdhC;ac;accoa;acdhlpl_PdhC;actp;ade;adn;adp;amp;ap;apoACP;atp;cdp;cdpdag;clpn;cmp;co2;coa;ctp;dUTPase;dad_2;dadp;damp;datp;dcdp;dcmp;dctp;dcyt;dgdp;dgmp;dgsn;dgtp;dhap;dhlpl_PdhC;dnad;dtdp;dtmp;dttp;e4p;f6p;fa;fdp;fmettrna;for;g1p;g3p;g6p;galfur12dgr;gdp;glyc3p;glyc;gmp;gsn;gtp;gua;h2o;h;lgltn;lpl_PdhC;methfglu3;mlthfglu3;nac;nad;nadh;nadp;nadph;nh3;nicrnt;o2;pa;pap;pep;pg3p;pg;pi;ppi;prpp;pyr;r1p;r5p;ru5p__D;s7p;thfglu3;thymd;trdox;trdrd;udp;udpg;udpgal;udpgalfur;udpgltn;ump;ura;utp;xu5p__D;rRNA;AA;tRNA;AAtRNA;Protein
1;0;0;0.0001;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;23.0725;16.94;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;194.175;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;13.7654;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;0.990991;50.1239;0.990991;0.990991;0.990991;697.869
1;100;2.6496e-06;6.4e-09;0.992237;0.990915;0.986299;0.991023;0.990545;0.994234;0.914236;0.991123;0.991;23.0725;16.9375;0.990363;0.992555;0.991011;0.990982;0.987332;0.990974;0.988668;0.742407;0.988402;0.98608;194.174;1.30325;0.986091;0.990991;0.990991;0.994483;1.00203;0.990971;0.989165;0.990293;0.992305;0.986077;0.990126;0.992463;0.986087;0.990112;0.991418;0.992155;0.986075;0.990137;0.992405;0.991458;0.991078;0.990996;0.986925;0.98608;0.990121;0.992435;0.990938;0.995162;1.0058;0.985994;0.948485;0.990986;0.99098;0.99107;0.995056;0.990996;0.986056;0.986961;1.0042;0.994289;0.988702;0.993933;0.990974;0.996397;1.00181;0.990992;0.990924;0.987178;13.7655;0.988902;0.991382;0.99072;0.986442;0.99093;1.00213;0.99505;1.00203;0.991072;0.990991;0.98475;0.991058;0.99093;0.960912;0.984002;0.984814;1.00541;0.99081;0.994931;0.990848;0.990914;0.989529;0.992248;0.999991;0.991946;0.986094;0.990979;0.990991;0.99097;0.990995;0.994365;1.00193;0.997262;0.990894;50.1231;0.987889;0.480192;1.67108;697.736
1;200;2.96576e-06;2.56e-09;0.992227;0.990905;0.985821;0.991028;0.990481;0.994563;0.906917;0.991136;0.991001;23.0725;16.9373;0.990304;0.992713;0.991014;0.99098;0.986961;0.990971;0.988435;0.717588;0.988065;0.98558;194.174;1.33448;0.985595;0.990991;0.990991;0.994818;1.00315;0.990968;0.988953;0.990227;0.992438;0.985579;0.990039;0.992611;0.985591;0.990023;0.991459;0.992272;0.985577;0.990051;0.992548;0.991504;0.991092;0.990997;0.986498;0.985582;0.990032;0.99258;0.990929;0.995615;1.00731;0.985477;0.948624;0.990985;0.990978;0.991084;0.995453;0.990997;0.985555;0.986551;1.00555;0.994594;0.988472;0.994203;0.990971;0.996936;1.00291;0.990992;0.990917;0.986795;13.7655;0.988689;0.991433;0.990676;0.986005;0.990896;1.00326;0.995473;1.00315;0.991083;0.990991;0.984138;0.991067;0.990923;0.957949;0.983313;0.984169;1.00688;0.990779;0.99536;0.990824;0.990902;0.989509;0.992376;0.999988;0.992473;0.9856;0.990977;0.990991;0.990967;0.990996;0.994684;1.00304;0.997878;0.990877;50.1231;0.987579;0.431748;1.73166;697.723
1;300;3.44192e-06;5.12e-09;0.992179;0.99089;0.985127;0.991037;0.990383;0.995038;0.896316;0.991156;0.991004;23.0725;16.9369;0.990218;0.992943;0.99102;0.990978;0.986423;0.990966;0.988097;0.681694;0.98755;0.984855;194.174;1.37967;0.984879;0.990991;0.990991;0.995298;1.00478;0.990963;0.988624;0.990131;0.99263;0.984859;0.989912;0.992825;0.984873;0.989893;0.99152;0.992442;0.984857;0.989925;0.992755;0.99157;0.991116;0.990998;0.985875;0.984863;0.989904;0.99279;0.990915;0.99628;1.00949;0.984725;0.949875;0.990985;0.990975;0.991106;0.996023;0.990999;0.98483;0.985957;1.00749;0.995025;0.988139;0.994572;0.990966;0.997718;1.0045;0.990992;0.990909;0.986243;13.7655;0.988382;0.991508;0.990608;0.985371;0.990846;1.0049;0.99609;1.00477;0.991099;0.990991;0.98326;0.99108;0.990911;0.953668;0.982336;0.983227;1.00899;0.99073;0.995992;0.990786;0.990882;0.989511;0.99256;0.999981;0.993239;0.984885;0.990973;0.990992;0.990961;0.990997;0.995138;1.00465;0.998753;0.990851;50.1232;0.987132;0.36204;1.81803;697.704
1;400;3.68768e-06;2.048e-09;0.992141;0.990882;0.984781;0.991042;0.990331;0.995275;0.891032;0.991165;0.991005;23.0725;16.9367;0.990176;0.993058;0.991023;0.990977;0.986155;0.990964;0.98793;0.663856;0.987279;0.984493;194.174;1.40214;0.984522;0.990991;0.990991;0.995534;1.00558;0.99096;0.988447;0.990084;0.992726;0.984501;0.989848;0.992931;0.984515;0.989829;0.991549;0.992527;0.984498;0.989863;0.992858;0.991602;0.991128;0.990999;0.985561;0.984505;0.989841;0.992894;0.990907;0.996617;1.01057;0.984349;0.950958;0.990984;0.990973;0.991118;0.996304;0.990999;0.984468;0.985661;1.00846;0.995235;0.987974;0.99474;0.990963;0.998107;1.0053;0.990992;0.990904;0.985969;13.7655;0.988228;0.991546;0.990572;0.985054;0.990822;1.00572;0.996401;1.00558;0.991107;0.990991;0.982826;0.991086;0.990905;0.951542;0.981864;0.982753;1.01005;0.990704;0.996312;0.990766;0.990871;0.989524;0.992651;0.999987;0.993616;0.984529;0.990972;0.990992;0.990958;0.990998;0.99536;1.00545;0.999178;0.990837;50.1232;0.986909;0.327663;1.86033;697.695
1;500;4.06656e-06;4.096e-09;0.992067;0.99087;0.984265;0.99105;0.990249;0.995628;0.883142;0.99118;0.991007;23.0725;16.9364;0.990113;0.993228;0.991028;0.990974;0.985755;0.99096;0.98768;0.637275;0.986855;0.983953;194.174;1.43565;0.983991;0.990991;0.990991;0.995882;1.00679;0.990955;0.988157;0.990015;0.992868;0.983966;0.989754;0.99309;0.983982;0.989733;0.991593;0.992653;0.983963;0.989769;0.993011;0.991651;0.991148;0.991;0.985088;0.983971;0.989746;0.99305;0.990895;0.997125;1.0122;0.983785;0.953135;0.990984;0.99097;0.991136;0.99672;0.991001;0.983929;0.985219;1.00991;0.995543;0.987728;0.994963;0.990959;0.998689;1.00648;0.990992;0.990898;0.985561;13.7655;0.988;0.991603;0.990515;0.984581;0.990786;1.00694;0.996868;1.00679;0.991119;0.990991;0.982183;0.991097;0.990895;0.948381;0.981189;0.982039;1.01162;0.990662;0.996799;0.990733;0.990854;0.989561;0.992788;0.999987;0.994183;0.983998;0.990969;0.990992;0.990953;0.990999;0.995688;1.00665;0.999792;0.990814;50.1233;0.986579;0.277035;1.9224;697.681
1;600;4.82432e-06;8.192e-09;0.99187;0.990845;0.983288;0.991066;0.990082;0.996293;0.868258;0.991207;0.991012;23.0725;16.9359;0.990003;0.993551;0.991038;0.99097;0.985;0.990951;0.98721;0.587561;0.985967;0.982933;194.174;1.49834;0.98299;0.99099;0.990991;0.996526;1.00908;0.990945;0.987441;0.989891;0.993137;0.982959;0.989576;0.993388;0.982977;0.989552;0.991675;0.992891;0.982956;0.989593;0.993301;0.991741;0.991191;0.991003;0.984177;0.982964;0.989566;0.993342;0.990869;0.998105;1.01525;0.982715;0.959004;0.990983;0.990965;0.991176;0.997494;0.991003;0.982911;0.984384;1.01264;0.996102;0.987265;0.995193;0.99095;0.999775;1.00873;0.990992;0.990887;0.984795;13.7656;0.987568;0.991711;0.990394;0.983686;0.990717;1.00925;0.997766;1.00907;0.991145;0.990991;0.980987;0.991118;0.990877;0.942505;0.980112;0.980666;1.01459;0.990573;0.997745;0.990665;0.990818;0.98968;0.993045;0.999983;0.995254;0.983;0.990963;0.990992;0.990943;0.991001;0.996288;1.00891;1.00081;0.990767;50.1236;0.985963;0.187155;2.03294;697.653
1;700;5.22245e-06;3.2768e-09;0.991748;0.990833;0.982806;0.991076;0.989993;0.99662;0.860912;0.99122;0.991014;23.0725;16.9357;0.989956;0.99371;0.991044;0.990967;0.984627;0.990946;0.98698;0.563473;0.985467;0.982429;194.174;1.52872;0.982497;0.99099;0.990991;0.996837;1.0102;0.990939;0.986915;0.989838;0.99327;0.982463;0.989488;0.993534;0.982482;0.989462;0.991714;0.993009;0.982459;0.989507;0.993443;0.991785;0.991214;0.991004;0.983717;0.982468;0.989478;0.993485;0.990855;0.9986;1.01676;0.982184;0.962691;0.990983;0.990962;0.991198;0.997869;0.991005;0.982409;0.983972;1.01398;0.996366;0.987038;0.995111;0.990945;1.0003;1.00983;0.990993;0.990882;0.984419;13.7656;0.987355;0.991763;0.990329;0.983243;0.990683;1.01038;0.998218;1.0102;0.991158;0.990991;0.980405;0.991128;0.990867;0.939701;0.97979;0.979974;1.01606;0.990524;0.998227;0.990628;0.990799;0.989762;0.993172;0.999985;0.995782;0.982508;0.99096;0.990992;0.990938;0.991002;0.996575;1.01003;1.00118;0.990741;50.1237;0.98567;0.149366;2.08083;697.64
1;800;5.82538e-06;6.5536e-09;0.991546;0.990813;0.982115;0.99109;0.989856;0.997089;0.850405;0.991239;0.991018;23.0725;16.9353;0.989911;0.993937;0.991053;0.990964;0.984095;0.990938;0.986651;0.530069;0.984639;0.981708;194.174;1.57078;0.981794;0.99099;0.990991;0.997272;1.01181;0.990931;0.985745;0.989784;0.993459;0.981755;0.989362;0.993742;0.981775;0.989335;0.99177;0.993176;0.98175;0.989383;0.993647;0.991847;0.99125;0.991006;0.983043;0.98176;0.989351;0.99369;0.990833;0.999321;1.01892;0.981419;0.968696;0.990982;0.990957;0.991232;0.998398;0.991007;0.981692;0.983383;1.01591;0.99673;0.986714;0.994522;0.990937;1.00101;1.01142;0.990993;0.990875;0.983883;13.7656;0.98705;0.991833;0.990228;0.982609;0.990634;1.01201;0.998879;1.01181;0.991177;0.990991;0.979585;0.991144;0.990852;0.935921;0.979837;0.978961;1.01815;0.990449;0.998939;0.99057;0.990769;0.989902;0.993353;0.999981;0.996539;0.981807;0.990955;0.990992;0.990929;0.991004;0.996975;1.01163;1.00136;0.9907;50.124;0.985277;0.111949;2.13343;697.619
1;900;7.03124e-06;1.31072e-08;0.991124;0.990776;0.980866;0.99112;0.989581;0.997931;0.831442;0.991274;0.991025;23.0725;16.9347;0.989896;0.994346;0.991071;0.990956;0.983135;0.990922;0.986063;0.473197;0.982766;0.980405;194.174;1.64224;0.980529;0.99099;0.990991;0.998028;1.01472;0.990913;0.982265;0.989753;0.9938;0.98048;0.989136;0.994116;0.980504;0.989104;0.991868;0.993477;0.980475;0.989159;0.994014;0.991956;0.991324;0.99101;0.981772;0.980486;0.989124;0.994056;0.990787;1.00066;1.02282;0.980026;0.981015;0.990982;0.990947;0.991303;0.999328;0.991011;0.980398;0.982319;1.01939;0.997339;0.986134;0.991907;0.99092;1.00216;1.01429;0.990993;0.990863;0.982926;13.7657;0.9865;0.991938;0.990022;0.98146;0.990546;1.01495;1.00013;1.01471;0.991216;0.990991;0.978142;0.991176;0.990824;0.929838;0.981598;0.977052;1.02192;0.990293;1.0003;0.990453;0.990707;0.990198;0.993679;0.999984;0.9979;0.980547;0.990945;0.990992;0.990911;0.991008;0.997659;1.0145;1.00058;0.990617;50.1247;0.984647;0.0957137;2.18133;697.58
