condition;iter;t;dt;mu;density;consistent;mu_diff
1;0;0;0.0001;0.069093;1;1;0
1;100;2.6496e-06;6.4e-09;0.0981643;1;1;0
1;200;2.96576e-06;2.56e-09;0.100392;1;1;0
1;300;3.44192e-06;5.12e-09;0.103477;1;1;0
1;400;3.68768e-06;2.048e-09;0.104945;1;1;0
1;500;4.06656e-06;4.096e-09;0.107041;1;1;0
1;600;4.82432e-06;8.192e-09;0.110533;1;1;0
1;700;5.22245e-06;3.2768e-09;0.111893;1;1;0
1;800;5.82538e-06;6.5536e-09;0.113256;1;1;0
1;900;7.03124e-06;1.31072e-08;0.114916;1;1;0
1;1000;8.20041e-06;5.24288e-09;0.11637;1;1;0
1;1100;9.02878e-06;1.04858e-08;0.117364;1;1;0
1;1200;1.06855e-05;2.09715e-08;0.119274;1;1;0
1;1300;1.3999e-05;4.1943e-08;0.122843;1;1;0
1;1400;2.0626e-05;8.38861e-08;0.129363;1;1;0
1;1500;3.388e-05;1.67772e-07;0.140757;1;1;0
1;1600;6.0388e-05;3.35544e-07;0.158794;1;1;0
1;1700;0.000113404;6.71089e-07;0.1836;1;1;0
1;1800;0.000219436;1.34218e-06;0.212783;1;1;0
1;1900;0.0004315;2.68435e-06;0.242592;1;1;0
1;2000;0.000855628;5.36871e-06;0.270465;1;1;0
1;2100;0.00141827;2.14748e-06;0.289239;1;1;0
1;2200;0.00159093;8.58993e-07;0.293052;1;1;0
1;2300;0.00170345;1.71799e-06;0.295272;1;1;0
1;2400;0.00190844;1.37439e-07;0.298916;1;1;0
1;2500;0.00192274;2.74878e-07;0.299157;1;1;0
1;2600;0.00195133;5.49756e-07;0.299627;1;1;0
1;2700;0.0020085;1.09951e-06;0.300547;1;1;0
1;2800;0.00212285;2.19902e-06;0.302307;1;1;0
1;2900;0.00235155;4.39805e-06;0.305542;1;1;0
1;3000;0.00244567;8.79609e-07;0.306775;1;1;0
1;3100;0.00261895;1.75922e-06;0.308893;1;1;0
1;3200;0.00269178;7.03687e-07;0.309714;1;1;0
1;3300;0.0028297;1.40737e-06;0.311172;1;1;0
1;3400;0.00298564;5.6295e-07;0.312725;1;1;0
1;3500;0.00307121;1.1259e-06;0.313543;1;1;0
1;3600;0.00324235;2.2518e-06;0.315109;1;1;0
1;3700;0.00339637;9.0072e-07;0.31645;1;1;0
1;3800;0.00353238;1.80144e-06;0.317581;1;1;0
1;3900;0.00363463;1.44115e-07;0.318404;1;1;0
1;4000;0.00365581;2.8823e-07;0.318572;1;1;0
1;4100;0.00369818;5.76461e-07;0.318905;1;1;0
1;4200;0.00378292;1.15292e-06;0.319559;1;1;0
1;4300;0.0039524;2.30584e-06;0.320827;1;1;0
1;4400;0.00412811;9.22337e-07;0.322088;1;1;0
1;4500;0.00426;1.84467e-06;0.323003;1;1;0
1;4600;0.00437474;1.47574e-07;0.323777;1;1;0
1;4700;0.0043954;2.95148e-07;0.323914;1;1;0
1;4800;0.00443672;5.90296e-07;0.324187;1;1;0
1;4900;0.00451936;1.18059e-06;0.324726;1;1;0
1;5000;0.00468464;2.36118e-06;0.325777;1;1;0
1;5100;0.00483708;3.77789e-08;0.326715;1;1;0
1;5200;0.00484218;7.55579e-08;0.326746;1;1;0
1;5300;0.00485238;1.51116e-07;0.326808;1;1;0
1;5400;0.00487278;3.02231e-07;0.32693;1;1;0
1;5500;0.00491359;6.04463e-07;0.327174;1;1;0
1;5600;0.00499519;1.20893e-06;0.327648;1;1;0
1;5700;0.00515839;2.41785e-06;0.328524;1;1;0
1;5800;0.00532658;1.93428e-07;0.329359;1;1;0
1;5900;0.00535211;3.86856e-07;0.329482;1;1;0
1;6000;0.00540318;7.73713e-07;0.329726;1;1;0
1;6100;0.00550531;1.54743e-06;0.330207;1;1;0
1;6200;0.00569409;6.1897e-07;0.331067;1;1;0
1;6300;0.00575908;1.23794e-06;0.331355;1;1;0
1;6400;0.00588907;2.47588e-06;0.33192;1;1;0
1;6600;0.00624312;9.90352e-07;0.333387;1;1;0
1;6700;0.00644119;1.9807e-06;0.334167;1;1;0
1;6800;0.00646432;1.58456e-07;0.334257;1;1;0
1;6900;0.00649538;3.16913e-07;0.334376;1;1;0
1;7000;0.0065575;6.33825e-07;0.334613;1;1;0
1;7100;0.00668173;1.26765e-06;0.33508;1;1;0
1;7200;0.00693019;2.5353e-06;0.335987;1;1;0
1;7300;0.00704072;1.01412e-06;0.336379;1;1;0
1;7400;0.00723746;2.02824e-06;0.337063;1;1;0
1;7500;0.00727235;1.62259e-07;0.337183;1;1;0
1;7600;0.00730318;3.24519e-07;0.337288;1;1;0
1;7700;0.00736484;6.49037e-07;0.337496;1;1;0
1;7800;0.00748815;1.29807e-06;0.337909;1;1;0
1;7900;0.00773479;2.59615e-06;0.338715;1;1;0
1;8000;0.00785733;1.03846e-06;0.339106;1;1;0
1;8100;0.00805256;2.07692e-06;0.339718;1;1;0
1;8200;0.00819296;8.30767e-07;0.340147;1;1;0
1;8300;0.00833751;1.66153e-06;0.340578;1;1;0
1;8400;0.00862662;3.32307e-06;0.341396;1;1;0
1;8500;0.00873854;2.65846e-07;0.341701;1;1;0
1;8600;0.008784;5.31691e-07;0.341823;1;1;0
1;8700;0.00887492;1.06338e-06;0.342064;1;1;0
1;8800;0.00905676;2.12676e-06;0.342536;1;1;0
1;8900;0.00923923;8.50706e-07;0.342996;1;1;0
1;9000;0.00936854;1.70141e-06;0.343314;1;1;0
1;9100;0.00962715;3.40282e-06;0.343931;1;1;0
1;9200;0.0098708;1.36113e-06;0.344495;1;1;0
1;9300;0.0100736;2.72226e-06;0.344952;1;1;0
1;9400;0.0102331;2.17781e-07;0.345304;1;1;0
1;9500;0.0102647;4.35561e-07;0.345373;1;1;0
1;9600;0.0103279;8.71123e-07;0.345511;1;1;0
1;9700;0.0104542;1.74225e-06;0.345783;1;1;0
1;9800;0.0107068;3.48449e-06;0.346318;1;1;0
1;9900;0.0109598;1.3938e-06;0.346844;1;1;0
1;10000;0.0111605;2.78759e-06;0.347253;1;1;0
1;10100;0.011369;1.11504e-06;0.347672;1;1;0
1;10200;0.0115273;2.23007e-06;0.347987;1;1;0
1;10300;0.0117753;8.9203e-07;0.348472;1;1;0
1;10400;0.0118806;1.78406e-06;0.348674;1;1;0
1;10500;0.0119402;3.56812e-07;0.34878;1;1;0
1;10600;0.0120051;7.13624e-07;0.348894;1;1;0
1;10700;0.0120705;5.70899e-08;0.349009;1;1;0
1;10800;0.0120787;1.1418e-07;0.349023;1;1;0
1;10900;0.0120953;2.2836e-07;0.349052;1;1;0
1;11000;0.0121284;4.56719e-07;0.34911;1;1;0
1;11100;0.0121946;9.13439e-07;0.349225;1;1;0
1;11200;0.0122916;3.65375e-07;0.349391;1;1;0
1;11300;0.0123366;7.30751e-07;0.349468;1;1;0
1;11400;0.0124265;1.4615e-06;0.34962;1;1;0
1;11500;0.0124613;2.923e-07;0.349679;1;1;0
1;11600;0.012518;5.84601e-07;0.349774;1;1;0
1;11700;0.0125834;2.3384e-07;0.349883;1;1;0
1;11800;0.0126185;4.67681e-07;0.349941;1;1;0
1;11900;0.0126887;9.35361e-07;0.350057;1;1;0
1;12000;0.0127408;7.48289e-08;0.350143;1;1;0
1;12100;0.0127518;1.49658e-07;0.350161;1;1;0
1;12200;0.0127738;2.99316e-07;0.350197;1;1;0
1;12300;0.0128178;5.98631e-07;0.350268;1;1;0
1;12400;0.0128941;2.39452e-07;0.350392;1;1;0
1;12500;0.0129207;4.78905e-07;0.350435;1;1;0
1;12600;0.0129738;9.5781e-07;0.350521;1;1;0
1;12700;0.0130629;3.83124e-07;0.350663;1;1;0
1;12800;0.013105;7.66248e-07;0.35073;1;1;0
1;12900;0.0131893;1.5325e-06;0.350864;1;1;0
