condition;iter;t;dt;10fthfglu3;12dgr;13dpg;1ag3p;2dr1p;2dr5p;2pg;3pg;5fthf;5fthfglu3;ACP_R;ACP;DNA;PdhC;RNA;ac;acald;accoa;actp;ade;adp;amp;ap;apoACP;atp;cdp;cdpdag;clpn;cmp;coa;ctp;dUTPase;dad_2;dadp;damp;datp;dcdp;dcmp;dctp;dcyt;dgdp;dgmp;dgsn;dgtp;dhap;dhlpl_PdhC;dnad;dtdp;dtmp;dttp;dump;e4p;f6p;fa;fdp;fmettrna;fmn;for;g1p;g3p;g6p;galfur12dgr;gdp;glyc3p;glyc;gmp;gtp;gua;h2o;h;lac__L;lgltn;lpl_PdhC;methfglu3;mlthfglu3;nac;nad;nadh;nadp;nadph;nh3;nicrnt;o2;pa;pap;pep;pg3p;pg;pi;ppi;prpp;pyr;r5p;ribflv;ru5p__D;s7p;thfglu3;thymd;trdox;trdrd;udp;udpg;udpgal;udpgalfur;udpgltn;ump;ura;utp;xu5p__D;AA;tRNA;AAtRNA;Protein
67;0;0;0.01;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;7.25252;19.36;0.311504;57.2845;0.311504;5.88121;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;61.0877;0.311504;0.311504;0.311504;0.669389;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;0.311504;167.445
67;100;6.272e-05;6.4e-07;0.302228;0.312631;0.301449;0.315922;0.303658;0.298081;0.300941;0.313581;0.088249;0.311642;0.31269;7.25099;19.3569;0.290841;57.27;0.327124;5.88384;0.310123;0.306703;0.30863;0.0549591;0.225182;0.301119;61.0875;0.797132;0.304716;0.311478;0.669387;0.316953;0.314733;0.260522;0.311014;0.318982;0.305878;0.310306;0.311975;0.305839;0.305819;0.310642;0.313386;0.314321;0.308804;0.31897;0.302928;0.314045;0.306575;0.269079;0.305884;0.310303;0.31193;0.316109;0.30527;0.350518;0.330447;0.290733;0.551445;0.304733;0.311501;0.310556;0.339862;0.299006;0.311755;0.304973;0.304197;0.328186;0.317042;0.260539;0.308583;0.425051;0.32596;0.32729;0.311533;0.336672;0.309597;0.313709;0.308933;0.337452;0.263004;0.311502;0.304897;0.325883;0.347064;0.324648;0.309996;0.308936;0.322579;0.310258;0.312634;0.29967;0.32383;0.255799;0.308915;0.355353;0.314625;0.300376;0.308662;0.316269;0.313563;0.32525;0.325161;0.305893;0.310319;0.311531;0.310517;0.311708;0.316838;0.325059;0.2834;0.301542;0.308584;0.079104;1.1068;166.732
67;200;0.00018624;1.28e-06;0.28957;0.319308;0.288222;0.330761;0.281515;0.248515;0.285844;0.304752;0.00628432;0.310123;0.318526;7.24361;19.3563;0.207054;57.2493;0.323123;5.89312;0.300735;0.304667;0.299327;0.0952232;0.0758982;0.283909;61.089;1.07409;0.299769;0.311235;0.669377;0.320922;0.329386;0.186535;0.310847;0.337886;0.306113;0.309399;0.306224;0.305734;0.288453;0.304474;0.3153;0.353047;0.300685;0.337425;0.261817;0.342054;0.320857;0.18324;0.30612;0.309416;0.306126;0.333328;0.283069;0.467174;0.328827;0.238202;0.854699;0.299799;0.30518;0.303518;0.418683;0.246003;0.313146;0.30018;0.294221;0.324639;0.320532;0.18303;0.299653;0.567046;0.324011;0.327763;0.31169;0.406268;0.313578;0.317308;0.308362;0.447981;0.123185;0.311488;0.294832;0.321874;0.408693;0.317537;0.301214;0.292539;0.359187;0.302935;0.319272;0.410665;0.29433;0.156508;0.293827;0.453892;0.316671;0.259893;0.298778;0.321503;0.315776;0.319859;0.319276;0.303961;0.301885;0.311679;0.305036;0.312837;0.319709;0.319481;0.245183;0.266339;0.308814;0.146467;1.84375;165.762
67;300;0.00043328;2.56e-06;0.273791;0.328418;0.280565;0.355674;0.265684;0.136985;0.286935;0.282248;0.00967531;0.30629;0.336459;7.22189;19.3557;0.0129796;57.2183;0.306607;5.91235;0.269832;0.304683;0.273103;0.142076;0.039226;0.255947;61.0928;1.39473;0.292492;0.30854;0.669342;0.326755;0.373011;0.0899867;0.310652;0.362106;0.311699;0.307982;0.291403;0.309459;0.235267;0.289115;0.316814;0.441869;0.281077;0.361005;0.174645;0.412732;0.401869;0.0257306;0.311653;0.308083;0.291227;0.388688;0.236605;0.64155;0.316206;0.198356;1.21606;0.292539;0.285797;0.263521;0.505854;0.22546;0.318339;0.288237;0.278391;0.308456;0.310101;0.0964908;0.294746;0.738663;0.319466;0.310229;0.312277;0.51973;0.319765;0.322113;0.31355;0.494972;0.108195;0.311428;0.236319;0.305645;0.480874;0.29794;0.287618;0.175576;0.402096;0.290244;0.330784;0.61128;0.209629;0.0591694;0.278443;0.59958;0.318403;0.175767;0.28554;0.327193;0.318607;0.301822;0.299258;0.298064;0.267661;0.312206;0.284591;0.317051;0.306509;0.305835;0.248306;0.196217;0.310208;0.235239;2.76526;164.558
67;400;0.00054848;2.048e-07;0.268378;0.330603;0.272321;0.36496;0.265452;0.0893382;0.291146;0.278536;0.0106651;0.304827;0.345887;7.21075;19.3554;0.00175024;57.2054;0.300044;5.92045;0.25414;0.305512;0.26489;0.156631;0.0410824;0.245649;61.0946;1.48683;0.287954;0.30378;0.669322;0.3288;0.395072;0.0622926;0.310589;0.36853;0.315425;0.307455;0.284172;0.311672;0.213205;0.281649;0.316722;0.472037;0.272345;0.367264;0.147948;0.438683;0.419967;0.0124005;0.315338;0.307605;0.283968;0.412997;0.215883;0.700067;0.31125;0.204071;1.33744;0.289992;0.278156;0.240296;0.530473;0.237631;0.32147;0.279327;0.272649;0.301935;0.29703;0.0745044;0.298091;0.798136;0.320564;0.303058;0.312632;0.512838;0.322071;0.32377;0.318971;0.499284;0.112874;0.311384;0.20672;0.299731;0.480533;0.290341;0.285353;0.1172;0.411056;0.285606;0.334994;0.684009;0.163898;0.0627263;0.274488;0.651827;0.318888;0.140067;0.282983;0.329049;0.319579;0.29505;0.291206;0.297604;0.24944;0.312507;0.272269;0.319591;0.291712;0.303498;0.261069;0.165991;0.310847;0.266124;3.07922;164.146
67;500;0.00058432;4.096e-07;0.266853;0.331092;0.268756;0.367635;0.264997;0.076983;0.292435;0.278462;0.0109467;0.304398;0.348867;7.20725;19.3553;0.00172281;57.2013;0.298132;5.92268;0.249302;0.305804;0.262554;0.160716;0.0421456;0.242678;61.0952;1.51213;0.284994;0.301309;0.669315;0.329388;0.401865;0.0578454;0.310572;0.370102;0.316675;0.3073;0.281894;0.312352;0.207158;0.279292;0.316594;0.479524;0.269682;0.368798;0.141901;0.446239;0.424689;0.0125926;0.316573;0.307466;0.281681;0.419924;0.209604;0.716709;0.309831;0.206747;1.37147;0.289257;0.275929;0.233162;0.536789;0.241974;0.322507;0.275781;0.270997;0.300029;0.29308;0.0699143;0.299283;0.814991;0.321198;0.301009;0.312749;0.508128;0.322727;0.324234;0.320605;0.500686;0.113873;0.311368;0.197394;0.298031;0.478655;0.288125;0.285487;0.0995391;0.412588;0.284276;0.336201;0.70458;0.15041;0.0640552;0.273718;0.666925;0.319015;0.129479;0.282553;0.329567;0.319853;0.29312;0.288837;0.297898;0.243805;0.312605;0.26819;0.320432;0.287241;0.302847;0.26508;0.156936;0.311043;0.274831;3.16732;164.031
67;600;0.000656;8.192e-07;0.263979;0.331862;0.260465;0.372737;0.261929;0.0587456;0.294931;0.279463;0.0114551;0.303573;0.35485;7.20024;19.3551;0.00171117;57.193;0.294472;5.92639;0.239547;0.306443;0.25829;0.168597;0.044254;0.237;61.0963;1.56053;0.277156;0.2952;0.669301;0.330518;0.415548;0.053964;0.31054;0.372718;0.319304;0.306999;0.277264;0.313697;0.196306;0.274499;0.316204;0.492142;0.264403;0.371351;0.132627;0.460724;0.429354;0.0129605;0.319173;0.3072;0.277035;0.432795;0.197284;0.748305;0.307152;0.212482;1.43535;0.287849;0.271655;0.219173;0.5469;0.250766;0.324645;0.267639;0.267844;0.296374;0.285469;0.0634713;0.301798;0.846902;0.322801;0.29711;0.312991;0.503446;0.323964;0.325101;0.323753;0.504651;0.115827;0.311331;0.178623;0.294742;0.474736;0.283879;0.286735;0.065642;0.414481;0.281747;0.338498;0.742938;0.124098;0.0665514;0.272676;0.695778;0.319244;0.109041;0.282142;0.33054;0.320372;0.289481;0.284264;0.299061;0.232694;0.312804;0.259774;0.322167;0.278636;0.301585;0.272824;0.139312;0.311438;0.291223;3.33279;163.813
67;700;0.00079936;1.6384e-06;0.258816;0.3328;0.241201;0.382132;0.247423;0.0480153;0.299774;0.283929;0.012376;0.30203;0.366804;7.18632;19.3548;0.00170988;57.177;0.287732;5.93091;0.220408;0.307785;0.251316;0.183315;0.0479471;0.22649;61.0984;1.64886;0.258847;0.281577;0.669272;0.332627;0.442389;0.0551673;0.310485;0.375787;0.325052;0.306427;0.267626;0.316293;0.179636;0.264539;0.314912;0.510203;0.253925;0.37436;0.122729;0.486915;0.432033;0.0136631;0.32486;0.306698;0.267363;0.454557;0.173554;0.805797;0.302375;0.223789;1.54957;0.285215;0.26375;0.192281;0.558661;0.267745;0.329102;0.248809;0.262017;0.289622;0.271571;0.0577436;0.307351;0.905038;0.327091;0.289989;0.313495;0.50072;0.326197;0.326625;0.329528;0.516136;0.11982;0.311231;0.140969;0.288533;0.466606;0.276049;0.290719;0.0036542;0.416853;0.27709;0.342728;0.808251;0.0776031;0.0698631;0.27119;0.748019;0.319636;0.0714971;0.282964;0.332284;0.321322;0.282988;0.275687;0.30341;0.21162;0.31321;0.24223;0.325783;0.263015;0.299085;0.287142;0.105929;0.312232;0.32087;3.6292;163.421
67;800;0.00108608;3.2768e-06;0.25017;0.333838;0.204778;0.399217;0.22491;0.0472677;0.309301;0.292497;0.0144033;0.299429;0.39015;7.16638;19.3553;0.00386658;57.1509;0.275696;5.9367;0.185438;0.310475;0.228983;0.202549;0.0411274;0.207652;61.0955;1.74477;0.225052;0.259533;0.66921;0.336211;0.491602;0.0601425;0.310393;0.374702;0.338;0.305411;0.246772;0.320928;0.163636;0.243562;0.31078;0.534071;0.233061;0.373382;0.118204;0.529259;0.429472;0.0142542;0.337683;0.305834;0.246447;0.484407;0.133629;0.899465;0.294202;0.242816;1.73993;0.280724;0.249648;0.140952;0.574903;0.297361;0.33825;0.210795;0.25169;0.277478;0.245154;0.0549451;0.321535;1.00928;0.338174;0.27739;0.314531;0.501037;0.330528;0.328867;0.34069;0.553262;0.129905;0.310773;0.0688124;0.276751;0.443145;0.262214;0.295868;0.0010584;0.423769;0.26837;0.350645;0.8685;0.0450307;0.0639659;0.267237;0.808834;0.320425;0.0279851;0.284261;0.335243;0.32315;0.272355;0.25991;0.316814;0.17775;0.314004;0.206175;0.333211;0.234593;0.294696;0.308156;0.0491044;0.314084;0.371191;4.12663;162.765
67;900;0.00117718;6.5536e-07;0.247769;0.33419;0.195312;0.404443;0.221124;0.0471606;0.312077;0.29432;0.0148842;0.298681;0.397334;7.16041;19.3558;0.00172662;57.1439;0.272315;5.93828;0.175645;0.311098;0.222708;0.207954;0.0416428;0.201823;61.0945;1.76872;0.214952;0.254053;0.669189;0.337356;0.505581;0.0614269;0.310367;0.37301;0.342124;0.305085;0.239936;0.322012;0.16178;0.23681;0.309222;0.540544;0.226431;0.371774;0.118005;0.540212;0.432102;0.0146042;0.341767;0.305558;0.239595;0.491363;0.125372;0.921976;0.292125;0.247596;1.79274;0.279285;0.245614;0.125213;0.576393;0.305516;0.341143;0.199489;0.24848;0.274072;0.236949;0.0545109;0.32673;1.03894;0.342163;0.273813;0.314858;0.500531;0.331976;0.329221;0.344205;0.565207;0.133216;0.310374;0.0475918;0.273303;0.434949;0.258295;0.296452;0.00149237;0.426373;0.265585;0.353172;0.877664;0.0432158;0.0637573;0.265802;0.817291;0.320752;0.0248877;0.281058;0.336083;0.323781;0.269693;0.25519;0.321305;0.169046;0.314242;0.194759;0.335561;0.226266;0.293562;0.3134;0.041337;0.314674;0.385311;4.265;162.583
