condition;iter;t;dt;5FTHFabc;ACt;ATPase;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NH3t;O2t;PIabc;RIBFLVabc;THMDabc;URAt2;trdoxt;trdrdt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CTPSDUMP;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCMPDA;DCYTK;DGK1;DGSNK;DNAP;DRPA;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM2;PRPPS;PSSYN;PTAr;PUNP2;PUNP4;PYK2;PYK4;PYK5;PYK6;PYK7;PYK8;PdhC_transl;RBFK;RNAP;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;tRNAP;AATRS;Ribosome
67;0;0;0.01;0.00804327;0.0380889;0.621905;0.0042998;0.361946;0.0251888;0.356052;0.076079;1e-10;5.36374;0.0191147;1e-10;1e-10;0.00178976;2.55489;0.0097849;0.111003;0.0118076;1.29536;0.00385862;0.0584728;0.0858188;0.212976;0.211244;1.04316;0.00902922;0.365006;1.37222;0.0223548;36.8566;2.89679;0.200628;1.41335;0.0679198;1e-10;0.0313724;0.378908;5.43636;0.0656736;0.019229;0.0583719;0.0549323;0.0200622;0.065403;0.0960426;2.12465;0.0217378;0.019977;0.020116;0.213838;0.170969;5.19605;0.202993;4.72751;0.498375;0.00478178;0.298918;26.3123;0.013509;0.35774;0.130317;0.223218;21.322;0.0152603;0.0265771;0.00151853;0.00469667;0.00404661;0.00444426;0.464524;0.0307783;39.9051;40;10.7104;3.90484;27.0551;0.289208;7.85133;5.19694;0.105259;0.0686205;0.094596;0.999584;0.171854;1.1431;0.215751;0.591095;0.1362;0.153347;0.649725;0.0438548;0.0390232;6.7658;0.0118206;0.0384113;0.502052;0.00171315;0.359802;0.239166;0.238282;0.239733;0.238332;0.225858;0.0543697;0.057781;2.36287;0.22576;0.22729;0.226405;0.617484;0.373298;0.00568626;0.692448;36.6883;0.32826
67;100;6.016e-05;6.4e-07;0.00714721;0.0380547;0.621851;0.00445987;0.361923;0.0251643;0.35603;0.0761131;1e-10;5.36375;0.0191488;0.000141325;3.86047e-05;0.00192538;2.55486;0.00975086;0.110969;0.0118417;1.29532;0.00384377;0.0584495;0.085853;0.213011;0.211209;1.04313;0.00900197;0.36505;1.37223;0.0223355;36.8564;2.89685;0.200628;1.41332;0.0676527;1e-10;0.0313724;0.378881;5.43632;0.0656438;0.0191976;0.0583421;0.0548993;0.0200645;0.0654031;0.0960408;2.12466;0.0217046;0.019978;0.0200838;0.213776;0.171012;5.19608;0.203149;4.72756;0.49859;0.0047622;0.298915;26.3123;0.0135119;0.357711;0.130275;0.223218;21.322;0.0152576;0.0265762;0.00149453;0.00466145;0.00404631;0.0043303;0.464602;0.0307753;39.9051;40;10.7103;3.90493;27.0551;0.289208;7.8512;5.19694;0.10525;0.068619;0.094596;0.999582;0.171851;1.14295;0.215756;0.591322;0.136199;0.153347;0.649715;0.0438462;0.0390599;6.76595;0.0118746;0.0384477;0.501894;0.00168488;0.359749;0.239166;0.238328;0.239703;0.238334;0.225782;0.0543364;0.0577509;2.36287;0.22576;0.227292;0.226403;0.617457;0.373299;0.0055275;0.692716;36.6885;0.327465
67;200;0.00018432;1.28e-06;0.006595;0.0380433;0.621822;0.00456601;0.361915;0.0251557;0.356023;0.0761247;1e-10;5.36374;0.01916;0.000304686;6.09243e-05;0.00213122;2.55484;0.00973893;0.110958;0.0118532;1.29531;0.00383812;0.0584412;0.0858644;0.213022;0.211198;1.04311;0.00899466;0.365065;1.37229;0.0223227;36.8564;2.89702;0.200628;1.41324;0.0673241;4.8084e-07;0.0313724;0.378868;5.43629;0.0656347;0.0191854;0.0583323;0.0548883;0.0200702;0.0654035;0.0960349;2.1247;0.0216954;0.0200331;0.0200729;0.213749;0.171098;5.19613;0.203406;4.72764;0.498881;0.00475712;0.298905;26.3122;0.0135161;0.357701;0.130261;0.223217;21.3221;0.0152539;0.026574;0.00147355;0.00460205;0.00404524;0.00413635;0.464717;0.0307708;39.9051;40;10.7103;3.90505;27.0551;0.289207;7.85121;5.19695;0.105224;0.068618;0.0945959;0.999588;0.171843;1.1427;0.215767;0.591471;0.136198;0.153346;0.649695;0.0438305;0.0390667;6.76591;0.0118819;0.0384543;0.501887;0.00167543;0.359678;0.239166;0.238418;0.239658;0.238336;0.225647;0.0543253;0.0577409;2.36283;0.22576;0.227296;0.226398;0.617454;0.373299;0.00551963;0.693113;36.6885;0.326551
67;300;0.00043264;2.56e-06;0.0065411;0.0380595;0.62176;0.00466213;0.361886;0.0251264;0.355994;0.0761089;1.69129e-05;5.36373;0.0191434;0.000504019;7.05423e-05;0.00248148;2.55486;0.00970755;0.110975;0.0118371;1.29529;0.00381023;0.0584123;0.085848;0.213007;0.211215;1.04308;0.00896123;0.365099;1.37243;0.0223082;36.8564;2.89728;0.200632;1.41305;0.0671551;1.37002e-05;0.0313724;0.378846;5.43623;0.0656136;0.019156;0.0583098;0.0548627;0.0200831;0.0654044;0.0960143;2.12479;0.0216754;0.0201437;0.0200479;0.213696;0.171251;5.19619;0.203747;4.72773;0.499224;0.00474567;0.298878;26.3121;0.0135225;0.357679;0.13023;0.223214;21.3222;0.0152486;0.0265691;0.00137249;0.00450974;0.00404054;0.00382036;0.4648;0.0307634;39.905;40.0001;10.7102;3.9052;27.0551;0.289208;7.85119;5.19699;0.105139;0.068619;0.0945957;0.99962;0.171825;1.14231;0.215794;0.591635;0.136195;0.153343;0.649663;0.0438151;0.0390706;6.76589;0.0118885;0.0384581;0.501881;0.00165354;0.359553;0.239165;0.238565;0.239601;0.238332;0.225429;0.0542995;0.0577179;2.36275;0.225759;0.227306;0.226385;0.617446;0.373298;0.00551212;0.693592;36.6885;0.325438
67;400;0.00092928;5.12e-06;0.00652008;0.0380884;0.621651;0.00478088;0.361847;0.025087;0.355955;0.0760818;4.68616e-05;5.36373;0.0191135;0.000787706;0.000101765;0.00268007;2.55489;0.00966647;0.111004;0.0118085;1.29527;0.00377065;0.0583734;0.0858188;0.212979;0.211245;1.04304;0.00891643;0.36515;1.37263;0.0222894;36.8564;2.8976;0.200747;1.41277;0.0671734;0.000212094;0.0313723;0.378833;5.43614;0.0655846;0.0191002;0.0582767;0.0548246;0.0201104;0.0654063;0.0959437;2.12492;0.0216592;0.0203786;0.0200105;0.213611;0.171515;5.19626;0.204249;4.72775;0.499637;0.00473207;0.298809;26.312;0.0135323;0.357645;0.130182;0.223174;21.3222;0.015241;0.0265584;0.00111503;0.00447894;0.00399727;0.00333327;0.464852;0.0307492;39.9049;40.0002;10.7103;3.90536;27.0552;0.289214;7.85114;5.19707;0.104931;0.0686252;0.0945951;0.999711;0.171793;1.14181;0.215849;0.591827;0.136188;0.153336;0.64962;0.0438386;0.0390639;6.76586;0.0118896;0.0384513;0.501876;0.00162093;0.359343;0.239162;0.238787;0.239534;0.2383;0.225078;0.0542612;0.0576838;2.36259;0.225758;0.227326;0.226357;0.617445;0.373264;0.00550393;0.694187;36.6885;0.324076
67;500;0.00115866;2.048e-06;0.00651249;0.0381001;0.621603;0.0048267;0.361833;0.0250731;0.355941;0.0760715;5.89894e-05;5.36373;0.0191014;0.000893502;0.000119325;0.00268149;2.5549;0.0096523;0.111016;0.0117971;1.29526;0.0037562;0.0583597;0.0858071;0.212969;0.211257;1.04303;0.00890083;0.365169;1.3727;0.0222822;36.8564;2.89771;0.200796;1.41267;0.0671868;0.000332213;0.0313723;0.378831;5.43611;0.0655745;0.0190725;0.0582644;0.05481;0.020123;0.0654071;0.0959064;2.12497;0.0216602;0.0204832;0.0199963;0.213576;0.171611;5.19628;0.204435;4.72774;0.499776;0.00472775;0.298773;26.312;0.0135361;0.357632;0.130165;0.223131;21.3222;0.0152381;0.0265536;0.001001;0.00445096;0.00395028;0.00320049;0.464876;0.0307429;39.9049;40.0002;10.7103;3.90541;27.0552;0.289217;7.85111;5.1971;0.10484;0.0686287;0.0945948;0.999755;0.171794;1.14166;0.215875;0.591887;0.136186;0.153333;0.649607;0.0438581;0.0390593;6.76585;0.0118889;0.0384467;0.501875;0.00160853;0.359254;0.239159;0.238872;0.239513;0.238281;0.224938;0.0542467;0.057671;2.36252;0.225757;0.227335;0.226344;0.617446;0.373221;0.00550091;0.694391;36.6885;0.32362
67;600;0.00155187;4.096e-06;0.00650144;0.0381183;0.62152;0.00489856;0.361813;0.0250527;0.355921;0.0760562;7.80415e-05;5.36372;0.0190824;0.00105279;0.00015147;0.00268223;2.55492;0.00963158;0.111035;0.0117794;1.29526;0.00373442;0.0583396;0.0857887;0.212952;0.211276;1.04301;0.00887794;0.365198;1.3728;0.0222709;36.8564;2.89788;0.200877;1.41253;0.067209;0.000540183;0.0313722;0.378826;5.43607;0.0655603;0.0190209;0.0582457;0.0547877;0.020144;0.0654086;0.0958443;2.12503;0.0216722;0.0206525;0.0199745;0.213521;0.171711;5.1963;0.20471;4.72771;0.499972;0.00472172;0.298708;26.3119;0.0135418;0.357612;0.130138;0.22305;21.3222;0.0152337;0.0265455;0.000808484;0.00433635;0.00386337;0.0031204;0.464923;0.0307325;39.9049;40.0002;10.7103;3.90549;27.0552;0.289222;7.85107;5.19713;0.104698;0.0686348;0.0945941;0.999828;0.171849;1.14143;0.215918;0.591945;0.136186;0.153333;0.649591;0.0438894;0.0390511;6.76583;0.0118876;0.0384386;0.501874;0.0015895;0.359112;0.239153;0.238995;0.239487;0.238248;0.224723;0.0542244;0.0576515;2.36242;0.225755;0.227348;0.226321;0.61745;0.373143;0.00549585;0.694687;36.6884;0.322976
67;700;0.00174029;1.6384e-06;0.0064966;0.0381264;0.621481;0.00493163;0.361804;0.025044;0.355912;0.0760497;8.65691e-05;5.36372;0.0190739;0.00112155;0.000167321;0.00268146;2.55493;0.00962278;0.111043;0.0117716;1.29526;0.00372493;0.058331;0.0857805;0.212945;0.211285;1.043;0.00886818;0.365211;1.37284;0.0222658;36.8564;2.89796;0.200912;1.41247;0.0672192;0.000634062;0.0313722;0.378823;5.43605;0.0655547;0.0189946;0.0582375;0.0547779;0.0201537;0.0654092;0.0958159;2.12505;0.0216815;0.020729;0.0199649;0.213497;0.171747;5.19631;0.204825;4.72771;0.500054;0.00471924;0.298678;26.3119;0.0135443;0.357604;0.130126;0.223013;21.3223;0.0152318;0.0265419;0.000717045;0.00428883;0.00382353;0.00308769;0.464947;0.0307277;39.9049;40.0002;10.7103;3.90552;27.0553;0.289223;7.85105;5.19714;0.104636;0.0686376;0.0945936;0.99986;0.171883;1.14133;0.215938;0.591955;0.136188;0.153336;0.649584;0.0439025;0.0390472;6.76582;0.011887;0.0384349;0.501874;0.00158117;0.359048;0.239151;0.23904;0.239477;0.238233;0.224631;0.0542147;0.057643;2.36237;0.225754;0.227353;0.22631;0.617452;0.373108;0.00549334;0.694813;36.6884;0.322713
67;800;0.00205158;3.2768e-06;0.00648902;0.0381391;0.621416;0.00498567;0.361791;0.0250307;0.355899;0.0760399;0.000100007;5.3637;0.0190605;0.0012268;0.000193667;0.00268145;2.55494;0.00960937;0.111056;0.0117594;1.29525;0.0037102;0.0583179;0.0857676;0.212934;0.211298;1.04299;0.00885325;0.365231;1.3729;0.0222575;36.8564;2.89808;0.200967;1.41238;0.0672353;0.000781025;0.0313721;0.378817;5.43603;0.0655466;0.0189499;0.0582251;0.0547628;0.0201694;0.0654103;0.0957715;2.12507;0.0217004;0.0208495;0.0199502;0.213458;0.171801;5.19631;0.204999;4.7277;0.500174;0.00471556;0.298629;26.3119;0.0135481;0.35759;0.130108;0.222956;21.3223;0.0152289;0.0265365;0.000568484;0.00421884;0.00376112;0.00303965;0.464986;0.0307201;39.9049;40.0002;10.7104;3.90557;27.0553;0.289222;7.85103;5.19716;0.104542;0.0686422;0.0945928;0.999907;0.171938;1.14118;0.21597;0.591959;0.136196;0.153343;0.649576;0.0439217;0.0390411;6.76581;0.011886;0.0384289;0.501872;0.00156827;0.358946;0.23915;0.239076;0.239462;0.238224;0.224507;0.0541996;0.0576299;2.36231;0.225752;0.227361;0.226293;0.617455;0.373054;0.00548895;0.695004;36.6884;0.322327
67;900;0.00224819;1.31072e-06;0.00648443;0.0381469;0.621374;0.00501958;0.361783;0.0250228;0.355891;0.0760343;0.000108143;5.3637;0.0190524;0.00128872;0.000210261;0.00268144;2.55495;0.00960147;0.111064;0.011752;1.29525;0.00370138;0.0583101;0.0857598;0.212928;0.211306;1.04298;0.00884444;0.365243;1.37293;0.0222523;36.8564;2.89815;0.201001;1.41233;0.0672451;0.00086874;0.0313721;0.378813;5.43602;0.0655422;0.0189212;0.0582177;0.0547538;0.020179;0.0654109;0.0957451;2.12509;0.021714;0.020922;0.0199414;0.213435;0.171834;5.19632;0.205099;4.72769;0.500243;0.00471343;0.298599;26.3119;0.0135503;0.357582;0.130097;0.222922;21.3223;0.0152272;0.0265337;0.000476916;0.00417966;0.00372397;0.00301286;0.465011;0.0307154;39.9049;40.0002;10.7104;3.9056;27.0553;0.28922;7.85101;5.19717;0.104487;0.0686449;0.0945922;0.999932;0.171971;1.14108;0.215989;0.591958;0.136204;0.15335;0.649571;0.0439326;0.0390375;6.7658;0.0118854;0.0384253;0.501872;0.00156057;0.358886;0.239141;0.239075;0.239453;0.238232;0.22445;0.0541906;0.0576221;2.36227;0.225751;0.227364;0.226282;0.617456;0.373023;0.00548597;0.695118;36.6884;0.322108
