condition;iter;t;dt;5FTHFabc;ACt;ATPase;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NH3t;O2t;PIabc;RIBFLVabc;THMDabc;URAt2;trdoxt;trdrdt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CTPSDUMP;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCMPDA;DCYTK;DGK1;DGSNK;DNAP;DRPA;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM2;PRPPS;PSSYN;PTAr;PUNP2;PUNP4;PYK2;PYK4;PYK5;PYK6;PYK7;PYK8;PdhC_transl;RBFK;RNAP;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;tRNAP;AATRS;Ribosome
67;0;0;0.01;0.000324375;1.12133e-12;2.29769;0.00266628;0.0654449;0.00371095;0.0695692;4.92227e-14;3.92717e-21;0.148745;5.37969e-14;9.81341e-21;1.75575e-19;3.53542e-06;5.37933e-11;0.00186713;1.21715e-11;6.514e-13;0.0227247;0.00236359;0.00270968;1.72867e-12;3.28084e-14;3.25369e-14;0.0409519;0.000293902;0.00160498;0.00106394;1.86428e-05;0.0190482;0.0212286;0.00706192;0.00921908;0.000700113;2.71892e-12;4.97637e-05;0.226149;0.894227;2.94219e-05;0.000343149;0.000380012;0.00350725;4.01212e-05;1.61575e-06;0.000805169;0.0568345;0.00152479;0.00047417;0.00133928;0.00036546;0.0107569;0.298311;0.0050045;0.552117;0.00410518;9.67445e-05;0.000180808;1.21555;0.0011143;0.0194303;4.28546e-05;0.015833;0.112927;0.00049599;0.000270573;0.000115577;0.00128076;0.000275541;0.000313294;0.0177575;0.000141141;0.333485;0.417262;1.85047;0.0855718;0.141817;0.00143213;0.0352477;0.193522;0.000170885;6.15506e-05;0.00010151;0.0298588;0.170458;1.06815;5.1424e-06;0.00342768;0.00102659;0.00384742;0.114263;2.3264e-11;0.00736991;1.38666;0.0025091;0.00720462;4.22631e-05;6.21885e-05;0.000872097;0.00706684;0.000631975;0.032594;0.0333618;0.0335198;0.00187038;0.00180189;1.34213;0.00151961;0.000143867;0.000652103;0.0487417;0.00635382;2.94895e-05;0.00319642;0.52408;153.391
67;100;6.272e-05;6.4e-07;0.000907019;3.97039e-12;7.26772;0.00844809;0.207015;0.0117268;0.220061;1.75378e-13;1.39196e-20;0.526051;1.93324e-13;1.04479e-13;2.54182e-13;1.2336e-05;1.90664e-10;0.00588456;4.31264e-11;2.31646e-12;0.0718853;0.00744424;0.00856792;6.1293e-12;1.16308e-13;1.15303e-13;0.129542;0.00105612;0.016232;0.00379901;6.60379e-05;0.0143867;0.0719645;0.0254548;0.0324089;0.00250278;7.13315e-07;0.000176225;0.703974;2.82408;8.77508e-05;0.00104763;0.0012476;0.0108589;0.000142197;5.71491e-06;0.00298639;0.201466;0.0047174;0.00146757;0.00414145;0.00116164;0.0382729;1.06477;0.0149509;1.96804;0.00504045;0.000320761;0.000647338;4.19681;0.00394303;0.060123;0.000136802;0.0567768;0.407199;0.00173303;0.000958711;0.000289723;0.00377023;0.00101171;0.000954253;0.0654301;0.000500961;1.17024;1.36923;5.52988;0.307098;1.40409;0.00512004;0.125412;0.684975;0.000618715;0.000216018;0.00036137;0.101869;0.605439;2.96272;1.82452e-05;0.0123672;0.00366335;0.0137263;0.40512;8.27061e-11;0.0260843;4.89715;0.0088807;0.0254891;3.45995e-05;0.000196176;0.00299624;0.025122;0.00226681;0.114449;0.116603;0.111137;0.00616937;0.00555662;4.75056;0.00529898;0.000510659;0.00231124;0.128244;0.0228078;2.2656e-05;0.010993;6.10864;115.375
67;200;0.00018624;1.28e-06;0.00127167;5.9748e-12;10.7035;0.0125019;0.304875;0.0172624;0.32409;2.6326e-13;3.75886e-15;0.786257;2.89134e-13;3.74963e-13;3.32253e-13;2.85487e-05;2.86798e-10;0.00865629;6.48799e-11;3.4797e-12;0.105872;0.0109242;0.0126158;9.21837e-12;1.74938e-13;1.73453e-13;0.190786;0.00474113;0.0162937;0.00579182;9.90753e-05;0.012116;0.130457;0.0405545;0.0472033;0.003834;7.84536e-06;0.000263713;1.05772;4.13517;0.000126262;0.00154047;0.00185158;0.015917;0.000213743;8.49343e-06;0.00500328;0.304728;0.0069176;0.00216179;0.006065;0.00177544;0.0585762;1.61904;0.0218562;3.01561;0.00535399;0.000477535;0.000989948;5.12412;0.00592226;0.0882293;0.000201686;0.088913;0.69428;0.00257612;0.00144135;0.000526286;0.0058151;0.00170867;0.00127162;0.12609;0.000767672;1.55707;1.703;7.6693;0.492582;1.42473;0.00777091;0.195171;1.03655;0.00103366;0.000325811;0.000547042;0.149625;0.91661;4.05922;2.76004e-05;0.0164916;0.00520834;0.0195061;0.605699;1.24058e-10;0.0389339;7.23777;0.0132416;0.0380455;2.98284e-05;0.000285498;0.00530784;0.0382496;0.00358548;0.169399;0.170713;0.144787;0.0091614;0.00814985;7.04729;0.00803469;0.000776256;0.00347585;0.181712;0.0358902;1.87748e-05;0.0195034;4.96617;96.6181
67;300;0.00043328;2.56e-06;0.00159119;7.59144e-12;13.3879;0.0158241;0.381325;0.0215741;0.405358;3.31695e-13;1.93966e-14;0.991575;3.59693e-13;8.3478e-13;2.65476e-13;0.000704474;3.63887e-10;0.0108098;8.23558e-11;4.39475e-12;0.132432;0.0135606;0.0157742;1.16902e-11;2.219e-13;2.20128e-13;0.238643;0.00443016;0.0160259;0.00753808;0.000124878;0.0104784;0.205971;0.0636719;0.0556163;0.00502215;7.46734e-05;0.00033174;1.30825;5.09372;0.000153245;0.00195797;0.00232778;0.0198246;0.000276304;1.05416e-05;0.00872673;0.39684;0.00862139;0.00272507;0.00754382;0.00250666;0.0804586;2.05252;0.027395;3.90404;0.00538698;0.000602512;0.00125368;5.57351;0.00750378;0.110275;0.00025218;0.131578;0.92028;0.00323695;0.00182753;0.00060685;0.0191745;0.0031256;0.0013611;0.169278;0.0010059;1.55592;1.66594;9.1177;0.644978;1.41336;0.00998938;0.277469;1.33745;0.0013394;0.000418958;0.000702353;0.188353;1.16886;4.76989;3.5804e-05;0.0188577;0.00626654;0.023457;0.766012;1.57384e-10;0.0489348;8.96512;0.016601;0.0478362;2.6223e-05;0.000349503;0.0104251;0.0503197;0.00533937;0.214412;0.213061;0.161905;0.0115187;0.0101628;8.70097;0.010545;0.00103334;0.00440672;0.222536;0.0540321;1.60219e-05;0.0383806;3.97386;82.9744
67;400;0.00054848;2.048e-07;0.00166848;7.98883e-12;14.0384;0.0166912;0.399848;0.0226157;0.425048;3.47934e-13;2.64648e-14;1.04175;3.75347e-13;1.01175e-12;3.17316e-13;0.00553681;3.82725e-10;0.0113288;8.66343e-11;4.61397e-12;0.13887;0.0141784;0.0165385;1.22929e-11;2.33363e-13;2.31546e-13;0.250241;0.00437386;0.0159283;0.00801377;0.000130973;0.0100755;0.21213;0.0658421;0.0565589;0.00534859;0.000119325;0.000347862;1.35378;5.31202;0.000159075;0.00207482;0.0024435;0.0207665;0.000295322;1.09923e-05;0.0112548;0.423525;0.00903427;0.00287024;0.00789853;0.00279538;0.0922317;2.1521;0.0287832;4.0924;0.00536652;0.00063318;0.00131272;5.67285;0.00788899;0.115804;0.000264346;0.136547;0.963392;0.00339531;0.00192172;0.000584091;0.0353389;0.00314308;0.00138899;0.174839;0.00106803;1.56642;1.75343;9.45035;0.665487;1.41222;0.0106283;0.307505;1.41091;0.00133969;0.000443163;0.000743285;0.199216;1.22932;4.9248;3.81988e-05;0.0195161;0.00651251;0.0243746;0.80491;1.3244e-05;0.0513235;9.37549;0.017392;0.0501837;2.5309e-05;0.000363531;0.0143434;0.0542262;0.00626929;0.22667;0.2232;0.165251;0.0120905;0.0106494;9.07884;0.0112791;0.00111966;0.00463282;0.23357;0.0560116;1.5349e-05;0.0528424;3.71717;79.5936
67;500;0.00058432;4.096e-07;0.00168812;8.09047e-12;14.2037;0.0169184;0.404558;0.0228802;0.430055;3.52033e-13;2.85875e-14;1.05464;3.79186e-13;1.06294e-12;3.44139e-13;0.00569131;3.87532e-10;0.0114604;8.7727e-11;4.66949e-12;0.140506;0.0143331;0.0167327;1.24466e-11;2.36288e-13;2.34461e-13;0.253191;0.00435618;0.0158951;0.00814081;0.000132511;0.00997258;0.212478;0.0662737;0.0566877;0.00543578;0.000136043;0.000351931;1.36447;5.36681;0.000160483;0.00210615;0.00247296;0.0210056;0.000300756;1.11024e-05;0.0119048;0.430785;0.0091395;0.00290821;0.0079884;0.00287794;0.0969383;2.1771;0.0291403;4.13755;0.00535991;0.000641013;0.00132784;5.69699;0.00798719;0.117227;0.000267432;0.13762;0.974494;0.00343548;0.00194574;0.000576483;0.0350873;0.00313497;0.00139854;0.176384;0.00108363;1.56839;1.78481;9.5333;0.66951;1.41225;0.0108148;0.315583;1.42872;0.00133425;0.000449487;0.000754348;0.202319;1.24494;4.96275;3.88683e-05;0.0197036;0.00657486;0.0246072;0.814716;2.8512e-05;0.0519307;9.48148;0.017592;0.0507816;2.50745e-05;0.000366944;0.0154941;0.0554011;0.00661435;0.23;0.225753;0.166045;0.012236;0.010773;9.17309;0.0114841;0.00114501;0.00469034;0.236482;0.0564296;1.51776e-05;0.057093;3.65112;78.7281
67;600;0.000656;8.192e-07;0.00172285;8.27149e-12;14.4967;0.0173301;0.4129;0.0233482;0.438922;3.59272e-13;3.27281e-14;1.07766;3.85833e-13;1.16079e-12;4.10931e-13;0.00584815;3.96081e-10;0.011693;8.96709e-11;4.76775e-12;0.143406;0.0146043;0.0170766;1.27197e-11;2.41487e-13;2.39646e-13;0.258416;0.00432717;0.015818;0.00837384;0.000135223;0.00979005;0.212814;0.0670213;0.0567918;0.00559558;0.00017864;0.000359115;1.38277;5.46342;0.000162886;0.00216324;0.00252521;0.0214287;0.000311222;1.12922e-05;0.0126513;0.444157;0.00932634;0.00297685;0.00814717;0.00302978;0.107212;2.22116;0.029777;4.21568;0.00534715;0.000654936;0.00135525;5.73905;0.00816167;0.119767;0.000272891;0.139491;0.993522;0.00350666;0.00198846;0.00055958;0.0345776;0.00311642;0.00141474;0.179008;0.00111084;1.58364;1.82811;9.6784;0.675777;1.41227;0.0111842;0.329639;1.45904;0.00132014;0.000460906;0.000774916;0.208551;1.2738;5.02833;4.01405e-05;0.0200724;0.00668583;0.0250212;0.831917;7.42013e-05;0.0530064;9.6719;0.0179448;0.0518425;2.4658e-05;0.000372803;0.0171257;0.0577934;0.00743499;0.236222;0.23029;0.167438;0.0124939;0.0109917;9.3385;0.0118759;0.00119465;0.00479242;0.24175;0.0571576;1.48743e-05;0.0631296;3.53354;77.19
67;700;0.00079936;1.6384e-06;0.00177883;8.56649e-12;14.9698;0.0180229;0.426375;0.0241027;0.453247;3.70889e-13;4.05971e-14;1.11515;3.9608e-13;1.3409e-12;5.89974e-13;0.00604335;4.09975e-10;0.0120672;9.28331e-11;4.92597e-12;0.148091;0.0150328;0.0176316;1.31632e-11;2.49932e-13;2.48077e-13;0.266858;0.00427136;0.0156469;0.00877739;0.000139575;0.00949441;0.213335;0.0684843;0.0565798;0.0058714;0.00136214;0.000370626;1.41068;5.61907;0.000166467;0.00225814;0.00260978;0.0221115;0.00033122;1.15817e-05;0.0127715;0.466835;0.00963042;0.00309283;0.00840271;0.00327703;0.118927;2.2913;0.0308171;4.33878;0.0053236;0.000677557;0.00140312;5.80836;0.00844483;0.123933;0.000281679;0.1429;1.02267;0.00362155;0.00205787;0.000520993;0.0335456;0.00309866;0.00143941;0.18274;0.00115444;1.62126;1.87965;9.9081;0.684123;1.41372;0.011928;0.349427;1.50481;0.00128684;0.000480044;0.000810928;0.222902;1.32602;5.13082;4.2517e-05;0.0208107;0.00686853;0.0257034;0.858673;0.000193707;0.0547249;9.98497;0.0185034;0.0535428;2.39817e-05;0.000381645;0.0181963;0.06322;0.0100182;0.24759;0.23762;0.169704;0.0129109;0.0113441;9.60269;0.0126366;0.00129169;0.0049576;0.250626;0.0585111;1.43848e-05;0.0671227;3.34022;74.6905
67;800;0.00108608;3.2768e-06;0.0018578;8.97504e-12;15.6302;0.0190714;0.445187;0.0251545;0.473245;3.86418e-13;5.50392e-14;1.16621;4.08415e-13;1.64846e-12;1.06417e-12;0.00278456;4.29098e-10;0.0125894;9.71937e-11;5.13912e-12;0.154634;0.0156138;0.0184061;1.37721e-11;2.61543e-13;2.59693e-13;0.278648;0.00410018;0.0155453;0.00942033;0.000145571;0.00907078;0.236771;0.0736407;0.0552192;0.00630787;0.00452588;0.000385853;1.44961;5.83802;0.000170836;0.00238309;0.00272725;0.0230726;0.000369831;1.19142e-05;0.0124643;0.497129;0.0100682;0.00327408;0.00876076;0.00363695;0.125236;2.3829;0.0323283;4.50294;0.00527475;0.000709317;0.00149588;5.91043;0.00883307;0.130057;0.000293875;0.15223;1.0576;0.00377659;0.0021537;0.000436834;0.0332519;0.00327327;0.00148464;0.185218;0.00121955;1.68062;1.93005;10.2265;0.692384;1.44237;0.013428;0.368509;1.56462;0.00121837;0.000508616;0.000866054;0.247709;1.40227;5.29377;4.7008e-05;0.0225067;0.00714825;0.0267503;0.891319;0.00044722;0.0569521;10.4109;0.0192123;0.0557653;2.29914e-05;0.00039243;0.018429;0.0833562;0.0214588;0.267993;0.247636;0.172521;0.0134882;0.0118382;9.95712;0.0146412;0.00147332;0.00518272;0.265277;0.0624887;1.36803e-05;0.0680597;3.05806;71.0879
67;900;0.00117718;6.5536e-07;0.00187686;9.07482e-12;15.7904;0.019342;0.449752;0.025409;0.478097;3.90111e-13;5.92632e-14;1.17849;4.11063e-13;1.73508e-12;1.23897e-12;0.00631237;4.33744e-10;0.0127154;9.82549e-11;5.19003e-12;0.156222;0.0157494;0.0185938;1.39198e-11;2.64362e-13;2.62518e-13;0.281509;0.00407029;0.015506;0.00960406;0.000147025;0.00896659;0.238048;0.0745608;0.0546801;0.00643087;0.00328869;0.000389386;1.45906;5.89159;0.000171636;0.0024087;0.00275573;0.0233066;0.00038248;1.19783e-05;0.0123967;0.503605;0.0101771;0.00332326;0.00884731;0.00374023;0.12671;2.40439;0.0326978;4.54293;0.00526131;0.00071708;0.00153087;5.94131;0.00892705;0.131631;0.000296789;0.15395;1.06554;0.0038136;0.0021774;0.000410839;0.0328011;0.00327899;0.00149666;0.18542;0.00123743;1.68142;1.94372;10.3062;0.694113;1.45064;0.0139183;0.372266;1.5794;0.00119839;0.000516228;0.000880668;0.251639;1.42023;5.33872;4.84802e-05;0.0230775;0.00722084;0.0270226;0.898555;0.000530297;0.057464;10.5121;0.0193721;0.0562798;2.27463e-05;0.000394469;0.0184463;0.0903428;0.0239589;0.273529;0.250842;0.173379;0.0136278;0.0119578;10.0429;0.0159207;0.00152874;0.00523696;0.269348;0.063212;1.35074e-05;0.0681455;2.98795;70.197
