condition;iter;t;dt;mu;doubling_time;density;consistent;mu_diff
70;0;0;0.01;0.122181;6.01302;1;1;0
70;100;6.016e-05;6.4e-07;0.246102;3.15038;1;1;0
70;200;0.00018432;1.28e-06;0.288057;2.73825;1;1;0
70;300;0.00043264;2.56e-06;0.315088;2.53062;1;1;0
70;400;0.000731648;1.024e-06;0.327731;2.44521;1;1;0
70;500;0.000882176;2.048e-06;0.331653;2.42003;1;1;0
70;600;0.00118323;4.096e-06;0.336989;2.3867;1;1;0
70;700;0.00147569;1.6384e-06;0.340532;2.36515;1;1;0
70;800;0.00171489;3.2768e-06;0.342752;2.35187;1;1;0
70;900;0.00196655;1.31072e-06;0.344642;2.3407;1;1;0
70;1000;0.00215267;2.62144e-06;0.345838;2.3337;1;1;0
70;1100;0.0023519;1.04858e-06;0.346962;2.32716;1;1;0
70;1200;0.0024987;2.09715e-06;0.347708;2.32284;1;1;0
70;1300;0.00272436;8.38861e-07;0.348745;2.31687;1;1;0
70;1400;0.00282418;1.67772e-06;0.349167;2.31444;1;1;0
70;1500;0.00302383;3.35544e-06;0.349955;2.30994;1;1;0
70;1600;0.00327817;6.71089e-07;0.350862;2.30478;1;1;0
70;1700;0.00336474;1.34218e-06;0.35115;2.30315;1;1;0
70;1800;0.00353788;2.68435e-06;0.351697;2.30006;1;1;0
70;1900;0.00376283;1.07374e-06;0.352357;2.29634;1;1;0
70;2000;0.0038992;2.14748e-06;0.352731;2.29423;1;1;0
70;2100;0.00414702;8.58993e-07;0.353369;2.29066;1;1;0
70;2200;0.00423807;1.71799e-06;0.35359;2.28942;1;1;0
70;2300;0.00442018;3.43597e-06;0.354014;2.28706;1;1;0
70;2400;0.00454868;6.87195e-07;0.354299;2.28547;1;1;0
70;2500;0.00467032;1.37439e-06;0.354559;2.28403;1;1;0
70;2600;0.00491358;2.74878e-06;0.355049;2.28131;1;1;0
70;2700;0.00500385;2.19902e-07;0.355226;2.28033;1;1;0
70;2800;0.0050419;4.39805e-07;0.355299;2.27993;1;1;0
70;2900;0.00511798;8.79609e-07;0.355441;2.27914;1;1;0
70;3000;0.00527016;1.75922e-06;0.355717;2.27761;1;1;0
70;3100;0.00544713;7.03687e-07;0.356024;2.27592;1;1;0
70;3200;0.00554846;1.40737e-06;0.356194;2.27498;1;1;0
70;3300;0.00575113;2.81475e-06;0.35652;2.27319;1;1;0
70;3400;0.00595717;1.1259e-06;0.356835;2.27146;1;1;0
70;3500;0.00611817;2.2518e-06;0.357069;2.27018;1;1;0
70;3600;0.00632759;9.0072e-07;0.35736;2.26859;1;1;0
70;3700;0.00644468;1.80144e-06;0.357516;2.26773;1;1;0
70;3800;0.00667238;7.20576e-07;0.357805;2.26615;1;1;0
70;3900;0.00674516;1.44115e-06;0.357894;2.26567;1;1;0
70;4000;0.00689072;2.8823e-06;0.358067;2.26473;1;1;0
70;4100;0.00704694;5.76461e-07;0.358245;2.26376;1;1;0
70;4200;0.00713687;1.15292e-06;0.358344;2.26322;1;1;0
70;4300;0.00731672;2.30584e-06;0.358533;2.26219;1;1;0
70;4400;0.00749473;9.22337e-07;0.35871;2.26123;1;1;0
70;4500;0.00763124;1.84467e-06;0.358839;2.26053;1;1;0
70;4600;0.00783858;7.3787e-07;0.359026;2.25951;1;1;0
70;4700;0.00792786;1.47574e-06;0.359104;2.25909;1;1;0
70;4800;0.00810643;2.95148e-06;0.359256;2.25827;1;1;0
70;4900;0.00821445;5.90296e-07;0.359345;2.25779;1;1;0
70;5000;0.00831952;1.18059e-06;0.359428;2.25734;1;1;0
70;5100;0.00852967;2.36118e-06;0.359585;2.25649;1;1;0
70;5200;0.00866567;9.44473e-07;0.35968;2.25598;1;1;0
70;5300;0.00883001;1.88895e-06;0.359791;2.25538;1;1;0
70;5400;0.00900682;7.55579e-07;0.359906;2.25475;1;1;0
70;5500;0.0091194;1.51116e-06;0.359978;2.25437;1;1;0
70;5600;0.00931736;6.04463e-07;0.360101;2.25371;1;1;0
70;5700;0.00932418;1.93428e-10;0.360105;2.25368;1;1;0
70;5800;0.0093242;7.73713e-11;0.360105;2.25368;1;1;0
70;5900;0.00932421;1.54743e-10;0.360105;2.25368;1;1;0
70;6000;0.00932422;2.47588e-12;0.360105;2.25368;1;1;0
70;6100;0.00932422;4.95176e-12;0.360105;2.25368;1;1;0
70;6200;0.00932422;9.90352e-12;0.360105;2.25368;1;1;0
70;6300;0.00932422;1.9807e-11;0.360105;2.25368;1;1;0
70;6400;0.00932422;3.96141e-11;0.360105;2.25368;1;1;0
70;6500;0.00932423;7.92282e-11;0.360105;2.25368;1;1;0
70;6600;0.00932424;1.58456e-10;0.360105;2.25368;1;1;0
70;6700;0.00932425;6.33825e-11;0.360105;2.25368;1;1;0
70;6800;0.00932426;1.26765e-10;0.360105;2.25368;1;1;0
70;6900;0.00932428;2.5353e-10;0.360105;2.25368;1;1;0
70;7000;0.0093243;1.01412e-10;0.360105;2.25368;1;1;0
70;7100;0.00932431;2.02824e-10;0.360105;2.25368;1;1;0
70;7200;0.00932434;8.11296e-11;0.360105;2.25368;1;1;0
70;7300;0.00932435;1.62259e-10;0.360105;2.25368;1;1;0
70;7500;0.00932437;6.49037e-11;0.360105;2.25368;1;1;0
70;7600;0.00932439;1.29807e-10;0.360105;2.25368;1;1;0
70;7700;0.00932441;2.59615e-10;0.360105;2.25368;1;1;0
70;7800;0.00932443;1.03846e-10;0.360105;2.25368;1;1;0
70;7900;0.00932445;2.07692e-10;0.360105;2.25368;1;1;0
70;8000;0.00932446;8.30767e-11;0.360105;2.25368;1;1;0
70;8100;0.00932447;1.66153e-10;0.360105;2.25368;1;1;0
70;8200;0.00932448;6.64614e-11;0.360105;2.25368;1;1;0
70;8300;0.00932449;1.32923e-10;0.360105;2.25368;1;1;0
70;8400;0.00932452;2.65846e-10;0.360105;2.25368;1;1;0
70;8500;0.00932453;1.06338e-10;0.360105;2.25368;1;1;0
70;8600;0.00932455;2.12676e-10;0.360105;2.25368;1;1;0
70;8700;0.00932457;8.50706e-11;0.360105;2.25368;1;1;0
70;8800;0.00932458;1.70141e-10;0.360105;2.25368;1;1;0
70;8900;0.00932459;6.80565e-11;0.360105;2.25368;1;1;0
70;9000;0.0093246;1.36113e-10;0.360105;2.25368;1;1;0
70;9100;0.00932462;2.72226e-10;0.360105;2.25368;1;1;0
70;9200;0.00932464;1.0889e-10;0.360105;2.25368;1;1;0
70;9300;0.00932466;2.17781e-10;0.360105;2.25368;1;1;0
70;9400;0.00932467;8.71123e-11;0.360105;2.25368;1;1;0
70;9500;0.00932469;1.74225e-10;0.360105;2.25368;1;1;0
70;9600;0.00932472;3.48449e-10;0.360105;2.25368;1;1;0
70;9700;0.00932473;6.96898e-11;0.360105;2.25368;1;1;0
70;9800;0.00932474;1.3938e-10;0.360105;2.25368;1;1;0
70;9900;0.00932477;2.78759e-10;0.360105;2.25368;1;1;0
70;10000;0.00932479;1.11504e-10;0.360105;2.25368;1;1;0
70;10100;0.0093248;2.23007e-10;0.360105;2.25368;1;1;0
70;10200;0.00932484;4.46015e-10;0.360105;2.25368;1;1;0
70;10300;0.0093249;1.78406e-10;0.360105;2.25368;1;1;0
70;10400;0.00932491;1.1418e-13;0.360105;2.25368;1;1;0
70;10500;0.00932491;2.2836e-13;0.360105;2.25368;1;1;0
70;10600;0.00932491;4.56719e-13;0.360105;2.25368;1;1;0
70;10700;0.00932491;9.13439e-13;0.360105;2.25368;1;1;0
70;10800;0.00932491;1.82688e-12;0.360105;2.25368;1;1;0
70;10900;0.00932491;3.65375e-12;0.360105;2.25368;1;1;0
70;11000;0.00932491;7.30751e-12;0.360105;2.25368;1;1;0
70;11100;0.00932491;1.4615e-11;0.360105;2.25368;1;1;0
70;11200;0.00932491;2.923e-11;0.360105;2.25368;1;1;0
70;11300;0.00932492;5.84601e-11;0.360105;2.25368;1;1;0
70;11400;0.00932492;1.1692e-10;0.360105;2.25368;1;1;0
70;11500;0.00932494;2.3384e-10;0.360105;2.25368;1;1;0
70;11600;0.00932496;9.35361e-11;0.360105;2.25368;1;1;0
70;11700;0.00932497;1.87072e-10;0.360105;2.25368;1;1;0
70;11800;0.00932499;7.48289e-11;0.360105;2.25368;1;1;0
70;11900;0.009325;1.49658e-10;0.360105;2.25368;1;1;0
70;12000;0.00932501;2.99316e-10;0.360105;2.25368;1;1;0
