condition;iter;t;dt;5FTHFabc;ACt;ATPase;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NH3t;O2t;PIabc;RIBFLVabc;THMDabc;URAt2;trdoxt;trdrdt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CTPSDUMP;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCMPDA;DCYTK;DGK1;DGSNK;DNAP;DRPA;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM2;PRPPS;PSSYN;PTAr;PUNP2;PUNP4;PYK2;PYK4;PYK5;PYK6;PYK7;PYK8;PdhC_transl;RBFK;RNAP;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;tRNAP;AATRS;Ribosome
70;0;0;0.01;0.402992;1.63812;29.7905;0.240281;19.095;1.14376;19.6266;0.321206;4.30078e-09;244.096;0.120524;4.30078e-09;4.30078e-09;0.0769738;117.878;0.450906;5.04262;0.50707;65.9962;0.165951;2.57349;4.75121;9.19398;9.11946;42.9476;0.466944;15.6981;4.5595;0.961431;1582.08;145.157;10.9655;4.65966;0.267073;4.30078e-09;0.0871553;21.5069;246.893;0.0784051;0.891928;2.57327;2.41946;0.0582875;0.0390898;0.291075;96.489;0.993886;0.922614;0.922764;9.19671;9.45045;239.722;0.814245;217.66;21.4501;0.260322;0.522115;1213.89;0.581459;20.0501;0.567701;12.4935;983.736;0.656776;1.07945;0.119856;0.257289;0.197796;0.230291;19.9464;0.0807047;1716.23;1720.31;493.113;182.276;1262.16;16.2275;379.021;239.761;0.220367;0.141292;0.245159;46.561;9.48851;63.2836;0.255985;25.4217;7.41763;8.55523;23.798;4.30078e-09;1.72164;326.594;0.552569;1.69545;21.5921;0.0736787;15.4743;13.2226;13.1845;13.247;13.1867;12.4569;2.39564;2.54835;108.792;9.74599;0.360489;0.322429;34.2944;20.7155;7.21397;43.0438;1587.87;20.4587
70;100;6.016e-05;6.4e-07;0.727373;3.29668;60.0005;0.485767;38.46;2.30174;39.5308;0.649893;8.6628e-09;491.668;0.24564;0.0233938;0.00341726;0.166198;237.432;0.905359;10.1542;1.02424;132.931;0.333007;5.18166;9.57294;18.5218;18.3659;86.5047;0.938471;31.6254;9.18433;1.93634;3186.66;292.401;22.0871;9.38538;0.54061;0.00227061;0.17555;43.3172;497.298;0.154083;1.79255;5.17939;4.86917;0.117631;0.0787534;0.586276;194.353;1.99768;1.85676;1.85455;18.5218;19.042;482.861;1.63596;438.426;43.2535;0.522867;1.05079;2445.06;1.1717;40.3819;1.13817;25.1648;1981.49;1.3224;2.17428;0.238314;0.504913;0.398353;0.436193;40.1875;0.163955;3456.9;3465.12;993.239;367.156;2542.29;32.686;763.44;482.935;0.442919;0.285748;0.493807;93.797;19.1116;127.435;0.516078;51.2064;14.9373;17.2289;47.9345;8.6628e-09;3.46687;657.835;1.11204;3.4141;43.4734;0.144804;31.1592;26.6334;26.5629;26.6798;26.561;25.0817;4.82115;5.12915;219.134;19.6307;0.726115;0.649438;69.0736;41.726;14.5122;86.7548;3198.37;41.0589
70;200;0.00018432;1.28e-06;0.801907;3.85927;70.2274;0.573486;45.0165;2.69409;46.2698;0.76018;0.000617149;575.485;0.286898;0.0577428;0.00538077;0.224234;277.909;1.05976;11.8858;1.19827;155.597;0.389595;6.06497;11.2043;21.6787;21.4974;101.253;1.09902;37.0204;10.7513;2.26581;3729.9;342.285;25.8531;10.9844;0.6383;0.0088966;0.205473;50.6992;582.073;0.177845;2.09524;6.0599;5.6965;0.138525;0.0922426;0.686138;227.492;2.3358;2.17733;2.16802;21.6795;22.303;565.183;1.91214;513.18;50.6828;0.612555;1.22625;2861.87;1.37218;47.2637;1.32873;29.4544;2319.3;1.54707;2.54494;0.271764;0.573828;0.465788;0.467133;47.0529;0.195025;4046.21;4055.84;1162.56;429.765;2975.69;38.2582;893.596;565.266;0.51342;0.337048;0.577987;109.813;22.3677;149.106;0.605772;59.9402;17.4771;20.1596;56.1066;1.01396e-08;4.0552;769.969;1.29885;3.99341;50.8813;0.167142;36.4574;31.1737;31.1055;31.2224;31.0887;29.3365;5.64027;6.00105;256.486;22.9772;0.849921;0.760113;80.8474;48.8391;16.9827;101.617;3743.62;47.8803
70;300;0.00043264;2.56e-06;0.877999;4.22588;76.8128;0.634667;49.2396;2.94572;50.6104;0.827291;0.00521565;629.491;0.309281;0.101783;0.00676726;0.297341;303.993;1.15855;13.0057;1.30629;170.205;0.424271;6.63287;12.2513;23.7087;23.5193;110.757;1.20133;40.4997;11.7631;2.47723;4079.91;374.446;28.2948;12.0126;0.706306;0.043661;0.224744;55.4498;636.688;0.190896;2.28687;6.62506;6.22708;0.153792;0.101071;0.750274;248.855;2.55234;2.39075;2.36756;23.714;24.4218;618.224;2.08758;561.343;55.5037;0.6708;1.33149;3130.42;1.50194;51.6954;1.44841;32.2117;2536.94;1.69119;2.78377;0.270436;0.619224;0.502233;0.450192;51.4733;0.217756;4425.9;4436.46;1271.65;470.114;3254.93;41.8499;977.462;618.316;0.544553;0.372409;0.632218;120.153;24.4612;163.041;0.667246;65.5748;19.1098;22.0443;61.3751;1.10911e-08;4.43051;842.205;1.41536;4.36288;55.6525;0.179416;39.8584;34.0988;34.0478;34.1451;34.004;32.0546;6.16555;6.56061;280.539;25.1332;0.929733;0.831337;88.4332;53.4157;18.5725;111.241;4094.93;52.1593
70;400;0.000731648;1.024e-06;0.913512;4.39969;79.8881;0.668433;51.2141;3.06278;52.6399;0.856582;0.00979307;654.754;0.317323;0.13922;0.00997121;0.309262;316.195;1.20442;13.5319;1.35451;177.039;0.439433;6.89785;12.7386;24.656;24.4674;115.203;1.24868;42.1294;12.2386;2.57532;4243.62;389.505;29.4447;12.4915;0.741808;0.0850377;0.233747;57.6664;662.23;0.195434;2.37278;6.88793;6.47353;0.163035;0.105359;0.781587;258.853;2.65423;2.49705;2.45921;24.6671;25.4234;643.031;2.16787;583.865;57.7813;0.698409;1.37578;3256.02;1.56304;53.7667;1.50225;33.491;2638.74;1.75812;2.89551;0.250297;0.6242;0.508162;0.447553;53.5449;0.230229;4603.49;4614.48;1322.68;488.993;3385.55;43.5326;1016.69;643.13;0.545673;0.390586;0.657576;124.993;25.4406;169.543;0.700289;68.2175;19.8724;22.9249;63.8422;1.15361e-08;4.60247;875.988;1.46619;4.53209;57.883;0.18369;41.4414;35.4665;35.4361;35.5101;35.3645;33.3068;6.40952;6.8208;291.779;26.1414;0.96711;0.864547;91.982;55.5461;19.3146;115.776;4259.24;54.0841
70;500;0.000882176;2.048e-06;0.924602;4.45416;80.8402;0.680285;51.8263;3.09889;53.2691;0.865193;0.0118037;662.589;0.319227;0.154556;0.011925;0.312957;319.98;1.21852;13.6956;1.36892;179.16;0.443836;6.97985;12.8892;24.9493;24.7621;116.583;1.2632;42.6356;12.3867;2.60553;4294.39;394.181;29.8029;12.6394;0.753931;0.102932;0.236535;58.3526;670.152;0.196285;2.39783;6.96893;6.54935;0.166564;0.10674;0.792448;261.955;2.68634;2.53189;2.48703;24.964;25.7326;650.725;2.19215;590.849;58.4925;0.707035;1.3897;3294.98;1.58207;54.4086;1.51818;33.886;2670.31;1.77878;2.93018;0.237978;0.624156;0.508062;0.447819;54.1888;0.234685;4658.57;4669.69;1338.51;494.849;3426.06;44.0553;1028.85;650.825;0.542863;0.396764;0.665437;126.489;25.7484;171.555;0.711891;69.0389;20.1091;23.1981;64.6082;1.16742e-08;4.65475;886.466;1.48088;4.58352;58.5743;0.184493;41.9319;35.8905;35.8691;35.9333;35.7854;33.6904;6.48457;6.90095;295.263;26.454;0.978717;0.874813;93.0827;56.2053;19.5442;117.192;4310.2;54.6651
70;600;0.00118323;4.096e-06;0.940711;4.52924;82.1337;0.698594;52.6596;3.1482;54.1256;0.876135;0.015523;673.253;0.320835;0.180508;0.0160142;0.317923;325.132;1.23804;13.9194;1.38763;182.048;0.449715;7.09157;13.0931;25.3477;25.164;118.461;1.28323;43.3254;12.5893;2.64806;4363.49;400.545;30.3039;12.8399;0.772383;0.108747;0.240324;59.2861;680.932;0.196819;2.42934;7.0786;6.65185;0.172423;0.108699;0.806536;266.177;2.73152;2.58276;2.52423;25.3695;26.1538;661.195;2.22448;600.355;59.4675;0.719147;1.40686;3347.99;1.60808;55.2814;1.53902;34.4194;2713.28;1.80674;2.97746;0.212417;0.625079;0.503272;0.448543;55.0672;0.241815;4733.53;4744.83;1360.06;502.823;3481.19;44.7678;1045.4;661.299;0.534599;0.406184;0.676131;128.526;26.1696;174.296;0.729837;70.1592;20.4323;23.571;65.6522;0.00108506;4.72423;900.726;1.49917;4.65183;59.5148;0.185001;42.5965;36.4685;36.4582;36.5091;36.3577;34.2074;6.58604;7.00944;300.002;26.8793;0.994536;0.888728;94.5811;57.0986;19.8561;119.129;4379.56;55.4333
70;700;0.00147569;1.6384e-06;0.951426;4.5798;82.9901;0.712544;53.2128;3.18105;54.6942;0.882845;0.0187574;680.332;0.321137;0.201701;0.0201219;0.321312;328.553;1.25126;14.0687;1.39936;183.967;0.45352;7.16586;13.2278;25.6115;25.4316;119.709;1.29677;43.7843;12.7246;2.6769;4409.36;404.772;30.6465;12.9722;0.786416;0.109971;0.242834;59.9068;688.089;0.19651;2.4476;7.15078;6.71916;0.177279;0.110072;0.813999;268.98;2.76297;2.61968;2.54821;25.6399;26.4342;668.144;2.24521;606.665;60.1199;0.727484;1.41678;3383.17;1.62542;55.8602;1.55195;34.7697;2741.81;1.82518;3.00923;0.188485;0.624779;0.495992;0.448662;55.6521;0.247534;4783.29;4794.71;1374.36;508.117;3517.79;45.2418;1056.39;668.252;0.525447;0.413411;0.683223;129.878;26.45;176.113;0.743729;70.9045;20.6484;23.82;66.3463;0.00633245;4.76876;910.193;1.50968;4.69558;60.139;0.184714;43.0343;36.8505;36.8424;36.8911;36.7418;34.5515;6.65266;7.08081;303.147;27.1613;1.00506;0.897909;95.5757;57.6885;20.0629;120.423;4425.6;55.9266
70;800;0.00171489;3.2768e-06;0.958034;4.61186;83.5252;0.722189;53.5595;3.20163;55.0505;0.886796;0.0211741;684.768;0.320937;0.217011;0.0235008;0.323586;330.697;1.25959;14.1626;1.40638;185.17;0.455783;7.2124;13.3118;25.7767;25.5997;120.491;1.30527;44.0727;12.8099;2.69516;4438.1;407.423;30.8648;13.0547;0.796238;0.110706;0.244403;60.2962;692.573;0.195812;2.45738;7.19554;6.76079;0.180877;0.110976;0.817954;270.737;2.78338;2.64452;2.56269;25.8101;26.6105;672.5;2.25765;610.62;60.5314;0.732813;1.42242;3405.22;1.63633;56.2223;1.55936;34.9874;2759.68;1.83668;3.03188;0.172592;0.623724;0.489372;0.448142;56.0194;0.251715;4814.48;4825.97;1383.32;511.437;3540.72;45.5392;1063.27;672.609;0.517734;0.418528;0.687663;130.726;26.6263;177.251;0.753569;71.3723;20.785;23.9771;66.782;0.0118999;4.79572;916.125;1.51529;4.72204;60.53;0.184061;43.307;37.0881;37.08;37.1304;36.985;34.7682;6.69386;7.12504;305.118;27.3375;1.01166;0.90363;96.1988;58.057;20.1922;121.238;4454.45;56.2277
70;900;0.00196655;1.31072e-06;0.963627;4.63945;83.9793;0.731077;53.8546;3.21905;55.3538;0.889975;0.0235361;688.545;0.320463;0.231622;0.0270277;0.325176;332.523;1.26662;14.2428;1.41211;186.196;0.457536;7.25193;13.3831;25.9174;25.7432;121.157;1.31241;44.3189;12.8828;2.71086;4462.58;409.683;31.0533;13.1246;0.805465;0.111335;0.245737;60.6276;696.392;0.194688;2.46426;7.23314;6.79566;0.184396;0.111779;0.821093;272.233;2.80118;2.66696;2.57445;25.9556;26.761;676.208;2.26768;613.988;60.8836;0.737379;1.42676;3424;1.64564;56.5301;1.56495;35.1714;2774.9;1.84643;3.05888;0.164011;0.622414;0.482038;0.447398;56.3316;0.255806;4841.03;4852.58;1390.96;514.265;3560.25;45.7928;1069.14;676.319;0.509678;0.423403;0.69144;131.447;26.7769;178.217;0.762882;71.771;20.9022;24.1118;67.1534;0.017826;4.81791;921.177;1.51929;4.7438;60.8628;0.183006;43.538;37.29;37.2817;37.3339;37.1925;34.9522;6.72836;7.16218;306.796;27.4863;1.01729;0.908476;96.7289;58.37;20.3021;121.935;4479.02;56.4781
