condition;iter;t;dt;10fthfglu3;12dgr;13dpg;1ag3p;2dr1p;2dr5p;2pg;3pg;5fthf;5fthfglu3;ACP_R;ACP;DNA;PdhC;RNA;ac;acald;accoa;actp;ade;adp;amp;ap;apoACP;atp;cdp;cdpdag;clpn;cmp;coa;ctp;dUTPase;dad_2;dadp;damp;datp;dcdp;dcmp;dctp;dcyt;dgdp;dgmp;dgsn;dgtp;dhap;dhlpl_PdhC;dnad;dtdp;dtmp;dttp;dump;e4p;f6p;fa;fdp;fmettrna;fmn;for;g1p;g3p;g6p;galfur12dgr;gdp;glyc3p;glyc;gmp;gtp;gua;h2o;h;lac__L;lgltn;lpl_PdhC;methfglu3;mlthfglu3;nac;nad;nadh;nadp;nadph;nh3;nicrnt;o2;pa;pap;pep;pg3p;pg;pi;ppi;prpp;pyr;r5p;ribflv;ru5p__D;s7p;thfglu3;thymd;trdox;trdrd;udp;udpg;udpgal;udpgalfur;udpgltn;ump;ura;utp;xu5p__D;AA;tRNA;AAtRNA;Protein
67;0;0;0.01;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.0206038;0.055;0.000884956;0.16274;0.000884956;0.016708;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.173544;0.000884956;0.000884956;0.000884956;0.00190167;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.475697
67;100;6.016e-05;6.4e-07;0.00086313;0.000897473;0.000844315;0.000910119;0.000842263;0.000804036;0.000852269;0.000884459;0.000314972;0.000885283;0.000892712;0.0205938;0.0549925;0.000757078;0.162689;0.000924543;0.0167237;0.000873866;0.000870875;0.000868904;0.000207362;0.000586988;0.000842758;0.173546;0.00235147;0.000863414;0.000884782;0.00190166;0.000902244;0.000907937;0.00076738;0.00088383;0.000923748;0.000871074;0.000881128;0.000880372;0.000870741;0.000851333;0.000876981;0.000892961;0.000925348;0.000871224;0.000923333;0.000827503;0.000909973;0.00087022;0.000718219;0.000871096;0.000881136;0.000880213;0.000915638;0.000847624;0.00110459;0.000935073;0.000778798;0.00143205;0.000863471;0.000884947;0.000877535;0.00104372;0.000793414;0.000886657;0.000864213;0.0008573;0.000927673;0.00090238;0.000771567;0.000868676;0.00116822;0.000924707;0.000930334;0.000885148;0.00102684;0.000880793;0.000890605;0.00087881;0.00109508;0.000608478;0.000884939;0.000862179;0.000921244;0.00101182;0.00091534;0.000869203;0.000859749;0.000938465;0.000871961;0.000896732;0.00097222;0.000791786;0.00068114;0.00086293;0.0010761;0.000896664;0.00081394;0.000866019;0.00089517;0.000893694;0.000918583;0.000917973;0.000871471;0.000877178;0.000885138;0.000878253;0.000886337;0.000901431;0.000917832;0.000831199;0.000825894;0.000878864;0.000363092;0.00279807;0.473966
67;200;0.00018432;1.28e-06;0.000839715;0.000919751;0.000817588;0.000955064;0.000785185;0.000637953;0.000822743;0.000851333;2.40082e-05;0.000884305;0.000914663;0.0205664;0.0549928;0.000467394;0.162628;0.000922462;0.016754;0.000835793;0.000868592;0.000841703;0.000307296;0.000191778;0.000793499;0.173551;0.00314162;0.000851366;0.000884092;0.00190162;0.000911907;0.000973377;0.000639032;0.000883648;0.000980085;0.000878007;0.000878861;0.000857764;0.00087616;0.000780077;0.000853952;0.000900323;0.00106652;0.00084312;0.000978523;0.00068358;0.00102091;0.000956143;0.000473407;0.000878018;0.000878958;0.000857454;0.000987886;0.000774833;0.00146043;0.000939237;0.000628467;0.00197215;0.000851455;0.000878624;0.000840769;0.00126093;0.000659362;0.000892076;0.000851734;0.00082952;0.000926653;0.000909719;0.000643701;0.00084364;0.00145035;0.000938602;0.000938033;0.000885761;0.0012313;0.000891321;0.000897729;0.000880025;0.0013485;0.000300263;0.000884883;0.000816802;0.000920805;0.00117962;0.000906025;0.000839039;0.000800232;0.001042;0.000846903;0.000919448;0.00130573;0.000584363;0.000407002;0.000819497;0.0013789;0.00090581;0.000672764;0.000833071;0.000903762;0.000902435;0.000913597;0.000911019;0.000875836;0.000849319;0.000885722;0.000856894;0.000890736;0.000906518;0.000912101;0.00078683;0.000713428;0.00088282;0.000572307;0.00405597;0.472203
67;300;0.00043264;2.56e-06;0.000813229;0.000943647;0.00080194;0.00101571;0.000756911;0.000353348;0.000828772;0.00080159;3.18391e-05;0.000877134;0.000962632;0.020509;0.0549929;5.13667e-06;0.162545;0.000887852;0.0168026;0.000757623;0.000870446;0.000778785;0.000406874;0.000113543;0.000727122;0.173561;0.00396029;0.000835392;0.000882177;0.00190153;0.00092471;0.00108808;0.000486377;0.000883466;0.00103682;0.000896079;0.000875688;0.000817525;0.000888635;0.000644257;0.000813007;0.000904499;0.00128388;0.000793823;0.00103388;0.000474496;0.00119229;0.00116775;8.11591e-05;0.000895941;0.000876016;0.000817029;0.0011312;0.000656838;0.00186814;0.000913501;0.000567312;0.00254712;0.000835524;0.000837472;0.00071767;0.00145751;0.00064935;0.000905476;0.000826704;0.000792451;0.000892515;0.000881671;0.000519864;0.000834191;0.00175299;0.000947277;0.000899514;0.000887276;0.00148318;0.000904731;0.000906452;0.000894813;0.00142918;0.000315523;0.000884719;0.000662186;0.000887728;0.0013548;0.000864904;0.000799987;0.000504649;0.00114569;0.00081383;0.000949455;0.00178124;0.000278937;0.000170758;0.000780423;0.00174132;0.000911851;0.000458903;0.000803878;0.000911699;0.000910653;0.000876034;0.00086817;0.000886451;0.000780824;0.000887168;0.000804068;0.000901614;0.000871836;0.000885254;0.000815838;0.000537673;0.000887823;0.000813951;0.0054443;0.470266
67;400;0.00076032;1.024e-06;0.000790896;0.000958917;0.000748269;0.00107205;0.000725088;0.000143712;0.000851867;0.000793247;3.69166e-05;0.00086995;0.00102415;0.020437;0.0549972;4.87492e-06;0.162477;0.00085297;0.0168435;0.000660415;0.000876568;0.000728546;0.000480029;0.000132692;0.000665674;0.173573;0.00451499;0.000820988;0.000893393;0.00190139;0.000936242;0.00122813;0.000337152;0.000883305;0.00107128;0.000921523;0.000872638;0.000768092;0.000901368;0.000528497;0.000764617;0.000902513;0.00142644;0.000739485;0.00106757;0.00036293;0.00134467;0.00122155;3.85797e-05;0.00092109;0.000873306;0.000767506;0.00126689;0.000528576;0.00220546;0.000888186;0.000618956;0.00301112;0.000821157;0.000796214;0.000550726;0.00157556;0.000737888;0.000924632;0.000791633;0.000758548;0.000857556;0.000809896;0.000427948;0.000854119;0.0020305;0.000975629;0.000861672;0.000889444;0.00142951;0.000917113;0.000913902;0.00092587;0.00146902;0.000339046;0.000884378;0.000474473;0.00085655;0.00134102;0.000823931;0.000756106;0.000145811;0.00119859;0.000783779;0.000976744;0.00208422;9.51814e-05;0.000155807;0.000751976;0.00204797;0.000916331;0.000245724;0.000797359;0.000917566;0.000917705;0.000840697;0.000824102;0.000910861;0.000716373;0.000889247;0.000728481;0.000917169;0.00079156;0.000872845;0.000869072;0.000352668;0.000892442;0.00102018;0.00658521;0.468688
67;500;0.00090368;2.048e-06;0.000783241;0.000964186;0.0007186;0.00109409;0.000686399;0.000134867;0.000861823;0.000799474;3.92255e-05;0.000867255;0.00104974;0.0204074;0.0550011;4.86976e-06;0.162458;0.000840289;0.0168515;0.000622575;0.000878724;0.000713309;0.000504687;0.000140242;0.000641358;0.173577;0.00469397;0.000815093;0.000903596;0.00190133;0.000940959;0.001283;0.000277858;0.000883242;0.00107997;0.000932009;0.000871372;0.000746503;0.000904424;0.000498725;0.00074438;0.000900175;0.00145712;0.000717153;0.00107612;0.000349799;0.00139702;0.00122751;3.9992e-05;0.000931432;0.000872193;0.000745917;0.00130866;0.00047876;0.00232373;0.000879714;0.000641524;0.00316757;0.000815276;0.000780918;0.000482418;0.00159901;0.000774808;0.00093308;0.000776009;0.000745096;0.000844835;0.000783628;0.00039522;0.000864005;0.00213217;0.000990492;0.000847919;0.0008904;0.00142351;0.000921498;0.000916349;0.000937488;0.00149822;0.000347812;0.000884154;0.000395125;0.00084452;0.001324;0.000808809;0.000734841;1.58874e-05;0.00121094;0.000771694;0.00098772;0.0021352;9.37361e-05;0.000157617;0.000742897;0.00215126;0.000918317;0.000171347;0.000800879;0.000919532;0.000920671;0.00082834;0.000807406;0.000922027;0.000700543;0.000890178;0.000695118;0.000924031;0.000762594;0.000867978;0.000883005;0.000282079;0.000894304;0.00109105;0.00697257;0.468159
67;600;0.0011904;4.096e-06;0.000770207;0.00097424;0.00066274;0.00113648;0.000628404;0.000132902;0.000880775;0.000813585;4.63275e-05;0.000862864;0.00109837;0.0203658;0.0550089;1.33499e-05;0.16242;0.000816591;0.0168633;0.000555566;0.000882756;0.000664953;0.000535391;0.000111815;0.00059577;0.173571;0.00491548;0.000797212;0.000911265;0.0019012;0.000949072;0.00138135;0.000197581;0.000883137;0.0010879;0.000953337;0.000869129;0.000704832;0.000908362;0.000467195;0.000705456;0.000893788;0.00150142;0.000673798;0.0010841;0.000344219;0.00148358;0.00122757;3.97047e-05;0.000952465;0.000870263;0.000704263;0.00136885;0.000394347;0.00252089;0.00086396;0.000680347;0.00343181;0.00080515;0.00075257;0.000361165;0.00163758;0.000839591;0.00094981;0.000746817;0.000720197;0.00082091;0.000727023;0.000345071;0.000890192;0.0023126;0.00102158;0.000822293;0.000892294;0.00141485;0.000930704;0.000920107;0.000962734;0.00157363;0.000367681;0.000883388;0.000245716;0.000820994;0.00127468;0.000780975;0.000701855;2.80805e-06;0.00122794;0.000747613;0.00100959;0.00218937;0.000100527;0.00016056;0.000728368;0.00227661;0.000922573;8.53221e-05;0.000806165;0.000922905;0.000926741;0.000806544;0.000775906;0.000945079;0.000667755;0.000892049;0.000629;0.000937624;0.000702342;0.000861047;0.000913835;0.000156892;0.000898753;0.00120958;0.00762229;0.467272
67;700;0.00150006;1.6384e-06;0.000758488;0.000984577;0.000612155;0.00118009;0.000596744;0.000131402;0.00089731;0.000826344;5.03267e-05;0.000858973;0.00114723;0.0203268;0.0550174;4.91348e-06;0.16238;0.000794218;0.0168732;0.00049442;0.000885696;0.000614835;0.000564482;0.000115663;0.000549074;0.173563;0.0051022;0.000752554;0.000902934;0.00190106;0.000957279;0.00147344;0.000177192;0.000883044;0.00108536;0.00097592;0.000866834;0.000661172;0.000910034;0.000457064;0.000664757;0.000885556;0.00154194;0.000628392;0.001082;0.000345807;0.00155538;0.00122893;4.15746e-05;0.00097473;0.000868308;0.000660627;0.00141381;0.000340293;0.00267199;0.000850199;0.000711764;0.00366698;0.000794895;0.000725492;0.000245931;0.00164828;0.000896157;0.00096743;0.000717264;0.00069472;0.000798304;0.000667487;0.000306352;0.000923847;0.00247652;0.00105633;0.000797747;0.00089429;0.00142189;0.000941829;0.000921392;0.000989806;0.00165064;0.000387816;0.00088053;0.00010207;0.000798024;0.00121782;0.000754655;0.000678767;4.0997e-06;0.00123715;0.000721811;0.00103301;0.00223639;0.000100021;0.000164406;0.000718658;0.00232995;0.000927666;6.74381e-05;0.00078324;0.000925978;0.000933553;0.000788278;0.00074438;0.000969607;0.000634476;0.000894045;0.000559286;0.000951947;0.000642346;0.00085556;0.000943485;0.000110647;0.000903798;0.00131539;0.00819513;0.466486
67;800;0.0017278;3.2768e-06;0.000750964;0.000992146;0.000582346;0.00121101;0.000585461;0.000130723;0.00090688;0.000833289;5.17692e-05;0.000856387;0.001181;0.0202999;0.0550236;7.67387e-06;0.162352;0.000779619;0.0168796;0.000455708;0.000886686;0.000583308;0.000585154;0.0001193;0.000515618;0.173557;0.00522928;0.000713661;0.000893881;0.00190096;0.000963417;0.00153313;0.00017945;0.000882984;0.00107879;0.000991864;0.000865127;0.000629665;0.000910071;0.000456952;0.000635424;0.000879251;0.00156997;0.000595832;0.00107594;0.000347655;0.00159568;0.00122989;4.27093e-05;0.000990444;0.000866852;0.000629137;0.00144047;0.000313527;0.00276139;0.000842163;0.000728649;0.00381673;0.000787215;0.000707453;0.000168098;0.00165271;0.000930105;0.000980053;0.000696619;0.000676329;0.000783611;0.000626742;0.000282866;0.000950073;0.00258319;0.00108198;0.000781;0.000895721;0.00141812;0.000962709;0.000908524;0.00100875;0.00169527;0.000392989;0.000864216;3.75136e-05;0.000782654;0.00117752;0.000737374;0.00066421;4.21473e-06;0.00124324;0.000702905;0.00105017;0.00226;0.000100151;0.000166769;0.000713116;0.00235068;0.000931705;6.71595e-05;0.000758912;0.000927979;0.000938731;0.00078224;0.000718859;0.000986577;0.000612533;0.00089548;0.000509303;0.000962212;0.000603843;0.000851794;0.000963366;0.000110214;0.000907315;0.00138307;0.0085582;0.465987
67;900;0.00198797;1.31072e-06;0.000743226;0.00100098;0.000556504;0.0012454;0.000579621;0.000130643;0.000915961;0.000839363;5.38402e-05;0.000853548;0.00121758;0.020271;0.0550306;4.93255e-06;0.162322;0.000764482;0.0168863;0.000416964;0.000886559;0.000551518;0.000606271;0.000123489;0.000477836;0.17355;0.00536525;0.000669067;0.000884162;0.00190084;0.000970768;0.00159425;0.000185874;0.00088292;0.00106858;0.00100895;0.000863107;0.000594583;0.000908912;0.000460133;0.000602748;0.000872139;0.00160027;0.000559441;0.00106644;0.00035006;0.00163277;0.00123071;4.36811e-05;0.00100727;0.000865118;0.000594073;0.00146771;0.000287795;0.00285437;0.000834828;0.000743926;0.00396992;0.000778012;0.000688304;8.58754e-05;0.001662;0.000962702;0.000994132;0.000673405;0.000655334;0.000768473;0.00058313;0.000259565;0.00098056;0.00269385;0.00111098;0.000761879;0.000897319;0.00142001;0.00101277;0.000866497;0.00102946;0.00171673;0.000394321;0.000817007;3.43839e-05;0.000766324;0.00113205;0.000719501;0.000647316;4.34463e-06;0.00125056;0.000681255;0.00106981;0.002279;0.000100473;0.000169288;0.000708338;0.0023713;0.000936603;6.82276e-05;0.000733378;0.000930065;0.000944825;0.000785628;0.000683762;0.00100443;0.00058936;0.00089707;0.000453519;0.000973666;0.000565557;0.000847433;0.00098596;0.00011259;0.000911045;0.00145245;0.00892815;0.465481
