condition;10fthfglu3;12dgr;13dpg;1ag3p;2dr1p;2dr5p;2pg;3pg;5fthf;5fthfglu3;ACP_R;ACP;DNA;PdhC;RNA;ac;acald;accoa;actp;ade;adp;amp;ap;apoACP;atp;cdp;cdpdag;clpn;cmp;coa;ctp;dUTPase;dad_2;dadp;damp;datp;dcdp;dcmp;dctp;dcyt;dgdp;dgmp;dgsn;dgtp;dhap;dhlpl_PdhC;dnad;dtdp;dtmp;dttp;dump;e4p;f6p;fa;fdp;fmettrna;fmn;for;g1p;g3p;g6p;galfur12dgr;gdp;glyc3p;glyc;gmp;gtp;gua;h2o;h;lac__L;lgltn;lpl_PdhC;methfglu3;mlthfglu3;nac;nad;nadh;nadp;nadph;nh3;nicrnt;o2;pa;pap;pep;pg3p;pg;pi;ppi;prpp;pyr;r5p;ribflv;ru5p__D;s7p;thfglu3;thymd;trdox;trdrd;udp;udpg;udpgal;udpgalfur;udpgltn;ump;ura;utp;xu5p__D;AA;tRNA;AAtRNA;Protein
1;0.000805147;0.00115681;0.000121743;0.00123729;0.000413572;8.41084e-05;0.000152157;0.000138418;2.51262e-05;0.00079717;0.00125093;0.0206443;0.054681;4.58016e-06;0.154525;0.00138235;0.0170152;0.0003354;0.000597599;0.000631215;0.000323033;4.24092e-05;0.000107526;0.173132;0.00301811;7.1218e-06;3.39804e-06;0.00190069;1.14459e-06;0.00157151;4.25442e-05;0.000856783;0.000900413;0.00114482;0.00079257;0.000152511;0.00090104;0.000414772;0.000120208;0.000906935;0.00133556;0.000396942;0.000900121;0.000380814;0.00103711;0.00131205;1.05562e-05;0.00114037;0.000794023;0.000149714;0.00153199;9.11847e-05;0.000918066;0.00160909;0.000426906;0.00140895;0.000370119;0.000884751;4.89704e-06;0.00111926;0.000220316;0.000841071;2.06454e-05;0.000498702;0.00144344;2.56189e-05;5.8574e-05;0.000146191;0.0043883;0.00170947;1.59641e-11;0.00136112;0.00131278;0.000740109;0.000862458;0.0014727;0.000653525;0.00039463;0.000798304;1.81464e-05;0.00128165;3.64517e-06;0.000842998;0.00186727;1.58185e-06;0.00783293;2.78972e-05;0.000909697;0.00262871;0.00274492;4.57687e-05;8.16353e-05;0.000731106;0.00105067;2.23686e-05;0.000111394;0.000838379;0.00102156;0.0012655;0.00118458;0.000105148;5.49885e-06;1.25628e-05;2.50353e-06;0.000347696;5.87186e-05;0.00122001;0.000174527;3.9698e-05;0.000806237;0.000280645;0.00218853;0.495137
2;0.000799634;0.0011489;0.000129151;0.00125642;0.000440875;9.05521e-05;0.000166127;0.000150949;2.75882e-05;0.000799402;0.00128927;0.0205711;0.0546866;4.63118e-06;0.155351;0.00131995;0.0170186;0.000299103;0.000624698;0.000590039;0.00035554;4.76186e-05;0.000118936;0.173168;0.00325824;7.9646e-06;3.78458e-06;0.00190054;1.27687e-06;0.00164233;4.52645e-05;0.000858677;0.000862873;0.00117471;0.000797231;0.000147261;0.000909861;0.000429365;0.000119889;0.000890604;0.00139343;0.000366771;0.000869598;0.000395441;0.00111855;0.0013018;1.22708e-05;0.00117002;0.000799018;0.000144594;0.00155548;0.000103478;0.00105681;0.00153639;0.000467031;0.00151238;0.000398113;0.000884765;5.53457e-06;0.00118586;0.000250857;0.000865883;2.28286e-05;0.000513687;0.00137584;2.87477e-05;6.23655e-05;0.000243784;0.00439734;0.00170121;9.16911e-12;0.00128347;0.0013249;0.000762993;0.000870277;0.00146093;0.000728859;0.000449752;0.000805031;2.1265e-05;0.00122613;4.26558e-06;0.000807372;0.00185426;1.77558e-06;0.0076246;3.00611e-05;0.000910099;0.00274312;0.00238148;5.13588e-05;8.81385e-05;0.000877288;0.00104301;2.65638e-05;0.000132714;0.000840255;0.00101841;0.00121509;0.00112792;0.000117643;6.22332e-06;1.43904e-05;3.30875e-06;0.000453763;6.5506e-05;0.00124927;0.000192476;4.64174e-05;0.000825196;0.000313021;0.00238965;0.493367
3;0.000793822;0.00114264;0.000137139;0.0012752;0.000468405;9.67902e-05;0.000181111;0.000164406;3.0351e-05;0.000801349;0.0013295;0.0205005;0.0546917;4.67538e-06;0.156126;0.00125697;0.0170232;0.000266171;0.000650726;0.000548859;0.000389734;5.3191e-05;0.000130373;0.1732;0.00351288;8.91876e-06;4.21888e-06;0.00190038;1.42668e-06;0.00171042;4.82655e-05;0.00086049;0.000823628;0.00120469;0.000801733;0.000141472;0.000917677;0.000444087;0.000118151;0.000873276;0.00145445;0.000334876;0.000834219;0.000408012;0.0011968;0.00129311;1.40773e-05;0.00119974;0.000803895;0.000138917;0.00158154;0.000115231;0.00119686;0.00146376;0.000505584;0.00162417;0.000425425;0.000884778;6.18209e-06;0.00124925;0.000282541;0.000888874;2.51965e-05;0.000528357;0.00130766;3.2128e-05;6.63377e-05;0.000341721;0.00440743;0.00169576;1.30789e-11;0.00121066;0.00133539;0.000796751;0.000866937;0.00145205;0.000804467;0.000498179;0.000800004;2.43135e-05;0.0011704;4.92887e-06;0.000771032;0.00184098;1.98248e-06;0.00741098;3.20859e-05;0.000910312;0.00285929;0.00201145;5.74925e-05;9.54847e-05;0.00103319;0.00103536;3.09359e-05;0.000155266;0.000842443;0.00101542;0.00116813;0.00106702;0.000131744;7.02469e-06;1.60392e-05;3.22827e-06;0.000552734;7.29768e-05;0.00127458;0.000212819;5.32564e-05;0.00084364;0.000349117;0.0026108;0.491628
4;0.000787712;0.00113785;0.000145719;0.00129371;0.000495696;0.000102863;0.000197159;0.000178835;3.3361e-05;0.000803012;0.00137134;0.0204323;0.0546963;4.71414e-06;0.156851;0.00119393;0.0170286;0.000238626;0.000675169;0.000507884;0.000425422;5.90941e-05;0.000141447;0.173228;0.00378081;9.98782e-06;4.70293e-06;0.00190021;1.59416e-06;0.0017739;5.15444e-05;0.000862226;0.000782726;0.00123358;0.000806034;0.000136203;0.000923431;0.000458802;0.000116078;0.00085507;0.00151827;0.000301333;0.000796304;0.000418473;0.00127304;0.00128558;1.59668e-05;0.00122835;0.000808614;0.000133748;0.00161011;0.000126386;0.00133727;0.00139202;0.000543042;0.00174505;0.000451831;0.00088479;6.84487e-06;0.00131051;0.000315243;0.000910215;2.77628e-05;0.000542402;0.00123948;3.57698e-05;7.05767e-05;0.00043862;0.00441856;0.0016933;2.00764e-11;0.00114261;0.00134465;0.000839893;0.000853704;0.00144584;0.000880872;0.000538906;0.000784568;2.72262e-05;0.00111493;5.63036e-06;0.000734435;0.00182718;2.20126e-06;0.00719312;3.39952e-05;0.000910675;0.00297588;0.00163841;6.40781e-05;0.000103632;0.001191;0.00102783;3.53097e-05;0.000178383;0.000844986;0.00101266;0.00112523;0.00100243;0.000147296;7.90896e-06;1.80615e-05;3.65185e-06;0.000644801;8.10127e-05;0.00129614;0.000235006;6.00325e-05;0.000861406;0.000389318;0.00285389;0.489915
5;0.000781276;0.00113469;0.000154866;0.00131208;0.000522716;0.000108804;0.000214314;0.000194295;3.66445e-05;0.000804336;0.00141471;0.0203666;0.0547008;4.74834e-06;0.157522;0.00113132;0.0170348;0.000218065;0.000697427;0.000467944;0.000462166;6.52926e-05;0.000151658;0.173253;0.00405854;1.12034e-05;5.25053e-06;0.00190002;1.78453e-06;0.00183137;5.5219e-05;0.000863873;0.000740292;0.0012606;0.000810047;0.000131648;0.000926318;0.000473415;0.000114014;0.000836086;0.00158592;0.000265866;0.000756576;0.000425377;0.00134796;0.00127892;1.79298e-05;0.00125508;0.000813096;0.000129282;0.00164127;0.000136959;0.00147667;0.001322;0.000579597;0.00187597;0.000476889;0.000884802;7.51566e-06;0.00137028;0.000348817;0.000930035;3.05299e-05;0.000555356;0.00117183;3.96895e-05;7.49302e-05;0.000533578;0.00443167;0.00169388;4.27036e-12;0.00107993;0.00135295;0.000892488;0.000830249;0.00144214;0.000958369;0.000572017;0.000758356;2.99679e-05;0.00106008;6.37142e-06;0.000697974;0.00181224;2.43052e-06;0.00697164;3.57391e-05;0.000911531;0.00309084;0.00126804;7.11386e-05;0.000112603;0.00134533;0.00102058;3.95726e-05;0.000201521;0.00084791;0.00101025;0.00108735;0.000934189;0.000164829;8.89717e-06;2.03287e-05;4.12821e-06;0.000729597;8.97919e-05;0.00131326;0.000259907;6.66303e-05;0.000878385;0.000434098;0.00312128;0.488233
6;0.000774473;0.00113335;0.000164092;0.0013308;0.000549374;0.000114605;0.000232605;0.000210882;3.99248e-05;0.000805383;0.00145934;0.0203032;0.0547061;4.77873e-06;0.158135;0.00106942;0.0170415;0.000205149;0.000717195;0.000430544;0.000499797;7.18876e-05;0.000160409;0.173273;0.00434007;1.27879e-05;5.96351e-06;0.00189982;2.03447e-06;0.00188251;6.05141e-05;0.000865434;0.000697284;0.00128536;0.000813719;0.000127443;0.000926195;0.00048775;0.000111832;0.000816673;0.00166055;0.000228377;0.000716174;0.00042464;0.00142222;0.00127301;2.00071e-05;0.00127955;0.000817293;0.000125158;0.00167489;0.000147016;0.00161316;0.00125415;0.000615257;0.00201945;0.00050034;0.000884814;8.15651e-06;0.00142861;0.000382784;0.000948706;3.32412e-05;0.000566667;0.00110507;4.39083e-05;7.73631e-05;0.000627429;0.00444661;0.00169688;1.8213e-11;0.00102412;0.00136044;0.00095463;0.000796456;0.00144057;0.00103707;0.000599558;0.000721257;3.25503e-05;0.00100603;7.19996e-06;0.000662016;0.00179498;2.67359e-06;0.0067466;3.6922e-05;0.00091385;0.0031969;0.00090908;7.91333e-05;0.000122399;0.00149316;0.00101388;4.36513e-05;0.0002242;0.000851309;0.00100844;0.00105503;0.000862358;0.000189106;1.02177e-05;2.33892e-05;4.77428e-06;0.000805662;0.000100896;0.001323;0.000294734;7.29523e-05;0.000894599;0.000484438;0.00341777;0.486572
7;0.000767001;0.00114021;0.000172447;0.00135125;0.000575198;0.000120223;0.000252419;0.000229028;4.324e-05;0.000806637;0.00150708;0.020243;0.0547136;4.80572e-06;0.158629;0.00101293;0.0170495;0.000199262;0.000732662;0.00040321;0.000538612;7.89969e-05;0.000165427;0.173288;0.00461927;1.59459e-05;7.35377e-06;0.00189959;2.60018e-06;0.00193066;7.38112e-05;0.000866857;0.000653562;0.0013068;0.000816555;0.000120927;0.000920987;0.000502522;0.000106955;0.000797649;0.00174418;0.000185366;0.000675135;0.000415189;0.00149645;0.00126784;2.21839e-05;0.0013007;0.000820744;0.000118688;0.00171229;0.000156594;0.00174334;0.00119358;0.000650471;0.00218074;0.000519588;0.000837956;8.60877e-06;0.00148599;0.000414684;0.000963163;3.46453e-05;0.000573682;0.00104421;4.78251e-05;7.10189e-05;0.000725541;0.0044781;0.00170836;1.24754e-11;0.00098658;0.00136705;0.00102982;0.000748673;0.0014426;0.00111487;0.000618634;0.000669308;3.47484e-05;0.000957061;8.16658e-06;0.000629675;0.00176967;2.93299e-06;0.00652656;3.41836e-05;0.000920975;0.00326678;0.000579466;8.87465e-05;0.000133324;0.00161368;0.00101006;4.71681e-05;0.000245151;0.000855243;0.00100915;0.00103367;0.000789702;0.000244789;1.28468e-05;3.12893e-05;6.29477e-06;0.000858569;0.000119353;0.00131204;0.000376947;7.86694e-05;0.000910833;0.000542504;0.00375427;0.484956
8;0.000759497;0.00116101;0.000181859;0.00137789;0.000595725;0.000125352;0.000273035;0.000247753;4.58619e-05;0.00080847;0.00155407;0.0201855;0.054733;4.91366e-06;0.159029;0.000957071;0.0170554;0.000200584;0.00074328;0.000376772;0.000581643;8.79158e-05;0.000164255;0.173301;0.00492469;3.03684e-05;1.49119e-05;0.00189937;0.000112783;0.00197459;0.00011807;0.000868343;0.000624359;0.00131482;0.000818476;0.000117464;0.000907118;0.000517234;0.000104141;0.000783208;0.00181019;0.000141127;0.000648185;0.000419963;0.00156665;0.00126275;2.4473e-05;0.0013086;0.000823316;0.000115216;0.00174941;0.000165716;0.00188739;0.00113404;0.000684146;0.00235062;0.000533954;0.000785359;9.0698e-06;0.00154323;0.000447095;0.000976661;3.66106e-05;0.000559295;0.000984449;5.21171e-05;6.22189e-05;0.000834985;0.0045046;0.00171929;1.36744e-11;0.000965141;0.00137355;0.00111279;0.000694141;0.00144552;0.00120157;0.00063548;0.000610418;3.67033e-05;0.000907409;9.11722e-06;0.000597824;0.0016648;3.25062e-06;0.00629286;2.15225e-05;0.00100347;0.00325038;0.000344931;9.77396e-05;0.000146005;0.00171705;0.0010116;5.04952e-05;0.00026647;0.000859682;0.00101478;0.00101532;0.000713441;0.0002996;1.6068e-05;3.71202e-05;7.83691e-06;0.000893588;0.000135877;0.00127447;0.000460175;8.44657e-05;0.000927541;0.000606789;0.00412069;0.483251
9;0.000751809;0.00119838;0.000192957;0.00140818;0.000609972;0.000129643;0.000294644;0.000267164;5.04589e-05;0.000810772;0.00160068;0.0201318;0.0547612;5.23791e-06;0.159377;0.00090269;0.0170596;0.000206569;0.000747821;0.000349962;0.000621886;9.38083e-05;0.000159539;0.17331;0.00522778;3.30012e-05;1.74022e-05;0.00189914;0.000279981;0.00201681;0.000128633;0.000869763;0.000610991;0.00130773;0.000819081;0.000118359;0.000879904;0.000532636;0.000106187;0.000774297;0.00186493;9.63777e-05;0.000636015;0.000429398;0.00163021;0.00125789;2.68873e-05;0.00130138;0.000824606;0.000116186;0.00178615;0.000173772;0.00202618;0.00107535;0.000715233;0.00253172;0.000541187;0.000732018;9.77586e-06;0.0015969;0.00048523;0.000990928;3.98357e-05;0.000528791;0.000926941;5.74126e-05;6.52014e-05;0.000933749;0.00453149;0.00173019;1.41944e-11;0.000951022;0.00137956;0.00120456;0.000631755;0.00145026;0.00128976;0.000652113;0.000543338;3.87362e-05;0.000857438;1.01486e-05;0.000566099;0.00150815;4.83702e-06;0.00605705;2.44883e-05;0.00111133;0.00315882;0.00023549;0.000106879;0.000157959;0.0018002;0.00102008;5.33482e-05;0.000285536;0.000864607;0.00102676;0.00100019;0.000633546;0.000357098;1.85504e-05;4.31961e-05;8.96808e-06;0.000921608;0.000153333;0.00122794;0.000538856;8.96611e-05;0.000944767;0.000675583;0.0045123;0.481559
10;0.000743705;0.00124659;0.000204769;0.00143622;0.00062088;0.000133428;0.000317384;0.000287606;5.58275e-05;0.000812936;0.00164758;0.020081;0.0547926;4.87873e-06;0.159678;0.000850683;0.0170633;0.000214746;0.000747408;0.000324881;0.000659757;0.000102028;0.000156339;0.173316;0.0055134;3.57711e-05;2.01704e-05;0.0018989;0.000422949;0.00205875;0.000139027;0.000871063;0.000605641;0.00129366;0.00081852;0.000118326;0.000845448;0.000548013;0.00010738;0.000768519;0.00191245;5.82529e-05;0.000627942;0.000436679;0.00168957;0.001254;2.92796e-05;0.00128718;0.00082478;0.00011623;0.00182412;0.000181043;0.00215642;0.00101891;0.000744028;0.00272689;0.000542228;0.000679273;1.04457e-05;0.00164775;0.000522055;0.00100454;4.32527e-05;0.000496681;0.000872487;6.29077e-05;6.86831e-05;0.00102249;0.00456358;0.00174309;1.48357e-11;0.00094273;0.00138515;0.00130458;0.00056066;0.00145637;0.00138068;0.000665541;0.000466995;4.05686e-05;0.000808512;1.11605e-05;0.000535492;0.00134882;3.7403e-06;0.00582023;2.7487e-05;0.00120865;0.00304228;0.000185097;0.000115253;0.000170941;0.00186718;0.00103313;5.57968e-05;0.000302386;0.000869931;0.00104295;0.000989562;0.000551057;0.000424796;2.16703e-05;5.08307e-05;1.05963e-05;0.000942996;0.000171408;0.00117685;0.000623433;9.43053e-05;0.000961626;0.000751343;0.00493959;0.479906
