condition;10fthfglu3;12dgr;13dpg;1ag3p;2dr1p;2dr5p;2pg;3pg;5fthf;5fthfglu3;ACP_R;ACP;DNA;PdhC;RNA;ac;acald;accoa;actp;ade;adp;amp;ap;apoACP;atp;cdp;cdpdag;clpn;cmp;coa;ctp;dUTPase;dad_2;dadp;damp;datp;dcdp;dcmp;dctp;dcyt;dgdp;dgmp;dgsn;dgtp;dhap;dhlpl_PdhC;dnad;dtdp;dtmp;dttp;dump;e4p;f6p;fa;fdp;fmettrna;fmn;for;g1p;g3p;g6p;galfur12dgr;gdp;glyc3p;glyc;gmp;gtp;gua;h2o;h;lac__L;lgltn;lpl_PdhC;methfglu3;mlthfglu3;nac;nad;nadh;nadp;nadph;nh3;nicrnt;o2;pa;pap;pep;pg3p;pg;pi;ppi;prpp;pyr;r5p;ribflv;ru5p__D;s7p;thfglu3;thymd;trdox;trdrd;udp;udpg;udpgal;udpgalfur;udpgltn;ump;ura;utp;xu5p__D;AA;tRNA;AAtRNA;Protein
1;0.280996;0.403727;0.0424884;0.431813;0.144336;0.0293538;0.0531028;0.0483078;0.00876906;0.278212;0.436575;7.20486;19.0837;0.00159848;53.9293;0.482439;5.93831;0.117055;0.208562;0.220294;0.112739;0.0148008;0.0375265;60.4229;1.05332;0.00248551;0.00118592;0.66334;0.000399461;0.548457;0.0148479;0.299017;0.314244;0.399542;0.276607;0.0532264;0.314463;0.144755;0.0419526;0.31652;0.46611;0.138533;0.314142;0.132904;0.361951;0.457907;0.00368413;0.397991;0.277114;0.0522502;0.534665;0.0318235;0.320405;0.561574;0.14899;0.491725;0.129172;0.308778;0.00170907;0.390623;0.0768901;0.293534;0.00720526;0.174047;0.503762;0.00894101;0.0204423;0.0510208;1.53152;0.596605;5.57148e-09;0.475031;0.45816;0.258298;0.300998;0.513972;0.22808;0.137726;0.278608;0.00633309;0.447296;0.00127216;0.294206;0.651679;0.000552065;2.73369;0.00973614;0.317484;0.917418;0.957976;0.0159733;0.0284907;0.255156;0.366684;0.00780665;0.0388765;0.292594;0.356524;0.44166;0.413417;0.0366967;0.0019191;0.00438443;0.000873731;0.121346;0.0204928;0.425784;0.0609101;0.0138546;0.281377;0.0979453;0.763796;172.803
2;0.279072;0.400966;0.0450736;0.438491;0.153865;0.0316027;0.0579785;0.0526813;0.00962827;0.278991;0.449956;7.17931;19.0856;0.00161628;54.2176;0.460664;5.9395;0.104387;0.218019;0.205924;0.124084;0.0166189;0.0415088;60.4357;1.13713;0.00277965;0.00132082;0.663289;0.000445629;0.573173;0.0157973;0.299678;0.301143;0.409975;0.278234;0.051394;0.317542;0.149848;0.0418413;0.310821;0.486309;0.128003;0.30349;0.138009;0.390373;0.454328;0.00428251;0.408337;0.278857;0.0504633;0.542862;0.0361138;0.368826;0.536201;0.162994;0.527822;0.138941;0.308783;0.00193157;0.413865;0.0875492;0.302193;0.00796719;0.179277;0.480168;0.0100329;0.0217656;0.0850805;1.53467;0.593724;3.20002e-09;0.44793;0.462391;0.266285;0.303727;0.509866;0.254372;0.156964;0.280956;0.0074215;0.427919;0.00148869;0.281773;0.647136;0.000619677;2.66098;0.0104913;0.317625;0.957349;0.831136;0.0179242;0.0307603;0.306173;0.364009;0.00927078;0.0463172;0.293249;0.355425;0.424067;0.393644;0.0410575;0.00217194;0.00502224;0.00115475;0.158363;0.0228616;0.435994;0.0671741;0.0161997;0.287994;0.109244;0.83399;172.185
3;0.277044;0.398781;0.0478614;0.445043;0.163473;0.0337798;0.0632076;0.0573776;0.0105925;0.279671;0.463996;7.15467;19.0874;0.00163171;54.4879;0.438684;5.94108;0.0928935;0.227103;0.191552;0.136017;0.0185637;0.0455001;60.4469;1.22599;0.00311265;0.00147239;0.663233;0.000497911;0.596936;0.0168447;0.300311;0.287446;0.420438;0.279805;0.0493736;0.320269;0.154986;0.0412349;0.304773;0.507602;0.116872;0.291143;0.142396;0.417683;0.451297;0.00491297;0.418709;0.280559;0.0484821;0.551957;0.0402156;0.417704;0.510852;0.176449;0.566836;0.148473;0.308787;0.00215755;0.435987;0.0986067;0.310217;0.00879357;0.184397;0.456374;0.0112127;0.0231519;0.11926;1.53819;0.591821;4.56453e-09;0.422522;0.46605;0.278066;0.302561;0.506766;0.280759;0.173864;0.279202;0.00848543;0.40847;0.00172018;0.26909;0.642502;0.000691884;2.58643;0.011198;0.317699;0.997892;0.701995;0.0200649;0.0333242;0.360583;0.361342;0.0107966;0.0541879;0.294012;0.354383;0.407677;0.37239;0.0459787;0.00245162;0.00559767;0.00112667;0.192904;0.0254689;0.44483;0.0742737;0.0185865;0.29443;0.121842;0.911171;171.578
4;0.274911;0.397108;0.0508558;0.451506;0.172998;0.035899;0.0688085;0.0624135;0.011643;0.280251;0.478598;7.13088;19.089;0.00164523;54.741;0.416682;5.94297;0.0832803;0.235634;0.177251;0.148472;0.0206238;0.0493651;60.4567;1.3195;0.00348575;0.00164132;0.663172;0.00055636;0.61909;0.017989;0.300917;0.273171;0.430519;0.281306;0.0475347;0.322277;0.160122;0.0405114;0.29842;0.529877;0.105165;0.27791;0.146047;0.444291;0.448667;0.0055724;0.428693;0.282206;0.0466782;0.561929;0.0441086;0.466706;0.485816;0.189522;0.609023;0.157689;0.308792;0.00238886;0.457367;0.11002;0.317665;0.0096892;0.189298;0.432577;0.0124836;0.0246313;0.153078;1.54208;0.590962;7.00666e-09;0.398771;0.469284;0.293123;0.297943;0.504597;0.307424;0.188078;0.273814;0.00950195;0.38911;0.00196499;0.256318;0.637685;0.000768241;2.5104;0.0118643;0.317826;1.03858;0.571807;0.0223633;0.0361675;0.41566;0.358714;0.0123231;0.0622556;0.2949;0.353419;0.392706;0.349848;0.0514063;0.00276023;0.00630347;0.0012745;0.225035;0.0282734;0.452351;0.0820172;0.0209513;0.300631;0.135872;0.996009;170.98
5;0.272665;0.396008;0.0540482;0.457917;0.182428;0.0379726;0.0747954;0.067809;0.0127889;0.280713;0.493735;7.10794;19.0906;0.00165717;54.9751;0.394829;5.94513;0.0761048;0.243402;0.163312;0.161296;0.0227871;0.0529287;60.4652;1.41643;0.00390998;0.00183243;0.663106;0.0006228;0.639148;0.0192714;0.301492;0.258362;0.439949;0.282706;0.0459452;0.323285;0.165222;0.0397908;0.291794;0.553485;0.0927873;0.264045;0.148456;0.470438;0.446345;0.00625752;0.438023;0.28377;0.0451195;0.572803;0.0477986;0.515358;0.461377;0.202279;0.654715;0.166434;0.308796;0.00262297;0.478228;0.121737;0.324582;0.0106549;0.193819;0.408969;0.0138516;0.0261506;0.186219;1.54665;0.591165;1.49036e-09;0.376895;0.472181;0.311478;0.289757;0.503305;0.334471;0.199634;0.264666;0.0104588;0.369967;0.00222363;0.243593;0.632473;0.000848252;2.4331;0.0124729;0.318124;1.0787;0.442546;0.0248274;0.0392984;0.469519;0.356181;0.0138108;0.0703307;0.295921;0.352576;0.379484;0.326032;0.0575252;0.00310511;0.00709471;0.00144075;0.254629;0.0313374;0.458328;0.0907074;0.023254;0.306556;0.1515;1.08933;170.393
6;0.270291;0.395538;0.0572682;0.46445;0.191731;0.0399972;0.0811793;0.0735978;0.0139338;0.281079;0.509311;7.08582;19.0924;0.00166778;55.1891;0.373227;5.94747;0.0715972;0.250301;0.15026;0.174429;0.0250888;0.0559829;60.4724;1.51468;0.00446299;0.00208126;0.663036;0.00071003;0.656998;0.0211194;0.302037;0.243352;0.448592;0.283988;0.0444774;0.323242;0.170225;0.0390294;0.285019;0.57953;0.0797035;0.249945;0.148199;0.496356;0.444281;0.00698249;0.446563;0.285235;0.0436802;0.584536;0.0513086;0.562994;0.437699;0.214725;0.70479;0.174619;0.3088;0.00284662;0.498587;0.133592;0.331098;0.0116012;0.197767;0.38567;0.015324;0.0269997;0.218973;1.55187;0.59221;6.35633e-09;0.357416;0.474792;0.333166;0.277963;0.50276;0.361938;0.209246;0.251719;0.0113601;0.351104;0.00251278;0.231044;0.626446;0.000933082;2.35456;0.0128858;0.318933;1.11572;0.317269;0.0276175;0.0427174;0.521112;0.353844;0.0152343;0.0782459;0.297107;0.351945;0.368206;0.300963;0.0659979;0.00356597;0.00816283;0.00166622;0.281176;0.0352128;0.461728;0.102862;0.0254604;0.312215;0.169069;1.1928;169.814
7;0.267683;0.397934;0.0601838;0.471587;0.200744;0.0419578;0.0880942;0.0799309;0.0150908;0.281516;0.525972;7.0648;19.095;0.0016772;55.3615;0.353514;5.95026;0.0695426;0.255699;0.14072;0.187976;0.0275699;0.0577341;60.4775;1.61212;0.00556513;0.00256647;0.662958;0.000907463;0.673799;0.0257601;0.302533;0.228093;0.456075;0.284978;0.0422035;0.321425;0.17538;0.0373274;0.27838;0.608719;0.0646929;0.235622;0.144901;0.522262;0.442476;0.0077422;0.453945;0.28644;0.041422;0.59759;0.0546512;0.608427;0.416559;0.227014;0.761078;0.181336;0.292447;0.00300446;0.518612;0.144725;0.336144;0.0120912;0.200215;0.364428;0.016691;0.0247856;0.253214;1.56286;0.596217;4.3539e-09;0.344316;0.477099;0.359407;0.261287;0.503468;0.38909;0.215903;0.233589;0.0121272;0.334014;0.00285013;0.219757;0.617614;0.00102361;2.27777;0.0119301;0.32142;1.14011;0.202234;0.0309725;0.0465301;0.563174;0.352511;0.0164617;0.0855578;0.29848;0.352193;0.36075;0.275606;0.0854313;0.00448354;0.01092;0.00219688;0.299641;0.0416542;0.457901;0.131554;0.0274556;0.317881;0.189334;1.31024;169.25
8;0.265065;0.405192;0.0634687;0.480882;0.207908;0.0437478;0.0952893;0.0864658;0.0160058;0.282156;0.54237;7.04474;19.1018;0.00171487;55.5011;0.334018;5.95234;0.070004;0.259405;0.131494;0.202993;0.0306826;0.0573252;60.4819;1.71872;0.0105986;0.00520424;0.662881;0.0393612;0.689133;0.0412064;0.303052;0.217901;0.458874;0.285648;0.0409948;0.316584;0.180515;0.0363451;0.27334;0.631758;0.0492535;0.226216;0.146567;0.546761;0.440701;0.00854107;0.4567;0.287337;0.0402105;0.610542;0.057835;0.658698;0.395781;0.238767;0.820366;0.18635;0.27409;0.00316536;0.538587;0.156036;0.340855;0.0127771;0.195194;0.343573;0.0181889;0.0217144;0.29141;1.5721;0.600031;4.77236e-09;0.336834;0.479369;0.388364;0.242255;0.504487;0.419348;0.221782;0.213036;0.0128095;0.316686;0.00318191;0.208641;0.581016;0.00113447;2.19621;0.00751134;0.350211;1.13438;0.120381;0.0341111;0.0509559;0.599251;0.353049;0.0176228;0.0929981;0.300029;0.354159;0.354347;0.248991;0.10456;0.00560773;0.0129549;0.00273508;0.311862;0.047421;0.44479;0.160601;0.0294785;0.323712;0.211769;1.43812;168.655
9;0.262381;0.418234;0.0673421;0.491456;0.21288;0.0452455;0.102831;0.0932401;0.0176102;0.28296;0.558636;7.026;19.1116;0.00182803;55.6224;0.315039;5.95382;0.0720925;0.260989;0.122137;0.217038;0.0327391;0.0556792;60.4852;1.82449;0.0115174;0.00607335;0.662801;0.0977133;0.703866;0.0448931;0.303547;0.213236;0.456398;0.285859;0.0413072;0.307086;0.18589;0.0370592;0.27023;0.650859;0.0336358;0.221969;0.14986;0.568944;0.439003;0.00938368;0.454183;0.287788;0.0405488;0.623366;0.0606466;0.707138;0.375297;0.249616;0.88357;0.188874;0.255474;0.00341177;0.557316;0.169345;0.345834;0.0139026;0.184548;0.323502;0.020037;0.0227553;0.325878;1.58149;0.603836;4.95385e-09;0.331907;0.481466;0.420391;0.220483;0.506142;0.450125;0.227587;0.189625;0.0135189;0.299246;0.00354187;0.197569;0.526345;0.00168812;2.11391;0.0085464;0.387853;1.10243;0.0821862;0.0373009;0.0551278;0.628269;0.356008;0.0186185;0.0996522;0.301748;0.358341;0.349068;0.221108;0.124627;0.00647408;0.0150754;0.00312986;0.321641;0.0535133;0.428551;0.188061;0.0312917;0.329724;0.235778;1.57479;168.064
10;0.259553;0.435061;0.0714644;0.501242;0.216687;0.0465664;0.110767;0.100375;0.0194838;0.283715;0.575007;7.00828;19.1226;0.00170268;55.7276;0.296888;5.95509;0.0749463;0.260845;0.113383;0.230255;0.0356076;0.0545624;60.4873;1.92418;0.0124841;0.00703949;0.662714;0.147609;0.718505;0.0485204;0.304001;0.211369;0.451486;0.285663;0.0412958;0.295061;0.191257;0.0374757;0.268213;0.667447;0.0203302;0.219152;0.152401;0.589659;0.437648;0.0102186;0.449226;0.287848;0.0405644;0.636619;0.0631841;0.752589;0.355601;0.259666;0.951685;0.189238;0.237066;0.00364554;0.575066;0.182197;0.350584;0.0150952;0.173342;0.304498;0.0219548;0.0239704;0.356849;1.59269;0.60834;5.17766e-09;0.329013;0.483417;0.455299;0.19567;0.508272;0.481859;0.232274;0.162981;0.0141585;0.282171;0.00389503;0.186887;0.470737;0.00130537;2.03126;0.00959298;0.421818;1.06176;0.0645987;0.0402233;0.0596584;0.651647;0.360564;0.0194731;0.105533;0.303606;0.36399;0.345357;0.192319;0.148254;0.00756292;0.0177399;0.00369809;0.329106;0.0598215;0.410721;0.217578;0.0329126;0.335608;0.262219;1.72392;167.487
