condition;5FTHFabc;ACt;ATPase;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NH3t;O2t;PIabc;RIBFLVabc;THMDabc;URAt2;trdoxt;trdrdt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CTPSDUMP;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCMPDA;DCYTK;DGK1;DGSNK;DNAP;DRPA;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM2;PRPPS;PSSYN;PTAr;PUNP2;PUNP4;PYK2;PYK4;PYK5;PYK6;PYK7;PYK8;PdhC_transl;RBFK;RNAP;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;tRNAP;AATRS;Ribosome
1;0.00840862;0.0438233;0.802072;0.00686731;0.514548;0.0299487;0.528922;0.00907491;1.16091e-10;6.57932;0.00363898;0.00357876;0.000908998;0.00308137;3.18149;0.0110315;0.13572;0.0140826;1.78072;0.00375757;0.0685696;0.128641;0.248577;0.245776;1.15903;0.011516;0.425544;0.123304;0.0264327;42.6987;3.92215;0.297424;0.125573;0.0077016;0.00108902;0.00235136;0.58539;6.66324;0.00378649;0.0224488;0.0682421;0.0639585;0.00149533;0.00162289;0.00530363;2.60487;0.0258434;0.024841;0.0235865;0.246807;0.256813;6.4749;0.0207249;5.87506;0.579553;0.00644253;0.00969107;32.7754;0.0157653;0.548989;0.0136257;0.34058;26.542;0.0176514;0.0293302;0.00149339;0.00368493;0.00159923;0.00262468;0.557292;0.00252419;46.3258;46.4365;13.3088;4.91635;34.0701;0.445948;10.2306;6.47508;0.00338952;0.00384493;0.00527648;1.2596;0.256911;1.70755;0.00664551;0.686923;0.200423;0.231135;0.645065;0.002589;0.0452075;8.81473;0.0137814;0.0444979;0.576669;0.000831788;0.396613;0.35573;0.355704;0.355756;0.355551;0.332568;0.0633021;0.067553;2.93633;0.263033;0.00739115;0.00737657;0.928163;0.559171;0.188527;1.21219;42.8675;0.574809
2;0.010599;0.0548854;1.00314;0.00867087;0.643584;0.0375383;0.661557;0.0112743;1.45186e-10;8.22894;0.00447087;0.00453901;0.00112743;0.00385638;3.97893;0.0139067;0.169813;0.0175344;2.22715;0.00475305;0.0858357;0.160803;0.3108;0.307453;1.44962;0.0145082;0.532072;0.154236;0.0330033;53.4005;4.90513;0.372298;0.157016;0.00966459;0.00135943;0.00294044;0.731184;8.33326;0.00473851;0.0281037;0.0854289;0.0800795;0.00192526;0.00191383;0.00663844;3.25777;0.0324784;0.0312733;0.0295877;0.308694;0.3212;8.0975;0.0260069;7.34759;0.724962;0.00812541;0.0123508;40.9892;0.0197183;0.685882;0.017157;0.425512;33.1947;0.0220718;0.0366616;0.00189018;0.00496919;0.00215832;0.00354106;0.695864;0.00317111;57.9361;58.0745;16.6447;6.14889;42.6089;0.557142;12.7945;8.09774;0.00432059;0.00480897;0.0066038;1.57542;0.321332;2.13485;0.0084556;0.85914;0.250722;0.289115;0.806244;0.00323822;0.0565343;11.0238;0.0172365;0.055647;0.721722;0.00111893;0.498664;0.444904;0.444865;0.444951;0.444646;0.415988;0.0792602;0.0845676;3.67217;0.328953;0.0094188;0.00939791;1.15987;0.698776;0.236298;1.5117;53.6105;0.716299
3;0.0133505;0.0687014;1.25386;0.0109432;0.804513;0.0470219;0.826974;0.0139977;1.81468e-10;10.2862;0.00548643;0.00575521;0.00140237;0.00482339;4.97337;0.0175179;0.21235;0.0218186;2.78389;0.00600568;0.107386;0.200887;0.388376;0.384387;1.81201;0.0182638;0.664886;0.192818;0.0411917;66.7459;6.13095;0.465759;0.196218;0.0121199;0.00169632;0.00367495;0.912799;10.4158;0.00592573;0.0351541;0.10688;0.100203;0.00247029;0.00225641;0.00830357;4.07198;0.0407961;0.0393515;0.0370912;0.385872;0.401509;10.1209;0.0326147;9.18388;0.906345;0.0102404;0.0157019;51.2317;0.0246481;0.85644;0.0215866;0.531333;41.491;0.0275832;0.0458401;0.00235686;0.00660684;0.00287212;0.0047104;0.86841;0.00398232;72.4145;72.5874;20.8046;7.68601;53.2569;0.69568;15.9917;10.1212;0.00549386;0.00601082;0.00825933;1.9693;0.401684;2.66756;0.0107352;1.07391;0.313468;0.361444;1.00712;0.0040471;0.0706564;13.7786;0.0215421;0.0695474;0.902713;0.0014945;0.626389;0.556132;0.556076;0.556211;0.555765;0.520051;0.0991811;0.105804;4.58977;0.411149;0.0119731;0.011944;1.44861;0.872755;0.295973;1.88434;67.0072;0.892147
4;0.0168012;0.0859337;1.5661;0.0138028;1.00495;0.0588553;1.033;0.0173667;2.26653e-10;12.8486;0.00672455;0.00729303;0.00174964;0.00602836;6.21184;0.0220458;0.265349;0.0271295;3.47729;0.00757861;0.134245;0.250781;0.484964;0.480226;2.26335;0.0229699;0.830258;0.240878;0.0513837;83.3661;7.65756;0.582267;0.245028;0.015187;0.00211551;0.00458957;1.13875;13.0094;0.007405;0.0439298;0.133617;0.125288;0.00315945;0.00265983;0.0103791;5.08599;0.0512088;0.0494826;0.0464593;0.481993;0.501541;12.6407;0.0408685;11.4708;1.13231;0.012894;0.0199189;63.9874;0.030788;1.06867;0.0271332;0.66301;51.8231;0.0344458;0.0573204;0.00289897;0.00868026;0.00377704;0.00619198;1.08299;0.00499826;90.4454;90.6614;25.9854;9.60042;66.5176;0.86806;19.9734;12.6411;0.00697062;0.00750794;0.0103225;2.45987;0.501775;3.33085;0.0135992;1.34138;0.39164;0.451548;1.25715;0.00505398;0.0882428;17.2093;0.0269027;0.0868579;1.12824;0.00198249;0.785991;0.694676;0.694596;0.694803;0.694162;0.649687;0.124014;0.132273;5.7325;0.513504;0.0151869;0.015146;1.80798;1.0893;0.370414;2.34742;83.691;1.11041
5;0.0211199;0.107393;1.95432;0.0173968;1.25421;0.073595;1.2892;0.0215292;2.82838e-10;16.0349;0.00823166;0.00923659;0.00218932;0.00752744;7.75185;0.027711;0.331282;0.0337043;4.33955;0.00954831;0.167668;0.312789;0.605041;0.599429;2.8246;0.0288543;1.03585;0.300654;0.0640522;104.033;9.55587;0.727273;0.305707;0.0190126;0.00263641;0.00572671;1.41944;16.2345;0.0092462;0.0548305;0.166886;0.156504;0.0040285;0.00313709;0.0129635;6.34689;0.0642221;0.0621686;0.0581334;0.601524;0.625952;15.7739;0.051159;14.3144;1.41339;0.0162164;0.0252127;79.8481;0.0384229;1.33235;0.0340625;0.826619;64.6708;0.0429775;0.0716708;0.00351299;0.0112842;0.00491509;0.00805412;1.34944;0.00626984;112.866;113.135;32.4275;11.981;83.0065;1.08223;24.9244;15.7745;0.0088248;0.00937116;0.012891;3.06993;0.62626;4.15544;0.0171898;1.67395;0.488879;0.563623;1.56789;0.00630578;0.110111;21.4751;0.0335674;0.108383;1.40882;0.00261112;0.985023;0.866976;0.866864;0.867169;0.866267;0.810926;0.154919;0.165209;7.15339;0.640761;0.0192206;0.0191631;2.25459;1.35841;0.463119;2.92213;104.436;1.38091
6;0.0265118;0.134061;2.43602;0.0219073;1.56355;0.091917;1.60716;0.0266631;3.52559e-10;19.9893;0.0100622;0.0116858;0.00274477;0.00938859;9.66292;0.0347835;0.413138;0.0418282;5.40962;0.0120091;0.209174;0.389698;0.754019;0.74739;3.52111;0.0361961;1.29095;0.374849;0.0797688;129.678;11.9116;0.907358;0.380987;0.0237766;0.0032824;0.00713762;1.76744;20.2365;0.0115355;0.0683382;0.208196;0.195269;0.00512236;0.0037083;0.0161793;7.91162;0.0804493;0.0780215;0.0726482;0.749876;0.780368;19.6618;0.0639598;17.8432;1.76232;0.0203669;0.0318433;99.5298;0.0478977;1.65929;0.0426966;1.02948;80.6142;0.053563;0.0895877;0.0041872;0.0145399;0.00634045;0.0103844;1.67964;0.00786081;140.688;141.024;40.4218;14.9354;103.468;1.34778;31.0682;19.6626;0.0111475;0.0116896;0.0160859;3.82702;0.780772;5.17856;0.0216775;2.08665;0.609591;0.702741;1.95333;0.00785922;0.13725;26.7687;0.0418368;0.135096;1.75717;0.00341483;1.23262;1.08082;1.08067;1.08111;1.07985;1.01106;0.193297;0.206106;8.91658;0.798654;0.0242711;0.0241886;2.80859;1.69226;0.578324;3.634;130.179;1.71545
7;0.0332304;0.167123;3.03255;0.0275802;1.94673;0.114647;2.00102;0.0330025;0.000205709;24.8874;0.0122976;0.0148149;0.00347339;0.0116946;12.03;0.0435908;0.514555;0.0518665;6.7351;0.0150775;0.260618;0.484927;0.938526;0.930687;4.38385;0.0453379;1.6069;0.466775;0.0992453;161.443;14.8295;1.13047;0.474201;0.0297057;0.00408264;0.00888489;2.19818;25.1934;0.014376;0.085002;0.259369;0.243287;0.00647422;0.00444742;0.0201793;9.84974;0.100634;0.0978074;0.0906346;0.93368;0.971681;24.4773;0.0798402;22.2139;2.19473;0.0255381;0.0400829;123.907;0.0596338;2.06379;0.0533991;1.28047;100.362;0.0666712;0.111967;0.00486874;0.0185114;0.00808349;0.0132304;2.08827;0.0098715;175.148;175.567;50.3236;18.5949;128.812;1.67634;38.6779;24.4784;0.0140336;0.014587;0.0200558;4.76467;0.972209;6.44585;0.0272228;2.59778;0.759175;0.875116;2.43068;0.00977494;0.170858;33.3252;0.052066;0.168176;2.18879;0.00441481;1.53933;1.34571;1.3455;1.34612;1.34441;1.259;0.240838;0.256766;11.1004;0.994183;0.0305403;0.030403;3.49503;2.10599;0.721164;4.51463;162.065;2.12854
8;0.0415829;0.207938;3.76783;0.0346758;2.41913;0.142743;2.48658;0.0407696;0.000542507;30.9257;0.01499;0.0186892;0.00438368;0.0145387;14.9479;0.0545472;0.639627;0.0641873;8.36922;0.018909;0.324107;0.602251;1.16592;1.15669;5.44741;0.0567043;1.99637;0.580116;0.123249;200.599;18.4264;1.40559;0.589081;0.0370825;0.00506826;0.0110384;2.7305;31.3037;0.0167461;0.105465;0.322438;0.302465;0.00815712;0.00540595;0.0257172;12.2389;0.125577;0.122327;0.112803;1.16053;1.2075;30.413;0.0994561;27.6016;2.72797;0.0319727;0.0502868;153.956;0.0741002;2.5614;0.0665809;1.58925;124.705;0.0828275;0.139736;0.00556027;0.0235127;0.0102814;0.0168174;2.59114;0.0124591;217.627;218.146;62.5294;23.1061;160.052;2.08051;48.0579;30.4145;0.0176081;0.0186309;0.0255126;5.91975;1.20818;8.00799;0.0340808;3.2278;0.943557;1.08759;3.01952;0.0112675;0.212348;41.4072;0.0646979;0.209015;2.7212;0.00563719;1.91748;1.67227;1.672;1.67284;1.67054;1.56468;0.299429;0.319203;13.7923;1.23516;0.0382981;0.0380956;4.34188;2.61641;0.8976;5.5973;201.368;2.63548
9;0.051963;0.258167;4.67122;0.0435303;2.99969;0.177362;3.08331;0.0502571;0.00103336;38.3457;0.0182201;0.0234842;0.00552196;0.0180334;18.5333;0.0681339;0.793382;0.0792631;10.3775;0.0236774;0.402213;0.746336;1.44527;1.43448;6.75436;0.0707927;2.47502;0.719417;0.152751;248.712;22.8464;1.74376;0.730209;0.0462204;0.00627025;0.0136842;3.38495;38.8118;0.0186833;0.130456;0.399879;0.375115;0.0102612;0.00660444;0.0330549;15.1746;0.156263;0.152577;0.140009;1.43961;1.49724;37.7063;0.123615;34.2218;3.38351;0.0399543;0.0629498;190.877;0.0918756;3.17229;0.0827023;1.96834;154.616;0.102677;0.174118;0.00620079;0.0297144;0.0130121;0.0212697;3.20817;0.0158243;269.822;270.466;77.5273;28.6494;198.439;2.57667;59.5834;37.7083;0.0220463;0.0239203;0.0327765;7.33815;1.49811;9.9275;0.042577;4.0019;1.1701;1.34863;3.74315;0.0125166;0.263419;51.3379;0.0802722;0.259285;3.37572;0.00708388;2.38256;2.07355;2.07318;2.07433;2.07127;1.94032;0.371358;0.395864;17.0999;1.53122;0.0479264;0.0476343;5.38263;3.24375;1.1147;6.92534;249.662;3.25612
10;0.0647677;0.319714;5.77644;0.0545279;3.71016;0.219807;3.81354;0.0618102;0.00171909;47.4254;0.0220846;0.0294487;0.0069549;0.0223164;22.9206;0.0848716;0.981601;0.097645;12.8353;0.0295594;0.497868;0.922557;1.78704;1.77446;8.35368;0.088141;3.06082;0.889911;0.188863;307.584;28.255;2.15769;0.902856;0.0574396;0.00776219;0.016921;4.18544;47.9988;0.0209573;0.160829;0.49456;0.463921;0.0128644;0.00809649;0.0421927;18.7668;0.193858;0.189676;0.173332;1.78139;1.85178;46.6303;0.153246;42.3224;4.18607;0.0497924;0.0785864;236.055;0.113627;3.91929;0.102323;2.4319;191.218;0.126962;0.216553;0.00668676;0.0373101;0.0163619;0.0267277;3.96228;0.0201388;333.688;334.485;95.8792;35.4327;245.409;3.18337;73.6863;46.6329;0.0275274;0.0304981;0.0418155;9.07313;1.85289;12.2763;0.0530286;4.94908;1.44731;1.66805;4.62852;0.013971;0.325957;63.4892;0.0993407;0.320841;4.17688;0.00877748;2.95209;2.56457;2.5641;2.56562;2.56161;2.40001;0.459282;0.489587;21.1471;1.8934;0.0598066;0.0593815;6.65627;4.01152;1.38061;8.54847;308.754;4.01302
