condition;mu;doubling_time;density;consistent;converged;run_time
1;0.00332639;208.725;1;1;1;294.55
2;0.00416005;166.966;1;1;1;233.45
3;0.00519966;133.653;1;1;1;177.59
4;0.00649435;107.077;1;1;1;135.39
5;0.00810423;85.8752;1;1;1;115.02
6;0.010102;68.961;1;1;1;91.92
7;0.0125764;55.4609;1;1;1;66.86
8;0.0156265;44.7029;1;1;1;80.76
9;0.0193743;36.1221;1;1;1;70.62
10;0.0239602;29.2744;1;1;1;89.05
11;0.0295391;23.8103;1;1;1;90.64
12;0.0362795;19.4503;1;1;1;86.82
13;0.0443553;15.9712;1;1;1;93.18
14;0.0539353;13.195;1;1;1;99.64
15;0.0651651;10.9797;1;1;1;114.01
16;0.078145;9.21224;1;1;1;118.46
17;0.0929102;7.80184;1;1;1;119.97
18;0.10931;6.68168;1;1;1;123.5
19;0.127242;5.78714;1;1;1;149.21
20;0.146433;5.07223;1;1;1;110.94
21;0.166479;4.50124;1;1;1;119.33
22;0.186894;4.04545;1;1;1;109.74
23;0.207152;3.68178;1;1;1;122.02
24;0.226742;3.39176;1;1;1;114.37
25;0.245221;3.16054;1;1;1;105.2
26;0.262245;2.97626;1;1;1;109.67
27;0.277592;2.82943;1;1;1;115.8
28;0.291159;2.71248;1;1;1;109.67
29;0.302944;2.61934;1;1;1;109.12
30;0.313029;2.54518;1;1;1;124.11
31;0.321548;2.48615;1;1;1;119.13
32;0.328665;2.43916;1;1;1;116.62
33;0.334556;2.40177;1;1;1;105.12
34;0.339396;2.37202;1;1;1;141.41
35;0.343346;2.34835;1;1;1;143.87
36;0.346554;2.32952;1;1;1;132.5
37;0.349148;2.31456;1;1;1;121.92
38;0.351238;2.30265;1;1;1;81.08
39;0.352918;2.29319;1;1;1;93.56
40;0.354264;2.28567;1;1;1;94.6
41;0.355342;2.27969;1;1;1;102.78
42;0.356203;2.27494;1;1;1;166.93
43;0.356889;2.27116;1;1;1;98.43
44;0.357437;2.26816;1;1;1;109.2
45;0.357874;2.26578;1;1;1;102.16
46;0.358221;2.26388;1;1;1;73.19
47;0.358498;2.26238;1;1;1;71.83
48;0.358718;2.26118;1;1;1;117.94
49;0.358893;2.26023;1;1;1;81.81
50;0.359032;2.25948;1;1;1;76.9
51;0.359143;2.25888;1;1;1;145.2
52;0.359231;2.2584;1;1;1;128.96
53;0.359301;2.25803;1;1;1;97.71
54;0.359356;2.25773;1;1;1;96.2
55;0.3594;2.25749;1;1;1;105.24
56;0.359435;2.2573;1;1;1;112.76
57;0.359463;2.25715;1;1;1;120.72
58;0.359485;2.25703;1;1;1;131.25
59;0.359503;2.25693;1;1;1;123.01
60;0.359517;2.25686;1;1;1;108.29
61;0.359529;2.25679;1;1;1;183.55
62;0.359537;2.25675;1;1;1;122.71
63;0.359544;2.25671;1;1;1;143.66
64;0.359549;2.25668;1;1;1;144.46
65;0.359554;2.25666;1;1;1;120.34
66;0.359558;2.25664;1;1;1;196.03
67;0.35956;2.25662;1;1;1;101.69
68;0.359563;2.25661;1;1;1;175.65
69;0.359564;2.2566;1;1;1;153.98
70;0.359565;2.25659;1;1;1;141.23
