condition;5FTHFabc;ACt;ATPase;COAabc;DADNabc;DCYTabc;DGSNabc;FAt;FORt;GLCpts;GLYCt;H2Ot;Ht;LIPTA;L_LACt2r;NACabc;NH3t;O2t;PIabc;RIBFLVabc;THMDabc;URAt2;trdoxt;trdrdt;AAabc;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CTPSDUMP;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCMPDA;DCYTK;DGK1;DGSNK;DNAP;DRPA;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM2;PRPPS;PSSYN;PTAr;PUNP2;PUNP4;PYK2;PYK4;PYK5;PYK6;PYK7;PYK8;PdhC_transl;RBFK;RNAP;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;tRNAP;AATRS;Ribosome
1;0.00724314;0.0377491;0.6909;0.00591546;0.443228;0.0257976;0.45561;0.00781707;1e-10;5.66739;0.0031346;0.00308272;0.000783006;0.00265427;2.74052;0.00950249;0.116908;0.0121306;1.5339;0.00323675;0.0590655;0.110811;0.214122;0.21171;0.998385;0.0099198;0.366561;0.106213;0.022769;36.7804;3.37852;0.256199;0.108168;0.00663411;0.000938077;0.00202545;0.504252;5.73967;0.00326166;0.0193373;0.0587833;0.0550935;0.00128807;0.00139795;0.00456851;2.24382;0.0222614;0.0213979;0.0203173;0.212598;0.221218;5.57744;0.0178523;5.06074;0.499224;0.00554956;0.00834783;28.2326;0.0135801;0.472896;0.0117371;0.293374;22.8631;0.0152048;0.0252648;0.00128639;0.00317418;0.00137757;0.00226088;0.480048;0.00217433;39.9048;40.0001;11.4641;4.23492;29.3478;0.384137;8.81258;5.57759;0.00291971;0.003312;0.00454513;1.08501;0.221302;1.47088;0.00572441;0.591711;0.172643;0.199098;0.555655;0.00223015;0.0389415;7.59296;0.0118712;0.0383302;0.496739;0.000716497;0.34164;0.306423;0.306401;0.306446;0.30627;0.286472;0.0545281;0.0581898;2.52933;0.226575;0.0063667;0.00635413;0.799515;0.481667;0.162396;1.04418;36.9258;0.495137
2;0.00730028;0.0378035;0.690933;0.00597226;0.443283;0.0258554;0.455662;0.00776541;1e-10;5.66787;0.00307941;0.00312634;0.00077654;0.00265617;2.74057;0.00957853;0.116963;0.0120772;1.534;0.00327377;0.0591213;0.110756;0.214071;0.211765;0.998459;0.00999282;0.366476;0.106233;0.0227317;36.7808;3.37852;0.256428;0.108148;0.0066567;0.000936337;0.00202529;0.503619;5.73972;0.00326376;0.019357;0.0588411;0.0551565;0.00132607;0.00131819;0.00457237;2.24386;0.0223702;0.0215402;0.0203792;0.21262;0.221234;5.57733;0.0179128;5.06082;0.499334;0.00559655;0.00850692;28.2322;0.0135814;0.472416;0.0118173;0.293081;22.8636;0.0152025;0.0252515;0.0013019;0.00342264;0.00148659;0.00243898;0.479292;0.00218418;39.9048;40.0001;11.4644;4.23518;29.3478;0.383744;8.8125;5.5775;0.0029759;0.00331228;0.00454852;1.0851;0.221324;1.47042;0.00582398;0.591752;0.17269;0.199135;0.555319;0.00223039;0.0389392;7.5929;0.011872;0.0383281;0.497102;0.000770689;0.343466;0.306438;0.306411;0.30647;0.30626;0.286521;0.0545922;0.0582478;2.52929;0.226573;0.00648741;0.00647302;0.798884;0.481297;0.162755;1.04121;36.9254;0.493367
3;0.00735696;0.0378587;0.690956;0.00603038;0.443336;0.025912;0.455713;0.00771361;1e-10;5.66835;0.00302336;0.00317148;0.000772791;0.00265798;2.74063;0.00965342;0.117018;0.0120234;1.5341;0.0033095;0.059176;0.110701;0.214019;0.211821;0.99853;0.0100645;0.366393;0.106255;0.0226991;36.7811;3.37853;0.256662;0.108128;0.0066788;0.000934775;0.00202512;0.503008;5.73977;0.00326544;0.019372;0.0588975;0.055218;0.00136128;0.00124342;0.00457577;2.24391;0.0224812;0.0216851;0.0204395;0.212639;0.221256;5.57723;0.0179727;5.06088;0.499452;0.00564311;0.0086527;28.2318;0.0135826;0.471951;0.0118955;0.292797;22.8641;0.0152001;0.0252607;0.00129878;0.00364077;0.00158272;0.00259572;0.478547;0.0021945;39.9048;40.0001;11.4646;4.23546;29.3478;0.383362;8.81242;5.57741;0.00302745;0.00331233;0.0045514;1.0852;0.221353;1.46999;0.00591575;0.591789;0.17274;0.199178;0.554985;0.0022302;0.038936;7.59285;0.011871;0.0383249;0.49745;0.000823562;0.345179;0.306463;0.306432;0.306506;0.30626;0.28658;0.0546549;0.0583045;2.52924;0.226568;0.00659789;0.00658185;0.798274;0.480942;0.163099;1.03839;36.9251;0.491628
4;0.00741276;0.0379142;0.690968;0.00608984;0.443388;0.0259671;0.455763;0.00766226;1e-10;5.66883;0.00296689;0.00321771;0.000771947;0.00265973;2.74069;0.00972668;0.117073;0.0119696;1.53419;0.00334371;0.0592293;0.110645;0.213968;0.211877;0.998599;0.0101344;0.366313;0.106276;0.0226707;36.7814;3.37854;0.256898;0.108107;0.00670055;0.000933372;0.00202493;0.502419;5.73981;0.00326711;0.019382;0.0589521;0.0552773;0.00139396;0.00117353;0.00457928;2.24396;0.0225935;0.0218319;0.020498;0.212657;0.221282;5.57711;0.0180313;5.06094;0.499579;0.00568889;0.0087883;28.2314;0.0135838;0.471499;0.0119712;0.292523;22.8645;0.0151976;0.02529;0.00127904;0.00382976;0.00166644;0.00273192;0.477818;0.00220525;39.9048;40.0001;11.4649;4.23574;29.3478;0.382991;8.81234;5.57731;0.00307546;0.00331253;0.00455432;1.0853;0.221385;1.46958;0.00600001;0.59182;0.172793;0.199225;0.554658;0.00222983;0.038933;7.5928;0.0118696;0.038322;0.497784;0.000874679;0.346782;0.306494;0.306458;0.306549;0.306267;0.286644;0.0547155;0.0583593;2.5292;0.22656;0.00670051;0.00668245;0.797688;0.480601;0.163428;1.03569;36.9248;0.489915
5;0.00746715;0.0379698;0.690968;0.00615083;0.443437;0.0260202;0.455811;0.00761186;1e-10;5.6693;0.00291039;0.00326569;0.000774056;0.0026614;2.74074;0.00979748;0.117128;0.0119165;1.53429;0.0033759;0.0592807;0.11059;0.213918;0.211934;0.998665;0.0102017;0.366236;0.106299;0.0226463;36.7817;3.37857;0.257134;0.108086;0.00672208;0.000932127;0.00202473;0.501856;5.73985;0.00326908;0.0193859;0.0590041;0.0553336;0.00142431;0.00110915;0.00458337;2.24401;0.0227063;0.0219803;0.0205536;0.212675;0.221312;5.577;0.0180878;5.061;0.499716;0.00573347;0.00891421;28.2311;0.0135848;0.471065;0.0120431;0.292259;22.865;0.0151951;0.0253399;0.00124205;0.00398964;0.00173778;0.00284761;0.477108;0.00221676;39.9048;40.0001;11.4651;4.23602;29.3478;0.382634;8.81227;5.57722;0.00312009;0.00331327;0.00455775;1.0854;0.22142;1.4692;0.00607761;0.591843;0.172848;0.199274;0.554341;0.00222947;0.0389309;7.59275;0.0118681;0.0383199;0.498102;0.000923189;0.348265;0.306528;0.306488;0.306596;0.306277;0.286711;0.054773;0.0584113;2.52915;0.226547;0.00679563;0.0067753;0.797133;0.480281;0.16374;1.03315;36.9244;0.488233
6;0.00751983;0.0380251;0.690954;0.00621381;0.443485;0.0260714;0.455857;0.00756273;1e-10;5.66977;0.00285406;0.00331457;0.000778528;0.00266299;2.7408;0.00986601;0.117183;0.0118642;1.53439;0.00340626;0.0593302;0.110534;0.21387;0.21199;0.998728;0.0102667;0.366165;0.106322;0.0226257;36.782;3.37861;0.257363;0.108063;0.006744;0.000931023;0.00202452;0.501318;5.73989;0.00327195;0.0193835;0.0590528;0.0553862;0.00145291;0.00105182;0.00458911;2.24406;0.0228187;0.0221301;0.020606;0.212695;0.221344;5.57688;0.0181416;5.06105;0.499866;0.00577688;0.00903204;28.2307;0.0135857;0.470641;0.0121105;0.292002;22.8655;0.0151926;0.0254107;0.00118766;0.0041241;0.00179841;0.00294544;0.476413;0.00222964;39.9048;40.0001;11.4653;4.23629;29.3477;0.382285;8.81221;5.57712;0.00316188;0.00331564;0.00456263;1.0855;0.221458;1.46885;0.00614861;0.591857;0.172905;0.199326;0.554043;0.00222919;0.0389297;7.5927;0.0118666;0.0383187;0.498404;0.000968586;0.34962;0.306564;0.306521;0.306646;0.306291;0.286779;0.0548269;0.05846;2.5291;0.226531;0.00688426;0.00686087;0.796629;0.479994;0.164036;1.03075;36.9241;0.486572
7;0.00757103;0.0380762;0.690919;0.00628371;0.443532;0.0261205;0.455901;0.0075191;4.68677e-05;5.67021;0.00280182;0.00337535;0.000791357;0.00266444;2.74085;0.00993149;0.117233;0.011817;1.53449;0.00343518;0.0593778;0.110483;0.213829;0.212042;0.998792;0.0103295;0.366106;0.106347;0.0226115;36.7823;3.37866;0.257561;0.108039;0.00676798;0.000930166;0.00202428;0.500822;5.73993;0.00327536;0.0193664;0.0590931;0.0554292;0.00147505;0.00101327;0.00459755;2.24411;0.0229278;0.0222839;0.0206497;0.212724;0.221382;5.57677;0.0181903;5.0611;0.500034;0.00581846;0.00913227;28.2303;0.0135866;0.470203;0.0121661;0.291736;22.8659;0.01519;0.02551;0.00110927;0.00421752;0.0018417;0.00301434;0.475781;0.00224907;39.9048;40.0001;11.4654;4.23655;29.3477;0.381927;8.81215;5.57702;0.00319733;0.00332341;0.0045694;1.08556;0.221503;1.46859;0.00620228;0.591864;0.172966;0.199381;0.553793;0.00222707;0.0389273;7.59263;0.0118624;0.0383163;0.498681;0.00100585;0.350712;0.306599;0.306552;0.306692;0.306304;0.286842;0.0548713;0.0585001;2.52905;0.226509;0.00695814;0.00692685;0.796289;0.479817;0.164306;1.02859;36.9239;0.484956
8;0.0076248;0.0381283;0.690883;0.0063583;0.443582;0.0261739;0.455949;0.00747568;9.94761e-05;5.67065;0.00274863;0.00342693;0.000803809;0.00266588;2.7409;0.010002;0.117284;0.0117696;1.53461;0.00346723;0.0594296;0.110431;0.213787;0.212096;0.998858;0.0103975;0.366062;0.106372;0.0225994;36.7826;3.37874;0.257735;0.108016;0.00679959;0.000929336;0.00202405;0.500674;5.73997;0.00307063;0.0193384;0.0591235;0.0554612;0.00149572;0.000991255;0.00471561;2.24416;0.0230263;0.0224304;0.020684;0.2128;0.221411;5.57664;0.0182367;5.06114;0.50021;0.00586264;0.00922078;28.2299;0.0135873;0.469668;0.0122085;0.291411;22.8663;0.0151876;0.0256226;0.00101955;0.00431139;0.00188524;0.0030837;0.475122;0.00228454;39.9048;40.0001;11.4656;4.23682;29.3478;0.381489;8.81207;5.57692;0.0032287;0.00341624;0.00467809;1.08547;0.221537;1.46838;0.00624919;0.591862;0.173014;0.199424;0.553672;0.00206605;0.038937;7.59258;0.0118633;0.0383257;0.49897;0.00103366;0.351597;0.306634;0.306583;0.306739;0.306317;0.286906;0.0549045;0.0585302;2.529;0.226484;0.00702248;0.00698536;0.796143;0.479755;0.164587;1.02634;36.9236;0.483251
9;0.00768499;0.0381812;0.690843;0.00643784;0.443635;0.0262306;0.456001;0.0074327;0.000152828;5.67108;0.00269464;0.00347315;0.000816662;0.00266703;2.74095;0.0100766;0.117336;0.0117225;1.53477;0.00350174;0.0594847;0.110378;0.213746;0.21215;0.998926;0.0104698;0.366039;0.106397;0.0225908;36.7829;3.37883;0.257891;0.107993;0.0068357;0.00092733;0.0020238;0.500612;5.74001;0.00276314;0.0192936;0.0591395;0.0554771;0.00151757;0.000976754;0.00488861;2.24422;0.0231103;0.0225651;0.0207064;0.21291;0.221431;5.57651;0.0182818;5.06118;0.500398;0.00590899;0.00930986;28.2295;0.0135878;0.469161;0.0122311;0.291104;22.8668;0.0151853;0.0257509;0.000917056;0.00439457;0.0019244;0.00314565;0.474467;0.00234031;39.9049;40.0001;11.4658;4.23707;29.3478;0.381072;8.812;5.57681;0.00326051;0.00353766;0.00484743;1.08527;0.221561;1.46821;0.00629686;0.591856;0.17305;0.199454;0.553588;0.00185113;0.038958;7.59254;0.0118717;0.0383465;0.499247;0.00104766;0.352366;0.306664;0.306611;0.306779;0.306327;0.286961;0.0549214;0.0585456;2.52896;0.226457;0.007088;0.0070448;0.796056;0.47973;0.164857;1.02421;36.9233;0.481559
10;0.00774539;0.0382337;0.690788;0.00652084;0.443688;0.0262861;0.456051;0.00739171;0.000205582;5.67148;0.00264104;0.00352169;0.000831718;0.00266876;2.74101;0.0101496;0.117387;0.0116771;1.53493;0.00353492;0.0595387;0.110326;0.213707;0.212203;0.998993;0.0105405;0.366035;0.106422;0.0225856;36.7831;3.37894;0.258032;0.10797;0.00686904;0.000928259;0.00202354;0.500526;5.74005;0.00250623;0.0192331;0.0591431;0.055479;0.00153841;0.000968238;0.00504571;2.24428;0.023183;0.0226828;0.0207283;0.213032;0.221449;5.57639;0.0183263;5.06122;0.500601;0.00595454;0.00939793;28.2291;0.0135883;0.468697;0.0122366;0.290825;22.8672;0.015183;0.025897;0.000799652;0.00446182;0.00195668;0.00319629;0.473838;0.00240834;39.9049;40.0001;11.4659;4.23729;29.3478;0.38069;8.81195;5.5767;0.00329193;0.00364718;0.00500061;1.08503;0.221582;1.46809;0.00634155;0.591846;0.17308;0.199478;0.553512;0.00167075;0.0389803;7.5925;0.0118799;0.0383685;0.499501;0.00104967;0.353032;0.30669;0.306634;0.306815;0.306336;0.28701;0.0549243;0.0585483;2.52892;0.226426;0.00715211;0.00710127;0.796005;0.479727;0.165103;1.02229;36.9231;0.479906
