condition;iter;t;dt;10fthfglu3;12dgr;13dpg;1ag3p;2dr1p;2dr5p;2pg;3pg;5fthf;5fthfglu3;ACP_R;ACP;DNA;PdhC;RNA;ac;acald;accoa;actp;ade;adp;amp;ap;apoACP;atp;cdp;cdpdag;clpn;cmp;coa;ctp;dUTPase;dad_2;dadp;damp;datp;dcdp;dcmp;dctp;dcyt;dgdp;dgmp;dgsn;dgtp;dhap;dhlpl_PdhC;dnad;dtdp;dtmp;dttp;dump;e4p;f6p;fa;fdp;fmettrna;fmn;for;g1p;g3p;g6p;galfur12dgr;gdp;glyc3p;glyc;gmp;gtp;gua;h2o;h;lac__L;lgltn;lpl_PdhC;methfglu3;mlthfglu3;nac;nad;nadh;nadp;nadph;nh3;nicrnt;o2;pa;pap;pep;pg3p;pg;pi;ppi;prpp;pyr;r5p;ribflv;ru5p__D;s7p;thfglu3;thymd;trdox;trdrd;udp;udpg;udpgal;udpgalfur;udpgltn;ump;ura;utp;xu5p__D;AA;tRNA;AAtRNA;Protein
67;0;0;0.01;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.0206038;0.055;0.000884956;0.16274;0.000884956;0.016708;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.173544;0.000884956;0.000884956;0.000884956;0.00190167;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.000884956;0.475697
67;100;6.016e-05;6.4e-07;0.00086313;0.000897473;0.000844315;0.000910119;0.000842263;0.000804036;0.000852269;0.000884459;0.000314972;0.000885283;0.000892712;0.0205938;0.0549925;0.000757078;0.162689;0.000924543;0.0167237;0.000873866;0.000870875;0.000868904;0.000207362;0.000586988;0.000842758;0.173546;0.00235147;0.000863414;0.000884782;0.00190166;0.000902244;0.000907937;0.00076738;0.00088383;0.000923748;0.000871074;0.000881128;0.000880372;0.000870741;0.000851333;0.000876981;0.000892961;0.000925348;0.000871224;0.000923333;0.000827503;0.000909973;0.00087022;0.000718219;0.000871096;0.000881136;0.000880213;0.000915638;0.000847624;0.00110459;0.000935073;0.000778798;0.00143205;0.000863471;0.000884947;0.000877535;0.00104372;0.000793414;0.000886657;0.000864213;0.0008573;0.000927673;0.00090238;0.000771567;0.000868676;0.00116822;0.000924707;0.000930334;0.000885148;0.00102684;0.000880793;0.000890605;0.00087881;0.00109508;0.000608478;0.000884939;0.000862179;0.000921244;0.00101182;0.00091534;0.000869203;0.000859749;0.000938465;0.000871961;0.000896732;0.00097222;0.000791786;0.00068114;0.00086293;0.0010761;0.000896664;0.00081394;0.000866019;0.00089517;0.000893694;0.000918583;0.000917973;0.000871471;0.000877178;0.000885138;0.000878253;0.000886337;0.000901431;0.000917832;0.000831199;0.000825894;0.000878864;0.000363092;0.00279807;0.473966
67;200;0.00018432;1.28e-06;0.000839715;0.000919751;0.000817588;0.000955064;0.000785185;0.000637953;0.000822743;0.000851333;2.40082e-05;0.000884305;0.000914663;0.0205664;0.0549928;0.000467394;0.162628;0.000922462;0.016754;0.000835793;0.000868592;0.000841703;0.000307296;0.000191778;0.000793499;0.173551;0.00314162;0.000851366;0.000884092;0.00190162;0.000911907;0.000973377;0.000639032;0.000883648;0.000980085;0.000878007;0.000878861;0.000857764;0.00087616;0.000780077;0.000853952;0.000900323;0.00106652;0.00084312;0.000978523;0.00068358;0.00102091;0.000956143;0.000473407;0.000878018;0.000878958;0.000857454;0.000987886;0.000774833;0.00146043;0.000939237;0.000628467;0.00197215;0.000851455;0.000878624;0.000840769;0.00126093;0.000659362;0.000892076;0.000851734;0.00082952;0.000926653;0.000909719;0.000643701;0.00084364;0.00145035;0.000938602;0.000938033;0.000885761;0.0012313;0.000891321;0.000897729;0.000880025;0.0013485;0.000300263;0.000884883;0.000816802;0.000920805;0.00117962;0.000906025;0.000839039;0.000800232;0.001042;0.000846903;0.000919448;0.00130573;0.000584363;0.000407002;0.000819497;0.0013789;0.00090581;0.000672764;0.000833071;0.000903762;0.000902435;0.000913597;0.000911019;0.000875836;0.000849319;0.000885722;0.000856894;0.000890736;0.000906518;0.000912101;0.00078683;0.000713428;0.00088282;0.000572307;0.00405597;0.472203
67;300;0.00043264;2.56e-06;0.000813229;0.000943647;0.00080194;0.00101571;0.000756911;0.000353348;0.000828772;0.00080159;3.18391e-05;0.000877134;0.000962632;0.020509;0.0549929;5.13667e-06;0.162545;0.000887852;0.0168026;0.000757623;0.000870446;0.000778785;0.000406874;0.000113543;0.000727122;0.173561;0.00396029;0.000835392;0.000882177;0.00190153;0.00092471;0.00108808;0.000486377;0.000883466;0.00103682;0.000896079;0.000875688;0.000817525;0.000888635;0.000644257;0.000813007;0.000904499;0.00128388;0.000793823;0.00103388;0.000474496;0.00119229;0.00116775;8.11591e-05;0.000895941;0.000876016;0.000817029;0.0011312;0.000656838;0.00186814;0.000913501;0.000567312;0.00254712;0.000835524;0.000837472;0.00071767;0.00145751;0.00064935;0.000905476;0.000826704;0.000792451;0.000892515;0.000881671;0.000519864;0.000834191;0.00175299;0.000947277;0.000899514;0.000887276;0.00148318;0.000904731;0.000906452;0.000894813;0.00142918;0.000315523;0.000884719;0.000662186;0.000887728;0.0013548;0.000864904;0.000799987;0.000504649;0.00114569;0.00081383;0.000949455;0.00178124;0.000278937;0.000170758;0.000780423;0.00174132;0.000911851;0.000458903;0.000803878;0.000911699;0.000910653;0.000876034;0.00086817;0.000886451;0.000780824;0.000887168;0.000804068;0.000901614;0.000871836;0.000885254;0.000815838;0.000537673;0.000887823;0.000813951;0.0054443;0.470266
67;400;0.0007808;1.024e-06;0.000789741;0.00095969;0.000744096;0.00107525;0.000719657;0.000141031;0.000853293;0.000793972;3.72382e-05;0.000869547;0.00102786;0.0204327;0.0549977;4.87806e-06;0.162474;0.000851082;0.0168449;0.000654719;0.000876915;0.000726124;0.00048372;0.00013399;0.000662144;0.173573;0.0045418;0.000820133;0.000894938;0.00190138;0.000936926;0.00123635;0.000328237;0.000883296;0.00107274;0.000923039;0.000872455;0.000764982;0.000901889;0.00052353;0.000761692;0.000902223;0.00143155;0.000736264;0.00106901;0.000360222;0.00135264;0.00122134;3.88046e-05;0.000922586;0.000873144;0.000764395;0.00127346;0.000521236;0.00222323;0.000886898;0.000622343;0.00303477;0.000820304;0.000793947;0.000540656;0.00157922;0.000743341;0.000925839;0.000789389;0.000756595;0.000855662;0.000806065;0.000422952;0.000855444;0.00204573;0.000977684;0.000859632;0.00088958;0.00142972;0.00091776;0.000914277;0.000927555;0.00147299;0.000340227;0.000884349;0.000463002;0.000854787;0.00133869;0.000821685;0.000752982;0.000126391;0.00120057;0.000782042;0.000978322;0.00209252;9.45178e-05;0.000155613;0.000750599;0.00206374;0.000916605;0.000234303;0.000797692;0.000917862;0.000918124;0.000838836;0.000821641;0.000912466;0.000713996;0.000889379;0.000723714;0.00091815;0.000787306;0.000872108;0.000871054;0.000342259;0.000892707;0.00103089;0.00664386;0.468608
67;500;0.00091904;2.048e-06;0.000782471;0.000964733;0.000715402;0.00109641;0.000682474;0.000134609;0.000862882;0.000800242;3.94808e-05;0.000866981;0.00105243;0.0204044;0.0550015;4.8713e-06;0.162456;0.000838989;0.0168522;0.000618629;0.000878945;0.000711837;0.000507154;0.000138655;0.000638801;0.173577;0.00471204;0.000814473;0.000904549;0.00190132;0.000941454;0.00128874;0.000271955;0.000883236;0.00108069;0.000933116;0.000871238;0.000744219;0.000904679;0.000496145;0.000742244;0.000899885;0.00145988;0.000714785;0.00107684;0.000348996;0.00140223;0.00122751;4.01034e-05;0.000932524;0.000872076;0.000743634;0.00131263;0.000473651;0.00233565;0.000878865;0.000643797;0.00318325;0.000814658;0.000779343;0.000475386;0.00160138;0.000778596;0.000933983;0.000774349;0.000743682;0.000843531;0.000780902;0.000391999;0.000865136;0.00214257;0.00099213;0.000846506;0.000890502;0.0014235;0.000921953;0.000916589;0.000938703;0.00150159;0.00034876;0.000884126;0.000386747;0.000843262;0.00132212;0.000807256;0.000732682;5.67112e-06;0.00121211;0.000770408;0.000988888;0.00213933;9.38292e-05;0.000157982;0.00074198;0.00216134;0.000918536;0.000164248;0.000801352;0.00091973;0.000920992;0.000827092;0.000805675;0.000923214;0.000698908;0.000890278;0.00069155;0.000924765;0.000759615;0.000867477;0.000884521;0.000274792;0.000894505;0.00109814;0.00701133;0.468106
67;600;0.00119552;4.096e-06;0.000769996;0.000974414;0.000661814;0.00113722;0.000627658;0.00013288;0.000881085;0.000813826;4.6345e-05;0.000862793;0.00109921;0.0203652;0.0550091;2.38136e-06;0.16242;0.000816196;0.0168634;0.000554454;0.00088282;0.000664036;0.000535799;0.00011088;0.000594979;0.173571;0.00491879;0.000796647;0.000911229;0.0019012;0.000949211;0.001383;0.000196795;0.000883135;0.00108794;0.000953713;0.000869091;0.000704103;0.000908406;0.000466873;0.000704775;0.000893659;0.00150212;0.000673036;0.00108414;0.000344219;0.00148495;0.00122823;3.96972e-05;0.000952836;0.00087023;0.000703535;0.00136973;0.000393121;0.00252392;0.000863706;0.000680957;0.00343608;0.000804977;0.000752095;0.000359147;0.00163803;0.000840642;0.000950105;0.000746311;0.000719766;0.00082051;0.00072601;0.000344329;0.000890716;0.0023156;0.00102215;0.000821863;0.000892327;0.00142519;0.00093087;0.00092016;0.00096319;0.001575;0.000368048;0.000883367;0.00024316;0.000820592;0.00127374;0.000780511;0.000701395;4.0864e-06;0.00122813;0.000747185;0.00100998;0.00219;0.000100588;0.000160577;0.000728172;0.00227798;0.000922654;8.46887e-05;0.000806067;0.00092296;0.000926851;0.000806195;0.000775369;0.000945489;0.000667173;0.000892082;0.000627832;0.000937864;0.000701289;0.000860947;0.000914369;0.000155125;0.000898864;0.00121145;0.00763277;0.467257
67;700;0.00151747;1.6384e-06;0.000757883;0.000985153;0.000609639;0.00118249;0.000595598;0.000131325;0.000898109;0.000826942;5.05186e-05;0.000858769;0.00114988;0.0203247;0.0550179;4.91515e-06;0.162378;0.000793043;0.0168738;0.000491228;0.00088582;0.000612271;0.000566054;0.000115992;0.000546499;0.173562;0.00511221;0.000749644;0.000902257;0.00190105;0.000957739;0.00147831;0.000177113;0.00088304;0.00108497;0.000977167;0.000866705;0.000658742;0.000910074;0.000456906;0.000662494;0.000885076;0.00154413;0.00062588;0.00108164;0.000345937;0.00155879;0.00122877;4.16726e-05;0.000975959;0.000868198;0.000658198;0.00141598;0.000338059;0.00267919;0.000849516;0.000713214;0.00367905;0.000794319;0.000724056;0.000239793;0.00164848;0.00089895;0.000968405;0.00071566;0.000693311;0.000797118;0.000664276;0.000304439;0.000925822;0.00248504;0.00105829;0.000796439;0.0008944;0.00142204;0.000942644;0.000921226;0.000991285;0.0016547;0.000388762;0.000880137;9.48803e-05;0.000796799;0.00121469;0.000753268;0.000677636;4.11022e-06;0.0012376;0.000720365;0.00103432;0.00223852;0.000100014;0.000164599;0.000718195;0.00233174;0.000927964;6.72741e-05;0.000781364;0.000926138;0.000933943;0.000787459;0.00074261;0.000970946;0.000632728;0.000894155;0.000555427;0.00095274;0.000639226;0.000855263;0.000945027;0.000110321;0.000904076;0.00132084;0.00822444;0.466445
67;800;0.00173701;3.2768e-06;0.000750674;0.000992455;0.000581293;0.00121224;0.000585146;0.000130709;0.00090723;0.000833536;5.17961e-05;0.000856283;0.00118233;0.0202989;0.0550239;1.09117e-05;0.162351;0.000779061;0.0168799;0.000454195;0.000886709;0.000582109;0.000585962;0.000119456;0.000514268;0.173556;0.00523425;0.000712064;0.000893518;0.00190096;0.000963675;0.00153549;0.000179637;0.000882982;0.00107847;0.000992486;0.000865056;0.000628408;0.000910046;0.000457013;0.000634251;0.000878996;0.00157107;0.000594528;0.00107564;0.000347736;0.00159713;0.00122996;4.27502e-05;0.000991056;0.000866791;0.00062788;0.00144149;0.000312533;0.00276484;0.000841878;0.000729248;0.00382247;0.000786893;0.000706753;0.000165053;0.00165297;0.000931376;0.000980557;0.00069579;0.000675582;0.000783051;0.000625147;0.000281979;0.000951148;0.00258732;0.00108302;0.000780323;0.000895778;0.00141479;0.000964287;0.000907246;0.0010095;0.00169646;0.000392823;0.000862761;3.68711e-05;0.000782058;0.0011759;0.000736713;0.000663623;4.2196e-06;0.00124349;0.00070214;0.00105086;0.00226076;0.000100155;0.00016686;0.000712927;0.00235145;0.000931874;6.71894e-05;0.000757957;0.000928056;0.000938944;0.000782276;0.000717648;0.000987231;0.000611682;0.000895537;0.000507305;0.000962622;0.000602386;0.000851646;0.000964171;0.00011028;0.000907441;0.00138568;0.00857207;0.465968
67;900;0.00200702;1.31072e-06;0.000742689;0.00100163;0.000554856;0.00124788;0.000579398;0.000130662;0.000916565;0.000839739;5.40481e-05;0.000853349;0.00122018;0.020269;0.0550311;4.93387e-06;0.16232;0.000763412;0.0168868;0.000414292;0.000886523;0.000549338;0.000607721;0.000123779;0.000475106;0.17355;0.00537483;0.000665861;0.0008835;0.00190084;0.000971304;0.00159853;0.000186399;0.000882916;0.00106776;0.00101017;0.00086296;0.000592048;0.000908804;0.000460461;0.00060039;0.000871625;0.00160244;0.000556814;0.00106568;0.000350243;0.0016352;0.00123057;4.37456e-05;0.00100848;0.000864992;0.000591539;0.00146961;0.000286105;0.00286083;0.000834332;0.000744942;0.00398051;0.000777339;0.000686944;8.02456e-05;0.00166283;0.000964763;0.000995149;0.000671718;0.000653813;0.000767405;0.000580034;0.000257991;0.000982796;0.00270154;0.00111307;0.000760504;0.000897434;0.00142014;0.00101652;0.000863315;0.00103095;0.00171804;0.000394707;0.000813451;3.4409e-05;0.000765162;0.00112871;0.000718242;0.00064605;4.35359e-06;0.00125111;0.000679667;0.00107125;0.00228027;0.000100504;0.000169464;0.000708003;0.00237275;0.00093697;6.83139e-05;0.000731603;0.000930211;0.000945276;0.000785946;0.00068121;0.00100569;0.000587698;0.000897184;0.00044949;0.000974493;0.000562968;0.000847095;0.000987617;0.000112784;0.000911316;0.00145726;0.00895367;0.465446
