condition;iter;t;dt;10fthfglu3;12dgr;13dpg;1ag3p;2dr1p;2dr5p;2pg;3pg;5fthf;5fthfglu3;ACP_R;ACP;DNA;PdhC;RNA;ac;acald;accoa;actp;ade;adp;amp;ap;apoACP;atp;cdp;cdpdag;clpn;cmp;coa;ctp;dUTPase;dad_2;dadp;damp;datp;dcdp;dcmp;dctp;dcyt;dgdp;dgmp;dgsn;dgtp;dhap;dhlpl_PdhC;dnad;dtdp;dtmp;dttp;dump;e4p;f6p;fa;fdp;fmettrna;fmn;for;g1p;g3p;g6p;galfur12dgr;gdp;glyc3p;glyc;gmp;gtp;gua;h2o;h;lac__L;lgltn;lpl_PdhC;methfglu3;mlthfglu3;nac;nad;nadh;nadp;nadph;nh3;nicrnt;o2;pa;pap;pep;pg3p;pg;pi;ppi;prpp;pyr;r5p;ribflv;ru5p__D;s7p;thfglu3;thymd;trdox;trdrd;udp;udpg;udpgal;udpgalfur;udpgltn;ump;ura;utp;xu5p__D;AA;tRNA;AAtRNA;Protein
67;0;0;0.01;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;7.19071;19.195;0.30885;56.7963;0.30885;5.83108;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;60.567;0.30885;0.30885;0.30885;0.663684;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;0.30885;166.018
67;100;6.016e-05;6.4e-07;0.301232;0.313218;0.294666;0.317632;0.29395;0.280609;0.297442;0.308676;0.109925;0.308964;0.311556;7.18723;19.1924;0.26422;56.7784;0.322666;5.83655;0.304979;0.303936;0.303247;0.0723693;0.204859;0.294123;60.5674;0.820664;0.301332;0.308789;0.663679;0.314883;0.31687;0.267816;0.308457;0.322388;0.304005;0.307514;0.30725;0.303889;0.297115;0.306066;0.311643;0.322946;0.304057;0.322243;0.288799;0.317581;0.303707;0.250659;0.304013;0.307517;0.307194;0.319558;0.295821;0.3855;0.32634;0.271801;0.499787;0.301351;0.308847;0.30626;0.36426;0.276901;0.309443;0.30161;0.299198;0.323758;0.314931;0.269277;0.303168;0.40771;0.322723;0.324687;0.308917;0.358366;0.307397;0.310821;0.306705;0.382182;0.212359;0.308844;0.3009;0.321514;0.353124;0.319454;0.303352;0.300052;0.327524;0.304314;0.312959;0.339305;0.276333;0.237718;0.301162;0.37556;0.312936;0.284065;0.302241;0.312414;0.311899;0.320585;0.320373;0.304143;0.306135;0.308913;0.30651;0.309332;0.314599;0.320323;0.290089;0.288237;0.306724;0.126719;0.976525;165.414
67;200;0.00018432;1.28e-06;0.293061;0.320993;0.285338;0.333317;0.274029;0.222645;0.287137;0.297115;0.00837887;0.308623;0.319217;7.17766;19.1925;0.16312;56.7571;0.321939;5.84716;0.291692;0.303138;0.293754;0.107246;0.0669307;0.276931;60.5694;1.09643;0.297127;0.308548;0.663666;0.318256;0.339708;0.223022;0.308393;0.34205;0.306424;0.306722;0.29936;0.30578;0.272247;0.298029;0.314213;0.372215;0.294249;0.341505;0.238569;0.356297;0.333694;0.165219;0.306428;0.306756;0.299251;0.344772;0.270417;0.509689;0.327794;0.219335;0.688279;0.297158;0.30664;0.293428;0.440066;0.230117;0.311335;0.297255;0.289503;0.323402;0.317492;0.224652;0.29443;0.506171;0.327572;0.327374;0.309131;0.429724;0.311071;0.313307;0.307129;0.470628;0.104792;0.308824;0.285064;0.321361;0.411687;0.316203;0.292825;0.279281;0.363659;0.295569;0.320887;0.455698;0.203943;0.142044;0.286004;0.481235;0.316128;0.234795;0.290742;0.315413;0.31495;0.318845;0.317946;0.305667;0.296412;0.309117;0.299056;0.310867;0.316375;0.318323;0.274604;0.248986;0.308104;0.199735;1.41553;164.799
67;300;0.00043264;2.56e-06;0.283817;0.329333;0.279877;0.354481;0.264162;0.123318;0.289241;0.279755;0.0111118;0.30612;0.335959;7.15765;19.1925;0.0017927;56.7283;0.30986;5.86412;0.26441;0.303786;0.271796;0.141999;0.0396266;0.253766;60.5729;1.38214;0.291552;0.30788;0.663633;0.322724;0.379741;0.169745;0.30833;0.361851;0.312732;0.305615;0.285316;0.310134;0.224846;0.283739;0.31567;0.448076;0.277044;0.360823;0.165599;0.416108;0.407546;0.0283245;0.312683;0.305729;0.285143;0.394788;0.229237;0.651982;0.318812;0.197992;0.888945;0.291598;0.292278;0.250467;0.508672;0.226623;0.316011;0.28852;0.276566;0.311488;0.307703;0.181433;0.291133;0.611793;0.3306;0.31393;0.309659;0.517628;0.315751;0.316352;0.31229;0.498785;0.110117;0.308767;0.231103;0.309817;0.472827;0.301851;0.279196;0.176123;0.399844;0.284027;0.33136;0.621651;0.0973491;0.0595946;0.272368;0.60772;0.318236;0.160157;0.280553;0.318183;0.317818;0.305736;0.302991;0.309372;0.272507;0.309621;0.28062;0.314663;0.304271;0.308954;0.284728;0.187648;0.30985;0.284069;1.90006;164.123
67;400;0.0007808;1.024e-06;0.27562;0.334932;0.25969;0.375264;0.25116;0.0492198;0.297799;0.277096;0.0129961;0.303472;0.358723;7.131;19.1942;0.00170244;56.7034;0.297028;5.87886;0.228497;0.306043;0.253417;0.168818;0.0467625;0.231088;60.5771;1.58509;0.286227;0.312333;0.663582;0.326987;0.431485;0.114555;0.30827;0.374387;0.322141;0.304487;0.266979;0.314759;0.182712;0.265831;0.314876;0.49961;0.256956;0.373083;0.125717;0.472071;0.426246;0.0135428;0.321982;0.304727;0.266774;0.444436;0.181911;0.775907;0.309527;0.217198;1.05914;0.286286;0.277087;0.188689;0.551148;0.259426;0.323118;0.275497;0.264052;0.298626;0.281317;0.14761;0.29855;0.713961;0.341212;0.300012;0.310464;0.498971;0.320298;0.319083;0.323717;0.514072;0.118739;0.308638;0.161588;0.298321;0.467204;0.286768;0.262791;0.0441105;0.418998;0.272933;0.341434;0.730291;0.0329867;0.0543089;0.261959;0.720246;0.319895;0.0817719;0.278395;0.320334;0.320425;0.292754;0.286753;0.31845;0.249185;0.310393;0.252576;0.320434;0.27477;0.304366;0.303998;0.119448;0.311555;0.359781;2.31871;163.544
67;500;0.00091904;2.048e-06;0.273082;0.336692;0.249675;0.382646;0.238183;0.0469784;0.301146;0.279284;0.0137788;0.302576;0.367298;7.12113;19.1955;0.00170008;56.697;0.292807;5.88142;0.215902;0.306752;0.248431;0.176997;0.0483906;0.222942;60.5785;1.6445;0.284251;0.315688;0.663561;0.328568;0.449769;0.0949124;0.308249;0.377162;0.325658;0.304062;0.259732;0.315733;0.173155;0.259043;0.31406;0.509497;0.24946;0.375818;0.1218;0.489377;0.428401;0.0139961;0.325451;0.304355;0.259528;0.458106;0.165304;0.815141;0.306724;0.224685;1.11095;0.284316;0.271991;0.16591;0.558882;0.27173;0.32596;0.270248;0.259545;0.294392;0.272535;0.136808;0.301932;0.747759;0.346253;0.295431;0.310785;0.496801;0.321761;0.31989;0.327607;0.524055;0.121717;0.30856;0.134975;0.294299;0.461419;0.281732;0.255706;0.00197922;0.423028;0.268872;0.345122;0.746625;0.0327464;0.0551357;0.258951;0.754307;0.320569;0.0573225;0.279672;0.320986;0.321426;0.288655;0.281181;0.322202;0.243919;0.310707;0.241351;0.322743;0.265106;0.302749;0.308698;0.0959024;0.312182;0.383252;2.44696;163.369
67;600;0.00119552;4.096e-06;0.268728;0.340071;0.230973;0.39689;0.219053;0.0463752;0.307499;0.284025;0.0161744;0.301115;0.383624;7.10746;19.1982;0.000831096;56.6844;0.284852;5.88534;0.193504;0.308104;0.231749;0.186994;0.0386971;0.207648;60.5763;1.71666;0.27803;0.318019;0.663518;0.331275;0.482668;0.0686815;0.308214;0.379692;0.332846;0.303313;0.245732;0.317034;0.162939;0.245967;0.311887;0.524239;0.23489;0.378366;0.120133;0.518247;0.428653;0.0138543;0.33254;0.30371;0.245534;0.478035;0.137199;0.880846;0.301433;0.237654;1.19919;0.280937;0.262481;0.125342;0.571673;0.293384;0.331587;0.260463;0.251198;0.286358;0.253377;0.120171;0.31086;0.808143;0.356729;0.28683;0.311422;0.497393;0.324874;0.321136;0.336153;0.549675;0.128449;0.308295;0.084863;0.286387;0.444534;0.272398;0.244787;0.00142615;0.428618;0.260768;0.352482;0.76431;0.035105;0.0560412;0.254132;0.795015;0.322006;0.0295564;0.281317;0.322113;0.323471;0.281362;0.270604;0.329976;0.232843;0.311337;0.219113;0.327315;0.24475;0.30047;0.319115;0.0541386;0.313703;0.422796;2.66384;163.073
67;700;0.00151747;1.6384e-06;0.264501;0.343818;0.212764;0.412689;0.207864;0.0458326;0.31344;0.288603;0.017631;0.299711;0.401307;7.0933;19.2012;0.00171539;56.6699;0.276772;5.88894;0.171439;0.309151;0.213683;0.197553;0.0404811;0.190728;60.5732;1.78416;0.261626;0.314888;0.663468;0.334251;0.51593;0.0618126;0.308181;0.378655;0.341031;0.30248;0.229901;0.317616;0.15946;0.231211;0.308891;0.538902;0.218432;0.377494;0.120732;0.544017;0.428842;0.0145437;0.34061;0.303001;0.229711;0.494178;0.117982;0.935037;0.296481;0.248912;1.28399;0.277217;0.252696;0.0836877;0.575321;0.313734;0.337973;0.249765;0.241966;0.278194;0.231832;0.106249;0.323112;0.867279;0.369342;0.277957;0.312146;0.496293;0.328983;0.321508;0.345959;0.577489;0.135678;0.307168;0.0331132;0.278083;0.423927;0.262891;0.236495;0.00143447;0.431923;0.251407;0.360979;0.781242;0.0349051;0.057445;0.25065;0.813779;0.32386;0.0234787;0.272696;0.323222;0.325946;0.274823;0.259171;0.33886;0.220822;0.31206;0.193844;0.332506;0.22309;0.298487;0.329814;0.0385022;0.315522;0.460972;2.87033;162.789
67;800;0.00173701;3.2768e-06;0.261985;0.346367;0.202871;0.423073;0.204216;0.0456175;0.316623;0.290904;0.0180769;0.298843;0.412632;7.08431;19.2033;0.00380817;56.6605;0.271892;5.89108;0.158514;0.309461;0.203156;0.204501;0.0416901;0.17948;60.5712;1.82675;0.24851;0.311838;0.663434;0.336323;0.535884;0.0626934;0.308161;0.376385;0.346377;0.301904;0.219314;0.317606;0.159498;0.221354;0.30677;0.548304;0.20749;0.375397;0.12136;0.5574;0.429258;0.0149198;0.345879;0.30251;0.21913;0.503079;0.109074;0.96493;0.293815;0.254508;1.33404;0.274626;0.246657;0.0576037;0.576885;0.32505;0.342214;0.242831;0.235778;0.273285;0.218176;0.0984106;0.331951;0.902973;0.377974;0.272333;0.312627;0.493763;0.336536;0.316629;0.352315;0.592065;0.137095;0.301104;0.012868;0.272938;0.410388;0.257113;0.231605;0.00147264;0.433979;0.245047;0.366751;0.789005;0.034954;0.0582343;0.248812;0.820655;0.325224;0.0234491;0.264527;0.323892;0.327691;0.273014;0.250459;0.344544;0.213477;0.312542;0.177049;0.335955;0.210233;0.297225;0.336496;0.0384879;0.316697;0.483604;2.99165;162.623
67;900;0.00200702;1.31072e-06;0.259199;0.34957;0.193645;0.43551;0.20221;0.0456009;0.319881;0.293069;0.0188628;0.297819;0.425842;7.07388;19.2059;0.00172192;56.6496;0.266431;5.89348;0.144588;0.309396;0.191719;0.212095;0.043199;0.165812;60.5688;1.87581;0.232386;0.308341;0.663392;0.338985;0.557887;0.0650533;0.308138;0.372649;0.352551;0.301173;0.206625;0.317173;0.160701;0.209536;0.304197;0.559252;0.194328;0.371921;0.122235;0.570684;0.429467;0.0152672;0.351959;0.301882;0.206447;0.512893;0.0998508;0.998431;0.291182;0.259985;1.3892;0.271291;0.239743;0.0280057;0.580328;0.336702;0.347307;0.234429;0.228181;0.267824;0.202432;0.0900388;0.342996;0.942837;0.388462;0.265416;0.313204;0.49563;0.354764;0.301297;0.359801;0.599598;0.137753;0.283894;0.0120088;0.267042;0.39392;0.250666;0.225472;0.0015194;0.436636;0.237204;0.373866;0.795815;0.0350757;0.059143;0.247093;0.82809;0.327002;0.0238415;0.255329;0.324644;0.329901;0.274295;0.237742;0.350985;0.205107;0.313117;0.156872;0.340098;0.196476;0.295636;0.344678;0.0393617;0.318049;0.508582;3.12483;162.441
