condition;iter;t;dt;5FTHFabc;ATPase;COAabc;DADNabc;DCYTabc;DGSNabc;GLCpts;LIPTA;NACabc;PIabc;RIBFLVabc;THMDabc;trdoxt;trdrdt;AAabc;ACt;FAt;FORt;GLYCt;H2Ot;Ht;L_LACt2r;NH3t;O2t;URAt2;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CTPSDUMP;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCMPDA;DCYTK;DGK1;DGSNK;DNAP;DRPA;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM2;PRPPS;PSSYN;PTAr;PUNP2;PUNP4;PYK2;PYK4;PYK5;PYK6;PYK7;PYK8;PdhC_transl;RBFK;RNAP;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;tRNAP;AATRS;Ribosome
67;0;0;0.01;0.00937021;0.692677;0.00558691;0.44399;0.0265942;0.456349;5.67562;0.00178976;0.0104843;1.53452;0.00385862;0.0598378;0.213774;0.212042;0.9986;0.0380889;0.00746856;1e-10;0.00280238;1e-10;1e-10;2.74086;0.117249;0.0117902;0.110473;0.0108572;0.365006;0.106016;0.0223548;36.7857;3.37513;0.254965;0.108344;0.00620987;1e-10;0.0020265;0.50007;5.74066;0.00182304;0.0207387;0.0598327;0.0562562;0.00135528;0.0009089;0.00676795;2.24352;0.0231094;0.0214522;0.0214557;0.213838;0.219738;5.57393;0.0189325;5.06095;0.49875;0.0060529;0.01214;28.225;0.0135198;0.466196;0.0132;0.290493;22.8734;0.0152711;0.025099;0.00278685;0.00598239;0.00459907;0.00535464;0.463785;0.00187651;39.9051;40;11.4656;4.2382;29.3471;0.377315;8.81283;5.57481;0.00512388;0.00328527;0.00570033;1.08262;0.220623;1.47144;0.00595207;0.591095;0.172472;0.198923;0.55334;1e-10;0.0400309;7.59384;0.0128481;0.0394219;0.502052;0.00171315;0.359802;0.307446;0.306561;0.308013;0.306612;0.289643;0.0557025;0.0592532;2.52959;0.22661;0.00838193;0.00749697;0.7974;0.481668;0.167736;1.00084;36.9206;0.475697
67;100;6.016e-05;6.4e-07;0.00839393;0.692622;0.00560759;0.443968;0.0265704;0.456328;5.67563;0.00191834;0.0104511;1.53451;0.0038441;0.0598151;0.213808;0.212009;0.998577;0.0380556;0.00750213;1e-10;0.00283559;0.000271306;3.94587e-05;2.74082;0.117216;0.0118235;0.110506;0.0108333;0.365071;0.10602;0.0223523;36.7855;3.37536;0.254965;0.108341;0.00624061;2.61765e-05;0.00202649;0.500037;5.74062;0.00177867;0.0206925;0.0597888;0.0562077;0.00135788;0.000909098;0.00676774;2.24354;0.0230604;0.0214337;0.0214082;0.213809;0.219813;5.57397;0.0188849;5.06102;0.499304;0.00603577;0.0121299;28.2249;0.0135256;0.466153;0.0131385;0.290493;22.8735;0.0152652;0.025099;0.00275098;0.00582831;0.00459843;0.00503477;0.463909;0.00189261;39.9051;40;11.4656;4.23831;29.3472;0.377314;8.81286;5.57482;0.00511293;0.00329854;0.00570032;1.08276;0.220617;1.47106;0.00595738;0.591107;0.17243;0.198883;0.553338;1e-10;0.0400202;7.59379;0.012837;0.0394111;0.50184;0.00167155;0.359689;0.307446;0.306632;0.307981;0.30661;0.289534;0.0556535;0.0592089;2.5296;0.226609;0.00838199;0.00749686;0.797358;0.481668;0.167523;1.00146;36.9208;0.473966
67;200;0.00018432;1.28e-06;0.00790836;0.692606;0.00565624;0.443967;0.0265699;0.456327;5.67562;0.00221198;0.0104515;1.53455;0.00384217;0.0598146;0.213802;0.212015;0.998591;0.0380616;0.00749693;6.32213e-06;0.00282927;0.000572057;5.28914e-05;2.74083;0.117222;0.0118175;0.1105;0.0108388;0.365107;0.106033;0.0223461;36.7855;3.37573;0.254972;0.108331;0.00629533;8.797e-05;0.00202644;0.500012;5.74059;0.00175385;0.0206638;0.0597646;0.0561806;0.00136618;0.000909727;0.0067669;2.2436;0.0230363;0.0214734;0.0213816;0.21381;0.21996;5.57402;0.018858;5.06114;0.499855;0.00604121;0.0120937;28.2247;0.013533;0.466129;0.0131042;0.290489;22.8736;0.0152576;0.0250991;0.00267949;0.00565887;0.00459373;0.00460532;0.464051;0.00192346;39.9051;40;11.4655;4.23848;29.3472;0.377314;8.81293;5.57484;0.00506352;0.00332413;0.0057003;1.08301;0.220598;1.47053;0.00597432;0.59115;0.172365;0.19882;0.553342;1e-10;0.0399937;7.59368;0.0128097;0.0393843;0.501808;0.00164829;0.359554;0.307445;0.306773;0.307926;0.306607;0.289326;0.0556261;0.0591842;2.52955;0.226609;0.0083822;0.00749648;0.797343;0.481667;0.167488;1.00218;36.9208;0.472203
67;300;0.00043264;2.56e-06;0.00791607;0.692562;0.00572325;0.443955;0.0265591;0.456315;5.67564;0.00268067;0.0104456;1.5346;0.00382511;0.0598033;0.213763;0.212056;0.998609;0.0381019;0.00745864;4.74723e-05;0.00278813;0.000921851;6.08733e-05;2.74087;0.117263;0.0117774;0.11046;0.0108313;0.365155;0.106059;0.0223351;36.7855;3.37609;0.255113;0.108309;0.00636871;0.000395684;0.00202634;0.499948;5.74053;0.00172094;0.0206187;0.0597328;0.0561446;0.0013867;0.000911283;0.00676457;2.24373;0.0230123;0.0215557;0.0213463;0.213811;0.220194;5.57405;0.0188219;5.0612;0.500441;0.00604811;0.0120046;28.2246;0.013542;0.466098;0.0130589;0.290428;22.8737;0.015248;0.0250992;0.00243595;0.00558322;0.00452749;0.0040559;0.464095;0.00196351;39.905;40.0001;11.4655;4.23866;29.3472;0.377329;8.81302;5.57488;0.00490931;0.00335788;0.00570023;1.08333;0.220547;1.47002;0.00601621;0.591239;0.172298;0.198756;0.553372;1e-10;0.0399464;7.59352;0.0127611;0.0393367;0.501776;0.00161745;0.359371;0.307443;0.306984;0.30786;0.306588;0.28901;0.0555898;0.0591517;2.52941;0.226607;0.00838269;0.00749553;0.797334;0.481608;0.167454;1.00298;36.9208;0.470266
67;400;0.0007808;1.024e-06;0.00791882;0.692493;0.00580703;0.443943;0.0265475;0.456302;5.67568;0.00268079;0.0104392;1.53466;0.00380638;0.0597915;0.213723;0.2121;0.99863;0.0381442;0.00741986;9.09969e-05;0.00274461;0.00125214;9.15096e-05;2.74091;0.117305;0.0117357;0.110417;0.0108226;0.365201;0.106094;0.0223219;36.7854;3.37643;0.255257;0.108277;0.00644033;0.000789501;0.00202619;0.499865;5.74047;0.00168951;0.0205585;0.059703;0.0561101;0.00141789;0.00091365;0.0067795;2.24386;0.0230084;0.0216599;0.0213125;0.213829;0.220398;5.57406;0.0187869;5.06117;0.500939;0.00605488;0.011918;28.2245;0.0135501;0.466067;0.0130158;0.290296;22.8737;0.0152389;0.0250995;0.00212195;0.00538715;0.00438619;0.00386353;0.464159;0.00200083;39.9049;40.0002;11.4656;4.2388;29.3473;0.377363;8.81305;5.57491;0.00470206;0.00339027;0.00570011;1.08349;0.220539;1.46962;0.00607987;0.591355;0.172258;0.198718;0.553416;1e-10;0.0398879;7.59341;0.0127012;0.0392778;0.501749;0.00158799;0.359214;0.307437;0.307202;0.30781;0.306547;0.288672;0.0555553;0.059121;2.52923;0.226604;0.00838341;0.00749403;0.797337;0.48148;0.167422;1.00369;36.9208;0.468608
67;500;0.00091904;2.048e-06;0.00792027;0.692463;0.00583708;0.443939;0.0265435;0.456297;5.67569;0.00268075;0.0104369;1.53467;0.00379983;0.0597874;0.21371;0.212114;0.998639;0.0381583;0.00740731;0.0001056;0.00273001;0.00135634;0.00010633;2.74093;0.11732;0.0117219;0.110403;0.0108193;0.365218;0.106107;0.0223174;36.7854;3.37655;0.255302;0.108265;0.00646574;0.000915175;0.00202612;0.499836;5.74046;0.00167785;0.0205316;0.059692;0.0560973;0.00143036;0.000914596;0.00679078;2.2439;0.023012;0.0216989;0.0213;0.213844;0.220433;5.57405;0.0187739;5.06116;0.50109;0.00605699;0.0118986;28.2245;0.0135527;0.466056;0.0129998;0.290252;22.8737;0.0152359;0.0250998;0.00200161;0.00533143;0.00433796;0.00382572;0.464185;0.00201417;39.9049;40.0002;11.4656;4.23885;29.3473;0.377378;8.81304;5.57492;0.00463001;0.00340212;0.00570006;1.08349;0.220567;1.46949;0.00610535;0.591395;0.172251;0.198711;0.553434;1e-10;0.0398661;7.59339;0.0126789;0.0392559;0.50174;0.00157706;0.359173;0.307434;0.30727;0.307798;0.306529;0.288558;0.0555425;0.0591096;2.52918;0.226602;0.00838369;0.00749341;0.797339;0.481438;0.16741;1.00392;36.9208;0.468106
67;600;0.00119552;4.096e-06;0.00793065;0.692408;0.00589417;0.443934;0.0265398;0.456292;5.6757;0.00268319;0.0104368;1.53471;0.00379052;0.0597834;0.213686;0.212141;0.998658;0.0381846;0.00738436;0.000132847;0.00270276;0.00153533;0.000136754;2.74095;0.117346;0.0116963;0.110377;0.0108177;0.365247;0.106133;0.0223242;36.7854;3.37671;0.255483;0.108242;0.00651478;0.000917106;0.00202599;0.499796;5.74044;0.00165786;0.0204764;0.0596732;0.0560754;0.00145505;0.000916471;0.00679855;2.24395;0.0230283;0.0217778;0.0212785;0.213873;0.220487;5.57404;0.0187515;5.06115;0.501348;0.00606296;0.0118577;28.2244;0.0135569;0.466036;0.0129724;0.290158;22.8737;0.0152309;0.0251009;0.00177448;0.00526662;0.00423602;0.00377932;0.464235;0.00204021;39.9049;40.0002;11.4656;4.23893;29.3474;0.377406;8.81301;5.57493;0.00449951;0.00342577;0.00569995;1.08351;0.22062;1.46935;0.00615578;0.591467;0.172249;0.198709;0.553468;1.14963e-05;0.0398242;7.59336;0.012636;0.0392138;0.501725;0.00155832;0.359094;0.307439;0.307355;0.30778;0.306504;0.288368;0.0555205;0.0590901;2.52909;0.226599;0.00838423;0.00749215;0.797343;0.481351;0.167391;1.00431;36.9209;0.467257
67;700;0.00151747;1.6384e-06;0.00793799;0.692343;0.00595481;0.443931;0.0265376;0.456289;5.67572;0.00268055;0.0104388;1.53476;0.00378213;0.0597811;0.213662;0.212169;0.998681;0.0382115;0.00736162;0.000160885;0.00267473;0.00171069;0.000173195;2.74098;0.117373;0.0116704;0.11035;0.0108182;0.365279;0.10616;0.0223334;36.7854;3.37686;0.255703;0.108218;0.0065692;0.000917464;0.00202584;0.499775;5.74042;0.00163587;0.0204089;0.0596525;0.0560512;0.00148308;0.0009186;0.00678783;2.24399;0.0230538;0.0218677;0.0212548;0.213908;0.220537;5.57404;0.0187269;5.06114;0.501596;0.00607007;0.0118134;28.2243;0.0135608;0.466014;0.0129424;0.290053;22.8737;0.0152259;0.0251066;0.00153607;0.00520415;0.00412064;0.00373758;0.46429;0.00206948;39.9049;40.0002;11.4657;4.23902;29.3474;0.377437;8.81299;5.57494;0.00436467;0.00345307;0.00569981;1.08352;0.220668;1.46922;0.00621306;0.591538;0.172263;0.198722;0.553505;6.28958e-05;0.0397769;7.59334;0.0125877;0.0391663;0.501711;0.00153769;0.359002;0.307424;0.307357;0.307763;0.306526;0.288234;0.0554964;0.0590686;2.52901;0.226594;0.00838482;0.00749067;0.797347;0.481257;0.167373;1.00469;36.9209;0.466445
67;800;0.00173701;3.2768e-06;0.00794029;0.692298;0.00599269;0.443929;0.0265362;0.456287;5.67572;0.00267443;0.01044;1.53479;0.00377678;0.0597796;0.213649;0.212187;0.998696;0.0382281;0.00734809;0.000178188;0.00265744;0.00181602;0.000198065;2.741;0.11739;0.0116546;0.110333;0.0108184;0.365301;0.106177;0.0223396;36.7854;3.37695;0.255843;0.108202;0.00660499;0.000917604;0.00202574;0.499767;5.74041;0.00162056;0.0203615;0.0596381;0.0560343;0.00150169;0.000920015;0.00677742;2.24401;0.023072;0.0219266;0.0212383;0.213931;0.220566;5.57403;0.0187099;5.06114;0.501742;0.00607442;0.0117863;28.2243;0.0135632;0.465998;0.0129215;0.289985;22.8737;0.0152229;0.0251397;0.00141742;0.00516566;0.00404577;0.00371169;0.464323;0.00208911;39.9049;40.0002;11.4657;4.23907;29.3474;0.377456;8.81297;5.57494;0.00428047;0.00347162;0.0056997;1.08353;0.220697;1.46914;0.00625111;0.591579;0.172279;0.198737;0.553528;0.000105552;0.0397455;7.59333;0.0125554;0.0391347;0.501704;0.00152331;0.358942;0.307404;0.307336;0.307754;0.306554;0.28817;0.0554796;0.0590537;2.52898;0.226586;0.0083852;0.00748966;0.797346;0.4812;0.167362;1.00491;36.9209;0.465968
67;900;0.00200702;1.31072e-06;0.00794371;0.69224;0.00603601;0.443927;0.0265341;0.456284;5.67572;0.00268044;0.0104406;1.53483;0.00377006;0.0597774;0.213637;0.212207;0.998713;0.0382471;0.00733305;0.000197997;0.00263763;0.00193358;0.000228171;2.74102;0.117408;0.0116368;0.110314;0.0108179;0.36533;0.106198;0.0223469;36.7853;3.37706;0.256004;0.108184;0.00664789;0.000917767;0.00202561;0.499756;5.7404;0.00160087;0.020302;0.0596195;0.0560127;0.00152403;0.000921716;0.00676546;2.24404;0.0230936;0.0219959;0.0212171;0.213959;0.220599;5.57403;0.0186884;5.06115;0.501903;0.00607902;0.0117554;28.2243;0.0135656;0.465978;0.0128946;0.289905;22.8737;0.0152196;0.0252343;0.00133585;0.00512487;0.00395703;0.00368407;0.464351;0.00211316;39.9049;40.0002;11.4658;4.23914;29.3474;0.377478;8.81296;5.57495;0.00418489;0.00349448;0.00569956;1.08353;0.22073;1.46904;0.00629683;0.591624;0.172303;0.198759;0.553555;0.000157405;0.0397077;7.59333;0.0125167;0.0390968;0.501695;0.00150482;0.358873;0.30738;0.307312;0.307743;0.306584;0.288103;0.055458;0.0590344;2.52894;0.226568;0.00838563;0.00748844;0.797342;0.481136;0.16735;1.00516;36.9209;0.465446
