condition;iter;t;dt;5FTHFabc;ATPase;COAabc;DADNabc;DCYTabc;DGSNabc;GLCpts;LIPTA;NACabc;PIabc;RIBFLVabc;THMDabc;trdoxt;trdrdt;AAabc;ACt;FAt;FORt;GLYCt;H2Ot;Ht;L_LACt2r;NH3t;O2t;URAt2;5FTHFPGS;ACKr;ACPPAT;ACPS;ACP_transl;ADK1;ADPT;AGPAT;APG3PAT;BPNT;CLPNS;CTPS2;CTPSDUMP;CYTK1;CYTK2;DADK;DADNK;DAGGALT;DAGPST;DASYN;DCMPDA;DCYTK;DGK1;DGSNK;DNAP;DRPA;ENO;FAKr;FBA;FMETTRS;FTHFCL;GALU;GAPD;GHMT;GK1;GLYK;GUAPRT;LDH_L;MTHFC;MTHFD;NADHK;NADS;NCTPPRT;NNATr;NOX;PAPA;PDH_E3;PDH_acald;PFK;PGI;PGK;PGK3;PGK4;PGM;PGMT;PGPP;PGSA;PPA;PPM2;PRPPS;PSSYN;PTAr;PUNP2;PUNP4;PYK2;PYK4;PYK5;PYK6;PYK7;PYK8;PdhC_transl;RBFK;RNAP;RPE;RPI;TALA;TKT1;TKT2;TMDK1;TMPK;TPI;TRDR;UDPG4E;UDPGALM;UMPK;UPPRT;dUTPase_transl;tRNAP;AATRS;Ribosome
67;0;0;0.01;0.00077509;32.1506;0.00637104;0.15638;0.00886726;0.166235;0.355069;8.51767e-06;0.00446147;0.0543004;0.00564776;0.00647475;7.82735e-14;7.76258e-14;0.0987139;2.67523e-12;1.17434e-13;9.36935e-21;1.28347e-13;2.34126e-20;4.18883e-19;1.28339e-10;2.90383e-11;1.55409e-12;4.12422e-12;0.000702449;0.00384536;0.00254644;4.4506e-05;0.0461591;0.0507357;0.0168608;0.0222354;0.00167332;6.49572e-12;0.000118978;0.541611;2.13882;7.03855e-05;0.000820942;0.000908149;0.00856273;9.94798e-05;3.89833e-06;0.00192962;0.135735;0.0036451;0.00113407;0.00320157;0.000895476;0.0256815;0.712926;0.0119888;1.31812;0.00987518;0.000231134;0.000432007;2.92135;0.00266169;0.0464563;0.000102404;0.0377935;0.270362;0.00118476;0.000646423;0.000277589;0.00306899;0.000658393;0.000749068;0.0432791;0.000343981;0.804425;1.00582;4.43213;0.20468;0.339778;0.00342679;0.0843609;0.46253;0.000409567;0.000147129;0.000242823;0.0713354;0.406959;2.56101;1.22897e-05;0.0082222;0.00245376;0.009197;0.273182;5.56642e-11;0.0176066;3.3132;0.00599496;0.0172085;0.000102301;0.000148605;0.00213396;0.0168729;0.0015119;0.0794004;0.0798544;0.0804061;0.00446675;0.00430883;3.20668;0.00363926;0.000344345;0.00156067;0.116836;0.0151678;7.14407e-05;0.00782141;1.26266;105.705
67;100;6.016e-05;6.4e-07;0.0012512;57.93;0.0115232;0.281784;0.0159646;0.299542;0.71676;1.91244e-05;0.00801417;0.0978491;0.010139;0.0116631;1.58619e-13;1.57257e-13;0.177879;5.41567e-12;2.39009e-13;1.89837e-20;2.63133e-13;1.28701e-13;3.34894e-13;2.6003e-10;5.88193e-11;3.15772e-12;8.3588e-12;0.00139369;0.0179573;0.00521557;9.00411e-05;0.0226297;0.0990974;0.0349667;0.044272;0.00343658;3.38361e-06;0.000240276;0.954276;3.83941;0.00011908;0.0014282;0.00170005;0.0150802;0.000201089;7.83992e-06;0.00406964;0.275753;0.00641639;0.0019996;0.00563057;0.00163848;0.0524817;1.45566;0.0203817;2.69987;0.00755434;0.000437397;0.000880959;5.24439;0.00538655;0.0818012;0.000186198;0.0778216;0.573377;0.00236913;0.00130936;0.000417954;0.00519453;0.00140025;0.0012805;0.096369;0.000704459;1.55244;1.75617;7.37335;0.429118;1.56063;0.00701945;0.1731;0.937266;0.000879358;0.000296926;0.000494914;0.140133;0.827965;3.97118;2.49612e-05;0.0160532;0.00487956;0.018282;0.552492;1.13017e-10;0.0355503;6.65521;0.0121008;0.0347342;5.43762e-05;0.000266424;0.00409125;0.0344077;0.0031502;0.158261;0.157813;0.144112;0.00840183;0.00756072;6.46675;0.00727207;0.000700043;0.00316186;0.17395;0.0312811;3.58948e-05;0.0150094;5.26727;51.6424
67;200;0.00018432;1.28e-06;0.00135488;66.5804;0.0133592;0.32387;0.0183487;0.344281;0.835199;4.05389e-05;0.00921156;0.112467;0.0116475;0.013405;1.8596e-13;1.84374e-13;0.20445;6.35036e-12;2.80021e-13;1.40709e-15;3.0781e-13;3.18154e-13;5.26292e-13;3.04861e-10;6.89637e-11;3.70026e-12;9.79936e-12;0.00413186;0.0160036;0.00620149;0.000105157;0.0168049;0.143637;0.0437462;0.0499503;0.00410652;1.32448e-05;0.000279977;1.09813;4.37709;0.000134059;0.00164456;0.00196796;0.0172506;0.000235977;9.0592e-06;0.00507153;0.326419;0.00734395;0.0023017;0.00643586;0.00198276;0.0630049;1.71935;0.0232102;3.23351;0.0067714;0.000508036;0.00103924;5.18999;0.00631018;0.0936894;0.000214182;0.095498;0.769496;0.00275091;0.00153455;0.000595034;0.0063716;0.00186783;0.00133507;0.146544;0.000845184;1.57487;1.70427;8.02389;0.536294;1.40254;0.00828964;0.212708;1.10786;0.00113804;0.000350422;0.000583946;0.162475;0.976675;4.25621;2.94959e-05;0.0170071;0.00545127;0.0204141;0.642684;1.32073e-10;0.0413354;7.6534;0.0140499;0.0403929;4.12065e-05;0.000303117;0.00512354;0.0409511;0.00395925;0.183261;0.181168;0.148327;0.00973135;0.00865451;7.44417;0.00856385;0.000831011;0.0037059;0.192729;0.0385918;2.64089e-05;0.0188171;3.92917;38.2144
67;300;0.00043264;2.56e-06;0.00146631;71.981;0.0146149;0.350155;0.0198303;0.372222;0.909758;0.00473515;0.00995375;0.121602;0.0125372;0.0144906;2.0355e-13;2.01889e-13;0.221053;6.95966e-12;3.04997e-13;1.15672e-14;3.32086e-13;5.61292e-13;6.6313e-13;3.33763e-10;7.5527e-11;4.03726e-12;1.07243e-11;0.00374475;0.0147078;0.00693896;0.000114463;0.0133647;0.188169;0.0582732;0.0511339;0.00461942;6.79265e-05;0.000304152;1.17005;4.67035;0.000141544;0.00180764;0.00213726;0.018584;0.00026283;9.72149e-06;0.00615383;0.366671;0.00791692;0.0025066;0.00692608;0.00240752;0.0751791;1.87941;0.0251054;3.58167;0.00612208;0.000553558;0.00113819;5.08186;0.00690449;0.101234;0.000231545;0.120502;0.845896;0.00298836;0.0016793;0.000549487;0.01653;0.00286031;0.00126218;0.157043;0.000954406;1.40577;1.52816;8.35006;0.590466;1.29716;0.0091629;0.258891;1.22921;0.0012193;0.000388663;0.000645239;0.18241;1.07266;4.3696;3.29591e-05;0.0172963;0.00573754;0.0214769;0.698175;1.44501e-10;0.0448688;8.21617;0.0152152;0.0438643;3.32281e-05;0.000322403;0.00620052;0.0464392;0.00511534;0.200976;0.19601;0.147715;0.0105699;0.00933191;7.97205;0.00963253;0.000940851;0.00405422;0.204573;0.0494666;2.08154e-05;0.0228021;3.06308;30.2744
67;400;0.0007808;1.024e-06;0.00152307;74.7327;0.0153974;0.363571;0.0205817;0.386484;0.948453;0.00517755;0.0103291;0.126269;0.0129542;0.0150433;2.12661e-13;2.11009e-13;0.229534;7.28063e-12;3.17053e-13;2.31693e-14;3.416e-13;7.96672e-13;1.04169e-12;3.48774e-10;7.89512e-11;4.20381e-12;1.12021e-11;0.00355341;0.0139203;0.00743549;0.000118895;0.0115028;0.183387;0.0627873;0.049404;0.00496736;0.000196054;0.000315585;1.19379;4.79978;0.000143887;0.00192286;0.00222431;0.0192571;0.000285179;9.95426e-06;0.007693;0.396214;0.0082136;0.00263164;0.00716985;0.00282542;0.100263;1.95194;0.0261548;3.70314;0.00568875;0.000577584;0.00120341;5.04781;0.00721256;0.105457;0.000240247;0.128637;0.880303;0.00310448;0.00175422;0.000470043;0.0293964;0.00303769;0.00125122;0.159003;0.00103084;1.39821;1.61179;8.48098;0.588192;1.24321;0.00977832;0.296225;1.28728;0.00112585;0.000411959;0.000679387;0.216446;1.12632;4.40117;3.5644e-05;0.0179618;0.00589563;0.0220632;0.72408;1.51339e-10;0.0465805;8.50104;0.0157587;0.0455658;2.88264e-05;0.000329107;0.00763093;0.0524173;0.00780186;0.213809;0.203169;0.145949;0.0109987;0.00967658;8.19908;0.0104828;0.00102085;0.00423177;0.212886;0.0529469;1.77942e-05;0.0280947;2.56679;25.9705
67;500;0.00091904;2.048e-06;0.00153654;75.3765;0.0156112;0.366717;0.0207569;0.389828;0.95774;0.00522957;0.0104163;0.127365;0.013044;0.0151725;2.14829e-13;2.13189e-13;0.231524;7.35804e-12;3.19763e-13;2.71633e-14;3.43268e-13;8.7182e-13;1.22281e-12;3.52354e-10;7.97707e-11;4.24194e-12;1.13156e-11;0.00347062;0.0137048;0.00758786;0.000119897;0.0110588;0.18274;0.0631489;0.0485462;0.00507324;0.00206574;0.000318025;1.19914;4.82947;0.000144015;0.00195236;0.00224482;0.0194133;0.000292982;9.98252e-06;0.00858466;0.404167;0.00828522;0.00266643;0.00722537;0.00292615;0.103043;1.96742;0.0264096;3.72741;0.00557741;0.000583368;0.00122925;5.05092;0.00728586;0.106512;0.00024222;0.129449;0.887913;0.00313109;0.00177208;0.0004399;0.0285354;0.00301039;0.0012512;0.159029;0.00105545;1.39979;1.62257;8.50636;0.585118;1.23143;0.00997946;0.302163;1.29815;0.00109057;0.000418539;0.000687899;0.218338;1.14416;4.40591;3.65565e-05;0.0183199;0.00594304;0.0222393;0.72969;1.53092e-10;0.046966;8.57278;0.0158783;0.0459532;2.77702e-05;0.000329776;0.0084395;0.0556103;0.0100435;0.218248;0.204716;0.145428;0.0110991;0.00975685;8.24826;0.01081;0.00104094;0.00427324;0.21522;0.0532723;1.70756e-05;0.0310822;2.44669;24.9427
67;600;0.00119552;4.096e-06;0.00155753;76.2993;0.0159583;0.371237;0.0210099;0.394632;0.970732;0.0108382;0.0105447;0.128939;0.0131725;0.0153586;2.17856e-13;2.16244e-13;0.234384;7.46767e-12;3.23299e-13;3.46575e-14;3.44669e-13;1.00089e-12;1.59503e-12;3.57361e-10;8.09217e-11;4.29279e-12;1.14735e-11;0.0032316;0.0134966;0.00785563;0.00012132;0.0104035;0.20234;0.0638154;0.0467908;0.005258;0.00284965;0.000320977;1.20426;4.87273;0.0001439;0.00198992;0.002274;0.01964;0.000307989;9.98089e-06;0.0105197;0.414611;0.00839388;0.00272543;0.00730516;0.00307372;0.105035;1.98688;0.0268064;3.75831;0.00540396;0.000591901;0.00128526;5.04295;0.00738807;0.108207;0.000245018;0.130707;0.895973;0.00316644;0.00179719;0.000383012;0.028785;0.00295491;0.00125502;0.157876;0.00109634;1.40415;1.62352;8.54105;0.579052;1.22736;0.0103311;0.306917;1.31159;0.00102978;0.000429537;0.00070189;0.217517;1.1712;4.42377;3.83065e-05;0.0190499;0.00601403;0.0225036;0.736617;1.79452e-05;0.0474649;8.67215;0.0160294;0.0464619;2.61973e-05;0.000329988;0.0102269;0.0669414;0.0170736;0.226774;0.206821;0.144448;0.0112409;0.00987311;8.31155;0.0116605;0.00107768;0.00432998;0.219839;0.0537905;1.60119e-05;0.0376882;2.27005;23.4249
67;700;0.00151747;1.6384e-06;0.0015742;77.0364;0.0162799;0.37486;0.0212134;0.398484;0.981414;0.00529771;0.0106497;0.130202;0.0132717;0.0155081;2.20309e-13;2.18732e-13;0.236679;7.55791e-12;3.25969e-13;4.24493e-14;3.44973e-13;1.12789e-12;2.04302e-12;3.61428e-10;8.18607e-11;4.33198e-12;1.16011e-11;0.00312868;0.013266;0.00815343;0.000122469;0.00987116;0.20064;0.0641671;0.0448943;0.00545759;0.00286077;0.00032288;1.20691;4.90796;0.000143222;0.00200934;0.00229744;0.0198222;0.000326151;9.93633e-06;0.0114379;0.421041;0.00848653;0.00278485;0.00736784;0.00322598;0.106722;2.00177;0.0271345;3.78359;0.0052588;0.000599062;0.00138706;5.03521;0.00747075;0.10978;0.000247169;0.13134;0.900301;0.00319335;0.00181872;0.000325127;0.0275952;0.00286877;0.00125799;0.156355;0.00113487;1.40487;1.62731;8.57312;0.573805;1.22253;0.0106979;0.308841;1.32178;0.000974264;0.000440761;0.000716591;0.21936;1.1919;4.44808;4.0438e-05;0.0198831;0.00607173;0.0227194;0.741487;0.000100992;0.0478353;8.75151;0.0161374;0.046847;2.49164e-05;0.000328871;0.0113207;0.0776401;0.0209889;0.234743;0.210424;0.144052;0.0113539;0.00996545;8.36232;0.0143969;0.00111655;0.00437463;0.224761;0.0540455;1.51492e-05;0.0417453;2.1244;22.1905
67;800;0.00173701;3.2768e-06;0.00158235;77.4069;0.0164635;0.37669;0.0213159;0.400428;0.986906;0.00239317;0.0107029;0.130841;0.0133177;0.0155834;2.21578e-13;2.20023e-13;0.237839;7.60521e-12;3.27263e-13;4.72883e-14;3.44737e-13;1.2043e-12;2.34999e-12;3.63534e-10;8.23488e-11;4.3513e-12;1.16669e-11;0.00310724;0.0131122;0.00836172;0.000123063;0.00959159;0.199287;0.0643505;0.0437109;0.00559238;0.00280361;0.000323611;1.20747;4.92541;0.000142471;0.00201396;0.00230933;0.0199138;0.000339578;9.89094e-06;0.0114742;0.423431;0.00853567;0.00282227;0.00739837;0.00333378;0.107548;2.00939;0.0272979;3.79746;0.00518105;0.000602823;0.0015207;5.03397;0.00751339;0.110699;0.000248177;0.131632;0.905541;0.00320274;0.00183729;0.000299258;0.0269584;0.00281247;0.00125866;0.156698;0.00115875;1.40458;1.63478;8.58872;0.571173;1.21812;0.0109261;0.309561;1.32714;0.000943201;0.000447903;0.000725847;0.22011;1.20151;4.46151;4.2034e-05;0.0204661;0.00610327;0.0228379;0.74364;0.00017306;0.0480049;8.79053;0.0161838;0.0470273;2.42433e-05;0.000327417;0.0116059;0.0780997;0.0211326;0.239299;0.213006;0.143869;0.0114105;0.0100113;8.38975;0.0209869;0.00114089;0.00439702;0.227833;0.0541656;1.46974e-05;0.0428137;2.04731;21.5417
67;900;0.00200702;1.31072e-06;0.00159068;77.7736;0.0166627;0.378507;0.0214172;0.40236;0.992395;0.0053288;0.0107553;0.131476;0.0133582;0.0156581;2.2286e-13;2.21331e-13;0.238992;7.65349e-12;3.28504e-13;5.28525e-14;3.44169e-13;1.28976e-12;2.72302e-12;3.65663e-10;8.28438e-11;4.37006e-12;1.17331e-11;0.00306086;0.0129543;0.00863618;0.000123666;0.00930974;0.197498;0.0645182;0.0423769;0.00576375;0.00273477;0.000324129;1.20714;4.94226;0.000141294;0.00201474;0.00232117;0.0200044;0.000358042;9.82561e-06;0.0113801;0.425232;0.00858615;0.00286712;0.00742746;0.00347509;0.108208;2.01708;0.0274534;3.812;0.00510176;0.000606647;0.00196847;5.04151;0.00755634;0.111743;0.000249087;0.131868;0.911562;0.0032046;0.00187269;0.000281931;0.0263813;0.00274425;0.00125956;0.157397;0.0011876;1.40856;1.62842;8.60239;0.568753;1.21319;0.0111852;0.310107;1.33273;0.000910711;0.000456472;0.000736649;0.220771;1.21014;4.47403;4.4261e-05;0.0212029;0.00613667;0.0229639;0.745573;0.000264969;0.0481584;8.82813;0.016223;0.0471936;2.35646e-05;0.000325025;0.0118371;0.0777774;0.0209528;0.24466;0.215828;0.143584;0.0114662;0.0100562;8.41861;0.0218244;0.00116958;0.00441905;0.231376;0.0542641;1.42425e-05;0.0436856;1.96925;20.8873
