condition;iter;t;dt;mu;doubling_time;density;consistent;mu_diff
67;0;0;0.01;0.120855;6.07534;1;1;0
67;100;6.016e-05;6.4e-07;0.244871;3.1646;1;1;0
67;200;0.00018432;1.28e-06;0.287087;2.74642;1;1;0
67;300;0.00043264;2.56e-06;0.3143;2.53618;1;1;0
67;400;0.0007808;1.024e-06;0.32843;2.44068;1;1;0
67;500;0.00091904;2.048e-06;0.331799;2.4191;1;1;0
67;600;0.00119552;4.096e-06;0.336511;2.38965;1;1;0
67;700;0.00151747;1.6384e-06;0.340338;2.36632;1;1;0
67;800;0.00173701;3.2768e-06;0.342318;2.35445;1;1;0
67;900;0.00200702;1.31072e-06;0.344321;2.34259;1;1;0
